comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyFxMR51e5TMsrY3gx4AaABAg,,False,@윤정한-s1o,0:27,0,2025-05-02T14:29:35Z,2025-05-02T14:29:35Z
UgxCnLRIXpurKneCD6Z4AaABAg,,False,@미미밋-s3d,목소리 밴드랑 너무 잘맞는다!!!!❤,0,2025-04-26T09:13:45Z,2025-04-26T09:13:45Z
UgzhHanbSrAJRiuF6Fp4AaABAg,,False,@나햅삐,내 밥풀 ❤❤❤,0,2025-04-22T11:08:24Z,2025-04-22T11:08:24Z
UgxElbUeY45IAAUmG194AaABAg,,False,@shift_rcl,I LOVE U,0,2025-04-14T21:02:43Z,2025-04-14T21:02:43Z
Ugwd_PQPYu_i0-LUe814AaABAg,,False,@numbwer,💗💗💗,0,2025-04-12T13:25:59Z,2025-04-12T13:25:59Z
Ugzuk4_HE_X6df6xntx4AaABAg,,False,@dal_kyeom,WDYM THIS WAS RELEASED 3 YEARS AGO,0,2025-04-03T01:32:18Z,2025-04-03T01:32:18Z
Ugx8H02LemmBX964QZF4AaABAg,,False,@evonesotilsanchez,MISSING WOOZI IN RUBY ERA HUHUHU <333,0,2025-03-31T15:05:30Z,2025-03-31T15:05:30Z
UgxkBoqWLjTMmrlgSnp4AaABAg,,False,@dKhaotung,<3,0,2025-03-30T05:12:39Z,2025-03-30T05:12:39Z
UgxFGhqE_POrJvwqR1F4AaABAg,,False,@seul_.,"상상도 못한 ""우아해""에 ㅁㅊ이 절로 나와버렸다..🤦‍♀️",0,2025-03-29T12:55:37Z,2025-03-29T12:55:37Z
UgxnTvrIZr2knBZuKn94AaABAg,,False,@tinatame7767,Omg he is swearing,0,2025-03-29T12:21:13Z,2025-03-29T12:21:13Z
UgzDy0Fzl9KSVhozH6N4AaABAg,,False,@JittiTooNTFC,ทั้ง Rock ทั้ง Cute ใจเหลวไปหมด 🥰🫠,0,2025-03-27T14:33:08Z,2025-03-27T14:33:08Z
UgzAN23B_tkteILl2_J4AaABAg,,False,@cesiaguiasantos636,t amo Jihoon,0,2025-03-22T04:18:04Z,2025-03-22T04:18:04Z
UgzTTRh0Jes-KWIBXRV4AaABAg,,False,@cesiaguiasantos636,"SILENCIO, mi esposo esta cantando el himno nacional",0,2025-03-22T04:17:54Z,2025-03-22T04:17:54Z
UgzdBNepCYULzYfsAPR4AaABAg,,False,@jlmrnl,"filler, lezgaur 2.6M!!!",0,2025-03-19T15:40:26Z,2025-03-19T15:40:26Z
UgwDDdnou3gXmBZBezN4AaABAg,,False,@tescilia,ALL THE RED ACCENTS - I’m in love,1,2025-03-13T04:14:46Z,2025-03-13T04:14:46Z
Ugy3Z64bpbE0YgYyqFB4AaABAg,,False,@woozisangela,SEXIEST SAGI MAN,0,2025-03-12T09:21:51Z,2025-03-12T09:21:51Z
UgzXctzHEkf7PbtKIjB4AaABAg,,False,@missgwapa1985,This video has only 2.5 million views?,1,2025-03-11T17:35:27Z,2025-03-11T17:35:27Z
UgxkgYEf48dc3Su-m0t4AaABAg,,False,@November11_17,Wooahae ς(>‿<.),1,2025-03-10T11:55:32Z,2025-03-10T11:55:32Z
Ugzv3FoEsOZfudvFgEN4AaABAg,,False,@CatBox_7,지훈아 항상 응원하고 있을게🩷🩵,1,2025-03-10T00:21:30Z,2025-03-10T00:21:30Z
Ugx7zkdHTpx2O-1Wcv54AaABAg,,False,@Jap_mannat,The woohahae was so unexpected😂❤,0,2025-03-06T12:16:59Z,2025-03-06T12:16:59Z
Ugzb9Jv_uLQFI75KkQh4AaABAg,,False,@Kwanteen8,Ok i can accept woohae instead of shit this is red too,1,2025-03-02T15:48:06Z,2025-03-02T15:48:06Z
UgwlZoNT5HNjB_Jm1b94AaABAg,,False,@歩生-z6t,今日久しぶりにおすすめに出てきてくれたのはホウのカムバがあるからよね🤭,1,2025-03-01T13:17:14Z,2025-03-01T13:17:14Z
Ugz4J3TxmAU0NtYeF6d4AaABAg,,False,@리즈히메,"우아해 넘 귀여워 1:32 
ς(>‿<.)ς(>‿<.)ς(>‿<.)ς(>‿<.)ς(>‿<.)",0,2025-02-26T02:48:47Z,2025-02-26T02:52:04Z
Ugz1TnIzrGkBgKHCaul4AaABAg,,False,@fancyicecream-re4yt,omg i just know that THERE'S RUBY BAND LIVE VERSION IS EXIST😭 this is sooo good and i really like it! should be on spotify🥹🩷🩵,1,2025-02-25T16:30:15Z,2025-02-25T16:30:15Z
Ugypuv_nOZSDGjg-nrt4AaABAg,,False,@Sabihamahabub-l7k,Who is still here?,1,2025-02-23T18:13:50Z,2025-02-23T18:13:50Z
Ugz56amHGnebE4Vw3cR4AaABAg,,False,@ilovemusic-v2n,호우 컴백기념으로 다시옴…. 우아해우아해우아해…,1,2025-02-23T04:55:25Z,2025-02-23T04:55:25Z
Ugxoi8yThpg5nceUQJF4AaABAg,,False,@bringitz_hw,Wooahae🎉🎉🎉,0,2025-02-22T15:57:20Z,2025-02-22T15:57:20Z
UgxeZk_rBCoQGzINRnt4AaABAg,,False,@fatiməisayeva005,Anyone 2025?,0,2025-02-21T19:41:18Z,2025-02-21T19:41:18Z
