comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugwr35oW0vGiuT3ReF14AaABAg,,False,@이희승-o8r,호시 기여워 😂❤❤❤❤❤,0,2025-05-05T13:48:18Z,2025-05-05T13:48:18Z
Ugzr0KAWxwaz8m78_4h4AaABAg,,False,@JiahLeeILoveyou,호시 진짜 잘한다!! 너무 훌륭한 남자야!!! 춤이 너무 멋지게 춤을 추네여!!!,4,2025-05-05T03:59:53Z,2025-05-05T03:59:53Z
UgzrQtsncyiknCEXvAd4AaABAg,,False,@cristhinaleite7716,MOTHERRR,0,2025-03-19T23:43:02Z,2025-03-19T23:43:02Z
UgwaxnbradYQ-etI8S94AaABAg,,False,@cohub77,I like Karina,0,2025-03-16T05:03:16Z,2025-03-16T05:03:16Z
Ugyc0PGnl2vdsGj-1gd4AaABAg,,False,@Vanialima1932,휘플래시는 굉장하다,0,2025-03-08T08:40:33Z,2025-03-08T08:40:33Z
Ugxj4Ann6IIAWTwM0_J4AaABAg,,False,@Satorusugurur,OCHI LUCU SEKALI,1,2025-02-18T01:51:24Z,2025-02-18T01:51:24Z
UgyzzD5OrHkojJjEKZR4AaABAg,,False,@Haerin-v5i,Cool,0,2025-02-05T22:24:52Z,2025-02-05T22:24:52Z
UgxforaEFLY0JUCa8FJ4AaABAg,,False,@JBae1208,근데 호시 춤 진짜 잘 춘다,28,2025-02-03T14:37:58Z,2025-02-03T14:37:58Z
UgzUaBeEdCoMozO2YNp4AaABAg,,False,@jujuyaju,HORANGHAE🐅🐅,0,2025-02-03T08:58:24Z,2025-02-03T08:58:24Z
Ugxqd8FE8OzOuCUml814AaABAg,,False,@JBae1208,왜 내눈은 호시쪽으로 갈까,1,2025-02-02T15:33:01Z,2025-02-02T15:33:01Z
Ugzob6eXkOY5Ef7ep8x4AaABAg,,False,@MyleighplusaffilateMarketing,Lovely,0,2025-01-30T23:27:19Z,2025-01-30T23:27:19Z
Ugw9mJWoKYi3U9rgtRh4AaABAg,,False,@로제-n4n,싱크로유 남매❤,0,2025-01-25T15:49:33Z,2025-01-25T15:49:33Z
UgzjNHQR0k0f1bXqjbJ4AaABAg,,False,@Carat_seventeen17-The8,Our dancers duo💎💝🩷💜,0,2025-01-23T17:08:35Z,2025-01-23T17:08:55Z
Ugzz2H9ZK6DHD5AdKjh4AaABAg,,False,@제주서귀돈,제주흑돼지맛집 서귀포흑돼지맛집 제주도민맛집 제주서귀돈 으로오세요 ❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-01-20T20:43:44Z,2025-01-20T20:43:44Z
UgxEc_v-0MgM4qKMd6h4AaABAg,,False,@김대건-p1e,나다니만큼 느낌이 안살아~,0,2025-01-19T07:54:34Z,2025-01-19T07:54:34Z
UgxfF4brhzbi_WM5lFp4AaABAg,,False,@이상희-h6k,너무 이쁘다,0,2025-01-17T03:35:40Z,2025-01-17T03:35:40Z
Ugxli0sriJhfWb1EeYd4AaABAg,,False,@연두-p8p,둘 조합 나는 찬성이요,2,2025-01-17T03:01:10Z,2025-01-17T03:01:10Z
Ugwz5MfnzlbAt0j2uYt4AaABAg,,False,@이승혁-g9m,크러쉬 춤잘추네,1,2025-01-13T05:41:33Z,2025-01-13T05:41:33Z
UgyRLVdqXA05yUMvq214AaABAg,,False,@Leo_deox-g5f,Hoshi ❤,0,2025-01-12T06:49:03Z,2025-01-12T06:49:03Z
Ugwoh7fm8exysQTxRhd4AaABAg,,False,@seeunification,hoshi dancing to whiplash is my roman empire,0,2025-01-10T13:46:36Z,2025-01-10T13:46:36Z
UgwpAs6dTDNkUl6FkwZ4AaABAg,,False,@iforgotmyname000,"Armageddon - 110 M in 7 months
Whiplash - 106 M in 2 months
What a progress MYs!! 🔥",1,2025-01-10T07:30:58Z,2025-01-10T07:30:58Z
Ugz-mgFjbp57x8w8Xa14AaABAg,,False,@itsGivingGYATT,WHERES THE ICONIC STAIRS😭,8,2025-01-09T07:01:52Z,2025-01-09T07:01:52Z
UgyhDRllqW9m74NUP5x4AaABAg,,False,@blurredmirrors,11:56 초미녀 유지밍ㅠㅠㅠㅠㅠ,0,2025-01-09T04:37:02Z,2025-01-09T04:37:02Z
UgwxdfC2epEPI2f0EC14AaABAg,,False,@claudiobravo4926,Karina♥...,1,2025-01-08T00:43:37Z,2025-01-08T00:43:37Z
Ugw9qugFR-JlpOSHsxJ4AaABAg,,False,@jennierubyjaneblnk3728,Biases,0,2025-01-01T20:28:07Z,2025-01-01T20:28:07Z
Ugwq0dpNgwiSHPVXLUd4AaABAg,,False,@LEE_taewon_j,My two biases ❤,1,2024-12-31T13:46:33Z,2024-12-31T13:46:33Z
UgxUBfuzxjVCpA5Pmgd4AaABAg,,False,@어쩔콩,카리나는 뭘 입어도 예쁘구나…저런 바지 내가 입으면 그냥 아줌마 핏 나는 바진데,0,2024-12-31T06:19:24Z,2024-12-31T06:19:24Z
UgziJCH5pSxDnJT8Rnd4AaABAg,,False,@김미란-r5i,"내 최애곡❤
-당신의 영원한 팬이",0,2024-12-26T04:56:24Z,2024-12-26T04:56:24Z
UgzMLTAdKzMUSy8s0ft4AaABAg,,False,@Lの紋章,これ以上なにを自民に期待する。,0,2024-12-24T23:49:03Z,2024-12-24T23:49:03Z
UgyHsrOIu8qAUXLAdW94AaABAg,,False,@jinl6785,"처음에 위윗 플래쉬 하면서 얼굴 탁탁탁 돌리는데 너무 똑같아 놀랬다가 
두 번째 살짝 다른 거 보고 오히려 인간미 느껴짐
전체적으로 깔끔 보기 좋다",7,2024-12-24T09:40:34Z,2024-12-24T09:40:34Z
UgzXEg3Q9-zckxNhgjd4AaABAg,,False,@ChoeyDema,oendongii pang pang,0,2024-12-22T16:29:28Z,2024-12-22T16:29:28Z
UgxpY-6GNWMpmpt90S54AaABAg,,False,@최영웅-d3c,둘이 사귀삼요,0,2024-12-22T13:50:33Z,2024-12-22T13:50:33Z
UgzWSPQBue7jacljGqt4AaABAg,,False,@언플러그드-e4n,턱 들어올리는 디테일이 너무 춤을 예쁘게 만들었네..,1,2024-12-20T10:46:01Z,2024-12-20T10:46:01Z
UgxVlVBtwee3z_6il1J4AaABAg,,False,@y.saoen2,호시 호랑해 어디까지 퍼트릴건데 ..,4,2024-12-19T10:17:42Z,2024-12-19T10:17:42Z
UgwOfu6YeZgBhtlWEet4AaABAg,,False,@imz00oo,귀여웡 둘이~내가 젤좋아하는 둘이💗,2,2024-12-18T19:16:44Z,2024-12-18T19:16:44Z
Ugw2P43KwozrrulqfLx4AaABAg,,False,@안성현-v9j,형광등 두지마 카라에,0,2024-12-18T09:58:05Z,2024-12-18T09:58:05Z
Ugx_gGaR5vN7VH9kY1x4AaABAg,,False,@よしだよしこ-u4m,2人とも大好き❤❤❤,1,2024-12-18T01:45:57Z,2024-12-18T01:45:57Z
UgyZyc-3CDKrvj-Z_l54AaABAg,,False,@padazamandahuluuu12,Mirip kak Arsyad cok😭,1,2024-12-17T14:47:55Z,2024-12-17T14:47:55Z
UgwSBKoACjQhauIA01N4AaABAg,,False,@ellano5353,"여기 같은 장소 나단이랑도 했던 장소 아닌가?
나단이랑 너무 차이 나는 거 아니야?",0,2024-12-17T13:22:52Z,2024-12-17T13:22:52Z
UgyBlebEWrIDVds-0iR4AaABAg,,False,@hilove4746,هوووشي 🐯🐯🐯✊🏻✊🏻,0,2024-12-17T11:27:30Z,2024-12-17T11:27:30Z
UgwIXujbAUlkXJCB1Wp4AaABAg,,False,@HyeonminLee-iw7jy,와 춤선 진짜 둘다 다르네 신기하다,0,2024-12-16T14:54:41Z,2024-12-16T14:54:41Z
UgyiWLFKMR69nRHG41R4AaABAg,,False,@쥬쥬-e4k,와 호시 얼굴이 진짜 작다,4,2024-12-16T13:35:45Z,2024-12-16T13:35:45Z
Ugzzq3CKEhnywe1ped94AaABAg,,False,@젠틀한조국,이래서 우리 조카가 #카리나카리나 주방 카리나사러갈까? 이러는구나. 방에 전부 카리나사진뿐,0,2024-12-16T10:00:53Z,2024-12-16T10:00:53Z
Ugw3YXURrk5yoZzJ6hN4AaABAg,,False,@laiyinleung2378,因為唔可以用作購買任何商品條例,0,2024-12-15T14:01:04Z,2024-12-15T14:01:04Z
Ugyroov_E0BKjcIz0pp4AaABAg,,False,@kas-9307,"싹다 군대보내야 정신차린다
화생방 한번이면 싹다정신차린다
내 손모가지 걸수있다",0,2024-12-15T13:01:05Z,2024-12-15T13:01:05Z
UgwP06vyrSCIZ64GJ1B4AaABAg,,False,@mamameowbali,Hoshi ❤❤❤,3,2024-12-14T15:51:04Z,2024-12-14T15:51:04Z
