comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyoG8eeTCtsYaq8uMN4AaABAg,,False,@Elfangor-Sirinial-Shamtul,Black Swan Ballerina Mina. 🖤,0,2025-01-05T22:49:52Z,2025-01-05T22:49:52Z
Ugy8tmN5z6qG0JOZyiZ4AaABAg,,False,@junfong4998,💛💛💛,0,2024-10-24T12:07:33Z,2024-10-24T12:07:33Z
UgzNz3IsYSwIpPQVDth4AaABAg,,False,@ToxiconceblinkforUNIS,Wow,0,2024-08-29T11:41:51Z,2024-08-29T11:41:51Z
UgwtqDfGOIWjY2n8FYx4AaABAg,,False,@diancoeq1520,❤,0,2024-07-15T01:23:00Z,2024-07-15T01:23:00Z
Ugzy9AA_iE5Mtbt0jDJ4AaABAg,,False,@blakemorales_22,MINARIII,0,2024-04-15T21:18:28Z,2024-04-15T21:18:28Z
UgyNyw5rdo3npqhRwpt4AaABAg,,False,@jeremymilan1899,mina est sublime ❤,1,2024-01-05T20:25:45Z,2024-01-05T20:25:45Z
UgxQoo2kZo0dU19T3Gd4AaABAg,,False,@iftikaralam1oOne,Mina Bazaar 😎,0,2023-12-06T04:14:26Z,2023-12-06T04:14:26Z
UgyaADnNGQWIUx8XhcN4AaABAg,,False,@phavSophasu-u9v,NIMAកួរអោយស្រលាញ់🥰💐🇰🇭,1,2023-11-11T15:22:40Z,2023-11-11T15:22:40Z
Ugy6kc9i_vyKvO7tSxZ4AaABAg,,False,@ayuwandirq617,💋👍👈,0,2023-11-10T02:14:36Z,2023-11-10T02:14:36Z
Ugy_waql-KFRND_KFVF4AaABAg,,False,@orilovestwice,i love her (｡♡‿♡｡),0,2023-10-12T00:05:38Z,2023-10-12T00:05:38Z
Ugz1sXxx_vwotKNGX6R4AaABAg,,False,@ぺんぎんシャロン様,"めちゃくちゃ綺麗すぎ💕
ヤバすぎ✨
写真撮ってる側が綺麗すぎて緊張しそう😱",0,2023-10-11T03:21:47Z,2023-10-11T03:21:47Z
UgwzFZNoU1PAKNPcpIN4AaABAg,,False,@trinhkim-qe4gk,MInaa,0,2023-10-09T08:49:45Z,2023-10-09T08:49:45Z
UgyHxYi80oAoB5a68KF4AaABAg,,False,@orilovestwice,tan hermosa,0,2023-10-06T02:33:52Z,2023-10-06T02:33:52Z
Ugx736Cvvblfte9MBwx4AaABAg,,False,@hy_yap5930,Mina is so pretty !,2,2023-09-17T14:41:26Z,2023-09-17T14:41:26Z
UgxDSOty-N2ZJcNa8Vp4AaABAg,,False,@bunnytoofTWICEVCHA,Minari is so hot,1,2023-09-14T05:57:30Z,2023-09-14T05:57:30Z
UgzkUtWjidZXvFDdbgp4AaABAg,,False,@swan_mina,We need our model mina back!,2,2023-08-21T08:54:13Z,2023-08-21T08:54:13Z
UgyG47tZ5HnDmdYSEul4AaABAg,,False,@boyganjahi4613,"wow,,,princessa,,talaga,,,,,,,ang,,,ganda,,mo,,,,,,miss,,,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,2023-06-17T18:00:54Z,2023-06-17T18:00:54Z
Ugw2pPz-_S-YNxzYpV54AaABAg,,False,@h_icecold4625,❤❤,0,2023-05-29T06:38:27Z,2023-05-29T06:38:27Z
