comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwqHUaGwKnWP59PA494AaABAg,,False,@みっちゃん-u6x2q,この雰囲気感めっちゃ好き,0,2025-05-06T12:26:11Z,2025-05-06T12:26:11Z
Ugy5-FHYMdydviHXrdh4AaABAg,,False,@СайгибатМагомедова-ш6ч,OMG ❤❤❤😮,0,2025-03-31T00:20:04Z,2025-03-31T00:20:04Z
UgyJyuEJnUaBAPlifj94AaABAg,,False,@진라면-q9r,에스파언니들은 검정 립스틱도 잘 어울린당나는😢,0,2025-03-22T14:11:41Z,2025-03-22T14:11:41Z
UgyNxfsq3Xb7qn9h01B4AaABAg,,False,@Kanna-q3j,最後のウィンターのポーズ好き︎‪💕︎,3,2025-02-08T13:14:22Z,2025-02-08T13:14:22Z
UgyPxPuvKvcL0ckUnW14AaABAg,,False,@Kanna-q3j,"こんなに黒リップが似合う4人組
他にいるだろうか",6,2025-02-08T13:13:43Z,2025-02-08T13:13:43Z
UgzTLjQXQvEM5kSvtRx4AaABAg,,False,@moots_da_Haerin3,Beaultiful,0,2025-02-05T22:22:22Z,2025-02-05T22:22:22Z
UgyZfGwPBBFA62k_dcp4AaABAg,,False,@oweniskandar,"I love You, Aespa🎉😊❤",0,2025-02-02T01:22:05Z,2025-02-02T01:22:05Z
UgyqqpGq5TMDNEx165J4AaABAg,,False,@YURINO-j6d,ジゼル綺麗すぎる❤,5,2025-02-02T01:03:45Z,2025-02-02T01:03:45Z
UgzbBcPywCyUFsBMquh4AaABAg,,False,@oweniskandar,I like Whiplash by Aespa Song❤😅😊,0,2025-01-26T08:49:12Z,2025-01-26T08:49:12Z
UgzGzmx3VRHUPF4LQuF4AaABAg,,False,@Ningsfawmay,Whip-whiplash!,0,2024-12-24T14:21:09Z,2024-12-24T14:21:09Z
UgwDUF3B5HtGENSGQt54AaABAg,,False,@Most_wanted13,Ningning fannn❤,1,2024-12-19T08:36:43Z,2024-12-19T08:36:43Z
UgyQ6-R8ftfZ2YdyZSR4AaABAg,,False,@권유찬-f3k,탄광갔다옴?,0,2024-12-17T02:50:54Z,2024-12-17T02:50:54Z
Ugx9Ze-hJfzb5zMitih4AaABAg,,False,@gustavocampo4687,❤❤❤❤ bellísimas 🎉,0,2024-12-16T14:14:57Z,2024-12-16T14:14:57Z
UgyNqEBrIMOumg_QUQJ4AaABAg,,False,@emmywong3178,WAKE UP YALL THE QUEENS ARE SERVING🔥🔥,0,2024-12-16T13:18:30Z,2024-12-16T13:18:30Z
Ugywqrf7_TpvzNhjfwZ4AaABAg,,False,@후시안,모두! 멋있어요! 화이팅!,0,2024-12-12T06:50:20Z,2024-12-12T06:50:20Z
Ugyu46dmcsE4wkovL2N4AaABAg,,False,@MauroSanhuezaCelsi,🤩🤩🤩🤩🤩🤩🤩,0,2024-12-11T16:54:01Z,2024-12-11T16:54:01Z
