comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxJ4B3JNBUASi7sUdx4AaABAg,,False,@BigDaddyMacc,so cute and adorable I<3U,0,2025-03-03T15:51:24Z,2025-03-03T15:51:24Z
UgygoXMhk3Yc2iqjG_14AaABAg,,False,@vincentiusiseus,와 10년전 ㄷㄷㄷㄷ,0,2024-12-13T11:48:59Z,2024-12-13T11:48:59Z
UgxXeW7gaqKrjWlFepJ4AaABAg,,False,@basuko.tanaka,素朴で可愛い🩷,0,2024-07-06T17:29:28Z,2024-07-06T17:29:28Z
Ugyc6p96Zddfg4MgrI54AaABAg,,False,@blackjob,딱 10년전.. 저때도 아이유님 정말 알차게 활동하셨네ㄷㄷ 👍,0,2023-12-06T12:59:52Z,2023-12-06T12:59:52Z
UgzW8dmy904lU032M0F4AaABAg,,False,@chienbinhphaluat88,"it's been 7 years and she looks the same, this is unfair!! xD

7년이였는데 똑같이 보인다 ㅎㄹ",0,2021-04-13T16:00:37Z,2021-04-13T16:00:37Z
UgzVusWYfvSsrC__K494AaABAg,,False,@민서-f5v8w,너무너무 귀엽다.. 금만나 할때라니 ㅠㅠ,3,2021-04-09T07:55:47Z,2021-04-09T07:55:47Z
UgxwKiEeQfDmbWE_sqZ4AaABAg,,False,@paintpurple0918,너무 피곤해보이는데 예뻐..ㅠㅠ,1,2021-01-28T16:49:05Z,2021-01-28T16:49:05Z
Ugxo8hbWKg4Uvi1_fJR4AaABAg,,False,@dd0419,귀엽다ㅠ,0,2021-01-24T03:00:11Z,2021-01-24T03:00:11Z
Ugy1-0ofaFZDO-G27pV4AaABAg,,False,@user-xt6yd9nc8q,💜,0,2020-11-15T08:39:03Z,2020-11-15T08:39:03Z
Ugzw-ysItMvXZ-sZaX54AaABAg,,False,@chj1894,^^넵  먼지한톨입니다,0,2020-09-12T07:49:04Z,2020-09-12T07:49:04Z
Ugw9hEivM-svB1hI-Ld4AaABAg,,False,@바다-n3y,"To I&You together happy new year!
Up
이 길근(올림)",1,2020-07-18T20:29:30Z,2020-07-18T20:29:30Z
Ugxl3uX7JvnPoShQN1J4AaABAg,,False,@1071최태성,난 그때 불과 11살......,1,2020-01-04T15:19:51Z,2020-01-04T15:19:51Z
UgyRdiz0hxfsWi77EEp4AaABAg,,False,@eddiekim958,장만월옛날에 힘들었네,0,2019-09-02T06:11:46Z,2019-09-02T06:11:46Z
UgxSD4TrUaYhSAvQinh4AaABAg,,False,@qwerqwerqwer-v5h,2013 아이유 예뿌다,0,2019-02-12T11:28:03Z,2019-02-12T11:28:03Z
Ugjcm2bHoIxEaHgCoAEC,,False,@lockyanncook3605,iu ♥♥♥♥,1,2016-05-21T05:07:50Z,2016-05-21T05:07:50Z
UggeHSxnDje1THgCoAEC,,False,@bongmendoza,"IU, can I take you home.. haha kidding.. very cute..",1,2016-02-07T21:56:10Z,2016-02-07T21:56:10Z
UghCcRZ3x5EOYngCoAEC,,False,@dbwldyd111,👍,0,2015-01-26T05:04:25Z,2015-01-26T05:04:25Z
UgjKKobr-hHzgHgCoAEC,,False,@moonyuki2465,Congratulations IU for winning 'Best Female Artist' and 'The Most Popular Vocalist' on 2014 MAMA.,4,2014-12-05T14:20:36Z,2014-12-05T14:20:36Z
UggIw4K7aWNt33gCoAEC,,False,@Mokkieification,Cover for let it go :D,0,2014-03-31T08:57:51Z,2014-03-31T08:57:51Z
Ugh3QanTYE5xhXgCoAEC,,False,@오나경-v9r,"언니7살때부터좋아했어요!!!
앞으로도그맘변치않을꺼에요><",0,2014-03-29T11:59:08Z,2014-03-29T11:59:08Z
UgjI3LTVv51RungCoAEC,,False,@iPaintSilence,we don't people worship at your feet >.< SARANGHAE NOONA <3!,0,2014-03-29T04:39:55Z,2014-03-29T04:39:55Z
Ugjz4EYKhWkdRHgCoAEC,,False,@Tukan6Tutorial,"How much do you weigh? Hmmmm seems like nothing more than my weight .. Hehehe ;) you have to stop dieting ... Eat a lot so you're more beautiful .. I hope you're reading, I am your fans from Indonesia.",1,2014-03-10T08:41:19Z,2014-03-10T08:41:19Z
UgiuMuU0p0-o23gCoAEC,,False,@lizethchumbia1994,:) iu i lve you  <3,0,2014-03-03T20:01:17Z,2014-03-03T20:01:17Z
UgifXwnLbdTVHHgCoAEC,,False,@andrauswm1,she is so Beautiful.,1,2014-02-19T21:19:43Z,2014-02-19T21:19:43Z
Uggk_qYqp5qt4HgCoAEC,,False,@nguyenminhvu752,xì xà xì xồ không hiểu chị nói gì nhưng mà chắc là chúc mình năm mới...happy new year sister!!,0,2014-01-31T11:07:12Z,2014-01-31T11:07:12Z
Ugi1zNNvul0_wXgCoAEC,,False,@marcini9204,All the best wishes to you in a new year.,0,2014-01-18T05:55:01Z,2014-01-18T05:55:00Z
UggNR7GEGUZfrHgCoAEC,,False,@陈二花,"iu，i hope you come to China soon,see you shanghai fan meeting.",0,2014-01-18T05:37:02Z,2014-01-18T05:37:02Z
UghQ6J3C8_HCGngCoAEC,,False,@nursyuhadazaharudin4812,"IU fighting in this new year
",0,2014-01-17T10:36:19Z,2014-01-17T10:36:19Z
UgzJ07i-gQzoBGHU_O54AaABAg,,False,@Crnink28,she's really growing up  now,0,2014-01-16T11:52:44Z,2014-01-16T11:52:44Z
UggaMGbg0FpG5ngCoAEC,,False,@pingilsz195,Unnie <3,0,2014-01-14T01:10:58Z,2014-01-14T01:10:57Z
Ugj-zdbu_GjiHXgCoAEC,,False,@zwz_0729,7156,0,2014-01-12T16:38:00Z,2014-01-12T16:38:00Z
Ugg2CzCVjmI5pngCoAEC,,False,@pdpd0602,누님도 해피 뉴이어^^,0,2014-01-11T14:50:40Z,2014-01-11T14:50:40Z
UggqqYguxYxcZngCoAEC,,False,@장여정-z1k,아유 이쁘어ㅓㅓ너무이뻥!말하는것도 이뻥!ㅠㅠㅠㅠ,0,2014-01-06T14:29:18Z,2014-01-06T14:29:18Z
UggZnhoA6dY4kHgCoAEC,,False,@JimiPageHendrixs,노래도 잘하고 귀엽고 예쁘기까지 정말이지 욕심쟁이네요,0,2014-01-06T07:39:36Z,2014-01-06T07:39:36Z
UghADj-u1UDmCngCoAEC,,False,@icutea,아이유 사랑해요 ♥ ♥ ♥,0,2014-01-03T21:43:42Z,2014-01-03T21:43:42Z
UgjLGjo4EQC7YHgCoAEC,,False,@cianwen,Happy New Year! ;) Looking forward to IU works in 2014! :),2,2014-01-03T17:23:26Z,2014-01-03T17:23:26Z
Uggervb573ftXXgCoAEC,,False,@mandikin,Miss her long hair!!!!!!!!!!,1,2014-01-02T12:48:27Z,2014-01-02T12:48:27Z
UgiVkfAITONTzXgCoAEC,,False,@user-kb6ff2on1k,보기좋ㄴ다..,0,2014-01-02T04:43:37Z,2014-01-02T04:43:37Z
UggP6LefccT_GXgCoAEC,,False,@unagidesuvidz,Happy New Year IU ♥,3,2014-01-01T18:33:57Z,2014-01-01T18:33:57Z
Ugi7Q27r7JqnkHgCoAEC,,False,@muhamadsafii2431,누나 사랑해... Happy New Year :),0,2014-01-01T04:20:14Z,2014-01-01T04:20:14Z
Uggl6TfIJSI7XHgCoAEC,,False,@Bwa,I hate my non cute Korean life,0,2014-01-01T02:19:23Z,2014-01-01T02:19:22Z
Ughau6Co3pXxDXgCoAEC,,False,@EXRALPRODUCTION,IU you are getting prettiest!!,3,2013-12-31T11:04:54Z,2013-12-31T11:04:54Z
UgiZQvPzehBuVXgCoAEC,,False,@EXRALPRODUCTION,IU you are getting prettiest!!,1,2013-12-31T11:04:53Z,2013-12-31T11:04:52Z
UghFaeMI1YYecHgCoAEC,,False,@morninghana,love IU's husky voice XD,2,2013-12-31T09:49:02Z,2013-12-31T09:49:02Z
UggPnYhNxSrfiHgCoAEC,,False,@manjajoejoe174,We love korean nations sister IU so much.,3,2013-12-31T08:39:03Z,2013-12-31T08:39:03Z
UghevzcQD4BeU3gCoAEC,,False,@janeb1738,IU Happy New Year ><,3,2013-12-31T05:18:40Z,2013-12-31T05:18:40Z
UgjVIh_wjcre3ngCoAEC,,False,@hwangtaerin,"Happy New Year♥
Hope you always healthy too ^^

Greetings from Indonesian fangirl ^^
Hope you will come to Indonesia :)
Fighting~
I will always support you ♥
♥♥♥♥♥♥IU

Happy New Year too UaenaI!!♥^^~",3,2013-12-31T01:01:25Z,2013-12-31T01:01:24Z
UgjkheSoWDHbe3gCoAEC,,False,@nayeli354,"Happy New Year!!
Greetings from Mexico ^^
fighting~",1,2013-12-30T22:45:19Z,2013-12-30T22:45:19Z
UggDaY0oCiJl7ngCoAEC,,False,@edmundtrinh7435,Anyone know what that background song is called?,0,2013-12-30T22:23:08Z,2013-12-30T22:23:08Z
UghvXbxWhxNN7ngCoAEC,,False,@pinku20n2,"IU, eres la mejor♥
Feliz año nuevo, preciosa.",1,2013-12-30T22:19:31Z,2013-12-30T22:19:30Z
UgiTIhWpaMaVSngCoAEC,,False,@jaraseng,Happy New Year iu ya <3,0,2013-12-30T20:16:06Z,2013-12-30T20:16:06Z
UgiiC8hKnpA9OHgCoAEC,,False,@kaiserzongiz,IU yo te amo!!!!!!,0,2013-12-30T17:45:14Z,2013-12-30T17:45:14Z
Ugh1x4BSXlhSA3gCoAEC,,False,@sshin19,"come to ny!!
i am a huge fan and only waiting for iu",0,2013-12-30T16:40:54Z,2013-12-30T16:40:53Z
Ugj2Lopywvr6xXgCoAEC,,False,@cLeckerso01,Happy new year IU <3,1,2013-12-30T15:46:16Z,2013-12-30T15:46:16Z
UgjgfmUo8ADdcHgCoAEC,,False,@yeonminvg1188,I LOVE IU,0,2013-12-30T14:11:37Z,2013-12-30T14:11:36Z
UggwtKs7MhEhLXgCoAEC,,False,@yeonminvg1188,I ¥ IU and Happy New Year [•(*_*)•],0,2013-12-30T14:06:05Z,2013-12-30T14:06:05Z
UgiOdVdBUTfW93gCoAEC,,False,@nagumisan,"IU please come to the Philippines for a concert. Lots of Filipinos adore you. Merry Christmas and may you have good health, more ""all kill"" songs, more excellent songs to write, more awards to receive and protection all through out the new year and in the years to come. Love ya much!",16,2013-12-30T14:02:34Z,2013-12-30T14:02:33Z
UgiOdVdBUTfW93gCoAEC.7-H0Z7-ExFF9BmfCi6zX16,UgiOdVdBUTfW93gCoAEC,True,@benonp3622,She did!! 😂,0,2020-07-31T17:34:48Z,2020-07-31T17:35:12Z
UghNpfbAS4AeJ3gCoAEC,,False,@rareseed24,이뻐,0,2013-12-30T13:17:20Z,2013-12-30T13:17:20Z
Uggp-QmUMhqegngCoAEC,,False,@토낑이-n2u,진짜피부좋고이쁘다♡♥♡♥♡♥♡♥♡,1,2013-12-30T13:10:09Z,2013-12-30T13:10:09Z
UghXxRn22iB-EngCoAEC,,False,@naruminiwa1250,"Happy New Year IU ♥
Please come in France :D
Love from french fangirl ♥♥♥",0,2013-12-30T12:46:58Z,2013-12-30T12:46:58Z
Uggn9uxxIn2l7XgCoAEC,,False,@ec4350,IU happy new year!,0,2013-12-30T12:07:51Z,2013-12-30T12:07:51Z
UghEbMVsBcDbMXgCoAEC,,False,@chaunihos3095,happy new year IU. wish for your great success in coming days,1,2013-12-30T11:53:37Z,2013-12-30T11:53:36Z
UghQ2MwCCg2Pw3gCoAEC,,False,@_mumumu99,아이유 누나♥ 내면에도 홧팅,0,2013-12-30T11:27:56Z,2013-12-30T11:27:56Z
UgjKvTMee5td-XgCoAEC,,False,@hyateus,Omfg IU I lysm notice me,0,2013-12-30T11:23:36Z,2013-12-30T11:23:36Z
UghQAY_v5yhDH3gCoAEC,,False,@blanarumaria-andreea69,"Thank u!! 
 사랑해요!",1,2013-12-30T11:09:08Z,2013-12-30T11:09:08Z
UggRfgdPJMtHuHgCoAEC,,False,@SyedShoaib,Happy New Year...,1,2013-12-30T09:45:41Z,2013-12-30T09:45:41Z
UgjnBOS4EgDUM3gCoAEC,,False,@EloiHim21,Thk u for the trnslation..IU Happy New Year 2014 to you gal..you've been really busy this year...so thnk u so much for your hardwork to entertain us...i hope this year end you will spend time with your family and meet up with your friends..IU fighting!,1,2013-12-30T09:23:42Z,2013-12-30T09:23:41Z
Ugh2ST5Qh5_Sj3gCoAEC,,False,@Becks237moscuro,"Hi IU, happy new year, and maybe someday you come to sing mexico",0,2013-12-30T07:55:11Z,2013-12-30T07:55:10Z
UggH6blW5bwP9XgCoAEC,,False,@blackrose9027,"안녕하세요 HAPPY NEW YEAR to IU. Wish that the 2014 will treat you well, releasing more meanngful and beautiful songs. Love you!",1,2013-12-30T07:43:24Z,2013-12-30T07:43:24Z
Ugg0vyfiUNVFJngCoAEC,,False,@2sangmang77,드라마도 잘~ 봤어요. 김보통느님. ,1,2013-12-30T07:05:58Z,2013-12-30T07:05:58Z
UgioPLFPgnpZCXgCoAEC,,False,@syakirzahar1683,"request for IU wishing new year in english, please IU and LOEN entertainment.. =D",1,2013-12-30T06:50:49Z,2013-12-30T06:50:48Z
Ugjg2Ulnsfym3ngCoAEC,,False,@이데아-e4u,올 한해도 아이유 덕분에 행복했습니다 내년에도 퐈이팅!,1,2013-12-30T06:03:16Z,2013-12-30T06:03:15Z
Ugia6TpX-sR9FXgCoAEC,,False,@JohnKkim96,Have my babies.,0,2013-12-30T05:47:14Z,2013-12-30T05:47:14Z
UgiunwZqcVapmngCoAEC,,False,@1992xtine,I LOVE U... Happy new year everyone! ^____^,1,2013-12-30T05:44:55Z,2013-12-30T05:44:55Z
UghY06esJwsnXHgCoAEC,,False,@Ares01111callmeA,아이유~~아이유~~,0,2013-12-30T05:38:37Z,2013-12-30T05:38:37Z
UgipaYMlhbtby3gCoAEC,,False,@m1astray,Happy New Year!,0,2013-12-30T05:36:31Z,2013-12-30T05:36:31Z
Uggh2N5YTHMp-3gCoAEC,,False,@strawberrieblood,The happiest new year IU!!!! And all IU fans!!!! :D :D :D,0,2013-12-30T05:25:39Z,2013-12-30T05:25:39Z
UgiGMMQ-fn6ot3gCoAEC,,False,@gre9467,Happy Holidays to you too IU,0,2013-12-30T05:19:07Z,2013-12-30T05:19:06Z
Ugj1Y4XRkeTZFngCoAEC,,False,@juanalonso4169,"LOEN, can you please, please PLEASE add some English subs to IU's videos. I would really, really REALLY appreciate it. ",2,2013-12-30T04:36:44Z,2013-12-30T04:36:44Z
UghvnEw5iVBw8XgCoAEC,,False,@arronlee33,"IU, please have a very, very, very Happy Holidays!!! :-D",24,2013-12-30T03:59:58Z,2013-12-30T03:59:58Z
UghgLGlIiJF5F3gCoAEC,,False,@SielC06,"cute baby <3
Happy New Year !",0,2013-12-30T03:39:04Z,2013-12-30T03:39:03Z
