comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugw4b19qTpIq7HLOqc14AaABAg,,False,@yutaethics,i miss this moment. i hope this pandemic ends soon,1,2022-02-01T06:18:20Z,2022-02-01T06:18:20Z
Ugy0rTZKIh4UCokN-Il4AaABAg,,False,@_paris2030,Miss y'all,0,2021-11-04T07:18:36Z,2021-11-04T07:18:36Z
UgypViYPPynfGqAu4I14AaABAg,,False,@moonlight-it7jo,I miss them at concert,0,2021-10-22T15:02:58Z,2021-10-22T15:02:58Z
UgyCbXwS-U2gX8Zdgod4AaABAg,,False,@정제프리-n6d,nct cool,1,2021-01-25T03:24:53Z,2021-01-25T03:24:53Z
Ugzlp5RLCbEq7ci0-aJ4AaABAg,,False,@jennysweetypinandhita,Adem gitu liat mereka ketawa kek gini😔💚💚💚,0,2021-01-22T00:31:17Z,2021-01-22T00:31:17Z
UgyhOtz2S8nc3D6exeh4AaABAg,,False,@bpmmotovlog3283,Gw benci fuck,0,2020-11-14T17:46:58Z,2020-11-14T17:46:58Z
UgyC_8TnIowv_gPbKqp4AaABAg,,False,@bpmmotovlog3283,Fuck,0,2020-11-14T17:44:53Z,2020-11-14T17:44:53Z
UgwrMRVw-RT1eQcQyPt4AaABAg,,False,@bpmmotovlog3283,Gw benci,0,2020-11-14T17:44:46Z,2020-11-14T17:44:46Z
UgxWeQUc_ZRpsfdWfw54AaABAg,,False,@華愛-z9d,0:28 Is something I wanna see if I ever attend NCT's concert. Hopefully after this pandemic,0,2020-09-22T07:17:14Z,2020-09-22T07:17:14Z
Ugwp5KBtAkp-O3QNZGh4AaABAg,,False,@anakimi9176,Taeyong is perfect ok~,0,2019-12-05T16:53:02Z,2019-12-05T16:53:02Z
Ugz9-7Gp6aSo63M1FMZ4AaABAg,,False,@anakimi9176,love you!,0,2019-12-05T16:52:26Z,2019-12-05T16:52:26Z
UgzxxWfT2-SlH_OrbjR4AaABAg,,False,@Eli162q8,Falling love with NCT...zen,0,2019-07-07T06:00:22Z,2019-07-07T06:00:22Z
Ugwb0ykZnbK5OMaJb3l4AaABAg,,False,@fearemary,"Thank you guys for working so hard, and always making us happy. We love you a lot and we hope you are always healthy and happy.",0,2019-07-04T21:29:21Z,2019-07-04T21:29:21Z
Ugw2y2Koyc6AGvh2W014AaABAg,,False,@sehun9876,"Мы вас любим 💚 и очень ждём еще раз💚
Спасибо вам большое за то, что вы приехали к нам💚",6,2019-07-04T17:08:46Z,2019-07-04T17:09:47Z
UgzT2wPbgxcemYbTYj94AaABAg,,False,@firzanah4270,WHEN YOU GUYS WILL COME TO MALAYSIA! I'm waiting for so long. please sm town I'm begging you as Malaysia nctzen,0,2019-07-04T15:20:05Z,2019-07-04T15:20:05Z
UgzafUc_PZeEffMTe8R4AaABAg,,False,@kinhisung7287,Mark lee💚💚~~,0,2019-07-04T14:27:22Z,2019-07-04T14:27:22Z
Ugw0NqCDP1A32vr6udd4AaABAg,,False,@brightlotus6612,Pls come to Malaysia again 😔😔😔,0,2019-07-03T16:55:44Z,2019-07-03T16:55:44Z
UgxYpsB1D3WpnrPsoSp4AaABAg,,False,@puzelkin,РЕВУ БЛИН,0,2019-07-02T15:53:13Z,2019-07-02T15:53:13Z
Ugz-aeQrVZlAUASVf2V4AaABAg,,False,@eclipsemingi,0:29  mmmm okay,1,2019-07-01T21:32:31Z,2019-07-01T21:33:01Z
Ugzb1ZDBDyGNjWdZzy14AaABAg,,False,@salmaaudy1984,"What the tittle of this song please tell me, thank you",0,2019-07-01T05:17:30Z,2019-07-01T05:17:30Z
Ugw7zFGbR3pkR6T1OkF4AaABAg,,False,@atha91,"Whoaa didnt expect the venue will be that full!!! Cant wait their concert in Paris and London..  I bet it will be sold out, right? Ofc it's our talented boys NCT 127...",0,2019-06-30T13:15:25Z,2019-06-30T13:15:25Z
Ugx0axtp__94cdkp36B4AaABAg,,False,@orbitbella2335,"um noah fence but nct 127 needs to rest,,,",0,2019-06-30T07:12:01Z,2019-06-30T07:12:01Z
UgwT4W-0qh6xpuJ1MJp4AaABAg,,False,@palfixxx,россия вас любит!!,0,2019-06-29T18:32:12Z,2019-06-29T18:32:12Z
UgypcUj3bBGzuqo22CV4AaABAg,,False,@win_win_ko,"0:29 what performance is? (Haechan and taeil)

SOMEONE TELL ME PLEASE",0,2019-06-29T18:09:11Z,2019-06-29T18:09:53Z
UgypcUj3bBGzuqo22CV4AaABAg.8wlulCay5Z78wrRnp68no7,UgypcUj3bBGzuqo22CV4AaABAg,True,@alex-qe7fu,B i p ø l a r g h ø s t  i think it’s baby don’t like it,1,2019-07-01T21:42:50Z,2019-07-01T21:42:50Z
UgxmUr14HUoAdywOd9B4AaABAg,,False,@solar7237,как же я вас люблю..,0,2019-06-29T17:51:15Z,2019-06-29T17:51:15Z
UgwD5oAC08p-bN-lRnp4AaABAg,,False,@annep.982,I WANNA BE THERE TOO OMG NOO❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,2019-06-29T11:16:31Z,2019-06-29T11:16:31Z
UgzKsgP5RpigISb8-ad4AaABAg,,False,@nenuchi,Im : CRYING,0,2019-06-29T07:37:44Z,2019-06-29T07:37:44Z
Ugw0Lxmf1z6I6WkKyit4AaABAg,,False,@lapepapot4202,Mark we love you please don’t worry! 😿💖💕💖💕,0,2019-06-29T05:13:15Z,2019-06-29T05:13:15Z
UgxdqWQ55zVeTWkkLzd4AaABAg,,False,@emysea6786,"О май гад, они уже в Москве 😿😻",0,2019-06-29T03:14:00Z,2019-06-29T03:14:00Z
Ugz5hMywtF1iorkA-0V4AaABAg,,False,@littlesunniebby,"0:28 a beautiful eclipse. 
🌑🌒🌓🌔🌕🌗🌘",1,2019-06-29T03:11:47Z,2019-06-29T03:11:47Z
Ugw8JPmfGOmlXBSC8Sp4AaABAg,,False,@tanyakrotowa,I was there that was INCREDIBLE,0,2019-06-29T01:42:43Z,2019-06-29T01:42:43Z
UgyF96zb7j4QWTKdKYp4AaABAg,,False,@nahomifabiolazamorahernand8059,Fighting NCT127!!!♥️😻💪🏻,1,2019-06-28T21:31:58Z,2019-06-28T21:31:58Z
UgyotoTBTyyZ8sFF-ix4AaABAg,,False,@xxxlucy031,"one day, one day I'll join them too! 💚💚💚",1,2019-06-28T21:17:05Z,2019-06-28T21:17:05Z
Ugza5KfQvtys9qmGPUx4AaABAg,,False,@sleepsleep904,"Оооомг, мы так волновались, но, кажется, все прошло супер. Спасибо нст и ру сиджени, которые себя отлично показали <3 Надеюсь, нст и правда приедут в Россию скоро вновь Т-Т",0,2019-06-28T18:51:02Z,2019-06-28T18:51:35Z
Ugw7nY9K2wV7qZExcbF4AaABAg,,False,@Visheni,надеюсь вам понравилось нахождение в нашей стране. люблююююююююююююююююююююююююююююю,0,2019-06-28T18:25:34Z,2019-06-28T18:25:34Z
Ugygc81v_UcC-I4h5ZF4AaABAg,,False,@nicolepereira7626,DESCANSO AO NCT127 CARALHOOOOOOOOOOOOO,0,2019-06-28T15:50:31Z,2019-06-28T15:50:31Z
UgwzSt5d6V5WxInvmrl4AaABAg,,False,@mariaojeda7267,"Mark and all the members, Nctzen are always surprised by everything you do we always like everything you do, you guys are amazing. Your work is worth being appreciated ❤️",0,2019-06-28T14:48:03Z,2019-06-28T14:48:03Z
UgzHSdGa8z8nJOqMxql4AaABAg,,False,@maximocossetti9198,"Ok time for ritual: 
Nct in argentina 🕯 nct in argentina 🕯 nct in argentina 🕯 nct in argentina 🕯 nct in argentina🕯 nct in argentina",0,2019-06-28T14:31:28Z,2019-06-28T14:31:28Z
UgwxgYQvCfsN831J1NB4AaABAg,,False,@achilles3055,What a bad day to have to go to college,0,2019-06-28T14:24:02Z,2019-06-28T14:24:02Z
UgxTlW8DkdQcd8cfWUR4AaABAg,,False,@neozone9228,How beautiful,0,2019-06-28T13:46:33Z,2019-06-28T13:46:33Z
Ugw2YcTsTXTS0VvMxFN4AaABAg,,False,@nickidallens1879,😭💚💚🤧🤧💚💚,0,2019-06-28T13:39:49Z,2019-06-28T13:39:49Z
UgwWCLWm9eaF1AlmOY54AaABAg,,False,@me_hanics,WHY DID I NOT KNOW ABOUT THIS,0,2019-06-28T13:26:14Z,2019-06-28T13:26:14Z
UgztWtZk_WrRbHwbvEJ4AaABAg,,False,@ramonaguilar940,i love you come yo puerto madryn in Argentina please,0,2019-06-28T12:46:00Z,2019-06-28T12:46:00Z
UgyHFJwaCo55QYNzLQt4AaABAg,,False,@Mengtuason,Still waiting for NEO CITY in MANILA...,0,2019-06-28T12:35:10Z,2019-06-28T12:35:10Z
UgyAewpiObWP-DynaNB4AaABAg,,False,@jeaninebeatrice464,"Just drop by and I want to say:



What a tumbnail!!!",1,2019-06-28T12:28:35Z,2019-06-28T12:28:35Z
UgyH7KMIer7viGpMhk54AaABAg,,False,@RN-wb4ee,They really included that haechanxtaeil moment 💚💚💚💚,0,2019-06-28T12:23:10Z,2019-06-28T12:23:10Z
UgzwVs-W43XfWI9RoHJ4AaABAg,,False,@mirellabitas4424,Yo Taeyong looks so good 💕,0,2019-06-28T12:23:06Z,2019-06-28T12:23:06Z
UgyYnaWVldoHp4FE8k94AaABAg,,False,@nurulfitra4511,YUTA😭😭😭,0,2019-06-28T12:21:26Z,2019-06-28T12:21:26Z
Ugx2jTZlpI7oyapY4BN4AaABAg,,False,@wwnjmljn,0:29 HSIKJDKSJKJKSJSKSK TAEHYUCK,0,2019-06-28T12:04:10Z,2019-06-28T12:04:10Z
Ugzy5A0wxoTQYBGN6zt4AaABAg,,False,@auliakhoury,I'm speechless,0,2019-06-28T11:56:04Z,2019-06-28T11:56:04Z
