comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyHSosx3WLb9KVe4LN4AaABAg,,False,@아이브-다이브,귀엽다❤,0,2025-04-08T12:28:38Z,2025-04-08T12:28:38Z
UgzReq0WlfZoqNsU4JR4AaABAg,,False,@えいせい-c6h,いつも何か食べてるのに痩せてる。体質かな。,0,2025-04-07T10:25:17Z,2025-04-07T10:25:17Z
UgzeH-G1CGL_DyfL8eB4AaABAg,,False,@so_zip_ing,두린아 또 놀러와줘❤,0,2025-04-06T07:29:36Z,2025-04-06T07:29:36Z
Ugws7lShgQJGJjLmvx94AaABAg,,False,@냥냥조아,가르치는 사람 몹시 설렜겠네 ㅋㅋ,0,2025-04-05T13:30:03Z,2025-04-05T13:30:03Z
UgwlG-J_c5EEK7QEnvx4AaABAg,,False,@mcstojandemirovic705,EUNCHAE LETSSS GOOO ❤,0,2025-04-05T08:56:29Z,2025-04-05T08:56:29Z
Ugz2CYA7uwcStnviha14AaABAg,,False,@LeeseoiveLittleGirl,I'm boy Eunchae My Girlfriend❤❤❤,0,2025-04-01T11:16:27Z,2025-04-01T11:16:27Z
UgxfKr298-bAnX8xv_54AaABAg,,False,@jackieffan,Eunchae so pretty and cute <3,1,2025-04-01T02:55:49Z,2025-04-01T02:55:49Z
UgzkRR1wkPrCcvedfDd4AaABAg,,False,@fearnotnextdoor,"“Who’s your favorite baseball player?”
“Eunchae”
“Huh-“
“EUNCHAE👹”",0,2025-04-01T01:46:36Z,2025-04-01T01:46:36Z
UgwmpPeChYV90vNFZbh4AaABAg,,False,@тьюрекс_яж1д,Copy BabyMonster….,0,2025-03-31T16:40:50Z,2025-03-31T16:40:50Z
UgzKzyBEqTZl5uv6mXV4AaABAg,,False,@toycitykpop,Waaa,0,2025-03-31T15:32:18Z,2025-03-31T15:32:18Z
UgxpsaBJYxfUqqXdcop4AaABAg,,False,@wqwqtarfahwqwq4,🎉❤🎉❤,2,2025-03-31T06:29:28Z,2025-03-31T06:29:28Z
UgzsT7OexGS3SvlFAHN4AaABAg,,False,@오혜선-h8m,은채 폼 미쳤당🫶,2,2025-03-30T23:12:19Z,2025-03-30T23:12:19Z
Ugy86YSLm7FN2gVaQeF4AaABAg,,False,@johnstorti1594,❤,1,2025-03-30T21:19:31Z,2025-03-30T21:19:31Z
Ugx8_tltl0iqUBqtd1l4AaABAg,,False,@imtiredthankyouandryu,She’s so cute 🥰,1,2025-03-30T17:51:14Z,2025-03-30T17:51:14Z
