comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyxTpsrOG2Q3y-mWB54AaABAg,,False,@오채율,"넘 예뻐~
말모❤",0,2025-05-12T11:42:04Z,2025-05-12T11:42:04Z
UgxaYA-qe5k8du3pd954AaABAg,,False,@달빛2-i3d,예쁘,0,2025-04-12T08:15:07Z,2025-04-12T08:15:07Z
Ugyk1VaBwBeOTaIi1Jx4AaABAg,,False,@moots_da_Haerin3,Cute hair!,0,2025-02-05T22:28:16Z,2025-02-05T22:28:16Z
UgyjpMcMc021JNB9XHF4AaABAg,,False,@박정민-c7u5f,진짜 이거보고 ai줄❤,0,2025-01-28T08:40:26Z,2025-01-28T08:40:26Z
UgwmA-34x131GMfic0l4AaABAg,,False,@workaholic.9635,032?,0,2025-01-17T14:12:34Z,2025-01-17T14:12:34Z
UgwoGsUK2Tb6OvonX4d4AaABAg,,False,@jennierubyjaneblnk3728,that long torso & neck,0,2025-01-01T20:30:12Z,2025-01-01T20:30:12Z
Ugypqq400VQh6scHd1V4AaABAg,,False,@meh9677,I love the hairstyle,0,2024-11-26T19:53:26Z,2024-11-26T19:53:26Z
Ugw1O-mwrds7XqJmLct4AaABAg,,False,@Fiery_Miya,"""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""Whip-Whip-Lash""

""One Look Give Em' Whiplash""",0,2024-11-20T07:51:34Z,2024-11-20T07:51:34Z
UgyGrFTKeb4qyY0R2VZ4AaABAg,,False,@TheHighLevel.,A beautiful Korean girl 😍 🤩 🇰🇷 💯,1,2024-11-01T15:12:37Z,2024-11-01T15:12:37Z
UgybI_eMxIgUH33t1uV4AaABAg,,False,@1lovaespa,"Karina, you’re amazing, like this comeback!!!🤩",1,2024-10-29T17:17:16Z,2024-10-29T17:17:16Z
Ugz6hRQ-7MKjhSpid914AaABAg,,False,@hanissanuar,"Is she an Angel + Goddess? 
Face Economy 💯",0,2024-10-27T23:58:38Z,2024-10-27T23:58:49Z
UgzOyfO-fejdCThawj94AaABAg,,False,@바다나라-v1r,너무너무 이뻐서 미쳐❤,1,2024-10-27T15:35:05Z,2024-10-27T15:35:05Z
UgweHyLynNU_3MCoYcR4AaABAg,,False,@규니이,👍,0,2024-10-26T16:06:43Z,2024-10-26T16:06:43Z
UgzoTimw0nEzhM4c-IF4AaABAg,,False,@HWANGentertainment,Omgg berlinnnnnn,1,2024-10-26T08:47:28Z,2024-10-26T08:47:28Z
Ugy2-IvyLw3EqEyRv3x4AaABAg,,False,@단츄랑_결혼한_셔츠,귀요미! 여기서 핫걸🔥이 됐잖아! 어떻게 책임질꺼야!!😢❤,2,2024-10-25T18:08:19Z,2024-10-25T18:08:19Z
UgwQ3D1S6QsZHBuY7p54AaABAg,,False,@ssuny.m,와..,0,2024-10-25T11:50:39Z,2024-10-25T11:50:39Z
UgwBXKHfdB-TROj864d4AaABAg,,False,@nayjune6735,❤❤🎉,0,2024-10-24T10:33:13Z,2024-10-24T10:33:13Z
UgyjHXu2GFa79FyZjet4AaABAg,,False,@송사머사머,섹시하다 복근없이 부드러워보이는 저 배랑 흰 피부 너무 여성스러움,0,2024-10-23T23:49:17Z,2024-10-23T23:49:17Z
UgyNRHkW7xPucYyQr8V4AaABAg,,False,@jesussantoyogarcia,"How pretty Karina, you are an angel🎉",1,2024-10-23T20:32:54Z,2024-10-23T20:32:54Z
UgxfXjoB1ebELIoCk154AaABAg,,False,@bouraouiseghaier730,Omg Karina is a baby film adorable and pretty,0,2024-10-23T19:40:14Z,2024-10-23T19:40:14Z
UgxYZTN3l2XOXUn8Ucx4AaABAg,,False,@r0sepetalss,i love yu,0,2024-10-23T06:32:40Z,2024-10-23T06:32:40Z
Ugwn5ySMh_bJ1ZJ4SAx4AaABAg,,False,@zloufiae,KARINA WHIPLASH😍💅🏻,0,2024-10-22T09:20:57Z,2024-10-22T09:20:57Z
UgwTan2HZetSBse_NqR4AaABAg,,False,@깜찍한설렝,이제는 아예 장적하고 꼬셔버리네..😮❤❤️‍🔥🫣😳,8,2024-10-22T06:46:42Z,2024-10-22T06:46:42Z
UgwlQclwPGyrJM2Fg-F4AaABAg,,False,@kingwowowowowo,존예인데 성격까지 좋을꺼같아서 쫌 킹받음,0,2024-10-22T06:16:41Z,2024-10-22T06:16:41Z
UgxtJBwmehNF8QDCmah4AaABAg,,False,@meducduyvaqanh,Will you marry me?,1,2024-10-22T03:53:03Z,2024-10-22T03:53:03Z
UgzCM3YFFurxEZUHVA14AaABAg,,False,@주은-u3r1q,예수님을 믿고 구원받으세요,0,2024-10-21T22:27:28Z,2024-10-21T22:27:28Z
Ugy44caYkbQVHRDmw8p4AaABAg,,False,@quo5695,髪型優勝すぎんだろ,0,2024-10-21T14:36:48Z,2024-10-21T14:36:48Z
