comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwqXWStETghRKHiOSB4AaABAg,,False,@w.s008,8:30,0,2025-05-07T04:07:44Z,2025-05-07T04:08:20Z
UgxZezfwMCSnL68kPZF4AaABAg,,False,@toki7382,I love you Xiao Dejun and Nakamoto Yuta💚💚,0,2025-05-01T08:38:51Z,2025-05-01T08:40:05Z
Ugw-loYgsL-gf2eYJZ94AaABAg,,False,@Mitsukikyota147,Xiaojun so cute(l am melting),0,2025-04-30T22:00:32Z,2025-04-30T22:00:32Z
UgyT3PruBhnMFCorxZh4AaABAg,,False,@Nakamotooo6,"Req jisung samaaa Jonny, udh subscribe❤❤❤",1,2025-03-12T12:19:47Z,2025-03-12T12:19:47Z
UgyEKfhXZpOffL-sdbh4AaABAg,,False,@tdyjh,와 5분 봤는데 20분 본 줄.. 진짜 역대급 어사즈다ㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠ,1,2025-03-01T09:09:17Z,2025-03-01T09:09:17Z
Ugyun1iCegCeMnB9A9l4AaABAg,,False,@LotsOfLove4Music,"1:11---

4:06

8:28

10:13",1,2025-02-06T01:08:51Z,2025-02-06T01:20:27Z
UgzJ6IE_y4GQ4EmZQh94AaABAg,,False,@jameso4053,유타 진짜 성숙하다... 느낌 자체가 어른스러운데 생각하는 것도 성숙해. 인간적으로 멋있다.,2,2025-01-31T14:31:00Z,2025-01-31T14:31:00Z
UgzknzD10gRaM0xdpgx4AaABAg,,False,@Lisa-fk2mb,ㅠㅠ 너무 소중한 컨텐츠다 ..,2,2025-01-24T05:57:22Z,2025-01-24T05:57:22Z
UgxKshRsd2LKd0hrqAh4AaABAg,,False,@keowoq-39201,아니 이거 은근 너무웃기넼ㅋㅋㅋㅋ 한국인멤 둘이 한것보다 더 네오하고 웃겨,1,2025-01-22T16:16:39Z,2025-01-22T16:16:39Z
UgxoIkxyn8uhIlp1db14AaABAg,,False,@taker3735,Mis preciosos 😭,1,2025-01-16T18:05:23Z,2025-01-16T18:05:23Z
UgzEhHlvOS2cC5bq6Ml4AaABAg,,False,@user-vp3md1sh1h,泣きそうになってしまった,2,2025-01-07T14:04:22Z,2025-01-07T14:04:22Z
UgwHMcFSga9AZr-DfDF4AaABAg,,False,@yuyanchen-h7e,我笑死了,0,2024-12-04T04:42:29Z,2024-12-04T04:42:29Z
UgzQ0v9xUDIQWTZupst4AaABAg,,False,@50t.n,13:23 كاني اتابع كيدراما 😭😭😭,1,2024-08-22T14:22:04Z,2024-08-22T14:22:04Z
UgxiATqxFwCQVI-wUpV4AaABAg,,False,@WayZ67818,샤오쥔 왤게 얘뻐!?? 어떡해~~🥹🥹💗💗,1,2024-07-29T18:46:58Z,2024-07-29T18:46:58Z
UgyLkOhDMnxUYlYosM14AaABAg,,False,@pointseventhree,"3:10 ""didn't Xiaojun lose?"" they'd both already blinked about 10 times by that point lmaoo 😭",4,2024-07-13T22:13:30Z,2024-07-13T22:13:30Z
UgxAibJyj48kgM3WcI94AaABAg,,False,@tew_ju,눈이 너무 행복하다,0,2024-06-11T17:23:44Z,2024-06-11T17:23:44Z
Ugzeb8iT8oWeS5PuL3N4AaABAg,,False,@raraami-b6m,유타 왜케 잘생겼고 뻘하게 웃기지 미치겠네,10,2024-03-19T14:02:38Z,2024-03-19T14:02:38Z
Ugz29fQdFoV7lzn9EFt4AaABAg,,False,@햄복-n6v,0:28 울겠다 울겠어ㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠씨 오고 둘다 얼굴 핀 거 봐ㅠ,0,2024-01-20T15:28:07Z,2024-01-20T15:28:07Z
UgxkxWvOP0w9liDU7WB4AaABAg,,False,@pharacallemien1414,I cried at the compliments I don’t know why,3,2024-01-18T11:06:38Z,2024-01-18T11:06:38Z
UgzFtgqw95ewtUol9bV4AaABAg,,False,@nda_jayemin,"I love xiaojun's gaze to everyone, looks very sincere 😊",1,2023-11-17T18:48:06Z,2023-11-17T18:48:06Z
UgwwVqcQFSwQKfl-6u54AaABAg,,False,@스윗드림-m7w,유타 넘 매력있다 ~~  샤오즨은  너무 선해보이고  잘생김  둘이친해지길바래~,4,2023-11-01T07:13:12Z,2023-11-01T07:13:12Z
UgywacTEy0DcFjRpgFF4AaABAg,,False,@youjin2306,나 왜 라스타트로 시작해서 엔씨티 입덕했냐 지금 어사즈 정주행중이라는 ~~~,1,2023-09-25T09:16:05Z,2023-09-25T09:16:05Z
Ugw0dWfNOv9WsfGhbN54AaABAg,,False,@_-.0_0.-_,8:29,1,2023-09-17T17:00:46Z,2023-09-17T17:00:45Z
UgyZg_j1isfPpDZtT014AaABAg,,False,@haechanhaebaragi,"I HONESTLY WANT TO BE FRIENDS WITH XIAOJUN. HE HAS A LOT IN COMMON WITH ME AND HE'S HONESTLY SUCH A NICE AND WARM-HEARTED PERSON. SEEING HIM SO SHY AND NERVOUS WAS SO CUTE. HE DID SO GOOD, DESPITE HAVING TO SPEAK KOREAN THE WHOLE TIME, WHICH MOST LIKELY ADDED TO THE AWKWARDNESS SINCE IT'S NOT A LANGUAGE HE'S COMFORTABLE IN AND LIMITS HIS EXPRESSION. THE WAY HE THANKED JOHNNY AND JAEMIN AT THE END TOO SERIOUSLY SO RESPECTFUL AND SWEET.",3,2023-09-02T00:24:29Z,2023-09-02T00:36:39Z
UgwkUMRXmxiNbdr2OJF4AaABAg,,False,@그린티-w5b,10:06 샤오줜은 거의 유프 아닌가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시키지도 않은 손에 뽀뽀를ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2023-08-16T16:32:35Z,2023-08-16T16:32:35Z
UgwHv4GqCXTc2ggXSJ94AaABAg,,False,@그린티-w5b,12:05 왜 올라가서 하는거임?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한번 업히고 싶었나ㅋㅋㅋㅋㅋㅋㅋㅋ 엉뚱해ㅋㅋㅋㅋㅋㅋ약간 짜증났대ㅋㅋㅋㅋㅋ,2,2023-08-16T16:23:44Z,2023-08-16T16:23:44Z
UgzbeUiXuFuC6t-Xax54AaABAg,,False,@그린티-w5b,3:57 적성 그자체래ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 자막팀 너무 웃겨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 적성같아보이김 함ㅋㅋㅋㅋㅋㅋㅋ개웃겨쟈니,3,2023-08-16T15:57:29Z,2023-08-16T15:57:29Z
Ugxbd4xhZX7oo2ZJpAV4AaABAg,,False,@wevsh1651,1:10 응하하ㅏ하하핳,0,2023-08-01T03:45:41Z,2023-08-01T03:45:41Z
Ugx5xlyKSkoOSopRUwN4AaABAg,,False,@leejungri,The best awsaz episode! And why Johnny more excited being Yuta 😂,6,2023-07-09T10:12:39Z,2023-07-09T10:12:39Z
UgzcgezrB7A_yHcgHhZ4AaABAg,,False,@8B1026,"7:34 이거 유타 습관인데,,, 백허그든 머든 안아주면 토닥토닥 잘해주는거... 여기에서도 토닥토닥 해주네여 ,, 찐으로 따스함이 느껴져,, 햇살이야 나유타",28,2023-06-13T10:33:25Z,2023-06-13T10:33:25Z
UgybcCa9v0YRxd_QmvZ4AaABAg,,False,@여름-u9n,"when Yuta says ""You had a hard day today, didn't you, Xiaojun?"" while patting his back i legit started crying. what a loving person Yuta is.",5,2023-06-07T14:16:44Z,2023-06-07T14:16:44Z
UgxdwVTwFrvwOviVV8x4AaABAg,,False,@여름-u9n,Xiaojun has fully embraced his beagle existence. Just casually climbing onto Yuta's back like that. He probably does that a lot to WayV members😂,5,2023-06-07T14:16:37Z,2023-06-07T14:16:37Z
Ugz3MphrpbgeF0Q3TFV4AaABAg,,False,@fernandamonbebe7554,Pero que tiernos se ven Yuta y Xiaojun,2,2023-06-05T21:36:21Z,2023-06-05T21:36:21Z
UgxhLLsv65QCynbBhKR4AaABAg,,False,@_xpxms,샤오쥔…부럽따….글고 둘 다 너무 잘생긴거 아니냐고….ㅠㅠㅠ💚💚,1,2023-04-29T13:37:09Z,2023-04-29T13:37:09Z
Ugwp9Uw976RUULdU46Z4AaABAg,,False,@Zeni_L,"아 유타랑 더쥔이 너무 귀엽다,,,,,,,,",1,2023-04-09T16:25:00Z,2023-04-09T16:25:00Z
UgyIFm7krOVdVL5qDLp4AaABAg,,False,@okokxiaobella,Yuta is so sincereeeee 🥺,3,2023-04-09T07:11:30Z,2023-04-09T07:11:30Z
UgxJeNxJBTRODk2qxdN4AaABAg,,False,@arabmultifandom6179,"13:38 Yuta is so cute 
I absolutely love these 4 together",5,2023-03-28T20:26:39Z,2023-03-28T20:26:39Z
UgzYkOxU3n7G_xCkZ5B4AaABAg,,False,@arabmultifandom6179,10:14 Did Xiaojin kiss his own hand this is funny,1,2023-03-28T20:20:30Z,2023-03-28T20:20:47Z
UgzOdm7OmZQ_l6xq_9R4AaABAg,,False,@munjuice._.,새삼 너무 잘생겼다 얘드라...,0,2023-03-26T07:00:00Z,2023-03-26T07:00:00Z
UgyeVtU7wRRkiFUnxFp4AaABAg,,False,@ninij.i.s.b5114,"My two bias wreckers,they so lovely together😭💘",0,2023-03-22T11:35:30Z,2023-03-22T11:35:30Z
Ugy0Ckl7mBUZBOwVqot4AaABAg,,False,@muhammadrayyan682,so no one is gonna talk about how xiaojun kissed yuta hand,2,2023-03-20T17:56:16Z,2023-03-20T17:56:31Z
UgwLgzjTHWMbOEdL8bR4AaABAg,,False,@뢀롸-t2g,샤오쥔 결혼하자,3,2023-03-12T08:39:48Z,2023-03-12T08:39:48Z
UgxeQUYSijPArvsVF8h4AaABAg,,False,@yeahminyongang2830,"유타 진짜 너무 귀여운거 아니냐
4:47🥹🥹🥹",2,2023-03-09T18:21:43Z,2023-03-09T18:30:20Z
UgyqpRukJ-ySytFt0hZ4AaABAg,,False,@xydexonn_im6953,I keep coming back here...,4,2023-03-09T01:56:59Z,2023-03-09T01:56:59Z
Ugz6Cgb6ueglx7S0fMl4AaABAg,,False,@catalinaardilesvega231,"lejos, mi pareja favorita <3",0,2023-03-05T03:30:18Z,2023-03-05T03:30:18Z
