comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugw2EUP7Es_Cx1Gz0qF4AaABAg,,False,@Rmroom_45,"هيرينييي
بلغره تجنننننننن",1,2025-05-05T21:12:47Z,2025-05-05T21:12:47Z
Ugwt8BTCYXLcenAmY2h4AaABAg,,False,@김태국-y4y,해린아 날 가져줘,2,2025-02-25T05:52:54Z,2025-02-25T05:52:54Z
UgzjreSnSBq8bLxT-xR4AaABAg,,False,@yu-2k-m9u,so beautiful,2,2025-02-12T05:20:09Z,2025-02-12T05:20:09Z
Ugw1MLSWrDLnyAO6UI54AaABAg,,False,@nannonaha8393,💙🩷💛💚💜,2,2025-01-25T22:41:27Z,2025-01-25T22:41:27Z
UgziEjWuVS_vabE5rTt4AaABAg,,False,@응그라-k7b,진짜 예쁘다.. 턱선 봐 ㅠㅠㅠ 눈도 어케 저리 크냐 ㅠ,2,2025-01-25T14:29:46Z,2025-01-25T14:29:46Z
UgxkGjdJEc0oOfsjUY54AaABAg,,False,@MS_J-sq7od,장미소녀가따용예쁘용❤❤❤❤❤❤❤❤❤멋져용귀여용,4,2024-12-26T07:40:32Z,2024-12-26T07:40:32Z
Ugx6vswG1lyLv7C0ymF4AaABAg,,False,@HHH-c8m,사랑해린,2,2024-12-20T10:55:22Z,2024-12-20T10:55:22Z
Ugy7Hg3PTPfy5pf0hCl4AaABAg,,False,@crown_resident,"Yes, I disliked it, GO EAGLES!!! 💪🏽",1,2024-12-16T08:37:00Z,2024-12-16T08:37:00Z
UgxvMcTwK_5v_eIui1h4AaABAg,,False,@Koushiryoku,Imagine having a baby-making session with her.,2,2024-12-01T16:58:36Z,2024-12-01T16:58:36Z
Ugy3TU_43drTwf6ZJpB4AaABAg,,False,@linouuvita,Yo la amoooo,1,2024-11-23T19:50:57Z,2024-11-23T19:50:57Z
UgyOh9uUL9Ri4M08JFB4AaABAg,,False,@iisiddoraabp.2020,🐱🤍,1,2024-11-20T22:39:38Z,2024-11-20T22:39:38Z
Ugyp83DaVkwtgHmV9Q54AaABAg,,False,@oca9036,really like sawako kimi ni todoke😳,4,2024-11-19T19:25:02Z,2024-11-19T19:25:02Z
UgyeMGMgRranaClGMu14AaABAg,,False,@DrawingsOfNamine,"Her eyes are absolutely beautiful. She seriously has a ""stoic"" beauty look.",14,2024-11-18T13:38:26Z,2024-11-18T13:38:26Z
UgxVN_yoS9AGIf9TXgJ4AaABAg,,False,@mujerconpantalonas,Cuando veo a Haerin siento que veo la perfección en persona <3,2,2024-11-14T08:43:52Z,2024-11-14T08:43:52Z
UgxxYB_saRFUBk4HDoF4AaABAg,,False,@ericpatwright,Lab you,1,2024-11-14T00:53:57Z,2024-11-14T00:53:57Z
Ugw98t_-_7tGvPCF1fJ4AaABAg,,False,@hamagum,진짜 ㄹㅇ 존예,2,2024-11-13T17:11:53Z,2024-11-13T17:11:53Z
UgwePPPqXgyTSzAEtPZ4AaABAg,,False,@ssimssi,너무 예쁘고 귀엽다 하하,2,2024-11-13T07:27:43Z,2024-11-13T07:27:43Z
UgxMPJnSPWTgCVbyEIx4AaABAg,,False,@sammiloveKang520,Haerin 👏💚🔥😺,5,2024-11-13T02:44:14Z,2024-11-13T02:44:14Z
UgyC4HlhoLXlsEA_RJJ4AaABAg,,False,@튀기미,해린이 너무 예뻐,5,2024-11-12T15:17:05Z,2024-11-12T15:17:05Z
UgwTM0_bdzBqOnzJsbN4AaABAg,,False,@lll_Puremind_lll,아.. 왜 “슈퍼 마리오” 가 떠오르는거지..;,2,2024-11-11T15:49:12Z,2024-11-11T15:49:12Z
UgwcoX_htCFS4SLmKeJ4AaABAg,,False,@starrrr123,🥰,1,2024-11-11T11:55:54Z,2024-11-11T11:55:54Z
UgydkoYe69qtnEgM3YV4AaABAg,,False,@starrrr123,😆😆,1,2024-11-11T11:55:39Z,2024-11-11T11:55:39Z
UgwUzlcuguggPbqVFp14AaABAg,,False,@starrrr123,사랑해,1,2024-11-11T11:54:47Z,2024-11-11T11:54:47Z
Ugymo7wDD-qnkHq8IwR4AaABAg,,False,@v.mmmmx97,HAERIN MARRY ME PLZ ,1,2024-11-08T17:57:45Z,2024-11-08T17:57:45Z
UgwQbMV1_CFSexG0Zqh4AaABAg,,False,@SoulsxArt,I can look at her all day.,1,2024-11-08T17:19:12Z,2024-11-08T17:19:12Z
Ugy_0rV0o6CEiDDY7G14AaABAg,,False,@aMiShA-p4w,She's so pretty 🤩🤯,3,2024-11-08T14:24:55Z,2024-11-08T14:24:55Z
Ugw7yIvoGf9R1IDgt8V4AaABAg,,False,@마지막팬,만족 만족 너무 아름답다 😊,3,2024-11-08T12:04:52Z,2024-11-08T12:04:52Z
UgyMd_061gD14jzVLPJ4AaABAg,,False,@SkyRocketRoofingAI,HAERIN HAS THE PRETTIEST FACE ALL TIME 😍❤,2,2024-11-08T03:30:46Z,2024-11-08T03:30:46Z
UgzloPKcEUr-yYRb2BV4AaABAg,,False,@daniigzz,Haerin! ❤,2,2024-11-07T16:18:09Z,2024-11-07T16:18:09Z
UgwPAXF7oQOboZdvVFd4AaABAg,,False,@daniigzz,Shes so pretty ❤,3,2024-11-07T16:17:54Z,2024-11-07T16:17:54Z
UgwbZ4jOVhanoy6IoGl4AaABAg,,False,@gw-gz1ud,My bias,1,2024-11-07T15:06:53Z,2024-11-07T15:06:53Z
