comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxNGNw9XseCnFyJhxB4AaABAg,,False,@MiShellyEllie,SO JUNGHWAN hits different,0,2025-05-12T00:28:37Z,2025-05-12T00:28:37Z
UgyJCmwnNDpTL34TEwx4AaABAg,,False,@arushi.plays12,I can sense the ✨swag✨ and ✨sass✨ from their dance ❤,2,2025-05-03T16:06:42Z,2025-05-03T16:06:42Z
Ugxdi0trLkaGkc-MWyZ4AaABAg,,False,@orenjimom7593,Haruto's detail ❤,5,2025-04-24T07:51:10Z,2025-04-24T07:51:10Z
Ugzn8C2IZnsbNpNG4KF4AaABAg,,False,@hwanieee-j2h,정환아 진짜 너무 멋있어! 춤이 잘 어울려!,0,2025-04-20T15:58:59Z,2025-04-20T15:58:59Z
Ugxo_SZxmoAIRLG7z5R4AaABAg,,False,@befrr5,Haruto is the only one who did the Bonnie and Clyde it step perfectly,1,2025-04-15T18:59:30Z,2025-04-15T18:59:30Z
UgzMpYAORdCvNCzqQCR4AaABAg,,False,@ainy12army15,Treasure 😍😍,0,2025-04-12T03:51:10Z,2025-04-12T03:51:10Z
UgwDsCBrqqmNk0nxiMB4AaABAg,,False,@kingdaniel5604,❤,0,2025-04-09T15:02:21Z,2025-04-09T15:02:21Z
UgzhBIXA8xNpo_z2WTB4AaABAg,,False,@Alicia-gt1zn,Harutu❤❤,0,2025-04-08T19:52:30Z,2025-04-08T19:52:30Z
Ugx6uzGI_Ydqn0XMtI54AaABAg,,False,@Almahyrawoods-dn5oc,my swaggy boys,0,2025-04-08T00:07:18Z,2025-04-08T00:07:18Z
UgyGItv_BSARAAJXrlp4AaABAg,,False,@Songlyrc,Rutoooyaaaa slay bgttt lu anjirrr❤❤❤,1,2025-04-07T03:22:15Z,2025-04-07T03:22:15Z
Ugw3x4qJAchYdYHMTUh4AaABAg,,False,@saskianaqsay4785,❤❤❤,0,2025-04-06T06:20:36Z,2025-04-06T06:20:36Z
UgwJit7OLZfhMpjZ7TR4AaABAg,,False,@sashatriman6409,Japanese Line & Maknae Line ❤,0,2025-04-05T10:40:41Z,2025-04-05T10:40:41Z
