comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugxa3s63gXkPc7_N7nN4AaABAg,,False,@ONCE-k6l,この時今と比べて痩せてる,0,2025-02-19T12:13:16Z,2025-02-19T12:13:16Z
Ugw5XpcGqHeqIKCIeNx4AaABAg,,False,@hako-y5d,5歳の時から同じ曲をずっときいていました,0,2024-07-14T02:35:41Z,2024-07-14T02:35:41Z
UgwKTE-Rw2D57E6BWWp4AaABAg,,False,@suneethasd8458,Mina <3,0,2024-04-19T05:25:12Z,2024-04-19T05:25:12Z
UgwVzH5zj-xUlkthFKt4AaABAg,,False,@YsabellaGrace-u5n,my birthday is june 5 my i'm fans when i'm five,0,2024-04-12T08:56:01Z,2024-04-12T08:56:01Z
UgwjZz5bzs8DEbazYyB4AaABAg,,False,@math_pill_TRT,Cameraman hpybday,0,2024-03-30T12:01:01Z,2024-03-30T12:01:01Z
UgzN4Q5o2lyE76ryvaV4AaABAg,,False,@Lobo-s4g,Besoso❤❤❤,0,2024-03-24T23:56:59Z,2024-03-24T23:56:59Z
Ugw5NGP1Oq9U3hVcy814AaABAg,,False,@monserrataguilera9042,Happy birthday!🎉,0,2024-03-24T01:35:24Z,2024-03-24T01:35:24Z
Ugw3bUEamAEkkNtc-IJ4AaABAg,,False,@enfaluciaandrade8969,❤❤❤❤❤❤❤❤❤,0,2024-03-23T13:57:05Z,2024-03-23T13:57:05Z
Ugw4UXiQTz-BgMPEA-F4AaABAg,,False,@ratax5544,一番後ろの真ん中の子が可愛い,0,2024-03-18T15:52:00Z,2024-03-18T15:52:00Z
UgwkOWZ6juumSu7QM494AaABAg,,False,@ronnykutzner6782,I Love Twice 💝💖💓💗👑👑👑👑👑✨✨,0,2024-03-16T08:12:19Z,2024-03-16T08:12:19Z
UgwQbk6AXz8KG89xgI54AaABAg,,False,@ronnykutzner6782,MoMo ist The Best 🤗😇🤩😍✨,0,2024-03-16T08:11:06Z,2024-03-16T08:11:06Z
UgxXe0Ohn67fFu9wFGZ4AaABAg,,False,@GustavoTorres-yy5cc,Feliz aniversario oncee❤🎉,0,2024-03-15T19:39:19Z,2024-03-15T19:39:19Z
UgwENahbw4SP1CEgQLd4AaABAg,,False,@RodrigoSantos-yz7ek,Omgggg i love you so much 💕𝐓𝐖𝐈𝐂𝐄🍭,0,2024-03-13T14:40:26Z,2024-03-13T14:41:20Z
Ugylp74ffMz_OFSrZQl4AaABAg,,False,@АлинкаД,❤Twice in my heart forever ♾💗💗💗💗💗💗💗💗💗💗💗♾,1,2024-03-03T13:18:00Z,2024-03-03T13:18:00Z
Ugyb9C2q45KgO5z24_N4AaABAg,,False,@ht4627,"サナケーキ隠すの上手！笑
てか美味しそうすぎる😂",0,2024-03-03T06:22:53Z,2024-03-03T06:22:53Z
UgwJSm8GRd2xafPIls94AaABAg,,False,@dragandragan5103,🍏  SANA   🍏,0,2024-03-01T21:11:16Z,2024-03-01T21:11:16Z
UgzycFkobQTxTmeSvSV4AaABAg,,False,@AngelReal-hi4rj,"eeeeeeeeeeeeeeeeeeeeeeeeeeeeee
🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",0,2024-02-26T14:32:03Z,2024-02-26T14:32:03Z
Ugwp_Iv6fbSo8P60syx4AaABAg,,False,@isidoradelacerda5531,SANA MY BIAS,1,2024-02-26T02:23:45Z,2024-02-26T02:23:45Z
UgxWdf2Kp3y9AxFPMAd4AaABAg,,False,@pampimahato115,"HAPPY ONCE 💛🔂 DAY
Proud to be a blink and once",0,2024-02-25T10:05:59Z,2024-02-25T10:05:59Z
UgyR9Jh86ixA_BO25H54AaABAg,,False,@22陳葶維,"我看好多遍！太可愛了 
我的志效！❤❤❤",0,2024-02-25T09:23:50Z,2024-02-25T09:23:50Z
UgxKhwriNa0H2pZqunV4AaABAg,,False,@CurryOmega,philippine once are always support you,0,2024-02-21T18:06:57Z,2024-02-21T18:06:57Z
Ugzh-pQOhIfDv0bphQd4AaABAg,,False,@CurryOmega,twice forever,0,2024-02-21T18:06:24Z,2024-02-21T18:06:24Z
Ugz6lL2gL-l6xasuoYx4AaABAg,,False,@CurryOmega,filo once are always loyal,0,2024-02-21T18:05:59Z,2024-02-21T18:05:59Z
UgzMs_GCNfnX0udw_Gx4AaABAg,,False,@Kalyso,"Best girl group ever, love u all ❤",0,2024-02-20T01:07:20Z,2024-02-20T01:07:20Z
UgxAsflxxNLwVnR-1ql4AaABAg,,False,@Mansyahila,Halo juga pada kalian semua yg cantik cantik ber bahagia lah selalu .,0,2024-02-19T09:17:39Z,2024-02-19T09:17:39Z
UgzgB06c7DC5QOiFnVB4AaABAg,,False,@Mansyahila,Hai pada  diantara kalian yg ulang tahun aku doa kan semoga panjang umur dan apa yg kamu cita cita dapat tercapai .,0,2024-02-19T09:13:11Z,2024-02-19T09:13:11Z
Ugz06KGDWREgSxmMWvJ4AaABAg,,False,@미루나무버드나무,미나미나,0,2024-02-18T09:07:55Z,2024-02-18T09:07:55Z
UgyiMpA9d3WCbVG_-oV4AaABAg,,False,@tsedick3047,🎉😊𣎴錯不錯！全部我都要！,0,2024-02-17T08:48:33Z,2024-02-17T08:48:33Z
Ugz7WPyeGLKkbWdlp4t4AaABAg,,False,@mauriciopereirabitencourt1534,TOUCHDOWN ⭐️👊🏻🏈,0,2024-02-14T10:15:43Z,2024-02-14T10:15:43Z
UgyjRAVwzh0Q51XlpXd4AaABAg,,False,@mauriciopereirabitencourt1534,Proud to be one of that pretty fandom. We love you TWICE 🍭💕🤗,0,2024-02-14T10:15:14Z,2024-02-14T10:15:14Z
Ugx6hZP3CRzzFPZSV1R4AaABAg,,False,@Eliassan_19,생일 축하해 원스❤❤,0,2024-02-14T02:51:44Z,2024-02-14T02:51:44Z
UgzIghxFXkVp68UluxR4AaABAg,,False,@فؤادسلمان-ه2خ,❤❤❤❤❤,0,2024-02-13T09:38:17Z,2024-02-13T09:38:17Z
UgyBERpaHUSZrdX95n94AaABAg,,False,@Tzy12-367,Twice i once u ❤❤❤❤❤,0,2024-02-09T14:50:42Z,2024-02-09T14:50:42Z
UgyLemz8PbZmwxMiwq54AaABAg,,False,@Tzy12-367,Jihyo i oove u,0,2024-02-09T14:50:22Z,2024-02-09T14:50:22Z
UgxALVfVzcllSb2SnN14AaABAg,,False,@nawwk79,Sana looks different,0,2024-02-09T02:51:17Z,2024-02-09T02:51:17Z
UgxajXhUe_SXXhxtg0h4AaABAg,,False,@ImNayNay_BlossomentLvssMomo,Well umm….. HAPPY BIRTHDAY TO ME AND MY FAVORITE FANDOM!,0,2024-02-07T21:24:37Z,2024-02-07T21:24:37Z
Ugzv7X3RklNK7_kGyMN4AaABAg,,False,@AndreaMoran-n8t,Felicidades las amos❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉,0,2024-02-07T02:25:29Z,2024-02-07T02:25:29Z
UgyZKF37NP05IxiPozd4AaABAg,,False,@kurogane0304,damn jeongyeon is such a queen ❤❤❤,0,2024-02-07T02:20:50Z,2024-02-07T02:20:50Z
UgyZZ0sLoMLEm-uL7YN4AaABAg,,False,@naim4766,🎉🎉🎉❤,0,2024-02-05T08:58:47Z,2024-02-05T08:58:47Z
Ugz82QH4H8O_5XZ7zcN4AaABAg,,False,@Ancelwpæq,𖥟🤍🅆🄴 🄰🅁🄴 🄾🄽🄴🤍𖥟 oooo no matter what you got me I got you and I wouldn't want it any other way✰♡,0,2024-02-03T13:55:31Z,2024-02-03T13:55:31Z
UgzxV3n9uEddWnEOTr54AaABAg,,False,@multistan-p5o,ameii,0,2024-01-30T21:08:38Z,2024-01-30T21:08:38Z
Ugzhnpu_fp3DaEbOaeN4AaABAg,,False,@b3rryp4wz,Aw this is on my bday month!,0,2024-01-28T14:03:52Z,2024-01-28T14:03:52Z
Ugzr5inBOxb5ckkt1194AaABAg,,False,@斉藤伸一-u4s,誕生日おめでとう🎶✨😆✨🎶,0,2024-01-27T19:18:28Z,2024-01-27T19:18:28Z
Ugwx-ruXlTfTQTvx--N4AaABAg,,False,@stanleyhuang5964,💛💛,0,2024-01-27T13:22:20Z,2024-01-27T13:22:20Z
Ugz9g9vaezbm5lLdKed4AaABAg,,False,@nishitripathi2319,Congratulations 🎉👏 to all of you 💖 Tzuyu 💗 with your lovely 🌹 friends 💗. I love ❤️ you 💖 my sweet and very much ❤️ beautiful ❤️ cutie Baby 💋 friends ❤️❤️❤️❤️❤️❤️❤️❤️❤️🌹🇮🇳🙏.,0,2024-01-26T17:33:49Z,2024-01-26T17:33:49Z
UgzM9oe42BHZg2ystgh4AaABAg,,False,@Ray_Wood_1984,❤🎉,0,2024-01-23T23:55:21Z,2024-01-23T23:55:21Z
UgxDzm_xW9uaSL0mFk14AaABAg,,False,@en_effet1120,全員主人公,0,2024-01-22T22:39:19Z,2024-01-22T22:39:19Z
Ugw70E23kO0_nFi3tNN4AaABAg,,False,@soprida,I LOVE TWICEEE💗💗💗🇧🇷🇧🇷🎂🎂🍰🍰🧁🧁🧁,0,2024-01-20T12:36:03Z,2024-01-20T12:36:03Z
UgzxCl_iBGOa_28vYEt4AaABAg,,False,@mariavitoriaalvescajazeira431,Yayyyy,0,2024-01-20T00:41:16Z,2024-01-20T00:41:16Z
UgzU6m8PkubsHlN_s-F4AaABAg,,False,@volpegregori5348,Happy Birthday to me  ❣️,0,2024-01-18T16:25:03Z,2024-01-18T16:25:03Z
Ugz-o5cRUz1j-O5xw9d4AaABAg,,False,@NRam-ke6cs,Jihyo and Jeong ❤,0,2024-01-16T21:30:53Z,2024-01-16T21:30:53Z
UgwKXlNx5CUa1mgWvCt4AaABAg,,False,@MomoHirai-v3v,Ihr seid so schönnnn❤,0,2024-01-15T21:35:37Z,2024-01-15T21:35:37Z
UgwM5UPYOZhAwVjxLZJ4AaABAg,,False,@MomoHirai-v3v,Liebe euch,0,2024-01-15T21:35:18Z,2024-01-15T21:35:18Z
UgznTp1F360ys8g-dz54AaABAg,,False,@MomoHirai-v3v,Love twice,0,2024-01-15T21:35:10Z,2024-01-15T21:35:10Z
UgxXsvhHvMpqgjDL4y14AaABAg,,False,@MomoHirai-v3v,Once❤,0,2024-01-15T21:35:00Z,2024-01-15T21:35:00Z
Ugw7rBP-ffkTJIOpP2l4AaABAg,,False,@홍민호-d8l,트와이쮸 👐,0,2024-01-15T05:30:59Z,2024-01-15T05:30:59Z
Ugw91ssc2v34RgwjwWx4AaABAg,,False,@neusleneconceicaodoamaral5149,❤❤🎉,0,2024-01-14T18:14:24Z,2024-01-14T18:14:24Z
UgwXBsEB7-Vq6b5ETuF4AaABAg,,False,@twice_momoland__90,트가🎉😊,0,2024-01-14T12:14:36Z,2024-01-14T12:14:36Z
UgyJKRL_rWd1LyDm8iJ4AaABAg,,False,@stwarxy,❤❤❤,0,2024-01-14T11:41:25Z,2024-01-14T11:41:25Z
UgzAf9LsjoKTMHCkWV54AaABAg,,False,@Stasy2213,Lo subieron el mismo día de mi cumpleaños!!! ME MUERO!,0,2024-01-13T20:19:42Z,2024-01-13T20:19:42Z
Ugz1ggleu5h7eeDVEip4AaABAg,,False,@gineoww,TOUCHDOWN!!!❤,0,2024-01-13T17:48:21Z,2024-01-13T17:48:21Z
UgzpHTieJLNSKsUtyu54AaABAg,,False,@Sapanamajhi-l5t,❤❤i love you🇳🇵🇳🇵🇳🇵,0,2024-01-12T10:03:41Z,2024-01-12T10:03:41Z
UgyqEBm8yz1At_IJd154AaABAg,,False,@悠貴-r5z,TWICE愛してるよ,0,2024-01-12T06:00:12Z,2024-01-12T06:00:12Z
UgwGEezN8cYaPxGnwzV4AaABAg,,False,@宗億陳-r4e,子瑜寶貝天使辛苦了❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-01-11T02:49:28Z,2024-01-11T02:49:28Z
UgwQTaqxtWYOjuAbonJ4AaABAg,,False,@Niangngaihdim-r3e,🎉🎉,0,2024-01-10T15:20:59Z,2024-01-10T15:20:59Z
UgwbxasAFgN1W-ck6Vh4AaABAg,,False,@pipicute615,Mina is the Visual,0,2024-01-10T14:44:15Z,2024-01-10T14:44:15Z
Ugyl1XgJLkR_8r1zVHx4AaABAg,,False,@YouTube_Buddy_4ever,Twice are the n.o 1 at my playlist on Spotify ❤,1,2024-01-09T18:59:35Z,2024-01-09T18:59:35Z
UgxObxnt-ThXwiLClip4AaABAg,,False,@Dearlion2025,"트와이스 건강하게 키운 박진영 
인정 😊",0,2024-01-09T13:28:51Z,2024-01-09T13:28:51Z
UgxKlu_r5ZXPdskaRaV4AaABAg,,False,@PabloAkarik,Twice happy anniversary 🎉❤,0,2024-01-07T04:17:02Z,2024-01-07T04:17:02Z
UgxkMcfmsjvK6ZlL57B4AaABAg,,False,@queenk_popjennie9929,Pasta diye duyan tek kişi ben değilim değil mi,0,2024-01-05T19:16:43Z,2024-01-05T19:16:43Z
Ugzen3OdDPp9Gb625AJ4AaABAg,,False,@Jungkook-g9u,Happy birthday 🎂,0,2024-01-05T13:37:37Z,2024-01-05T13:37:37Z
Ugw1JjNZAe3WcwkUKE14AaABAg,,False,@Anushkatyagii,Thank you 🙏😊 twice we lobeeee u,0,2024-01-05T07:04:13Z,2024-01-05T07:04:13Z
UgxEgkVDofNHLUhOJk94AaABAg,,False,@daicuellar3898,Love you twice💗💗,0,2024-01-02T17:48:50Z,2024-01-02T17:48:50Z
UgwclFpvKexpBipELux4AaABAg,,False,@中村格英-c5t,🥰👋👋👋👋👋👋👋👋👋😚✌️,0,2024-01-02T03:29:36Z,2024-01-02T03:29:36Z
Ugxjy2dz9gLGiMh0ITF4AaABAg,,False,@AlexaJones-e9j,LOVE YOU TWICE ❤❤❤❤,0,2024-01-01T12:58:35Z,2024-01-01T12:58:35Z
Ugx2XEbnYQshGa52k294AaABAg,,False,@그래서-j3n,늙어가는 트와이스 누나들,0,2024-01-01T00:12:48Z,2024-01-01T00:12:48Z
UgzR4WtSVUT3joxUFfJ4AaABAg,,False,@joseluiscuevasramos9876,feliz año bonitas,0,2023-12-31T14:10:08Z,2023-12-31T14:10:08Z
UgyF0NLoVMD1gmmzmSh4AaABAg,,False,@FridaCardenas-v4d,❤❤❤❤ tank you ❤❤❤❤,0,2023-12-31T06:12:31Z,2023-12-31T06:12:31Z
