comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyZgPf6OVgBxBHHUOF4AaABAg,,False,@iamkateygretchen,Who gonna rock with JENNIE?,1,2025-04-24T04:41:01Z,2025-04-24T04:41:01Z
UgyZgPf6OVgBxBHHUOF4AaABAg.AHHkHFNtLo1AHz1ETuBBYZ,UgyZgPf6OVgBxBHHUOF4AaABAg,True,@1blink-forever-blink1,Mee,0,2025-05-11T09:24:31Z,2025-05-11T09:24:31Z
UgzesNs10R2xExAYuk94AaABAg,,False,@blackpink_12-w2w2,Rosé it's beautiful and Jennie ❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,1,2025-04-03T16:09:18Z,2025-04-03T16:09:18Z
UgzUAyBEfG4dmenfeGR4AaABAg,,False,@blackpink_12-w2w2,I love you rosé ❤❤❤❤,1,2025-04-03T16:07:29Z,2025-04-03T16:07:29Z
Ugx2mMAdjd5zZDePhwN4AaABAg,,False,@Ryujin928,Like jennie 2years ago ..now I know 😅❤❤❤❤,0,2025-04-03T14:30:33Z,2025-04-03T14:30:33Z
UgxmSGzLqtCMj76WzHZ4AaABAg,,False,@fesegura3413,I loveeeee youuuuu jennieeeeeee and jisooo and Rose lisaaa❤,1,2025-03-28T14:29:54Z,2025-03-28T14:29:54Z
UgzEP-Bi6YkkUzYeWFN4AaABAg,,False,@g9694012,"JJ moment🎞️
2:15 🐰🐱🕶️
2:29 👯‍♀️
4:05 “with my Jennie’s”",0,2025-03-28T09:09:39Z,2025-03-28T09:09:39Z
UgyZfN9Bh-i9cmUbq994AaABAg,,False,@mavenshandles,1:49 be LIKE JENNIE JENNIE JENNIE JENNIE!!!,1,2025-03-16T05:07:34Z,2025-03-16T05:07:34Z
UgybPX5KeiqkDHwuU8t4AaABAg,,False,@NoName-27034,1:58 i'm JENNIE tooo🐻😎,0,2025-03-13T13:45:22Z,2025-03-13T13:45:22Z
UgzWrPSeZtRApFU-wyh4AaABAg,,False,@ricardorodrigues9279,나는 브라질 출신이지만 당신을 사랑합니다,1,2025-02-23T15:43:57Z,2025-02-23T15:43:57Z
