comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugy7KdE_IraQpRiSgox4AaABAg,,False,@erwinlandero2251,Cniteon pryty,0,2025-05-01T06:22:00Z,2025-05-01T06:22:00Z
UgzhrMcJSmBtyrVIw1d4AaABAg,,False,@영식공-s2j,가을선배❤나오이레이❤,2,2025-04-19T11:28:35Z,2025-04-19T11:28:35Z
Ugxk_UD3Ytoss9F-r4h4AaABAg,,False,@vacci_a-5151,😁😇☝️✌️✍️🎤👍🌞,0,2025-04-11T06:20:37Z,2025-04-11T06:20:37Z
UgwI_7Bult2bq4shsmZ4AaABAg,,False,@lyh1751,❤❤❤,0,2025-04-10T15:13:02Z,2025-04-10T15:13:02Z
Ugx3Jlo5KNicO9aHI2R4AaABAg,,False,@凛亜-f2w,ツインテガウルマンネ過ぎだろ…！❤❤❤,0,2025-04-08T12:28:50Z,2025-04-08T12:28:50Z
UgyZEnxVdk3QpER1aZl4AaABAg,,False,@hyunjinandleeknow_deluluwife,Pretty❤❤,0,2025-04-06T14:55:52Z,2025-04-06T14:55:52Z
Ugwn7R7K6aDsPsb6Nb14AaABAg,,False,@高柳勝,TOM.S DINER(1987),0,2025-04-06T07:31:59Z,2025-04-06T07:31:59Z
UgwbnN0x3YDm4GmuTsZ4AaABAg,,False,@Terrierbob1968,Two happy characters 😊😊❤,0,2025-04-03T20:26:49Z,2025-04-03T20:26:49Z
UgxgFVPJ6xRM8O_Uzel4AaABAg,,False,@Ihav3nonam3,Gaeul become leeseo,1,2025-04-02T01:40:41Z,2025-04-02T01:40:41Z
UgyhnuJMQdWr0mz0H7J4AaABAg,,False,@li.it_cong.x,ㅜㅜ 너무 귀여운 갤선배랑 킴레이ㅜ,0,2025-04-01T00:51:04Z,2025-04-01T00:51:04Z
UgxM78pILovTY-4yF-t4AaABAg,,False,@redbank1234,아이브넘예뽀ㅠㅠㅠ,0,2025-03-31T12:16:01Z,2025-03-31T12:16:01Z
Ugy5EVkOkxL1lu7SGBN4AaABAg,,False,@flatfull9028,レイちゃんこんなおっぱい大きかったっけ？,0,2025-03-27T07:44:37Z,2025-03-27T07:44:37Z
UgySn4XAHcvF0x63uN94AaABAg,,False,@乃亜っち,"永遠に続く、
究極の選択❤❤",1,2025-03-25T12:41:05Z,2025-03-25T12:41:05Z
Ugx3-BUfePv6eiVSq5l4AaABAg,,False,@또치와마이콜-v1n,둘이 닮았다 살짝?,0,2025-03-24T08:31:37Z,2025-03-24T08:31:37Z
UgzAuQiKWo8GXc9gaJV4AaABAg,,False,@СтупорМозговины-ь4п,"Какая хрень, Господи",0,2025-03-24T07:27:57Z,2025-03-24T07:27:57Z
Ugz8eR5oMkkc2Av3hUR4AaABAg,,False,@クリーン-u7c,ガウル、レイ　どかわいいな❤,0,2025-03-21T10:36:13Z,2025-03-21T10:36:13Z
UgzUQYum0t6UKrvBtZN4AaABAg,,False,@BunniXmyMelo,REI MY BIAS I LUV U,0,2025-03-21T08:47:18Z,2025-03-21T08:47:18Z
Ugy3YivI8xQaf_2DrOV4AaABAg,,False,@_OPHANIM_,"Hmm, familiar melody",0,2025-03-21T01:09:48Z,2025-03-21T01:09:48Z
Ugz0xfbVpHRJxIKat-l4AaABAg,,False,@ccrown1123,"Gaeul is so Pretty, Gorgeous & Adorable at the same time 👑😍🥰🤩😘💖💝♥️",2,2025-03-18T01:27:31Z,2025-03-18T01:27:31Z
UgzR0jwq8ATX_ogjJPB4AaABAg,,False,@이지꼬,"콘수니 신났네 ㅋ ㅋ 귀여워 
ㅋ ㅋ 이번 노래 중독성 있어 ㅋ ㅋ",0,2025-03-17T22:02:40Z,2025-03-17T22:02:40Z
UgxpFrMen9N6qjC5BMZ4AaABAg,,False,@elocin01,レイちゃん完璧すぎなん？,0,2025-03-16T18:40:34Z,2025-03-16T18:40:34Z
UgwUT93d4RYWwsma4lV4AaABAg,,False,@rasenks,Alizee copy,0,2025-03-15T22:07:05Z,2025-03-15T22:07:05Z
UgxGKGXVqxGrsKWvt8R4AaABAg,,False,@김경찬-o3x,둘이 왤케 닮게 나왔지 ㅎㅎ,0,2025-03-15T13:12:44Z,2025-03-15T13:12:44Z
Ugzyhb9QCkRQmgVsSEJ4AaABAg,,False,@5mgcaster791,愛知ブスという狂気エリアから生まれた美人レイちゃん、いろんな意味ですごい👍,0,2025-03-12T07:27:41Z,2025-03-12T07:27:41Z
UgxMyWQqXygfeVOdtVx4AaABAg,,False,@sachintendulkar7293,rei,0,2025-03-12T06:17:04Z,2025-03-12T06:17:04Z
Ugx2fYvsbendX7hkIfp4AaABAg,,False,@Tsubo-j2d,"ガウルの最後の笑顔破壊力エグ😊❤
最後のレイのモチモチほっぺ可愛すぎやろ❤❤❤
2人とも天使🪽超えてる!可愛ーーー❤❤❤",0,2025-03-10T11:29:27Z,2025-03-10T11:29:27Z
UgxdRgUqBHK-QTZLibJ4AaABAg,,False,@Honl.x7,헐 가을이 양갈래 너무 기엽다 ㅜㅜ,0,2025-03-09T12:04:30Z,2025-03-09T12:04:30Z
UgzIznmBu8LJZIFunIt4AaABAg,,False,@ygan736,"可愛い😍レイちゃん痩せたよね⁇
可愛いけど…無理してないか心配🥹",0,2025-03-08T16:49:15Z,2025-03-08T16:49:15Z
UgyuLw-pJiCNXMROePZ4AaABAg,,False,@이용주-m2f,옆에 영석이형,0,2025-03-08T14:46:06Z,2025-03-08T14:46:06Z
Ugxtn0hkOLYjW0NRWKR4AaABAg,,False,@kimo_odi,デカい,0,2025-03-08T03:55:38Z,2025-03-08T03:55:38Z
UgwoOTj1V05GVjZ0Mpt4AaABAg,,False,@kachilitv,😂😂😂귀여움 한도초과,0,2025-03-08T02:34:21Z,2025-03-08T02:34:21Z
UgzkqfinF8EOebp3p8F4AaABAg,,False,@basakmi,うお、女だ,0,2025-03-08T01:07:15Z,2025-03-08T01:07:15Z
UgzQFakyIP5TXV0NHox4AaABAg,,False,@김고냥임,가을이 웃는 모습 너무 예쁘고 레이 읏샤읏샤 기여워❤,0,2025-03-07T09:31:23Z,2025-03-07T09:31:23Z
Ugwh23SAvP3sCQ6Wm9R4AaABAg,,False,@aaryahamad3325,CUTEEEE AND PRETTYYYYY LOVE U ❤❤❤❤❤,0,2025-03-07T08:44:03Z,2025-03-07T08:44:03Z
UgzUqakf5klrqtNT6zl4AaABAg,,False,@유유유-e2c,가을 가자 가자 ❤❤❤❤❤❤,1,2025-03-07T03:13:42Z,2025-03-07T03:13:42Z
Ugz-FcBATXtP4t5UcnR4AaABAg,,False,@eugenioserafin-p4h,PARECEM DOIS ANJINHOS  FOFAS  ❤️ ❤️,0,2025-03-06T22:11:25Z,2025-03-06T22:11:25Z
UgzRudR3illAcPPwB0x4AaABAg,,False,@Tube-nz4zo,"역시 가을,레이누나 제일 잘어울리네요 첼린지 아직도해요? 역시 고양이같고 사랑스럽고 졸귀,존예네요",0,2025-03-06T08:28:17Z,2025-03-06T08:28:17Z
UgxUDFxuNVQwN_aC-DR4AaABAg,,False,@TheCornellJunkie,Rei has mastered the art of cuteness overload!,0,2025-03-04T15:43:12Z,2025-03-04T15:43:12Z
UgyLk6SEKvn9o22BXC54AaABAg,,False,@開心一刻屋,好可愛（*＾-＾*）,0,2025-03-04T10:49:51Z,2025-03-04T10:49:51Z
Ugwh1wD-nqvD8K-bNy14AaABAg,,False,@narafor2659,키 차이 생각보다 많이 나네. 완전 애기네 ㅋㅋ,0,2025-03-04T01:12:03Z,2025-03-04T01:12:03Z
UgyMOPRDqI3zmwKWbh94AaABAg,,False,@林-v5y2s,"코끼리가 은혜를 갚는다

어느 날 갑자기 코끼리 한 마리가 집에 들어와 정원에 누웠습니다. 가족들은 코끼리가 다리에 부상을 입은 것을 발견하고 서둘러 치료했습니다. 그때부터 코끼리는 가족들에게 매우 고마움을 느껴 자주 도와주었고, 그 은혜에 보답하기 위해 그들을 산에 데리고 가서 상아를 캐기도 했습니다.",0,2025-03-03T11:18:15Z,2025-03-03T11:18:15Z
Ugxa1abepG2N7_K4iQB4AaABAg,,False,@Ktulip,Rei is soooooo CUTE,0,2025-03-03T09:43:29Z,2025-03-03T09:43:29Z
UgyuNJ0jRd7rJN5EfbZ4AaABAg,,False,@김희철-i6n9t,레이 개이쁘❤,0,2025-03-03T05:11:22Z,2025-03-03T05:11:22Z
UgxIr5FWTGShKzHfRHt4AaABAg,,False,@지준윈,아이브  팬이에요  강변  동서울터미널  6층  오세요 저랑 볼링장. 같이 해요,0,2025-03-02T23:47:31Z,2025-03-02T23:47:31Z
UgwseqQpKv2mvcNwfVR4AaABAg,,False,@taro9916,か、かわいい😊,0,2025-03-02T14:09:56Z,2025-03-02T14:09:56Z
Ugz6SYV1w5LwMJ9LSiF4AaABAg,,False,@정지원-ji,❤,1,2025-03-02T04:41:47Z,2025-03-02T04:41:47Z
Ugxtb1dbjc8PrIRj7y54AaABAg,,False,@옵저버-r6n,웃는 모습이 정말 귀여운 레이  마냥 이쁜 가을  둘 다 최고예요,0,2025-03-02T02:49:14Z,2025-03-02T02:49:14Z
UgzvoXC8bczI55dCJYh4AaABAg,,False,@takesi-w2e,でっか,0,2025-03-01T19:49:42Z,2025-03-01T19:49:42Z
UgxH9VcNjuwz50FMGtB4AaABAg,,False,@unhishe,ここに家を建てます,0,2025-03-01T18:09:42Z,2025-03-01T18:09:42Z
UgxaQx88_TOlBHQPaqx4AaABAg,,False,@51jen15,兩位都好美又可愛,0,2025-03-01T16:00:56Z,2025-03-01T16:00:56Z
UgyuVbMgU6qQnCyeZlF4AaABAg,,False,@MS1Sing,เลิฟ กาอึล❤❤,0,2025-03-01T12:22:54Z,2025-03-01T12:22:54Z
UgwkEzHO60E-xLiDXgh4AaABAg,,False,@lazer9204,가을이 꼭지선명해..,0,2025-03-01T04:02:38Z,2025-03-01T04:02:38Z
UgwkEzHO60E-xLiDXgh4AaABAg.AF6cxo2XJP_AG37fjKy1mA,UgwkEzHO60E-xLiDXgh4AaABAg,True,@yongjunlee922,그걸 계속 보고있을 널 생각하니 징그럽네,0,2025-03-24T15:54:13Z,2025-03-24T15:54:13Z
UgyQuhcv8o41RedG5tR4AaABAg,,False,@jinxxxgg,笑顔ってこんなに眩しくなるものなの？,0,2025-02-28T11:22:52Z,2025-02-28T11:22:52Z
UgxaorCvooc8M00goQ94AaABAg,,False,@이우성-i3o,가아이~~!♡,1,2025-02-28T06:36:17Z,2025-02-28T06:36:17Z
UgweXGITVw70umZ6Fm54AaABAg,,False,@ХиросиЯ,可愛い,0,2025-02-27T11:30:29Z,2025-02-27T11:30:29Z
UgxtP3Cnsi066XBn9t54AaABAg,,False,@wkatldkssud5666,레이 크다,0,2025-02-27T11:00:20Z,2025-02-27T11:00:20Z
Ugx2j5Q_mvn7IgxFcKd4AaABAg,,False,@seowonissocute,감성즈 폭주기니 귀하다.. 아이브 최강 기여미 레이와 맏언니지만 귀여운 갤선배ㅐ 넘 이뽀ㅗ❤,2,2025-02-27T07:54:30Z,2025-02-27T07:54:30Z
UgzEA2t0KxpueYm4KbJ4AaABAg,,False,@timothycarson114,What song is this ?,0,2025-02-27T06:51:12Z,2025-02-27T06:51:12Z
UgzEA2t0KxpueYm4KbJ4AaABAg.AF1mehLD8CJAF24vwLdjBy,UgzEA2t0KxpueYm4KbJ4AaABAg,True,@henriknielsen1176,It's called Attitude,0,2025-02-27T09:39:34Z,2025-02-27T09:39:34Z
UgyXLxFbPUgMf7dJZwt4AaABAg,,False,@서이14,가을이 너무 이쁘당,0,2025-02-27T06:18:51Z,2025-02-27T06:18:51Z
