comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzqimLgAXlUEDtHqyh4AaABAg,,False,@3000_AT,Visual of the Century ❤❤,0,2025-04-21T12:13:07Z,2025-04-21T12:13:07Z
UgyW7T8yTnAci5rEh8Z4AaABAg,,False,@oisill_zen,yakin kalo bubu gini masih di bilang serem wkwk,0,2025-03-18T15:00:04Z,2025-03-18T15:00:04Z
Ugy-mXJlIDrst-iTuFJ4AaABAg,,False,@oisill_zen,gemesssssh,0,2025-03-18T14:59:48Z,2025-03-18T14:59:48Z
UgyOc1v1N8LvLwhgmOp4AaABAg,,False,@ringkka,태용아 보구시ㅠㅍ다..ㅜㅜㅜㅜㅜㅜㅜ,0,2025-03-16T08:28:33Z,2025-03-16T08:28:33Z
UgzxLTmRhCBjj_ICEdt4AaABAg,,False,@ri8yq9pe1f,まっっっじで2次元から飛び出してきたみたいなビジュアルだな､､麗しいウリリーダー🍙💚,1,2025-03-03T07:30:43Z,2025-03-03T07:30:43Z
Ugz23Eut4orytrFnee14AaABAg,,False,@amsshy1749,Alasan kenapa dia di panggil bubu❤,0,2025-01-26T07:48:14Z,2025-01-26T07:48:14Z
UgyYnIds-0XleVukhdZ4AaABAg,,False,@CaryGomes,MYYY BABY AWWW TELL ME WHY THAT TAEYONG IS SOO FREAKING CUTE 🥰🥰,0,2024-12-28T20:08:38Z,2024-12-28T20:08:38Z
UgxKI05ZyZZ4oCFZBXZ4AaABAg,,False,@Bada-n4d,귀엽운데…날티나고…날티나는데…귀엽고…귀여운데…날티난은 이 미친 용안은 보존해야하는 인류의 보물인듯 진심,0,2024-12-08T09:39:56Z,2024-12-08T09:39:56Z
UgzrMnYuxfjjziPD9y54AaABAg,,False,@onyour_mark09,하내남편...............,0,2024-12-06T05:34:58Z,2024-12-06T05:34:58Z
UgyPC15Ym1l3jjMSZ9l4AaABAg,,False,@chro_mium,he's a cat!!!,0,2024-11-27T11:24:08Z,2024-11-27T11:24:08Z
UgxbP3M0t0WTLuEdnbh4AaABAg,,False,@시즈니12,"진짜 왜 별명이 주먹밥쿵야인지 알듯
넘 귀여워ㅠㅠ",3,2024-11-26T10:17:31Z,2024-11-26T10:17:31Z
Ugx3b5cgNOL5QN6rt8x4AaABAg,,False,@Keiiiii-e5o,やっぱテヨンがいい,1,2024-11-07T03:53:47Z,2024-11-07T03:53:47Z
UgwIef5ykE6-sOfoOk94AaABAg,,False,@moonlilly5029,<3 <3 <3 <3 <3 <3 <3 LOVE U BUBBU,0,2024-11-01T03:07:40Z,2024-11-01T03:07:40Z
UgzclC0cQYGSOg__mPZ4AaABAg,,False,@moonlilly5029,<3 <3 <3 <3 <3 <3 <3 <3 <3 <3,0,2024-11-01T03:07:21Z,2024-11-01T03:07:21Z
UgyZeuwtlkCq565wkGZ4AaABAg,,False,@pieck.finger,TOO MUCH CUTENESS 😩❤,0,2024-10-13T03:45:14Z,2024-10-13T03:45:14Z
UgxZfzVQC1-JSFDQjaB4AaABAg,,False,@Oaookii,난 이걸 왜 이제봤나,0,2024-10-11T15:11:57Z,2024-10-11T15:11:57Z
UgzPjcYZzjGYWYyJQSx4AaABAg,,False,@Martareyescollazos,sorry bae but last clip give me the ick😶‍🌫️,0,2024-10-02T08:15:36Z,2024-10-02T08:15:36Z
UgzPjcYZzjGYWYyJQSx4AaABAg.A94qfO-M7FZADdjWlEn8Gr,UgzPjcYZzjGYWYyJQSx4AaABAg,True,@encepence2666,why?,0,2025-01-23T16:51:21Z,2025-01-23T16:51:21Z
