comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzRMlD6d9hs70VutQF4AaABAg,,False,@dianandriani4617,No,0,2025-05-13T11:40:48Z,2025-05-13T11:40:48Z
UgyY6jcFqdKMfcnHiZR4AaABAg,,False,@Luluthecutieee,Omg I love you guys❤,2,2025-05-03T13:11:36Z,2025-05-03T13:11:36Z
UgzRauya5r6O_Xe2rrl4AaABAg,,False,@t.0nYx,금발 다니 너무 이뿜 ㅠ,2,2025-03-23T09:56:08Z,2025-03-23T09:56:08Z
Ugw8m0443ZWV1LA6nFp4AaABAg,,False,@0Faviara0,I love when minji does a hair flip,0,2025-03-01T03:29:52Z,2025-03-01T03:29:52Z
UgxiD_uFrBfhqvWbHoJ4AaABAg,,False,@tranthanhduy1114,I love you so forever 💋,1,2025-02-03T14:40:49Z,2025-02-03T14:40:49Z
UgwogWjARPFO9XPlLPh4AaABAg,,False,@おっくん-b6x,夢でみんなと出会えた,1,2025-01-28T10:34:42Z,2025-01-28T10:34:42Z
UgyZPrGghCy61SP-he94AaABAg,,False,@김근태-q3e,방사장님 제가 무릎꿇고 빌겠습니다 다섯요정 지켜주세요,1,2025-01-25T13:05:46Z,2025-01-25T13:05:46Z
UgzmSdSVvm_Kqp1Bzwl4AaABAg,,False,@Jbgfdghj,😮😢😢😢😢0ㅣ상해. 하니. 춤선이 다르다🎉😂😂❤❤😂😂❤❤❤❤❤,1,2025-01-22T19:56:25Z,2025-01-22T19:56:25Z
UgwTXN1SezFZ12ZocPJ4AaABAg,,False,@raghdaahmed6936,How sweet song reminds me about my summer vacation in july😢,5,2025-01-15T17:07:56Z,2025-01-15T17:07:56Z
UgxetUTkSyCpeWKysSN4AaABAg,,False,@sagezeeq,i love you hanni,1,2025-01-14T12:27:32Z,2025-01-14T12:27:32Z
Ugyc2mp92MYckSzsCLp4AaABAg,,False,@송우창-o1r,"하니만 보이넹 ㅋ
화이팅요~",0,2025-01-08T17:48:17Z,2025-01-08T17:49:29Z
Ugxtqu8QKKKUx7Lk3th4AaABAg,,False,@kakeru09,Hanni,0,2025-01-03T10:17:52Z,2025-01-03T10:17:52Z
Ugxch9Sm32LzkL8fct54AaABAg,,False,@unknownwrld-1,Minjiiiiii,0,2025-01-01T04:16:52Z,2025-01-01T04:16:52Z
