comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugwklu2bmuNenV_M-gZ4AaABAg,,False,@a_fiake08,와 소용조합 미춋댜~~!!!!,0,2025-04-13T01:05:32Z,2025-04-13T01:05:32Z
UgzAAPmCOajGYOhSmXl4AaABAg,,False,@ttori_1121,i miss mc ttori,0,2025-04-09T08:17:14Z,2025-04-09T08:17:14Z
Ugz90E_JsMzOJtlaucF4AaABAg,,False,@neofriendzone,cute and handsome sohee,0,2025-03-27T05:29:20Z,2025-03-27T05:29:28Z
UgwEO3bftjLlQ4KlwaV4AaABAg,,False,@qkqnro,탭또리 진짜 미치겟다 맨날 보러 또 옴,1,2024-09-20T06:29:44Z,2024-09-20T06:29:44Z
Ugy5jVqaXOW7v9uyIhF4AaABAg,,False,@2sohee_03,sohee,0,2024-08-22T17:03:03Z,2024-08-22T17:03:03Z
Ugw-A9vMzNfiiiHRCq14AaABAg,,False,@æri_ku,💚💚,0,2024-07-12T05:37:01Z,2024-07-12T05:37:01Z
Ugy6YiJoPRK7QzQEkMR4AaABAg,,False,@kavitakuril6773,Taeyongiee tap challenge with his fav little Sohee.,0,2024-07-10T08:37:23Z,2024-07-10T08:37:23Z
UgyyXjYHDCs1ORdla614AaABAg,,False,@shamalamadingdongchalabingbong,Sohee 🔥 best combination ~,0,2024-06-14T06:03:29Z,2024-06-14T06:03:29Z
Ugy4lmSXNjcjDQw5RZl4AaABAg,,False,@Ryuriwooboynextdoor,I wish they have more interactions in the future 🫶🥰,0,2024-05-31T10:10:17Z,2024-05-31T10:16:25Z
Ugx3FBAtXKR6znXf0Ix4AaABAg,,False,@Ryuriwooboynextdoor,Doing the challenge yet the way taeyong look at sohee is just😭😭💖💖 he adores him alot🥹🫶,14,2024-05-31T10:09:54Z,2024-05-31T10:09:54Z
UgzapJg0rgHystNjoCJ4AaABAg,,False,@æri_ku,ty's fav,0,2024-05-03T18:17:07Z,2024-05-03T18:17:07Z
Ugxj2sa79iMFOBmYSKl4AaABAg,,False,@세상에-e4b,차원이 다른 사람들 같아 ㅋㅋㅋㅋㅋ 묘하게 어울려서 귀여움 ㅠㅠ,1,2024-04-23T04:36:21Z,2024-04-23T04:36:21Z
Ugyf_JThfUYjfU-g2w94AaABAg,,False,@mybuddy_,i'm already miss to Ty thank u for challenging together with Sohee,0,2024-04-15T09:32:34Z,2024-04-15T09:32:34Z
UgxEbC7hV8WnUqqFA494AaABAg,,False,@riyu0304,taeyong's fav sohee,0,2024-04-12T18:00:12Z,2024-04-12T18:00:12Z
Ugz0IeejCHrf2zySvZJ4AaABAg,,False,@odroop6416,태용이 인어공주같네,0,2024-04-12T12:48:09Z,2024-04-12T12:48:09Z
Ugz3ZXj47GX7Cr6GGkd4AaABAg,,False,@kangkangNXD,baby sohee,0,2024-04-11T08:14:28Z,2024-04-11T08:14:28Z
UgwcCOj3y45bHwTi0-l4AaABAg,,False,@beomicinzorba,Taeyong onlari sana kim giydirdi adres ver kocum,0,2024-04-09T20:00:03Z,2024-04-09T20:00:03Z
Ugzfx0wn87Y5O9ebUQ14AaABAg,,False,@착한똘이,둘이 어쩜 이리 다른느낌의 게임 캐릭터같냐ㅋㅋ둘다 귀욤💙💚,0,2024-04-06T14:05:18Z,2024-04-06T14:05:18Z
UgyWc22I2Q-XYG2xk6t4AaABAg,,False,@CrystaliaASMR,St. Michael,0,2024-04-06T12:02:40Z,2024-04-06T12:02:40Z
UgyWCFMsKsLjCEMZIDp4AaABAg,,False,@Angelino-q6i,Taeyong's outfit is giving Elsa vibes,17,2024-04-03T20:34:48Z,2024-04-03T20:34:48Z
