comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugzc6_c_P_7dPAmU5wB4AaABAg,,False,@SarahNami,0:48 Jihyo looks like vintage actress,1,2025-05-14T21:05:02Z,2025-05-14T21:05:02Z
UgwwNNwp0OKXlgjFs5F4AaABAg,,False,@jshmonte,ate,0,2025-05-13T13:29:03Z,2025-05-13T13:29:03Z
Ugwh-EGwd1mYRr73bcR4AaABAg,,False,@Moyeoon,me encanta esta cancion,0,2025-05-07T02:40:17Z,2025-05-07T02:40:17Z
UgxqiSAEu-nN3-RufP54AaABAg,,False,@MarinaMate-ze6rd,The fact that she even wrote some of her own songs❤❤,4,2025-05-02T01:16:41Z,2025-05-02T01:16:41Z
UgyPH6LFyrGH6nS8RDR4AaABAg,,False,@CC-ln4bl,UNDERATED SONNNGGGG,2,2025-04-30T15:36:48Z,2025-04-30T15:36:48Z
UgwWQsHyK1SZy4Vj19J4AaABAg,,False,@Venomremizt,Search for me in the stars…..,4,2025-04-28T15:59:46Z,2025-04-28T15:59:46Z
UgwWQsHyK1SZy4Vj19J4AaABAg.AHTG7zATDW8AHTGMU5KnHs,UgwWQsHyK1SZy4Vj19J4AaABAg,True,@Venomremizt,I love Oreo….,0,2025-04-28T16:01:44Z,2025-04-28T16:01:44Z
Ugwe54QFFnnwuCYYtzp4AaABAg,,False,@ELPIOJODEJIHYO,Esto merecía muchísimo apoyo :(❤❤❤❤,2,2025-04-28T00:18:01Z,2025-04-28T00:18:01Z
UgxX3f_5IsoV3dQkASh4AaABAg,,False,@hectormanecare,❤🔥💯 Jihyoo Is super atractive. 😎I consider her an empowered woman. 😎,1,2025-04-24T21:09:14Z,2025-04-24T21:09:14Z
UgzGd1wEFdugzLJPudl4AaABAg,,False,@sther74,2 mi onces!!,1,2025-04-24T01:04:05Z,2025-04-24T01:04:05Z
UgzUej3J4mDMke9CbnZ4AaABAg,,False,@NelyGuerreropena,Jihyo is the best leader of all K-pop,8,2025-04-23T20:24:44Z,2025-04-23T20:24:44Z
UgzOWJp0M_auTTxgMcF4AaABAg,,False,@craman7508,Still a bop,1,2025-04-17T22:39:24Z,2025-04-17T22:39:24Z
UgxDURRb1l_NeuV9XL14AaABAg,,False,@haneen9680,Bop,1,2025-04-07T12:07:08Z,2025-04-07T12:07:08Z
UgwHUp1VF6-CWH3qCup4AaABAg,,False,@8makesoneteam-l1g,Is anyone still streaming this song in 2025?????,7,2025-03-30T03:39:59Z,2025-03-30T03:39:59Z
UgwHUp1VF6-CWH3qCup4AaABAg.AGHGQMKysIbAGblmYNkinj,UgwHUp1VF6-CWH3qCup4AaABAg,True,@haneen9680,Ofc😊,0,2025-04-07T12:06:49Z,2025-04-07T12:06:49Z
UgxjWrlnzYKqjoZ4zEJ4AaABAg,,False,@유나이-s5b,Anyone in 2025,4,2025-03-29T11:53:38Z,2025-03-29T11:53:38Z
UgxSOKdA6jmB9bmNr654AaABAg,,False,@olindacrispinserpa7070,En fin temazo que solo pocos lo valoramos ❤🔥,3,2025-03-27T02:29:30Z,2025-03-27T02:29:30Z
UgwOY6-DROFMP9HDHg94AaABAg,,False,@karom468,من طرف خزامى احلى لايك واشتراك,2,2025-03-20T05:46:22Z,2025-03-20T05:46:22Z
UgzpJXMHI45D7nQA9b54AaABAg,,False,@gwekkiau,ada vibe dualipa sedikit,0,2025-03-19T23:52:49Z,2025-03-19T23:52:49Z
UgzKvHlMLXA3LCV_jIx4AaABAg,,False,@mikkaelashyshyshy,Divou,3,2025-03-19T18:14:00Z,2025-03-19T18:14:00Z
UgzXpJqkr0w0wXF6jUx4AaABAg,,False,@myatko9246,Jihyo on fire. The power of her voice.,4,2025-03-18T12:29:08Z,2025-03-18T12:29:08Z
UgwfeFBwsqx_vDh-MTh4AaABAg,,False,@Zoooortt,Momonun giydigi kolye degilmi aq,1,2025-03-15T18:24:24Z,2025-03-15T18:24:24Z
UgzzMy5Univ5qaCHZh94AaABAg,,False,@Delfinlgs2013,It's my favourite JIHYO song,2,2025-03-13T17:33:51Z,2025-03-13T17:33:51Z
UgzzMy5Univ5qaCHZh94AaABAg.AFbzKsubCN9AH62qQYXlFT,UgzzMy5Univ5qaCHZh94AaABAg,True,@lunitameow9475,me,0,2025-04-19T15:41:06Z,2025-04-19T15:41:06Z
Ugwbuj1956Qp0PdazrF4AaABAg,,False,@Iconic_45,Best collaboration,2,2025-03-06T11:01:40Z,2025-03-06T11:01:40Z
UgzQwEjJCX1VYqBmWZV4AaABAg,,False,@nudelsuppe5142,New to twice and I have to say she has the best voice of them all,3,2025-03-01T00:10:10Z,2025-03-01T00:10:10Z
UgwMuPTktqUeThXemOF4AaABAg,,False,@Latteismango,Casi 2 años de esta canción y sigue siendo mi favorita,1,2025-02-27T00:22:43Z,2025-02-27T00:22:43Z
UgybaiM8_04ULY-9tW54AaABAg,,False,@Salomon_123,"LA REINA JIHYOOOO, TE AMOOO, a vos y a TWICEEEEEEE , siempre bella humillando a los antikpop y antitwice",3,2025-02-26T01:10:44Z,2025-02-26T01:10:44Z
UgwTrk6r0qBOnafFUMl4AaABAg,,False,@arthurmarzhan,❤❤❤❤,1,2025-02-25T17:15:10Z,2025-02-25T17:15:10Z
UgwpRVoN9phCVggeyNN4AaABAg,,False,@-whyquestion,24k fire,2,2025-02-21T10:51:48Z,2025-02-21T10:51:48Z
Ugyp7UQOTJ3aRNRL5BV4AaABAg,,False,@Mina-yeon,Jihyo really is a beautiful goddess 😍,3,2025-02-20T22:40:47Z,2025-02-20T22:40:47Z
UgxrPxcQotph03OfdxF4AaABAg,,False,@syedriyanhaider6575,Anybody in 2025 include me??,73,2025-02-13T18:17:30Z,2025-02-13T18:17:30Z
UgxrPxcQotph03OfdxF4AaABAg.AEUy47WkUmgAEcGamWYgS7,UgxrPxcQotph03OfdxF4AaABAg,True,@Val-t7f,Meee,0,2025-02-16T23:42:03Z,2025-02-16T23:42:03Z
UgxrPxcQotph03OfdxF4AaABAg.AEUy47WkUmgAGHG-99mlHy,UgxrPxcQotph03OfdxF4AaABAg,True,@8makesoneteam-l1g,I'm here 🤚,0,2025-03-30T03:36:16Z,2025-03-30T03:36:16Z
UgxrPxcQotph03OfdxF4AaABAg.AEUy47WkUmgAGgPiADzWjt,UgxrPxcQotph03OfdxF4AaABAg,True,@Ryan-lk2wu,forever love jihyo 🩷,2,2025-04-09T07:21:27Z,2025-04-09T07:21:27Z
UgxrPxcQotph03OfdxF4AaABAg.AEUy47WkUmgAHy6eKHzeRL,UgxrPxcQotph03OfdxF4AaABAg,True,@thatizukumidoriya,@@Ryan-lk2wureal ❤,2,2025-05-11T00:52:38Z,2025-05-11T00:52:38Z
UgxrPxcQotph03OfdxF4AaABAg.AEUy47WkUmgAI4bbHoM172,UgxrPxcQotph03OfdxF4AaABAg,True,@Nayeon_itgirl,Meee!,1,2025-05-13T22:46:31Z,2025-05-13T22:46:31Z
UgxRZJwGMTpIQlXWE6J4AaABAg,,False,@yuriyuri3831,🛐🛐🛐🛐🛐🛐🛐,0,2025-02-12T19:09:27Z,2025-02-12T19:09:27Z
UgzT9jtc8mqy1nYUL794AaABAg,,False,@J_jaquelineli,ESSE ANO VAI TER SOLO DELA !!!!!,1,2025-02-09T19:52:45Z,2025-02-09T19:52:45Z
UgxuBA1LbuOdlGDLxbJ4AaABAg,,False,@Gwapings-w1r,I love  jihyo more soloist 🔥🔥,5,2025-02-09T00:22:56Z,2025-02-09T00:23:43Z
Ugwj3hd_Cq6xOyjemT94AaABAg,,False,@turu-tu-tutututuuu-turutur2413,"Hermosa,desde Argentina escuchando!!!",2,2025-02-03T09:15:23Z,2025-02-03T09:16:15Z
Ugydem9nHazUFZsj7E54AaABAg,,False,@daughterofsunays,still listening,0,2025-01-25T14:39:17Z,2025-01-25T14:39:17Z
Ugw17j-6EbO_qSC79R54AaABAg,,False,@hklmjnup3264,She’s so ..🥹🥹❤,0,2025-01-25T00:30:35Z,2025-01-25T00:30:35Z
UgwrVgOgJjTbrk6DQK14AaABAg,,False,@hklmjnup3264,still here,0,2025-01-21T22:10:43Z,2025-01-21T22:10:43Z
UgwUN_-lmmHesxeuir14AaABAg,,False,@tonwee0554,أنا صار لي فتره ما حملت و ما كنت اعرف ان في احد ح,0,2025-01-19T00:13:38Z,2025-01-19T00:13:38Z
UgyTh3hn9mFjlmy4tZR4AaABAg,,False,@nuku_means_nothing,"1:57

JIHYO THE QUEEN YOU ARE👑💎 🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤",1,2025-01-13T22:12:01Z,2025-01-13T22:12:44Z
