comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugwl24rGQ3sTL89oR-94AaABAg,,False,@АлександрД-Мо,Красотки ❤❤❤😊,0,2025-05-12T04:43:49Z,2025-05-12T04:43:49Z
Ugy3Rb7Go1yz4htaKKh4AaABAg,,False,@taishiarst,踊り場でやっちゃうの好き笑,0,2025-05-11T09:07:07Z,2025-05-11T09:07:07Z
UgyifMFyvQp_QwS1OmN4AaABAg,,False,@xthetic_gongju,The synchronization so cute  😂😂,0,2025-05-08T10:17:25Z,2025-05-08T10:17:48Z
UgyxSQKbHRACkSvxFZ14AaABAg,,False,@daae1612,내 댓글 삭제 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-05-07T11:37:04Z,2025-05-07T11:37:04Z
Ugwo4FFJGd2Yq9sWae14AaABAg,,False,@Laven_dare,"Stawp-
I cannot with yunjins expressions😂😂😂😭😭🙏🏻",0,2025-05-06T15:51:07Z,2025-05-06T15:51:18Z
Ugzx7LNyJVzkodfrUCF4AaABAg,,False,@tsukasayoshihara4641,夢に出てきてくださいますか？,0,2025-05-06T13:36:59Z,2025-05-06T13:36:59Z
Ugz81bcp0x9VxVStB5Z4AaABAg,,False,@TV-vq2kl,은채 너무 귀여워요!!어쩔꺼야!은채 너모 이뻐 왜 진심인데ㅋㅋㅋ,1,2025-05-05T23:41:33Z,2025-05-05T23:41:33Z
Ugz5xO3bx1VH5Bd8dU54AaABAg,,False,@くろのくれあ,🎉🎉🎉🎉🎉,0,2025-05-05T19:06:59Z,2025-05-05T19:06:59Z
Ugx-nyzPH5b8ftzaRBl4AaABAg,,False,@danieldnl3993,Es casi hipnótico amigos .. 👌🏽,1,2025-05-05T16:53:44Z,2025-05-05T16:53:44Z
Ugz60RYnkeYqaO9AI6R4AaABAg,,False,@dioblue138,第一個動作真的有夠醜,0,2025-05-05T14:50:32Z,2025-05-05T14:50:32Z
UgwqECJTrXPSE7eIKI54AaABAg,,False,@悠-e9q8s,チェウォンが澄まし顔だけどバランス崩してか壁の距離測って(？)壁に手をついちゃって、それを見てユンジンががっつり笑ってるの可愛すぎる,0,2025-05-05T01:05:27Z,2025-05-05T01:06:48Z
UgyJzZMPgEVdMW5D07l4AaABAg,,False,@佐藤邦之-r3j,階段前で偶然出会いたい😂❤😂,0,2025-05-04T23:18:55Z,2025-05-04T23:18:55Z
Ugw2uyzCD7SrU61K2S54AaABAg,,False,@09lifehack,이건 기획팀이 잘못했다~ 뉴진스 에스파급 애들한테 오렌지캬라멜을 시키네~,0,2025-05-02T19:20:00Z,2025-05-02T19:20:00Z
Ugyn1jZ4OdPITUArDth4AaABAg,,False,@FabiannaSofíaCáceresMejía,the perfect domino 😭,1,2025-05-01T23:21:30Z,2025-05-01T23:21:30Z
UgzbGF9yOjLBVpk-WDB4AaABAg,,False,@Lilyverhoeven,MY GUUURRRLLLSSSSS💅💅💅💅💅💅,1,2025-05-01T19:06:43Z,2025-05-01T19:06:43Z
UgwsRL_2GLG6oBzFYPN4AaABAg,,False,@gaweewatjitpetch,♥️♥️♥️,0,2025-05-01T06:55:07Z,2025-05-01T06:55:07Z
