comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxbpXDruadQyenYWQ54AaABAg,,False,@NCTsmtown,"Listen to 'RUBY' ➫ https://TAEYONG.lnk.to/SHALALA
✨ 'SHALALA' MV https://youtu.be/aO5DPf0vebc",107,2023-06-05T14:16:17Z,2023-06-05T14:16:17Z
UgxbpXDruadQyenYWQ54AaABAg.9q_ePjw_FCn9qcIJvnwlme,UgxbpXDruadQyenYWQ54AaABAg,True,@sebBreWong,'BUBU' 💚,4,2023-06-06T14:52:14Z,2023-06-06T14:52:14Z
UgxbpXDruadQyenYWQ54AaABAg.9q_ePjw_FCn9qmarM1p039,UgxbpXDruadQyenYWQ54AaABAg,True,@CintiaGarciaArte,"TY, you did well with Ruby.❤",4,2023-06-10T14:55:21Z,2023-06-10T14:55:21Z
UgxbpXDruadQyenYWQ54AaABAg.9q_ePjw_FCn9rixwaxh-pt,UgxbpXDruadQyenYWQ54AaABAg,True,@jasminebranch3007,💖❤️,2,2023-07-04T01:31:29Z,2023-07-04T01:31:29Z
UgxSAISmHLr_aD_4T254AaABAg,,False,@Kayto-j2d,I'm crying...,0,2025-01-24T20:52:37Z,2025-01-24T20:52:37Z
Ugw-1_Gz7SLsFOSDqQl4AaABAg,,False,@NaimurRahman-o1x,This vocal so Soft heart teaching ❤,0,2024-09-23T19:04:33Z,2024-09-23T19:04:33Z
UgyiqtPJCzVgLWime454AaABAg,,False,@boysloveplanet,😭,0,2024-03-14T17:11:04Z,2024-03-14T17:11:04Z
UgwkbdxST2CBGS2XCPZ4AaABAg,,False,@heart4riize,ruby is such a heart-warming song,4,2024-03-12T16:20:16Z,2024-03-12T16:20:16Z
UgzmggWKBMpuQhKj4bt4AaABAg,,False,@boysloveplanet,😩,0,2024-03-12T12:50:14Z,2024-03-12T12:50:14Z
Ugwi6CQk9_ceiKktB4Z4AaABAg,,False,@BEARKY_ECHAN127,this song is good for my cat who is gone,0,2024-02-27T03:25:30Z,2024-02-27T03:25:30Z
UgxGS3rAQcR0OoY_ION4AaABAg,,False,@boysloveplanet,😭,0,2024-02-09T19:34:57Z,2024-02-09T19:34:57Z
UgxjaHG-ReIK4GMDg2N4AaABAg,,False,@heart4riize,"I'M OBSESSED WITH THIS SONG, TYSM TAEYONG FOR CREATING MASTERPIECE<3",1,2024-01-29T07:48:26Z,2024-01-29T07:48:26Z
Ugxv0PJN-kx60w71AC54AaABAg,,False,@oliviaenlasnubes,❤🐶,0,2024-01-08T00:37:29Z,2024-01-08T00:37:29Z
UgzCC56aZH5UJ9ZHeUJ4AaABAg,,False,@boysloveplanet,Why no music video!😫,0,2023-12-24T10:03:19Z,2023-12-24T10:03:19Z
UgykpseibgOQ7JT9ng94AaABAg,,False,@_yatiu4850,💚💚💚💚💚💚💚💚💚💚💚💚💚,0,2023-11-30T12:09:52Z,2023-11-30T12:09:52Z
