comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwMTWmCtfZXgSwZVf14AaABAg,,False,@farah_arekeko,❤❤اشتاق الى تجمعهم مجددا,0,2025-05-10T19:01:10Z,2025-05-10T19:01:10Z
UgwLIBNlYvV9snkCCbp4AaABAg,,False,@lopotoeri678,❤,0,2025-04-20T20:25:32Z,2025-04-20T20:25:32Z
Ugy_fQ6xtGfcp-n8Ml94AaABAg,,False,@ivy_loeou,soooo cuteweeeee,0,2025-04-03T14:23:17Z,2025-04-03T14:23:17Z
UgwQ9wpD58DQxowJ-d14AaABAg,,False,@BarbaraSantos-dy3jd,❤,0,2025-02-26T14:04:07Z,2025-02-26T14:04:07Z
UgwpUY2DndLd_EUU32l4AaABAg,,False,@สงกรานต์ปอน,😂😂😂,0,2025-02-25T10:09:50Z,2025-02-25T10:09:50Z
Ugx1QsWl-QPg0pWMwG94AaABAg,,False,@Giiiiinaaaaaaa,EXO- sc 😂,0,2025-02-20T14:45:33Z,2025-02-20T14:45:33Z
UgwFUvrVe0zguSNutqx4AaABAg,,False,@iswahsoojin5894,"kirain vid baru, ternyata lama 😢",0,2025-02-20T03:24:16Z,2025-02-20T03:24:16Z
UgxyspOOyB32U-AOOdZ4AaABAg,,False,@ln_pcy6182,❤❤❤❤❤❤❤,0,2025-02-19T13:18:48Z,2025-02-19T13:18:48Z
UgwCwLJn7j6mm0cWS7Z4AaABAg,,False,@세웅-o9w,참잘했어요,0,2025-02-19T01:57:21Z,2025-02-19T01:57:21Z
UgyzsV8c9ZBiS06SB6p4AaABAg,,False,@gayathriudayabhanu3655,❤❤❤,0,2025-02-15T09:07:55Z,2025-02-15T09:07:55Z
UgxZg-7U-NngzscNujF4AaABAg,,False,@tereeza852,i miss them;(,0,2025-02-12T21:05:45Z,2025-02-12T21:05:45Z
UgwkJj-ocpki2zuC_Qt4AaABAg,,False,@mavermanjarrezdaza3789,Chen ❤❤❤,1,2025-01-21T15:53:11Z,2025-01-21T15:53:11Z
UgwZYXHkFdNzNHl3nlt4AaABAg,,False,@Jeongyeon_slayedTWICE,Chen dont wanna take a photo is so cute,0,2025-01-14T22:38:44Z,2025-01-14T22:38:44Z
UgydAtjbImAkDyim_qV4AaABAg,,False,@milkahumaida165,Chennie🫶🫶,0,2025-01-08T23:57:24Z,2025-01-08T23:57:24Z
Ugy7VARnLpEZVp2Ffst4AaABAg,,False,@Loza-t8x,تشين كيوووت❤,0,2025-01-06T08:51:51Z,2025-01-06T08:51:51Z
UgzptCdn5F-ZGAuL9PZ4AaABAg,,False,@istrinyasehun-6331,WE ARE ONE ❤❤,0,2024-12-28T04:37:46Z,2024-12-28T04:37:46Z
Ugy_PNhUmpl5XV2d94d4AaABAg,,False,@OladapoAjiboye-j2t,❤❤❤❤❤❤❤❤❤❤❤❤❤❤Chen's so adorable,0,2024-12-24T13:59:05Z,2024-12-24T13:59:05Z
UgwafRAMUOmL8uqeIgx4AaABAg,,False,@ЖылдызЭргашова-р7н,Мои любимые 😘😘😘,0,2024-12-19T13:27:49Z,2024-12-19T13:27:49Z
UgxEhAv3Xhba3HCSYRJ4AaABAg,,False,@UnkownSouza,Love you Chen suho ❤❤❤ exo 😍😍💋💋💋 favorita 💖💖🥰,0,2024-12-10T15:25:16Z,2024-12-10T15:25:16Z
UgyJ20vaO_eiKIU7RvN4AaABAg,,False,@BLACKCAT6614-KB,Chen is so naughty and cute,0,2024-11-09T15:29:00Z,2024-11-09T15:29:00Z
UgyKx24OaDDQwcFvf4h4AaABAg,,False,@帅永恒,soo cute！,0,2024-08-13T16:49:24Z,2024-08-13T16:49:24Z
Ugwo0QuZQ28_f3SEIGR4AaABAg,,False,@1늘,뭔데 뭔데 김종대 이렇게 잘 생겼는데...,1,2024-07-28T06:10:13Z,2024-07-28T06:10:13Z
Ugz2iJABSf6-GZgFeBJ4AaABAg,,False,@Oksana-qe7wq,Красавцы❤,1,2024-07-10T12:00:40Z,2024-07-10T12:00:40Z
UgyQi-lCmJhxxI8Zq2h4AaABAg,,False,@mobinafathi8245,My two handsome perfect boy. Too cute❤,2,2024-07-02T20:11:34Z,2024-07-02T20:11:34Z
UgzbodMx7AesVKxz02B4AaABAg,,False,@margaritats7246,Oh my dear EXO members.  Suho and Chen❤❤❤,0,2024-07-01T00:44:07Z,2024-07-01T00:44:07Z
UgyclBWzck5uKQM6b-Z4AaABAg,,False,@-Hexania-,Lovely,0,2024-06-24T10:49:36Z,2024-06-24T10:49:36Z
UgydoiJBXfFAkONNbwp4AaABAg,,False,@Beomtae123,수호랑 첸 사랑해 😭💗,6,2024-06-22T17:11:54Z,2024-06-22T17:11:54Z
Ugzkz4F17f0oQb5F3vh4AaABAg,,False,@onomatopee456,かわいすぎる❣️ちぇんすほ❣️❣️,0,2024-06-22T15:23:00Z,2024-06-22T15:23:00Z
UgwZuYjXwTDB2rFVAgZ4AaABAg,,False,@kim_Dae21,❤❤,0,2024-06-22T07:56:40Z,2024-06-22T07:56:40Z
Ugx-MA19JDDz1-mYpzF4AaABAg,,False,@bbororororoc,아 준면이 웃는거 넘 예뻐서 또 보러 옴🥹🥹 어떻게 사람이 뿡빵커비지???🩷🩷,0,2024-06-20T04:05:56Z,2024-06-20T04:05:56Z
Ugy-ppkEm-i1tM1aDoF4AaABAg,,False,@JongdaeKim-yy5le,Cuties,0,2024-06-19T09:07:17Z,2024-06-19T09:07:17Z
Ugx8VAeSz1M0FVqQm3J4AaABAg,,False,@WolfAli.codm.l,chen and sohu😢😢😢❤❤,0,2024-06-14T09:12:44Z,2024-06-14T09:12:44Z
Ugx6OKzOqmrEzDXe0eZ4AaABAg,,False,@melikeyuh,둘다 ㅈㄴ 잘생김,1,2024-06-11T17:40:26Z,2024-06-11T17:40:26Z
UgyY63sFch9ed3fKAJt4AaABAg,,False,@kim_Dae21,My favs,0,2024-06-09T14:41:00Z,2024-06-09T14:41:00Z
UgyjSMSoetLKXIdY0994AaABAg,,False,@dagmarOlyver02,❤😍,0,2024-06-06T16:06:18Z,2024-06-06T16:06:18Z
UgyRrq-8k9Jpp--B6A14AaABAg,,False,@小梅-d9w,ＳＵＨ♡愛してる😘,0,2024-06-06T13:42:04Z,2024-06-06T13:42:04Z
Ugx6HPIbM3plLrbW8aN4AaABAg,,False,@Exo-L-3dj,Btw where is kai and lay??,0,2024-06-05T06:30:10Z,2024-06-05T06:30:10Z
UgxI7F7MEPcodPH3rqV4AaABAg,,False,@oohsura,😁صدقة جمالهم🫰🏻✨️,0,2024-06-04T15:19:36Z,2024-06-04T15:19:36Z
UgyKhMNZJFcS6XYvuyx4AaABAg,,False,@fanchenworld,Why are you so shy Jongdae ❤,1,2024-06-03T13:40:59Z,2024-06-03T13:40:59Z
UgxMFJP6NzLcGobAMgN4AaABAg,,False,@RonnieSH123,"They still so young, so handsome and so active. Just great.😊",2,2024-06-03T05:46:12Z,2024-06-03T05:46:12Z
Ugx_t3QSxr011Jcgeah4AaABAg,,False,@irishjoydelrosario1921,❤️❤️❤️,0,2024-06-03T05:05:46Z,2024-06-03T05:05:46Z
UgwqJyUjKw2ItqpbjeN4AaABAg,,False,@LoveConquersAll777,행복하당😊💛,0,2024-06-03T04:24:20Z,2024-06-03T04:24:20Z
UgyANrxXgRiBcH5PU2d4AaABAg,,False,@Mey1822,So Cute Suho chen😂❤,0,2024-06-02T11:30:17Z,2024-06-02T11:30:17Z
UgzMZ4koh2yOufRtmx94AaABAg,,False,@pemachoden5454,❤❤,0,2024-06-01T16:27:31Z,2024-06-01T16:27:31Z
UgzRpGy1FS96eC-eMOZ4AaABAg,,False,@이매화-h2u,엑소♥♥멤버들도요멋쟁에용♥♥♥,0,2024-06-01T12:15:32Z,2024-06-01T12:15:32Z
UgyofMdUKCn39DodvrJ4AaABAg,,False,@رهفالجميلة-م9ف,✌❤✌❤,0,2024-05-31T11:24:40Z,2024-05-31T11:24:40Z
UgyDD5tLTy1A3KAWiCp4AaABAg,,False,@shouxueyuanguai1961,🎉❤,0,2024-05-31T03:46:13Z,2024-05-31T03:46:13Z
UgwqXw24rCq0jXqpsf54AaABAg,,False,@americanojowa,تشين وليدي سيفو عليك دير التشالنج 💔,0,2024-05-31T00:48:32Z,2024-05-31T00:48:32Z
UgyQXdEiuQV2-U_ALKF4AaABAg,,False,@냥뇽meow,김종대긴덮머너무좋아!!!요즘비주얼폼미침,6,2024-05-30T10:47:16Z,2024-05-30T10:47:16Z
