comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugy95IyYqQaFstGhROx4AaABAg,,False,@william_one,847k,0,2025-05-12T04:07:34Z,2025-05-12T04:07:34Z
UgxmRzAsscrynjfTukl4AaABAg,,False,@Ellims,Just realize the room is blue💙💙,1,2025-05-02T18:20:17Z,2025-05-02T18:20:17Z
Ugys1_QcQihTl-bR2XZ4AaABAg,,False,@Sezgin-b7j,"Tzuyu I love you so much, I'm glad you exist my love, I love your songs so much. ❤",1,2025-04-13T12:09:17Z,2025-04-13T12:09:17Z
UgzH3VOqw7iFoWuE-Sl4AaABAg,,False,@footballfan3i2,the timbalands go hard,0,2025-04-08T22:43:55Z,2025-04-08T22:43:55Z
UgxwN8TM752XG6bdUwJ4AaABAg,,False,@Ayrene01,This song really deserves more recognition,8,2025-03-31T05:50:25Z,2025-03-31T05:50:25Z
Ugz7BicKmanZ2U9e5op4AaABAg,,False,@william_one,Why do lots of people sleep on her debut???,3,2025-03-14T15:56:38Z,2025-03-14T15:56:38Z
UgyR_Ppv-mmBcfrCLdp4AaABAg,,False,@Mariam-p6v7v,820k let's go,1,2025-03-11T15:19:46Z,2025-03-11T15:19:46Z
Ugx5FGv-TvlYRAEtAt54AaABAg,,False,@Mariam-p6v7v,818k let's go,1,2025-03-11T15:19:37Z,2025-03-11T15:19:37Z
Ugz1NyKQMEULEEtN2Wp4AaABAg,,False,@Mariam-p6v7v,900 k let's go,0,2025-03-11T15:19:23Z,2025-03-11T15:19:23Z
UgxZ6teN-BJkntH-C9J4AaABAg,,False,@KeithLund,Run Away is a great solo debut song with great choreography. 😍,4,2025-03-08T04:31:15Z,2025-03-08T04:31:15Z
Ugx8r1Dq2W3EsHQ2yTx4AaABAg,,False,@laiwinhlaing,tzuyu I love you,2,2025-03-06T03:20:18Z,2025-03-06T03:20:18Z
UgxJx6PR9q9GA0MXZ0Z4AaABAg,,False,@imm84,thats Kirsten Dodgen choreography❤,0,2025-02-23T02:40:41Z,2025-02-23T02:40:41Z
UgxGfP_JNwQRoFplZvJ4AaABAg,,False,@angela.0225,子瑜好有魅力好漂亮,3,2025-02-19T13:33:55Z,2025-02-19T13:33:55Z
UgwBILVV6Lim1EwyAnR4AaABAg,,False,@aprichomaniprichmha,no charisma no aura,0,2025-02-18T10:00:57Z,2025-02-18T10:00:57Z
UgwBILVV6Lim1EwyAnR4AaABAg.AEfxDgjxc2ZAEm0FOLd9Al,UgwBILVV6Lim1EwyAnR4AaABAg,True,@juxpixter,It’s just dance practice 😭 chill,0,2025-02-20T18:31:35Z,2025-02-20T18:31:35Z
Ugxj5EG4rzSA4bfEbeZ4AaABAg,,False,@alexia9wice660,Lindaaa <3,0,2025-02-07T21:41:30Z,2025-02-07T21:41:30Z
UgyU4SEbGc_x0-YH7Zd4AaABAg,,False,@joy06241,舞蹈舒展有力，子瑜加油！,2,2025-01-31T12:33:58Z,2025-01-31T12:33:58Z
UgyzTJVwKDLzBPILo2B4AaABAg,,False,@torrid94,💟💟💟,1,2025-01-27T03:36:11Z,2025-01-27T03:36:11Z
UgyqsHHXBZe4lLEpcRt4AaABAg,,False,@ainieerissa6878,a lead dancer for a reason !,9,2025-01-16T14:54:59Z,2025-01-16T14:54:59Z
UgxAd2wZHB4MgLLEV_x4AaABAg,,False,@fiayoominhye,I still learn this choreo❤,4,2025-01-15T12:30:51Z,2025-01-15T12:30:51Z
UgwOZggiuqOVpWB7inR4AaABAg,,False,@9wiceCore,Wonderful tzuu,5,2025-01-11T10:17:37Z,2025-01-11T10:17:37Z
UgwDYE0p08ifZEJOOxF4AaABAg,,False,@SingerStar-fg5yf,Beautiful 😍,5,2025-01-05T21:57:47Z,2025-01-05T21:57:47Z
UgzqsY64qyTSa3o7LZZ4AaABAg,,False,@SingerStar-fg5yf,🥰,2,2025-01-05T21:55:07Z,2025-01-05T21:55:07Z
UgyIg54JldAY_V1UzW14AaABAg,,False,@tksnnosgkwii,run away好きすぎるんだが！ツウィの声マジ最高,4,2025-01-05T09:19:19Z,2025-01-05T09:19:19Z
Ugz709F1dsJ9yBrCqSp4AaABAg,,False,@raizhamzah5808,Wonderful choreo❤,3,2025-01-03T15:51:04Z,2025-01-03T15:51:04Z
UgwFyCek3sKbYmgdAfV4AaABAg,,False,@みき-j4y5d,ツウィ❤❤❤,4,2024-12-22T10:33:03Z,2024-12-22T10:33:03Z
Ugz4b3eISaVHtE69S0d4AaABAg,,False,@Gablovestwice,Keep cooking tzu we love you,5,2024-12-20T12:56:53Z,2024-12-20T12:56:53Z
UgylKWJostL1ST9oA0F4AaABAg,,False,@carolinaassis4279,Amo muito a tzuyu como solista,5,2024-12-19T11:05:43Z,2024-12-19T11:05:43Z
UgxySxgTltzEAPLpy-F4AaABAg,,False,@MarianaFerreira-l1f,just mesmerizing such a difficult choreography,5,2024-12-16T16:03:21Z,2024-12-16T16:03:21Z
UgzOfEGuK3_aObRtOT14AaABAg,,False,@ct6_,Jyp !!!,1,2024-12-14T03:34:24Z,2024-12-14T03:34:24Z
