comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyxWVqpXevqffr4pI14AaABAg,,False,@Orkenjanoretut,I actually laughed out loud,0,2025-04-15T02:48:47Z,2025-04-15T02:48:47Z
UgyKB32qdtzDIlIi1s94AaABAg,,False,@riki_리키,HELP 😭,0,2025-04-09T04:03:54Z,2025-04-09T04:03:54Z
UgziqC1Tl0LtfwawB7p4AaABAg,,False,@franny665,"💐🫡
💘🥂🧸",0,2025-04-09T00:05:16Z,2025-04-09T00:05:16Z
Ugw-eFmSgM-YpjHfs6x4AaABAg,,False,@rrinip,LMAO,0,2025-04-04T02:43:06Z,2025-04-04T02:43:06Z
UgzfQpmqjIJOs2mydad4AaABAg,,False,@badnickname5-4,Last second is Yujin's makeup before debut.😂😂😂😂,0,2025-04-02T05:34:51Z,2025-04-02T05:34:51Z
UgyJ3QpYsB7DvdXPJJd4AaABAg,,False,@IAteUWU,I remember Yunjin making this face to Chaewon so many times lol,1,2025-04-01T21:32:13Z,2025-04-01T21:32:13Z
UgxMTWEa8hMZv3GqsJZ4AaABAg,,False,@kumming5243,允真啊💖,0,2025-04-01T04:38:33Z,2025-04-01T04:38:33Z
UgwaPuFMS8Rx5UNtQfV4AaABAg,,False,@michelmfotografia,"Goey supera el chismez enfócate en tu salud, tu lealtad",0,2025-04-01T00:37:19Z,2025-04-01T00:37:19Z
UgxOayepKzUSbIccRyV4AaABAg,,False,@faithAdesoji,💫🔔💫🪽💐🥭🌹🍇🕯️💫,1,2025-03-31T14:35:39Z,2025-03-31T14:35:39Z
Ugwk9vDWSCmCnrkc2G14AaABAg,,False,@張莉莛,允真的髮型好漂亮哦！,0,2025-03-31T09:32:02Z,2025-03-31T09:32:02Z
UgxHYhP0QWNB7MAOotR4AaABAg,,False,@Taiane-kr4ug,YUNJIN DE FRANJA ???,0,2025-03-31T01:53:05Z,2025-03-31T01:53:05Z
UgwGXTzkGt_cbE1Hbpd4AaABAg,,False,@kkuranikia,YUNJIN STOPPP,0,2025-03-30T18:32:16Z,2025-03-30T18:32:16Z
UgyaM6wTjMWrTrtAJu14AaABAg,,False,@Kpopstannnnn1,This is why Yunjin is my bias😭😭💗,7,2025-03-30T10:15:38Z,2025-03-30T10:15:38Z
Ugy5BUa-AzoRjre4-vN4AaABAg,,False,@れんこう-n3o,顔　細く　なったのか　魅力アップ😊,1,2025-03-30T03:30:18Z,2025-03-30T03:30:18Z
UgzQrFfrLiJJv2Q1uYp4AaABAg,,False,@ななみ-f2d,"Yunjin is charming, cute, and elegant✨✨",0,2025-03-30T03:23:42Z,2025-03-30T03:23:42Z
Ugxek-yjv9SJQ4n0XJZ4AaABAg,,False,@MariamMostafa-o4c,"""queen never cry""",0,2025-03-29T23:52:57Z,2025-03-29T23:52:57Z
UgyMfyi0L8QDz0jazOF4AaABAg,,False,@dailyyinah,QUEEN NEVER CRAI,0,2025-03-29T14:22:52Z,2025-03-29T14:22:52Z
Ugz8TejolDU2Ufhz4fZ4AaABAg,,False,@sooahnim,Chaddifer is so cursed 😭,1,2025-03-29T01:09:00Z,2025-03-29T01:09:00Z
