comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxJacnifD14Gfy8OZ54AaABAg,,False,@hannaczarnik4152,HOSHI THE MAN YOU ARE !!!!!!!!! your moves hipnotize me every time,0,2025-05-15T19:04:21Z,2025-05-15T19:04:21Z
UgzPpoqI5Pj5E076oe54AaABAg,,False,@francianemoraes2418,"Hoshi, melhor dançarino de todo o Kpop.",0,2025-05-12T07:24:08Z,2025-05-12T07:24:08Z
UgwNFckuL6zxOqp1INh4AaABAg,,False,@AllukaZoldick-j5y,بس هوشي ما عنده شي يسويه,0,2025-05-08T17:55:07Z,2025-05-08T17:55:07Z
UgyvnZ88JoBZvhwXdLB4AaABAg,,False,@protyushamondal7121,The groundedness of hoshi's dance ughhhh I love it,2,2025-05-07T11:37:45Z,2025-05-07T11:37:45Z
UgzZMpk2z0xVmzCFtqp4AaABAg,,False,@chuuyachuu115,2:46 i FAWKING love this part omg,0,2025-04-28T13:13:06Z,2025-04-28T13:13:06Z
UgzZMpk2z0xVmzCFtqp4AaABAg.AHSy3JfCzXVAHSy6g-2Da3,UgzZMpk2z0xVmzCFtqp4AaABAg,True,@chuuyachuu115,how did he even DO THATTT,0,2025-04-28T13:13:33Z,2025-04-28T13:13:33Z
UgzZMpk2z0xVmzCFtqp4AaABAg.AHSy3JfCzXVAHc1zwFSwTl,UgzZMpk2z0xVmzCFtqp4AaABAg,True,@mellobies,hes so attractive,1,2025-05-02T11:08:36Z,2025-05-02T11:08:36Z
UgzHWnm3iRa0e9ZIfXF4AaABAg,,False,@selmapark3704,Performans...👏 Bayıldım.,0,2025-04-22T12:17:20Z,2025-04-22T12:17:20Z
UgxooI_4i-5ywQQDOWB4AaABAg,,False,@willianfrazao8003,😊,0,2025-04-06T07:33:37Z,2025-04-06T07:33:37Z
Ugw4Dn_GDg_13TzjFcR4AaABAg,,False,@yomnaalgndi3130,Wow 😳,0,2025-03-23T12:14:05Z,2025-03-23T12:14:05Z
UgyIRB55m1xImwtTVul4AaABAg,,False,@blueeskies,"Wish we could get another performance of Spider, still my favourite after almost 4 years",1,2025-03-17T16:24:18Z,2025-03-17T16:24:18Z
UgwD3brlnw2MI9CJa6p4AaABAg,,False,@Maunghae1010,One dancer reactor told us to pay attention to how Hoshi's uses his feet.. And wow he is so graceful and precise..,1,2025-03-01T07:42:23Z,2025-03-01T07:42:23Z
UgxWtQEUCQu1gX2Y4-V4AaABAg,,False,@tokkihour301,Kwon soon young you are just built differently😢 the details were amazing,2,2025-02-22T10:14:08Z,2025-02-22T10:14:26Z
