comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugzl9BvgiIIBzUgDhGl4AaABAg,,False,@BLACKPINK,"Pink Venom. Out Now.

https://youtu.be/gQlMMD8auMs",855,2022-08-19T04:10:33Z,2022-08-19T04:10:33Z
Ugzl9BvgiIIBzUgDhGl4AaABAg.9etqZXrFmCF9etqm4M2LfU,Ugzl9BvgiIIBzUgDhGl4AaABAg,True,@kn-ykcongchuatu8485,Blackpink is the Queens,15,2022-08-19T04:12:24Z,2022-08-19T04:12:24Z
Ugzl9BvgiIIBzUgDhGl4AaABAg.9etqZXrFmCF9etqoA19KLU,Ugzl9BvgiIIBzUgDhGl4AaABAg,True,@gabuuw,best girls,7,2022-08-19T04:12:41Z,2022-08-19T04:12:41Z
Ugzl9BvgiIIBzUgDhGl4AaABAg.9etqZXrFmCF9etrCJERhUw,Ugzl9BvgiIIBzUgDhGl4AaABAg,True,@mexxichi,LOVE YOU BLACKPINK,7,2022-08-19T04:16:07Z,2022-08-19T04:16:07Z
Ugzl9BvgiIIBzUgDhGl4AaABAg.9etqZXrFmCF9etuKxASYhJ,Ugzl9BvgiIIBzUgDhGl4AaABAg,True,@ihyojuhann1492,.,1,2022-08-19T04:43:31Z,2022-08-19T04:43:31Z
Ugzl9BvgiIIBzUgDhGl4AaABAg.9etqZXrFmCF9etwVwF6L5u,Ugzl9BvgiIIBzUgDhGl4AaABAg,True,@godisawoman,COME TO ITALY 🇮🇹 LOVE YOU,4,2022-08-19T05:02:29Z,2022-08-19T05:02:29Z
UgxgiRjoy7_iMY2CxqV4AaABAg,,False,@damdelioms,MI AMOR T AMO TANTO,0,2025-05-12T20:04:18Z,2025-05-12T20:04:18Z
Ugy9fq_y5wf5rFkLJYl4AaABAg,,False,@KhairulIslam-v5w,I love you Lisa ❤️,0,2025-03-24T07:02:12Z,2025-03-24T07:02:12Z
UgxiUb47VMCwnOnODXV4AaABAg,,False,@NeelimaBalla-o9x,❤❤❤❤,0,2025-03-20T06:02:24Z,2025-03-20T06:02:24Z
Ugx9q4jaA4wNdC0lH_d4AaABAg,,False,@all_in_kpop97,2025 and I'm still here,1,2025-03-09T14:59:04Z,2025-03-09T14:59:04Z
Ugw-cMS1r6JeExuzfkN4AaABAg,,False,@The_CHildcial,Finally blackpink comeback!!!,1,2025-02-27T04:14:25Z,2025-02-27T04:14:25Z
Ugw0y6jQDolh_M3EEWx4AaABAg,,False,@BLACKPINKMVSONG,리사의 전설은 뭔가 다르다,0,2025-02-21T11:09:21Z,2025-02-21T11:09:21Z
UgxRWyPd3r_c_dqLCMp4AaABAg,,False,@Veerendrakumar-h7q,Lisa❤❤❤❤,0,2025-01-13T11:22:26Z,2025-01-13T11:22:26Z
UgzRiRIbbDEt_AQwCr94AaABAg,,False,@Hzallssdemrr,2025,0,2025-01-03T11:10:17Z,2025-01-03T11:10:17Z
UgxopdZwCLCZkNj1pFV4AaABAg,,False,@CemreAka-lu1kh,Lisa IWBYLIDWBYF,1,2024-12-29T12:03:09Z,2024-12-29T12:03:28Z
UgxFH71-d-iU2l0vMCx4AaABAg,,False,@ZaraKhan-y8f1i,Queen Lisa,0,2024-12-16T02:28:33Z,2024-12-16T02:28:33Z
UgwCJcpmlsH3HkvdU814AaABAg,,False,@ZaraKhan-y8f1i,wow Queen lisa😊,0,2024-12-16T02:27:51Z,2024-12-16T02:27:51Z
Ugz4h2KLkcMnyuh5NTN4AaABAg,,False,@Nk-pop8,Lisa,0,2024-11-16T07:47:54Z,2024-11-16T07:47:54Z
Ugwnho0LrjOwzRSOY9R4AaABAg,,False,@Nk-pop8,LISA,0,2024-11-16T07:47:42Z,2024-11-16T07:47:42Z
UgxMMWTmkvVXQdwUP-R4AaABAg,,False,@Nk-pop8,بلک‌پینک,0,2024-11-16T07:47:16Z,2024-11-16T07:47:16Z
UgyfR01PGWTJTYt7JYB4AaABAg,,False,@Nk-pop8,لیسا,0,2024-11-16T07:47:04Z,2024-11-16T07:47:04Z
Ugxz2fLHlE46s2pWFlh4AaABAg,,False,@Nk-pop8,BLACKPINK,0,2024-11-16T07:46:48Z,2024-11-16T07:46:48Z
UgyDHSFQ7YFznFOJtx54AaABAg,,False,@Nk-pop8,کامبک‌جدید‌میخوام,0,2024-11-16T07:45:25Z,2024-11-16T07:45:25Z
Ugy12FrMZGCCQimaQxZ4AaABAg,,False,@Nk-pop8,Lisaaaa,0,2024-11-16T07:45:04Z,2024-11-16T07:45:04Z
Ugxd6VE0GBT1GFQ2Hz94AaABAg,,False,@Alexbydlife,Who is 2024,0,2024-10-27T17:30:30Z,2024-10-27T17:30:30Z
Ugw554lZ8p4bfrGvzuV4AaABAg,,False,@ROBLOXinmybussy,Iconic teaser when we all thought it was a snake or a spider theme!,1,2024-10-20T06:30:09Z,2024-10-20T06:30:09Z
UgyIddK5ZT3I73lchjp4AaABAg,,False,@NazarYati-d7p,Lisaaaa,0,2024-10-11T02:54:24Z,2024-10-11T02:54:24Z
UgwXWQwIg8tISILXx014AaABAg,,False,@sasa-x6j3f,Lisa太漂亮啦！！！！,0,2024-10-11T00:42:53Z,2024-10-11T00:42:53Z
Ugw5tilgtGuajCF_GsZ4AaABAg,,False,@Ayşetopaloglu3590,"Lisa fans?
👇🏻
👇🏻
👇🏻",1,2024-10-07T08:20:20Z,2024-10-07T08:20:20Z
UgyXW2rUrVkDoLCodDZ4AaABAg,,False,@AliAluabidy,لاليسا - السم الوردي.,0,2024-09-29T08:08:24Z,2024-09-29T08:08:24Z
UgyzDrhUoSfutbw2ESB4AaABAg,,False,@Lisapavedthewaycryaboutit,Omg her style and visuals ❤😮❤😊❤,0,2024-09-06T08:39:01Z,2024-09-06T08:39:01Z
Ugzsmhq_hsX_l6LcPbl4AaABAg,,False,@Masugally,887LM,0,2024-08-10T14:47:14Z,2024-08-10T14:47:14Z
Ugx1xJW-xxJOqvZjCJ14AaABAg,,False,@LalisaLloud-f9x,Lisa eres la mejor,0,2024-07-30T13:35:25Z,2024-07-30T13:35:25Z
