comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyL-1TMZmFaT3exG054AaABAg,,False,@bsfswher.,rewatching <3,0,2025-04-30T16:10:20Z,2025-04-30T16:10:20Z
Ugz0xDhQdiNRJH6r83B4AaABAg,,False,@Heval_Kurd,"Momoring is just in full panic mode the whole time running around trying to find her Death Note and then once she finds it, she's still panicking since she needs pens. And wow Sana was so close to winning both games, but Minari barely clutched them",0,2025-04-26T04:35:13Z,2025-04-26T04:35:13Z
UgxGZHW1Q63bonm3x5Z4AaABAg,,False,@hozicky,so one's gonna talk about how Jeongyeon and Mina flinched when Momo sneeze but they just don't give a heck? 2:23,0,2025-04-22T09:01:38Z,2025-04-22T09:01:38Z
UgymdWwLynmBmA-WGxF4AaABAg,,False,@kaylajay951,Ot9❤,0,2025-04-21T22:28:04Z,2025-04-21T22:28:04Z
UgyYic28CBU7uIBI7cp4AaABAg,,False,@KhansalvaSatyaWiedendha,This Is Time To Twice Death Note Same As Anime Series,0,2025-04-20T06:46:26Z,2025-04-20T06:46:26Z
UgwAzZNouzRHWBYFmSR4AaABAg,,False,@Sergio-n1u,I LOVE TWICE WITH ALL MY HEART AND SOUL.THOUGH MY BIAS AND LOVEEEEEEEEEEEEEEEEEEEEEEEE IS TZUYU 💐🫠💐💐💍💍🤭💖💐💖💐💖💐💖💐💐💐💖💐💖💐💖💐💖💐💖💐💖💐💖💐💖💐💖💐🤭💐🤭💐💐🤭💐🤭💐💐🤭💐🤭💐🤭💐🤭💐🤭💐💐🤭💐🤭💐🤭💐🤭🤭🤭🤭🤭🤭💐💐💐💐💐💐💐💐🥰💐🫠💐🥰💐🫠💐🫠💐💐💐🥰💐🫠💐🫠💐🫠💐💐🫠💐🫠💐🫠🫠💐💐💐🥹💐🥹💐🥹💐🥹💐💐🥹💐🥹💐🥹💐🥹🥹💐🥹💐🥹💐💐💟💐💟💐🥹💐🥹💐💟💐💟💐🥹💐🥹💐🥹💐💐🥹💐🥹💐🥹💐🥹💐🥹💐🥹💐💟💐💐💟💐💟💐💟💐💟💐🥹💐🥹💐💐🥹💐🥹🤭💟🤭💟🤭🥹🤭🤭🥹🤭🥹🤭🥰🤭🥰🤭🥰🤭🤭🥰💐🥰🤭🥰🤭🥰🤭🥰🤭🥰🤭🥰🤭🥰🤭🤭🤭🥰🤭🥰🤭🥰🤭🥰💐🥰💐🥰💐🥰💐💐🤭🥰🤭🫠🤭🥰🤭🫠💐💐🥰💖🥰💖🥰💖🥰💖🥰💐🥰💐🥰🤭🤭🥰🤭🥰🤭🥰🤭🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐💐🥰🫠💐💐💐🥰💐💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🫠💐🫠💐🫠💐🥰💐🥰💐💐🥰🤭🥰🤭🥰💐🥰💐🥰💐🥰💐💐🥰💐🥰💐🥰💐🥰💐🥰💐💐🥰💐🥰💐🥰💐💐🥹💐🥹🥹💐🥹💐🥰💐🫠💐💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐🥹💐🥹💐🥹💐🥹💐💟💐💟💐💟💐💟💐💟💐💟💐🤭💐🫠💐🫠💐🥰💐🥰💐🥰💐🥰💐🥰💐🥰💐💐🥰🥰💐💐💐💐💐🥹💐🥹💐🥹💐🥹💐🥹💖🥹💖🥹💖🥰💖🥰💐🥰💖💐🥰💐🥰💐🥰💐🥰💐🫠💐🫠💐🥰💐🫠💐🫠💐💐🥰💐🥰💐🥹💐🥹💐🥹💐🥹💐🥹💐💐💟💐💟💐💟💖💟💖💟💐💟💐💟💐💟💖💟💖💟💖💟💖💟💖💟💖💟💖💐💟💟💖💐💟💐💟💐💟💖💟💖💟💐💟💖💐🥰💐🥰💐🫠💐💐🫠💐🫠💐🥰💐🥰💖🥰💖🥰💖🥰💖🥰💖🥰💖🥰💖💖🥰💖🥰💐🥰💖🥰💖🥰💖🥰🥰💐🥰💖🥰💖🥰💖💟💖🥹💖🥹💖🥹💖🥹💖🥹💖💐🥹🥹,0,2025-04-15T16:28:41Z,2025-04-15T16:28:41Z
UgyEb-Vr8IxQfWqkyGJ4AaABAg,,False,@sssaeia,who's rewatching TTT ?,0,2025-04-15T11:48:01Z,2025-04-15T11:48:01Z
UgzihJlcqk3KUUKsaXJ4AaABAg,,False,@huilivetzu,❤❤,0,2025-04-03T00:17:32Z,2025-04-03T00:17:32Z
UgwDzRB37klH0ZWWYlR4AaABAg,,False,@kisannisan4493,hmmm death note 🙂🙂🙂,0,2025-04-01T10:56:33Z,2025-04-01T10:56:33Z
UgydnXvtm4KDRdvkBF54AaABAg,,False,@KeyzoTwenty-nine-qv8sp,Park Zyo fighting...,0,2025-03-31T08:15:32Z,2025-03-31T08:15:32Z
UgwAP64wbntg3nk9lDJ4AaABAg,,False,@jybyem5271,COMO ES POSIBLE QUE YA HAYAN PASADO 10 MESES DESDE QUE SALIO ESTE TTT??? NO PENSE Q PASARA NI MEDIO AÑO,0,2025-03-17T20:15:02Z,2025-03-17T20:15:02Z
