comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugxte6hBi1KGpa20mS54AaABAg,,False,@RLC63,🤍🌟🤍🌟🤍,0,2025-03-25T16:05:38Z,2025-03-25T16:05:38Z
UgyuwiOtY6XqTD8Kgyx4AaABAg,,False,@ri8yq9pe1f,テンさん美人すぎて姐さんと呼びたい,5,2025-03-16T15:17:31Z,2025-03-16T15:17:31Z
UgzwmemJdpHP2Ki6_hF4AaABAg,,False,@user-lb8li8uk6o,ビジュ鬼強,1,2025-02-16T12:42:38Z,2025-02-16T12:42:38Z
UgyDHIspAHwHVIt7jmV4AaABAg,,False,@Deutschefrau-c3c,They were a ship in thier debut 😂😂❤,0,2025-01-10T19:56:39Z,2025-01-10T19:56:39Z
UgxToqAogmwQAweiBMJ4AaABAg,,False,@My.14kpopkings,Ten my lovely king kind sweet pretty❤❤❤❤❤❤,1,2024-12-12T09:58:03Z,2024-12-12T09:58:03Z
Ugx_7De1LTj2Q8DSRo54AaABAg,,False,@Dilara-s5g,Ten 💥💥💥,1,2024-12-10T12:08:10Z,2024-12-10T12:08:10Z
UgyQP7EeHPPm71S3iNh4AaABAg,,False,@Farfromyou7,As always slay Momoring 🍑💅,1,2024-09-11T23:22:23Z,2024-09-11T23:22:23Z
Ugw4q4VwcWzPrKrxQkp4AaABAg,,False,@VanessaSantos087,Nunca vou superar esses dois juntos,0,2024-09-02T18:30:31Z,2024-09-02T18:30:31Z
UgxZzx5pgO7zO-tOA1N4AaABAg,,False,@텐진00,"I wanna see NCT/WayV Ten with SKZ Lee Know 😭😭😭 Please, Univers, grant me this one wish!!! 🙏🏻🙏🏻🙏🏻🙇🏻‍♀️🙆🏻‍♀️🙇🏻‍♀️🙆🏻‍♀️🙇🏻‍♀️🙆🏻‍♀️",0,2024-07-28T16:14:24Z,2024-07-28T16:14:24Z
UgylLMmIv78PB7zPVSp4AaABAg,,False,@sukip0,Momo is really an awesome dancer !! I wanna see her participate in more dance challenges,1,2024-07-25T20:58:08Z,2024-07-25T20:58:08Z
UgxEHECbWetscmPQh6t4AaABAg,,False,@АМИНА-2012,Тен так близко встал к Момо😊,0,2024-06-21T14:08:33Z,2024-06-21T14:08:33Z
UgzstfRnzDz5rgE8H_p4AaABAg,,False,@lesiloto1613,❤,0,2024-06-21T01:38:55Z,2024-06-21T01:38:55Z
Ugx0bcW_HVI8cV2Rcjh4AaABAg,,False,@RayWilliams-x2g,Cute.,1,2024-06-14T23:41:45Z,2024-06-14T23:41:45Z
UgyWkX8FTxeKlvz744J4AaABAg,,False,@Forget2749,Love them together,1,2024-06-06T12:45:02Z,2024-06-06T12:45:02Z
Ugxvkk_eyraUiwr4lNp4AaABAg,,False,@iiirissiriii,3some,0,2024-05-20T18:16:45Z,2024-05-20T18:16:45Z
Ugxvkk_eyraUiwr4lNp4AaABAg.A3fJ9AlOmqYA3oyoMbgQiP,Ugxvkk_eyraUiwr4lNp4AaABAg,True,@solinkdc2645,U SAID WHAT,5,2024-05-24T12:22:40Z,2024-05-24T12:22:40Z
UgxKjeO6WKEZTVAqaNB4AaABAg,,False,@Yui_Xio_Kaz,Yessss,1,2024-05-19T19:36:14Z,2024-05-19T19:36:14Z
Ugzk6fl18BIgt_GiHzZ4AaABAg,,False,@EeveeGillmore,"NGL, I love Ten but I had my eyes on Momo the whole time 😭I need to see her in more dance challenges, she's so amazing everywhere she goes!",60,2024-05-19T18:52:40Z,2024-05-19T18:52:40Z
Ugxwg2dLAoplvy8EVMx4AaABAg,,False,@_nikiddazed,BEST DANCERS!!!,4,2024-05-16T14:29:16Z,2024-05-16T14:29:16Z
UgwodZTlqlewn4pfZgx4AaABAg,,False,@kkelly4369,She does it again!!!,2,2024-05-14T12:37:41Z,2024-05-14T12:37:41Z
UgzLuDzaF_f4SCfFeQ14AaABAg,,False,@flaminkibum,"my son and my wife, guys🥰",13,2024-05-12T21:00:57Z,2024-05-12T21:00:57Z
UgyN1qE99ZOKOYu_Iex4AaABAg,,False,@Ashnull,THE BEST DANCERS,3,2024-05-10T10:45:49Z,2024-05-10T10:45:49Z
UgznM-UWH5_A5-oSRoZ4AaABAg,,False,@ita.w._,TWO DANCE ICONS OMG LEGENDARY,2,2024-05-09T03:26:07Z,2024-05-09T03:26:07Z
UgxxMpQikoluWEEQJMF4AaABAg,,False,@b7nv6v,You not going to be water TALY😅,0,2024-05-08T02:54:56Z,2024-05-08T02:54:56Z
Ugw4Ty_idj1551OaJtl4AaABAg,,False,@chanchanmin,MEU DEUS OS MAIS LINDOS DO MUNDO JUNTOS,1,2024-05-07T13:31:51Z,2024-05-07T13:31:51Z
UgyZBch6fucROt9Zmep4AaABAg,,False,@AnimeFreakpz,OMFGGGGG YESSSS TWO dancing masters in one frame!! ❤,3,2024-05-06T19:14:36Z,2024-05-06T19:14:36Z
UgxzQUBI2hRHnG8Kkp14AaABAg,,False,@ふゆみすずき,美男美女でダンスもうま過ぎてずっと見てられる,15,2024-05-06T12:43:29Z,2024-05-06T12:43:29Z
Ugy4AuMJLsNaSmFKBgp4AaABAg,,False,@Hannahatog,❤,0,2024-05-05T17:22:19Z,2024-05-05T17:22:19Z
UgwipsaojmBduaIxjUZ4AaABAg,,False,@bkdjnjdkdlkskt2964,Enamorada,3,2024-05-04T23:30:43Z,2024-05-04T23:30:43Z
