comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwbXP33JWbIXcgFi-J4AaABAg,,False,@peachytwinkles1416,love love,0,2025-04-29T06:54:07Z,2025-04-29T06:54:07Z
UgzBPiEXj5YqU-AbhCN4AaABAg,,False,@Muses.t,🫠🫠🫠🫠🫠🫠🫠,0,2025-04-03T12:43:13Z,2025-04-03T12:43:13Z
UgxGgJ6aIoaInEIpgDJ4AaABAg,,False,@mylove_thv95,I love this version too <3,0,2025-03-26T04:35:45Z,2025-03-26T04:35:45Z
Ugz8Bb3Ln_HaQR0znH94AaABAg,,False,@cheetahmarklee,❤,0,2025-03-21T07:51:46Z,2025-03-21T07:51:46Z
UgzfDG5hGjh5bThjBfx4AaABAg,,False,@hellowkittens,i always melt when i hear the acoustic version of the song!!😭,1,2025-03-09T14:24:00Z,2025-03-09T14:24:00Z
UgwfbZu1QViiXrU4Hpl4AaABAg,,False,@lara99nur,❤❤❤❤,0,2025-02-20T10:03:53Z,2025-02-20T10:03:53Z
Ugwqe9A6F2Kkz4UfsWh4AaABAg,,False,@vhggiang,"First, you crashed into my life and you just broke
My roof and my window, girl, you had me shook
난 또 살고 있어 머릿속 drama
Who told me love would come down like a million rocks?
The rock you came with was an alibi
You and I, we have the same disguise
회색 긴 캡도 가릴 수 없잖아? (가릴 수 없잖아?)
또 밤이 올 때 같이, can we ri-ri-ri-?
You are my rockstar
Without you, I'll always feel alone
When I'm lost, you guide me home, yeah
You make my whole heart
When nothing adds up, I'll be your number
You're a 106 and I'm 94, yeah
Talking to your conscious, 포물선을 그려 (yeah)
너의 의식에서 매달리는 spidey keyring (처럼)
달려 있을게, babe girl, I know it's late (girl, you know it)
어두운 이 하늘이 반사판이 되어 (yeah, you know it)
We don't flip coins, 반쪽이 두 쪽 (두 쪽 that)
불쑥 나타나 일초 만의 my world drop
I go on top of this tower, show you how high our potential
참 누릴 게 엄청 많아, ayy, thе world ain't ready yet
Do you trust me?
어쩌면 너가 더 잘 알까?
In anothеr breeze, I can tell you're just like I am
A million different stars but you're the one
First, you crashed into my life and you just broke
My roof and my window, girl, you had me shook
난 또 살고 있어 머릿속 drama
Who told me love would come down like a million rocks?
The rock you came with was an alibi
You and I, we have the same disguise
회색 긴 캡도 가릴 수 없잖아?
또 밤이 올 때 같이 can we rise up?
You are my rockstar
Without you, I'll always feel alone
When I'm lost, you guide me home, yeah
(Yeah) you make my whole heart
When nothing adds up, I'll be your number
You're a 106 and I'm 94, yeah
You are (girl, you are my) rockstar, my rockstar
When nothing adds up, I'll be your number 106, 94
Don't you know? What you know? 106, 94
You're my rock, my rockstar
When nothing adds up, I'll be your number
You're a 106 and I'm 94, yeah",1,2025-02-09T20:37:32Z,2025-02-09T20:37:32Z
Ugwqe9A6F2Kkz4UfsWh4AaABAg.AEKuvGuVkwLAHNRUWMl38a,Ugwqe9A6F2Kkz4UfsWh4AaABAg,True,@recordemiup,Thank youu,0,2025-04-26T09:43:31Z,2025-04-26T09:43:31Z
UgxOIs6keN8XLSQ0ahh4AaABAg,,False,@jelllycroissant,Mark 🥺💚🥹,0,2025-02-05T09:36:02Z,2025-02-05T09:36:02Z
UgxXqc0JCr7uyt6u5B54AaABAg,,False,@kimkai9005,LEGENDARY.,1,2024-12-18T14:51:28Z,2024-12-18T14:51:28Z
