comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwPhZ4JBnOjWQvcnoR4AaABAg,,False,@NusratNoorMim,I am muslim blink and you love from Bangladesh 🇧🇩🇧🇩🇧🇩🇧🇩,1,2025-05-08T16:32:22Z,2025-05-08T16:32:22Z
UgzZT3qyCPtQ_XjfNJR4AaABAg,,False,@Arwen-x6j,BTS COME TO INDIAAAA😂❤🎉😢😮😅😊,0,2025-05-05T10:28:25Z,2025-05-05T10:28:46Z
UgzuHThsIlqnMgVwvE54AaABAg,,False,@TonaSantanaSantana,This is my favorite son we love you girlssssss,0,2025-04-26T16:52:50Z,2025-04-26T16:52:50Z
UgxnKowKA0jfLDOHgN94AaABAg,,False,@AleynaKaya-b7w,We always keep you four queens in our hearts 🇧🇪❤🇰🇷,0,2025-04-21T10:02:20Z,2025-04-21T10:02:20Z
UgwrMAZFMP3ChGe2BIp4AaABAg,,False,@NosheenBanuk,"Blackpink Queen 
Blink girl 
💗🩰🎀🌸",1,2025-04-20T19:22:16Z,2025-04-20T19:22:16Z
UgyxtiNvmNxN6a_14_54AaABAg,,False,@Blackpinkinyourarea234,I miss you..❤❤❤❤,0,2025-04-16T14:35:43Z,2025-04-16T14:35:43Z
Ugw6t5989zVlXIdwSz14AaABAg,,False,@RumiBegum-c4m,Who is India kam kam kam kam kam kam😢😊,0,2025-04-11T16:18:44Z,2025-04-11T16:18:44Z
UgxTlx5YwyNsTih_0Fl4AaABAg,,False,@FanAhyeon3,I came from 2025 places Blackpink came again  💗💗💗💗💗💗💗💗💗💗🇦🇪🇦🇪🇦🇪🇦🇪🫂💋,1,2025-03-29T19:15:43Z,2025-03-29T19:15:43Z
UgwhlVpMxxdaFs0UBZJ4AaABAg,,False,@زعيمة_السناجب,اوما قاددددددد,1,2025-03-24T21:24:34Z,2025-03-24T21:24:34Z
UgxEdBoKp2VBBvpvqCJ4AaABAg,,False,@mahirmalik26,I love you blackpink ( indian fan )🖤💗,1,2025-03-20T04:31:08Z,2025-03-20T04:31:08Z
Ugy-09APQTXSfSmIr394AaABAg,,False,@LONITA272,I love Blackpink but Lisa and Jennie are competing to see who takes off her clothes more 😢😢😢 Why do they do this? I started to hate Black Pink because of them. We miss the old Jennie and the old Lisa so much. 😢😢😢😢😢,1,2025-03-13T00:42:28Z,2025-03-13T00:42:28Z
Ugy6orLBS60HoDhVJMx4AaABAg,,False,@romanstechempire9476,I'm kowinnaw❤,0,2025-03-08T21:32:44Z,2025-03-08T21:32:44Z
UgzaodZBEVvczV3TaKx4AaABAg,,False,@Üzgün_kız125,En sevdiyim şarkılarįmda❤n,1,2025-03-07T18:38:07Z,2025-03-07T18:38:07Z
UgyZqmq2bILKV8fKDPF4AaABAg,,False,@user-fn5mu4Jisoo,Pls Blackpink 🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿keling❤,0,2025-02-24T06:08:31Z,2025-02-24T06:08:31Z
UgxKcuqZnJPcVKyEjTF4AaABAg,,False,@KamalShahroor-y1d,انا من لبنان iLove you blackpink,1,2025-02-21T21:15:43Z,2025-02-21T21:15:43Z
UgyM7Qt3pASJ_GZ87Q94AaABAg,,False,@Anusuja-n2l,Please come to India 🫶🇮🇳🇮🇳🇮🇳🇮🇳 BLACK PINK 🩷🖤,0,2025-02-20T05:52:14Z,2025-02-20T05:52:14Z
UgxuCAqcYenj2N6iSVF4AaABAg,,False,@Miniix_eats,Muslim❤🇹🇷,1,2025-02-01T11:50:23Z,2025-02-01T11:50:23Z
