comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxYRbKnGxMyVyki9Zl4AaABAg,,False,@weareoneEXO,"🏍 'Rover' MV https://youtu.be/zlTIextYnyQ
🎧 'Rover' Album http://KAI.lnk.to/Rover",176,2023-03-23T12:44:41Z,2023-03-23T12:44:41Z
UgxYRbKnGxMyVyki9Zl4AaABAg.9nax62jh4HY9nbezNvu_XH,UgxYRbKnGxMyVyki9Zl4AaABAg,True,@minzyysings,This rover challenge is my second fav ❤❤❤,0,2023-03-23T19:25:35Z,2023-03-23T19:25:35Z
UgxYRbKnGxMyVyki9Zl4AaABAg.9nax62jh4HY9njk_ugnnE7,UgxYRbKnGxMyVyki9Zl4AaABAg,True,@stank-pop2441,"Come to Saudi Arabia, please.",0,2023-03-26T22:48:27Z,2023-03-26T22:48:27Z
UgxYRbKnGxMyVyki9Zl4AaABAg.9nax62jh4HY9o-D6XNf5mJ,UgxYRbKnGxMyVyki9Zl4AaABAg,True,@myheadhurts433,Do it with anyone from NCT plsss ❤❤❤❤,0,2023-04-02T08:14:18Z,2023-04-02T08:14:24Z
UgxYRbKnGxMyVyki9Zl4AaABAg.9nax62jh4HY9owuUGm9sIq,UgxYRbKnGxMyVyki9Zl4AaABAg,True,@OnlyForUra,Come to morocco 🇲🇦 Ramadan finished ❤ please ❤❤❤,0,2023-04-25T21:56:27Z,2023-04-25T21:56:27Z
UgxYRbKnGxMyVyki9Zl4AaABAg.9nax62jh4HY9qCmer5UyLw,UgxYRbKnGxMyVyki9Zl4AaABAg,True,@Meherin-li7nr,❤❤❤❤❤❤❤❤❤❤❤❤,0,2023-05-27T07:46:36Z,2023-05-27T07:46:36Z
UgxbVm6uTST2OW12b6Z4AaABAg,,False,@haribharghava,Kai u r such a sweetie ❤,0,2024-05-08T07:58:30Z,2024-05-08T07:58:30Z
UgxTHkOBjnc6b-Fjme94AaABAg,,False,@shahzodatolqinova6345,❤❤❤❤❤,1,2024-03-29T17:32:30Z,2024-03-29T17:32:30Z
UgxLYljwE6YVX14po6N4AaABAg,,False,@사시-b5j,Wanna watch ur all Joohoney,0,2024-03-26T04:51:09Z,2024-03-26T04:51:09Z
Ugzod2bVIvzT3yS2tlR4AaABAg,,False,@kurstyphiloe7862,Joohoney ❤❤❤❤❤❤❤,1,2023-12-22T06:19:51Z,2023-12-22T06:19:51Z
