comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwQudF5t3EDucVurep4AaABAg,,False,@imnayeon-m2v,Who is here in 2025,0,2025-05-16T09:02:02Z,2025-05-16T09:02:02Z
Ugz8vmSYSMhmwhKKkj14AaABAg,,False,@josh70812,Do they have any black fans i don't see any,0,2025-04-23T03:42:19Z,2025-04-23T03:42:19Z
UgznMUfa4Nm_OoDciwJ4AaABAg,,False,@gurdeepkaur6316,First kpop girl group to headline a sold out show at sofi stadium just my girls making history again ❤,2,2025-03-09T15:29:32Z,2025-03-09T15:29:32Z
UgxJhUMp8wYagQIKU8F4AaABAg,,False,@みさき土屋-q3t,モモちゃん可愛い大好きビジュいいやばいかっこいい🩷,6,2024-12-07T11:35:46Z,2024-12-07T11:35:46Z
UgzkVLZQwJkMwdPjKu94AaABAg,,False,@bunnytoofTWICEVCHA,Best gg,8,2024-11-26T16:49:37Z,2024-11-26T16:49:37Z
Ugziq_HJcDa5FCVY_tl4AaABAg,,False,@bunnytoofTWICEVCHA,Twice power,6,2024-11-26T16:49:16Z,2024-11-26T16:49:16Z
UgwdFVluDSwvieLgcj54AaABAg,,False,@Elfangor-Sirinial-Shamtul,"STADIUM CLASS. 
WORLD STAR. 
LEGENDS OF K-POP. 

...THIS IS TWICE. 🍭",17,2024-11-17T04:08:21Z,2024-11-17T04:08:21Z
Ugx0RuJV7hvBGs-QrMl4AaABAg,,False,@whoneedslovebro,"SOLD OUT SOFI🙅‍♀
NISSAN ON FIRE🔥
ONE SPARK BABY✨
 OHLALA THAT'S WHAT WE LIKE🗣‼🔥",18,2024-10-29T22:57:41Z,2024-10-29T22:57:41Z
UgzwZy4PxRpN7ngaokJ4AaABAg,,False,@129Infinity-Wheelie,This performance is just wow. A spectacle to watch and so contagious to jump and dance along! Loved it so much!,5,2024-10-20T05:23:45Z,2024-10-20T05:23:45Z
UgzFmluMCw5vi7K0-QN4AaABAg,,False,@AndresOnce9,Twice the best and the most talented group of the world ❤,7,2024-10-14T17:50:03Z,2024-10-14T17:50:03Z
UgwLqZSl0Aex11McPch4AaABAg,,False,@Nurhadi98-e6t,prediction,0,2024-10-01T00:51:05Z,2024-10-01T00:51:05Z
UgzVfQMlQ-qlt9TNSGd4AaABAg,,False,@hriatpui_e,Twice,1,2024-09-17T18:01:56Z,2024-09-17T18:01:56Z
UgzlflB1Dw6JdVs0XiV4AaABAg,,False,@mariatiburcio5915,El mejor grupo.,7,2024-09-10T23:52:12Z,2024-09-10T23:52:12Z
UgzlflB1Dw6JdVs0XiV4AaABAg.A8DsN-pXmdbA9_m-KF3EyC,UgzlflB1Dw6JdVs0XiV4AaABAg,True,@AndresOnce9,Siiii,1,2024-10-14T17:50:28Z,2024-10-14T17:50:28Z
Ugx3zGJFfl2yjPpJlut4AaABAg,,False,@SimranSubudhi,I love twice tzuyu 🩷,1,2024-09-06T14:23:23Z,2024-09-06T14:23:23Z
UgwhcJKXmz1Z3wopLkl4AaABAg,,False,@merong235,"저기 스타디움이 테일러 스위프트의 디 에라스 투어 콘서트 중 하나이고 디 에라스 투어 영화버전도 여기에서 찍음. 

그리고 슈퍼볼 하프타임쇼(닥터 드레, 스눕 독, 에미넴, 메리 제이 블라이즈, 켄드릭 라마)가 열렸음.

2026년 피파 월드컵이 여기서 열릴 예정.",6,2024-08-25T08:15:04Z,2024-08-25T08:15:04Z
UgwZ5uidROuYITHoCxt4AaABAg,,False,@ChristianNungarayy,I am pretty sure this a concert DVD/blue ray for Los Angeles four 4 I don’t know when it comes out after seoul,4,2024-07-15T21:43:57Z,2024-07-15T21:43:57Z
UgzBZCdLs7N5qpIsPjh4AaABAg,,False,@lillymusica5191,600k❤😊,3,2024-07-04T12:20:41Z,2024-07-04T12:20:41Z
UgzWqI-V6OLLLw3_4QZ4AaABAg,,False,@stevejung6470,Tqice,2,2024-06-22T05:27:14Z,2024-06-22T05:27:14Z
Ugz7qPfwKSSgsqTbKL94AaABAg,,False,@kaladinstormblessed9626,I wish i was there,3,2024-06-11T21:20:35Z,2024-06-11T21:20:35Z
UgwuUlASTuU8RS9NQ4B4AaABAg,,False,@padmanabanthyagarajan7016,I want more highlights of this concert tour showing colorful candybongs and fans cheering for twice ❤❤❤❤,5,2024-05-31T14:16:54Z,2024-05-31T14:16:54Z
Ugxn2fd6CLEHNfHzQ3d4AaABAg,,False,@lunarmatt,We need Twice: Live at SoFi Stadium to drop on streaming services 😭,5,2024-05-17T04:51:39Z,2024-05-17T04:51:39Z
UgxOu1Mt1to1hcISDUl4AaABAg,,False,@blakemorales_22,TWICEEEE!!!!,5,2024-05-09T21:32:22Z,2024-05-09T21:32:22Z
UgyTPdEcxnYWLZoUNOx4AaABAg,,False,@남김상훈-o9u,역대급 걸그룹,6,2024-04-28T03:51:48Z,2024-04-28T03:51:48Z
UgwsB5OlVREKWARD-r54AaABAg,,False,@Micsudi92,"I hope this get a Concert DVD/Blue-ray, This one was the Biggest one, I saw the show in London (day1) and it was the best concert of my life.",83,2024-03-24T17:36:39Z,2024-03-24T17:36:39Z
Ugy6Mpc1HExt-Lirw3J4AaABAg,,False,@mitskiislove_1990,sjsjsj no pude ir (sufre por dentro),2,2024-03-06T00:16:46Z,2024-03-06T00:16:46Z
UgzsxgIopjnU_UKuCu94AaABAg,,False,@yourlovelydovelynako7829,💜💜💜💜💜💜💜💜💜,3,2024-02-27T23:44:45Z,2024-02-27T23:44:45Z
UgzIXpuinJQhkbyAj854AaABAg,,False,@Julieta13447,Todavia no superó esto,4,2024-02-18T06:15:30Z,2024-02-18T06:15:30Z
UgxJtjczi33y0yYJZhp4AaABAg,,False,@shootgoalin,"if i have to choose between this and heaven, i will choose this",4,2024-02-16T13:26:58Z,2024-02-16T13:26:58Z
UgyD_vQlyiu41F2vpfd4AaABAg,,False,@elisaaagaona,the best gg,5,2024-02-09T06:00:23Z,2024-02-09T06:00:23Z
UgxcB1hisHzRbxw-De94AaABAg,,False,@michellimon7955,Estuvieron en México la semana pasada. Fue genial ir junto con mi hija de doce años que es fan de Twice. Nos divertimos mucho juntos. ,6,2024-02-08T22:23:45Z,2024-02-08T22:23:45Z
Ugw0RlujQrZnf5N0Srt4AaABAg,,False,@FranciscoLeone-s5c,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,2024-02-07T13:23:27Z,2024-02-07T13:23:27Z
