comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwCQYno3ufuUr11PZl4AaABAg,,False,@douju1175,Nayeon So Hot,0,2025-05-15T08:35:52Z,2025-05-15T08:35:52Z
Ugx2WqwQAciBTlxphUd4AaABAg,,False,@CamilaRuizVillanazul,나연 사랑해 ❤❤❤❤❤❤❤,0,2025-05-10T20:15:03Z,2025-05-10T20:15:23Z
UgzwhQ0_UFbTSWHQmhZ4AaABAg,,False,@graceshim1686,나연은 진짜 예쁜것 같아요!!,1,2025-05-09T16:31:34Z,2025-05-09T16:31:34Z
Ugxx9Zaq_xpEVoAmrF54AaABAg,,False,@youngyoung12345,아 소희 춤 미쳐,0,2025-05-01T17:15:07Z,2025-05-01T17:15:07Z
UgyB68ZGYo1dzkGO-jl4AaABAg,,False,@베오-s4n,NCT 재현이 나연 abcd 췄으면 어땠을까?,0,2025-04-05T03:55:34Z,2025-04-05T03:55:34Z
UgxuFRDtSJCBxa80qvZ4AaABAg,,False,@BlinkArmyBabymonster2985,Nayeon you look Soo cute 🥰🥰🥰🥰🥰,0,2025-03-31T09:06:02Z,2025-03-31T09:06:02Z
UgxNjinhzhEgtpun9PJ4AaABAg,,False,@kaitlyn1923,Üstündeki kıyafet logosu Çaykur logosuna benziyor jdhcjsccjd,0,2025-03-04T16:07:26Z,2025-03-04T16:07:26Z
UgxuVJ_DY8ACsVCB60F4AaABAg,,False,@user-yf9vo5xb1k,오른쪽 남자는 마지심슨이냐? 머리 진짜 크네,1,2025-03-04T13:01:20Z,2025-03-04T13:01:20Z
Ugx97dKt2E-Pi3CpJjN4AaABAg,,False,@chmurka_twice,NAYEONNIEEEE,0,2025-02-27T12:20:11Z,2025-02-27T12:20:11Z
Ugyp1vy0V8YlRbMKBZZ4AaABAg,,False,@Hira-bestjisoo,Nayeon is very beautiful 😭😭😭😭😭,0,2025-02-22T09:28:06Z,2025-02-22T09:28:06Z
