comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzRw1kMpHqyadgWRxN4AaABAg,,False,@그누가종을울리나,0:38 아이유의 총알,0,2025-01-15T09:29:21Z,2025-01-15T09:29:21Z
UgznXwK6JA5tQ-yKV-94AaABAg,,False,@VocalCoach-f5x,"천안문, 사라진 목소리 당신도 그 일부가 될 수 있습니다
Tiananmen Gone Voice You can be part of it
天安门 消失的声音 你可以成为其中的一部分",0,2025-01-05T14:36:36Z,2025-01-05T14:36:36Z
UgwM22iHaL4mJOmwT4N4AaABAg,,False,@장용준-r8m,존나 예쁘네. 뭘 어떻게 한거야. 성형수술 ?,0,2024-09-25T06:56:58Z,2024-09-25T06:56:58Z
UgwM22iHaL4mJOmwT4N4AaABAg.A8ng6NM2RjRAAlyVOODPA-,UgwM22iHaL4mJOmwT4N4AaABAg,True,@Fergrgthfhf,ㅈㄹ예쁘면성형이냐?말그지같아하네,0,2024-11-13T08:01:59Z,2024-11-13T08:01:59Z
Ugxn9lZ65MFoYTHoEvt4AaABAg,,False,@모야메룽다-v2e,2023년 최초등장😊,1,2024-01-23T17:48:58Z,2024-01-23T17:48:58Z
Ugy98Cse5f1KO3tZW4h4AaABAg,,False,@Again_1992-V3.,안녕하세요,0,2023-10-15T15:32:34Z,2023-10-15T15:32:34Z
UgwuYYhrRIAdZ5VuY154AaABAg,,False,@airsand342,저 아이유팬인데요 지체장애인이라서요 팬싸인회나팬미팅 안산에서도 열어주시면 안되나요?,0,2023-08-08T06:59:45Z,2023-08-08T06:59:45Z
UgyM20xLIDj-L2QxHht4AaABAg,,False,@savethekorea_25,성지순례!!,0,2023-03-14T11:17:35Z,2023-03-14T11:17:35Z
UgxUnzrJeuMsIQNx6Zx4AaABAg,,False,@亮-u6c,2023,0,2023-01-11T01:47:51Z,2023-01-11T01:47:51Z
UgyE2feQXsyBC6S-UB14AaABAg,,False,@꼬북꼬북-d4q,아직 보는 사람 저 밖에 없나요 ㅎㅅㅎ,1,2022-10-16T03:17:32Z,2022-10-16T03:17:32Z
UgzGBRsTWs2er8wKIl94AaABAg,,False,@VlaD_86,영화 호텔 델 루나 주셔서 감사합니다,0,2022-07-22T17:48:22Z,2022-07-22T17:48:22Z
UgzaPijsIvDOBfHhWaB4AaABAg,,False,@dhksqur4274,아~ 귀여워,0,2022-04-07T04:04:00Z,2022-04-07T04:04:00Z
UgzH58vCzBEHzRFLQn14AaABAg,,False,@Free_Uyghur,2022년 최초인가,0,2022-02-15T14:50:19Z,2022-02-15T14:50:28Z
UgxO8FitbKeapYfmwaB4AaABAg,,False,@dongguerangrang,모야 너무 예쁘다..,0,2022-01-06T00:16:06Z,2022-01-06T00:16:06Z
UgxJLmzSkenmeFPP7Yl4AaABAg,,False,@아랍아미이라크,왜 귀엽다,1,2021-02-14T12:27:58Z,2021-02-14T12:27:58Z
UgyLAEubwYW0NLVIH9J4AaABAg,,False,@paintpurple0918,ㅋㅋㅋ아 너무 귀엽다..,1,2021-01-28T16:49:34Z,2021-01-28T16:49:34Z
UgyHnAFtjVgmgkZmVGd4AaABAg,,False,@말랑콩떡갓지은-i2s,징짱 너무 귀워워💖💖💖💖,0,2021-01-20T18:05:13Z,2021-01-20T18:05:13Z
UgwnDhwDwfpinq_LejJ4AaABAg,,False,@user-xt6yd9nc8q,💜💜,0,2020-11-15T08:39:42Z,2020-11-15T08:39:42Z
UgypuqLws6IdQ0PZiTV4AaABAg,,False,@chj1894,"^^ㅋ~옥상인줄~
후다닥~~~~",0,2020-10-18T07:13:32Z,2020-10-18T07:13:32Z
UgzWAmYBcVwclhh6rQR4AaABAg,,False,@오하진-m1m,따지아하오ㅋㅋㄱㅋㅋ,0,2020-09-28T17:11:53Z,2020-09-28T17:11:53Z
UgwkR1T1-Y83wyYSkaR4AaABAg,,False,@재현김-q2o,2020.9.1일에보고있는붐 계신가요,1,2020-09-12T02:23:12Z,2020-09-12T02:23:12Z
UgwEW0s4ydslAtAczkF4AaABAg,,False,@또또-j4m8c,0:39 흒! 내 심장..!,2,2020-07-31T00:07:19Z,2020-07-31T00:07:19Z
UgwK322p1uHgFdnnZpN4AaABAg,,False,@바다-n3y,"인생에서 단 한번밖에 없는 진정한 컷펄의 사랑의 기회를 놓이면 지옥으로 가는 편이기에 누구든 하나님의 말씀을 어기고  뒤에서 저를 방해하고 마귀로 만들려는 이 지독한 놈은 꼭 우리 거룩한 하나님께 저주를 받고도 존재로서 지옥으로 갈수 없는 마괴가 될것을 기도하고 기원합니다!
이상
이길근(올림)",0,2020-07-05T19:57:33Z,2020-07-05T19:57:33Z
Ugxqf0fc8mPU_ASy2D14AaABAg,,False,@hyojunchoi482,역대급 귀여운 영상이다...,1,2020-06-09T04:33:53Z,2020-06-09T04:33:53Z
UgzJ9UuKkfGhSOpnv2x4AaABAg,,False,@안창민-d8r,이채널 왜 영상 안올라오나요ㅠㅠ,1,2020-04-24T17:23:53Z,2020-04-24T17:23:53Z
Ugznhqrsch-q06ftEIN4AaABAg,,False,@rcmandi3392,"Are you don't upload your YouTube videos now?  
Please upload, if possible... 🙂🙂",0,2020-01-09T06:51:41Z,2020-01-09T06:51:41Z
Ugznhqrsch-q06ftEIN4AaABAg.93ZERrhKjP_97l4ulySQ7C,Ugznhqrsch-q06ftEIN4AaABAg,True,@wlar21,They uploaded in another account #이지금IU,1,2020-04-22T16:44:06Z,2020-04-22T16:44:06Z
Ugznhqrsch-q06ftEIN4AaABAg.93ZERrhKjP_97lBbAqINJL,Ugznhqrsch-q06ftEIN4AaABAg,True,@rcmandi3392,@@wlar21 thank you... 🙂🙂👍,0,2020-04-22T17:42:35Z,2020-04-22T17:42:35Z
Ugznhqrsch-q06ftEIN4AaABAg.93ZERrhKjP_9P5hCelvtS0,Ugznhqrsch-q06ftEIN4AaABAg,True,@위왁시아,https://youtube.com/c/dlwlrma it's new IUtv,0,2021-06-27T15:05:13Z,2021-06-27T15:05:13Z
UgzGsTDiG1scfkkkcg54AaABAg,,False,@최행운-z7n,역시 아이유다.,1,2019-01-24T10:07:24Z,2019-01-24T10:07:24Z
UgzRtLRI5GFVdDYqaA54AaABAg,,False,@user-wo7ch4gx6y,めっっっっちゃかわいい😣💖,1,2018-12-12T15:52:53Z,2018-12-12T15:52:53Z
UgzyIx9XM5p0XgI5EUZ4AaABAg,,False,@갤럭시-q5e,ㅋㅋ따자하오,0,2018-06-19T11:35:03Z,2018-06-19T11:35:03Z
UgzXgLebNuv0NAKCZid4AaABAg,,False,@ellikitty448,"Aww man how come the channel stop posting videos of IU ??? 😫😢 this video is the ""most recent one"" they posted, which was 3 years ago ...does anyone know why?",0,2017-12-27T01:34:57Z,2017-12-27T01:34:57Z
UgzXgLebNuv0NAKCZid4AaABAg.8aeVZvGiQNT8anvXP_Ix1u,UgzXgLebNuv0NAKCZid4AaABAg,True,@wlar21,They uploaded in another account #이지금IU,0,2017-12-30T17:23:42Z,2017-12-30T17:24:08Z
UgzXgLebNuv0NAKCZid4AaABAg.8aeVZvGiQNT8ao_ydtbeHg,UgzXgLebNuv0NAKCZid4AaABAg,True,@ellikitty448,"wlar 21 
Oh i see thanks ❤",0,2017-12-30T23:34:34Z,2017-12-30T23:34:34Z
UgyEeQM61tPc5SiDPJ54AaABAg,,False,@christianstory,IU~ cheer up!! 화이팅!! 힘내요~^^,1,2017-10-13T16:28:34Z,2017-10-13T16:28:34Z
UgjZkuTZPDSZDHgCoAEC,,False,@jin0-o7t,푸워님 진짜 고소했어요?,0,2017-04-16T10:09:08Z,2017-04-16T10:09:08Z
UgjoBi00Z34h93gCoAEC,,False,@손찡찡-f1q,발음 좋으시네요. 중국어 저도 배우는데,4,2017-03-13T12:48:59Z,2017-03-13T12:48:59Z
UghAOGt1IyRpS3gCoAEC,,False,@모니슈미더,따쨔하옼ㅋㅋㅋㅋㅋㅋ징짱 귀여웅,4,2017-01-08T03:17:58Z,2017-01-08T03:17:58Z
Ugi2geR1RvVhNXgCoAEC,,False,@아이유바라기-j6w,진짜 너무 귀여워♡♡♡,6,2017-01-05T07:21:52Z,2017-01-05T07:21:52Z
Ughk7wol6BpZongCoAEC,,False,@유애나youtube,아이유 내꼬!,0,2016-11-22T00:24:03Z,2016-11-22T00:24:03Z
Ugg17V2OYBMQ9HgCoAEC,,False,@사탕별-v6g,언니 넘 귀여워요!!♡♡,2,2016-10-15T07:08:45Z,2016-10-15T07:08:45Z
UghBjoF4jgM7AngCoAEC,,False,@jmk9737,계속영상 올려주세요 ㅠㅠ,5,2016-10-05T14:12:25Z,2016-10-05T14:12:25Z
UgjPbB0Y7ptiyHgCoAEC,,False,@nonheiwong1091,大家好^ ^ 好萌呀,1,2016-06-27T03:20:01Z,2016-06-27T03:20:01Z
UgjS_P-HuPYHCXgCoAEC,,False,@DeVi102,Hi! I am from Poland and love you songs :) If it possible add english subtitles! There are more poeple from all the word who love you!: ),1,2016-03-11T05:01:38Z,2016-03-11T05:01:38Z
UgjO1FS51JMCingCoAEC,,False,@애뿐요덩,아이유언니는 귀엽고 예쁘고 성격좋고  다 좋네ㅠ♥♥,9,2016-03-08T18:35:27Z,2016-03-08T18:35:27Z
Ugh0DP0bs2HsWngCoAEC,,False,@flowermalong2849,예쁘다,0,2016-02-18T07:50:31Z,2016-02-18T07:50:31Z
Ugg1Oz6zdlXnDXgCoAEC,,False,@꾸꾸루꿁,중국어 본토발음이????,0,2015-08-30T12:02:55Z,2015-08-30T12:02:55Z
Ugg7wLC7LiLnTHgCoAEC,,False,@sjo1261,볼살 봐 ㅋㅋㅋㅋ,0,2015-07-29T15:19:34Z,2015-07-29T15:19:34Z
UghytMOgcsZiM3gCoAEC,,False,@sarahsamaras8097,♥,0,2015-04-01T16:52:16Z,2015-04-01T16:52:16Z
Ugi-e6bXrylO63gCoAEC,,False,@kimsexy1162,보내는 메시지 입니다,0,2015-01-05T13:37:58Z,2015-01-05T13:37:58Z
Ugi3n5t_3kj4ZHgCoAEC,,False,@Killrua,♥,0,2014-12-10T17:27:06Z,2014-12-10T17:27:06Z
UghZ-Rx4I2kYdngCoAEC,,False,@arronlee33,"Keep up the good work girls!!! :-)
The Arctic Blast is back again. Most Asian countries this year should have early Winter again. 
Please dress warmly to prevent getting a cold in the coming cold Winter. :->﻿",6,2014-11-11T13:22:19Z,2014-11-11T13:22:19Z
