comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyvB5eCAAQQ-qz_Kd94AaABAg,,False,@L00KT,NJZ So Funny,0,2025-05-10T03:10:09Z,2025-05-10T03:10:09Z
Ugz8CLYESXE-y5skX9h4AaABAg,,False,@bidangil2,김치찌게 ㄹㅇ맛있어보인다,0,2025-05-08T10:59:28Z,2025-05-08T10:59:28Z
UgxqXVp5IIZqnn8reTh4AaABAg,,False,@cindysukasate,JIR BUAT MIE GORENG 😭😭😭😭HANNIIII,0,2025-04-23T12:03:16Z,2025-04-23T12:03:16Z
Ugx5Os-pJk8bB99wXft4AaABAg,,False,@カマロダダリオ,"ハニが一番料理に慣れてるんだね〜
お互いに牽制しつつ、仲良しなのがほんとに可愛い",2,2025-03-30T07:22:23Z,2025-03-30T07:22:23Z
Ugyr_vh9QXa1-FzboSZ4AaABAg,,False,@briannacallie9419,23:32 I would fly across the country to go to that restaurant,1,2025-03-10T03:50:25Z,2025-03-10T03:50:25Z
Ugwlj3QXUNMzKRuKMBN4AaABAg,,False,@Bjdollx,15:28 haerin its so cute ❤,1,2025-03-09T03:40:33Z,2025-03-09T03:40:33Z
Ugyj7u6MzVpPfYvzwRB4AaABAg,,False,@염혜수-w4g,"모두가 즐겁게 요리 하는 모습보고, 긍정적인 에너지 얻고 가요!",1,2025-02-08T03:18:40Z,2025-02-08T03:18:40Z
UgygXwvHPOCTTllfnwt4AaABAg,,False,@tazmx,Mi goreng🍝,0,2025-02-01T14:06:16Z,2025-02-01T14:06:16Z
Ugyi4FdhUQxqFhL_lp94AaABAg,,False,@Hypeboy0515,Total chaos restaurant 😎💜💚💙🩷💛,0,2025-02-01T01:50:13Z,2025-02-01T01:50:13Z
UgxCd1PTdYbPxqh27NB4AaABAg,,False,@육즙단도살자,22:37 여기랑 22:41 버니즈 인형 귀로 눈 닦는거 귀여워서 미칠거 같다 ㅋㅋ,0,2025-01-29T02:51:09Z,2025-01-29T02:51:09Z
Ugz3ZxBWceEh385darN4AaABAg,,False,@김근태-q3e,방사장님 제가 무릎꿇고 빌겠습니다 다섯요정 지켜주세요 🎉,1,2025-01-25T13:04:05Z,2025-01-25T13:04:05Z
UgwXo4oZYEq5K1N2NTN4AaABAg,,False,@마지막팬,"개구쟁이 천사들 귀엽고 깜찍하고 사랑스럽고 예쁜 
요리대결 너무 좋아요 😊",0,2025-01-23T10:39:38Z,2025-01-23T10:39:38Z
UgxLnOEt7rvjeYyKYJd4AaABAg,,False,@k_chyx,Jeanzforfree Restaurant let's go 😍,0,2025-01-22T00:59:21Z,2025-01-22T00:59:21Z
