comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzrqnqwHC-cJllVE8x4AaABAg,,False,@Tw_ce,فدوهه,0,2025-04-29T18:44:13Z,2025-04-29T18:44:13Z
Ugz8VPZcQg2-W09L6Wd4AaABAg,,False,@Tw_ce,تزوجونيي,0,2025-04-29T18:44:09Z,2025-04-29T18:44:09Z
UgylrCQ54d9z2Ouhmx14AaABAg,,False,@Tw_ce,احبكممم,0,2025-04-29T18:44:03Z,2025-04-29T18:44:03Z
Ugwfc5IWMdG2M_i-2up4AaABAg,,False,@Tw_ce,ملكات الكيبوب,0,2025-04-29T18:43:57Z,2025-04-29T18:43:57Z
UgyqsZs_8Aet0NlTq2V4AaABAg,,False,@Tw_ce,سويتييي,0,2025-04-29T18:43:51Z,2025-04-29T18:43:51Z
UgyjITx5tEp0KxVEskh4AaABAg,,False,@Tw_ce,حلواتتيي,0,2025-04-29T18:43:45Z,2025-04-29T18:43:45Z
UgywGx948hTmUS3UNwJ4AaABAg,,False,@Tw_ce,يجننونن,0,2025-04-29T18:43:37Z,2025-04-29T18:43:37Z
UgxF2sSAFYWhRD-5vox4AaABAg,,False,@Tw_ce,cute,0,2025-04-29T18:43:32Z,2025-04-29T18:43:32Z
UgxjqadqRDK3traGkCZ4AaABAg,,False,@Tw_ce,twice best gg,0,2025-04-29T18:43:17Z,2025-04-29T18:43:17Z
UgxUviTVZ3Wz28oSvOp4AaABAg,,False,@Tw_ce,twice best girl group,0,2025-04-29T18:43:02Z,2025-04-29T18:43:02Z
UgyoBOaBDbD5g3Py6K54AaABAg,,False,@Tw_ce,twice,0,2025-04-29T18:42:51Z,2025-04-29T18:42:51Z
Ugz6QXoYKK54qdgR26d4AaABAg,,False,@user-qz7nd9nx4q,jihyo,0,2025-04-21T06:18:18Z,2025-04-21T06:18:18Z
UgxlLmAKR_nKzOM01Nt4AaABAg,,False,@user-qz7nd9nx4q,nayeon,0,2025-04-21T06:18:13Z,2025-04-21T06:18:13Z
Ugw_fJqvVmahTA8jPdF4AaABAg,,False,@user-qz7nd9nx4q,twice,0,2025-04-21T06:18:05Z,2025-04-21T06:18:05Z
UgxjgzhDcdKS4wC6FdJ4AaABAg,,False,@Dubutwice143,THE CLICK,0,2025-04-17T23:33:16Z,2025-04-17T23:33:16Z
Ugz1lgy7xaH2n0CT2UN4AaABAg,,False,@uzmanderya,jhıuo,0,2025-04-06T10:09:17Z,2025-04-06T10:09:17Z
Ugzr1_droHaPUQpAhdp4AaABAg,,False,@Smiley_andy,I LOVE THEM,0,2025-02-21T02:43:09Z,2025-02-21T02:43:09Z
Ugx_DTsOFwgXgzJ6Qvp4AaABAg,,False,@TwilightLabels_ofc,Jihyo só cute,1,2025-02-02T18:15:05Z,2025-02-02T18:15:05Z
Ugwd-UewWF6P7As1uE54AaABAg,,False,@kim_seona_1020,Nayeon look like Jennie❤❤❤,0,2025-01-23T16:17:08Z,2025-01-23T16:17:08Z
UgwZtjmFiMQD0zD1So94AaABAg,,False,@callmehjamessx,✨DIVAS💅,1,2025-01-22T10:22:41Z,2025-01-22T10:22:41Z
UgyQtPfCi5597rXaPA54AaABAg,,False,@Olivia_Stargirlkk,Sorry but N is so gorgeous here!,0,2025-01-19T20:36:01Z,2025-01-19T20:36:01Z
Ugy7-6gSYJzJjdfa_op4AaABAg,,False,@홍홍광진-q8z,😂😂😂😂😂,0,2025-01-17T05:54:55Z,2025-01-17T05:54:55Z
UgzzL02_ZGuwsw9t8kV4AaABAg,,False,@Magicdreams38,", todo el mundo es perfecto , bonitas 😍😍😍😚🖤♥️❤️💞😽💛🤎",1,2025-01-14T13:26:00Z,2025-01-14T13:26:00Z
