comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzryKDH7mOQEPbTk2l4AaABAg,,False,@ryzaise,STREEEEEAM,0,2025-05-15T14:21:11Z,2025-05-15T14:21:11Z
Ugy9kk04m9IY1jau_Cx4AaABAg,,False,@bllum_,Toujours autant une pépite cette chanson ❤,1,2025-05-15T13:37:23Z,2025-05-15T13:37:23Z
UgybJdiVnaSYD7C8MXl4AaABAg,,False,@intan8478,anyone watching in May?,1,2025-05-15T12:41:48Z,2025-05-15T12:41:48Z
Ugy0767eE8AxikMPrFN4AaABAg,,False,@fxrina-wg7ft,❤❤ miss seventeen,1,2025-05-15T09:44:21Z,2025-05-15T09:44:21Z
Ugy5T5FcRf4JBzy4nbt4AaABAg,,False,@eingoogle-nutzersmiley1564,Let's go carats <3,1,2025-05-14T19:31:32Z,2025-05-14T19:31:32Z
UgylClKkirtQXSqJEQl4AaABAg,,False,@ChrisGoles,https://youtu.be/Pbwz5I1TPk0?si=DRwUZPPEuKQPgx9A,0,2025-05-14T17:46:59Z,2025-05-14T17:46:59Z
UgxuwI1ZGptceby7E2h4AaABAg,,False,@NJRiNO,머글이였던 시절 카페에도 길을 걸어가도 들렸던 울고 싶지 않아... 뮤비는 2024~2025년에 봄..... ㅠㅋㅋㅋㅋㅋㅋ,0,2025-05-14T13:27:16Z,2025-05-14T13:27:16Z
Ugwu0sPGDNhErB7Er2V4AaABAg,,False,@lockedmusic5396,Yeah lol I don’t want you lol do really want to know what you want to do Xd rdon’t don’t know what to eutec do you want lol I just don’t know know lol lol yeah come on me too but I’m xD lol lol I got ❤,0,2025-05-13T17:00:19Z,2025-05-13T17:00:19Z
UgxcGj9S-a91shEltOF4AaABAg,,False,@s2kcdiary,still a masterpiece !,0,2025-05-13T10:03:47Z,2025-05-13T10:03:47Z
UgyrfkupK6hSygk5HaB4AaABAg,,False,@hoshi_tigersr,Nothing left for 300m,0,2025-05-13T09:32:53Z,2025-05-13T09:32:53Z
UgxxnOopR8ql599gAkt4AaABAg,,False,@ArtemiaTy,still ulgo shipji anha in 2025!,0,2025-05-13T04:48:50Z,2025-05-13T04:48:50Z
UgyCSbC3KCqNkg-i_6N4AaABAg,,False,@Vợiuwonbin,anymoere,1,2025-05-12T13:07:44Z,2025-05-12T13:07:44Z
UgwLROn_uZdNuWzlGcd4AaABAg,,False,@Aziiiii-en8es,my comfort song 7 years ago until now💓💯,4,2025-05-12T09:35:24Z,2025-05-12T09:35:24Z
UgxcN1CpuD8mFZoFZgx4AaABAg,,False,@eyabenhouria5163,my all time fav svt song,0,2025-05-11T12:46:14Z,2025-05-11T12:46:14Z
UgxNLtbBDBEACVVhrYh4AaABAg,,False,@zawhtet8279,2026now,0,2025-05-11T12:29:02Z,2025-05-11T12:29:02Z
UgwMIIaaKFQr8xMMkkF4AaABAg,,False,@Spideyis_20,Seventeen songs may not have high views but not every masterpiece gets many views.. Dont wanna cry is a legendary song.. i have heard this song when i was young now im 18 but didnt stan them now i stan them because they are a work of ART and a multi talented group ❤❤❤❤,3,2025-05-11T08:15:42Z,2025-05-11T08:15:42Z
Ugzx4oo_agTq2vqtMZF4AaABAg,,False,@jidnyasabaravkar9328,Mingyu's vocals at 2:21 😭😭want a whole song in just his voice,0,2025-05-11T05:44:34Z,2025-05-11T05:44:56Z
Ugy5w7nqTP-TuABGdWF4AaABAg,,False,@jlmrnl,"filler, lezgaur 289.3M!!!",0,2025-05-11T02:48:14Z,2025-05-11T02:48:14Z
Ugxap4rTf6GSZmq9re94AaABAg,,False,@anfal1718,2025 مازلت نسمعها😂❤,1,2025-05-10T21:29:51Z,2025-05-10T21:29:51Z
Ugxap4rTf6GSZmq9re94AaABAg.AHxkS6dgDXhAI3BgjWhnP5,Ugxap4rTf6GSZmq9re94AaABAg,True,@hoshi_tigersr,جزائرية؟,1,2025-05-13T09:32:05Z,2025-05-13T09:32:05Z
Ugxap4rTf6GSZmq9re94AaABAg.AHxkS6dgDXhAI5ds5QWqNQ,Ugxap4rTf6GSZmq9re94AaABAg,True,@anfal1718,ايه😂​@@hoshi_tigersr,0,2025-05-14T08:25:32Z,2025-05-14T08:25:32Z
Ugw8rJWyX_681ROeTkR4AaABAg,,False,@끄앙-z2b,2025.05.10 10주년 16일전!,2,2025-05-10T04:53:35Z,2025-05-10T04:53:35Z
Ugxk_JRGMvf21EJnMN14AaABAg,,False,@ryzaise,stream let's go 300 !!,0,2025-05-09T23:20:35Z,2025-05-09T23:20:35Z
UgxwUoMSZZcgUb6jVvR4AaABAg,,False,@niconicoちゃん-i3s,懐かしい！！,1,2025-05-09T17:34:19Z,2025-05-09T17:34:19Z
UgzYi8GwXs9qYvoL9T54AaABAg,,False,@StarLord-h3o,Won't ever be tired of this song,0,2025-05-09T07:44:45Z,2025-05-09T07:44:45Z
UgzIJvkZCgPadKcaBdF4AaABAg,,False,@StarLord-h3o,Fav,1,2025-05-09T07:44:26Z,2025-05-09T07:44:26Z
UgwzI8BXt6uH1sqZN7R4AaABAg,,False,@arielzubiri893,2025?,0,2025-05-09T00:33:51Z,2025-05-09T00:33:51Z
UgxgpPayBdxtYHrS4nV4AaABAg,,False,@dinoneverbows,"This choreography deserves billion trillion of views 😭 
(Carats I'm posting seventeen content, please do check it out 🥺🙏🏻)",1,2025-05-08T18:05:19Z,2025-05-08T18:05:19Z
UgxH3erMb4NCw286a4p4AaABAg,,False,@hoooosshiiii,"2:16 wonwo
 and 2:21 mingyu that sooooo goodddd ❤❤",2,2025-05-08T15:36:12Z,2025-05-08T15:36:12Z
UgykY8DqvNcNHQZ8pJZ4AaABAg,,False,@marcellatbv,2025 e eu aqui chorando de nostalgia,0,2025-05-08T01:40:54Z,2025-05-08T01:40:54Z
UgyNlnULHMCvYiBlkpt4AaABAg,,False,@eingoogle-nutzersmiley1564,The8...<3,0,2025-05-07T19:47:26Z,2025-05-07T19:47:26Z
UgxiD4xzhv8KMm5Yfn14AaABAg,,False,@JWglede,"I just realized that this song does not even have a single English word in it. it triggered me to learn Korean and be able to sing it. Companies these days intentionally put English lyrics in kpop songs to promote in western countries, but i think sometimes there are too much English, making the songs loosing “k”. However, using english lyrics doesn’t mean it’ll be big internationally. The key is to have a good song regardless of lyrics. Even if a kpop song has no english lyrics, as long as it’s good, just like this one, it’ll be successful.",18,2025-05-07T14:57:21Z,2025-05-07T14:57:21Z
Ugwk_I5JFmrAtHokjkR4AaABAg,,False,@cath.kal04,i cant believe when i was 4 y/o they were already slaying their dancing and eating up their vocals 😭😭,0,2025-05-07T08:08:37Z,2025-05-07T08:08:37Z
UgzHs6hVlH4fC0c3N1h4AaABAg,,False,@eingoogle-nutzersmiley1564,Oh YES! 2.9M. Nothing much left for 300M.,0,2025-05-06T19:29:18Z,2025-05-06T19:29:18Z
UgzI_5KvSFM9Gx5SX7x4AaABAg,,False,@jannatuljim04,"A song 🚫
Band-aid 🩹",0,2025-05-06T18:01:25Z,2025-05-06T18:01:25Z
UgztsWxaUhWqExZozoh4AaABAg,,False,@agassachesri2074,Ahh I want there was eng subtitible here,2,2025-05-06T16:49:06Z,2025-05-06T16:49:06Z
Ugw7-6funlrH7CT1LvB4AaABAg,,False,@jawahercat3605,2025 and listening to this song 😢❤❤❤,2,2025-05-06T08:03:08Z,2025-05-06T08:03:08Z
UgyzHsA6OdjZ8xtiohN4AaABAg,,False,@방서현-q7y,디노 생일에 보는 사람 나야 나🎉,3,2025-05-05T11:21:28Z,2025-05-05T11:21:28Z
UgzkEQK3vzybwPfjySp4AaABAg,,False,@gediyizhan4804,2025- from Myanmar,2,2025-05-05T03:47:21Z,2025-05-05T03:47:21Z
UgzkEQK3vzybwPfjySp4AaABAg.AHiysmu6pmOAHmfjxg2Zxa,UgzkEQK3vzybwPfjySp4AaABAg,True,@YaminEain-g3q,Same here! Hi fellow carat from Myanmar ❤,0,2025-05-06T14:17:05Z,2025-05-06T14:17:11Z
UgxiIRasIhUpogzvXP94AaABAg,,False,@jae1094,2025 y seguirás siendo arte ❤,2,2025-05-04T02:05:48Z,2025-05-04T02:05:48Z
Ugxfyoe87TZduUCj3vl4AaABAg,,False,@imsorrymsjacksonuh,🤍,1,2025-05-03T21:47:56Z,2025-05-03T21:47:56Z
UgzUWwdaP6UjKSBczop4AaABAg,,False,@mehrabmalik7,They need better choreographer. They are extremely talented but there's lack of choreography,0,2025-05-03T18:16:15Z,2025-05-03T18:16:15Z
UgzUWwdaP6UjKSBczop4AaABAg.AHfNj71p_pFAHhPqwZoW6h,UgzUWwdaP6UjKSBczop4AaABAg,True,@belight2612,Are you talking about the choreography of Don't Wanna Cry by Seventeen OR were you commenting on some other video?,0,2025-05-04T13:13:17Z,2025-05-04T13:13:17Z
UgzUWwdaP6UjKSBczop4AaABAg.AHfNj71p_pFAHhuBXyg_AD,UgzUWwdaP6UjKSBczop4AaABAg,True,@mehrabmalik7,@belight2612  I've observed their each and every performance they're extremely talented but they always lack on choreography its not their fault it's their company's fault. Like I've seen bts performances as well they're not more than talented as seventeen I'm not saying they're not but seventeen is beyond them. But there choreography is not good as compare to bts like some  members of bts are not good enough to dance but they arrange to balance their performance good.,0,2025-05-04T17:47:07Z,2025-05-04T17:47:07Z
UgzUWwdaP6UjKSBczop4AaABAg.AHfNj71p_pFAHjEDqgxBHI,UgzUWwdaP6UjKSBczop4AaABAg,True,@belight2612,"@@mehrabmalik7 Got it. If you haven't done so, may I invite you to watch 5 SVT ""choreography videos"" (not live/stage performance) and let me know what you think? The fixed camera shows the details of the choreo more than live performance or music videos. The 5 are Super, Getting Closer, Fear, Thanks, and Fallin' Flower. I have a section on my YT channel of all their choreo videos, if it helps. I don't follow BTS so it's unfair for me to comment/compare. But I do know they use western (US) choreographers for some of their songs. Even though I'm in the US and I was a dancer/choreographer in my younger days, I appreciate SVT's choreos because they fit their style of songs (it's more Korean, less westernized). I'm a big fan of Choi Youngjun, Team Same, Bada, etc. who helped choreograph many of SVT's songs.",2,2025-05-05T06:10:10Z,2025-05-09T14:39:09Z
UgxuoRgQmBsrkHWl2Lt4AaABAg,,False,@_17Carat_,289M ❤︎,1,2025-05-03T16:47:50Z,2025-05-03T16:47:50Z
Ugwq3hlFfhxHWIRWgxh4AaABAg,,False,@Hilly-j4l,"Happy 289M
3.5.25",1,2025-05-03T16:30:35Z,2025-05-03T16:30:35Z
