comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugzw8WvYIEXjTcbfKMd4AaABAg,,False,@SusmitaBishowkarma-z1z,Haay flying kiss 💋,0,2025-05-19T17:43:42Z,2025-05-19T17:43:42Z
UgwMQtFnONafHhm8QwR4AaABAg,,False,@SusmitaBishowkarma-z1z,Jin cute,0,2025-05-19T17:43:18Z,2025-05-19T17:43:18Z
UgxNQbb1WVZoy6EhFOt4AaABAg,,False,@Tht_skz_girl_Neviee,Hes so cute! 🥰 And i love how funny he is! ❤,0,2025-05-12T15:03:46Z,2025-05-12T15:03:46Z
UgwvnohPXqHHZ7-zuep4AaABAg,,False,@Beatriz-d4g6q,permission to dance 🕺🏻,0,2025-05-03T23:50:34Z,2025-05-03T23:50:34Z
UgytjVBw3pShJX7AilN4AaABAg,,False,@KingKing-c4y5o,💜💜💜💜👌😁🇵🇰,1,2025-04-21T07:15:28Z,2025-04-21T07:15:28Z
Ugwf9S75wcxBDoWVi-p4AaABAg,,False,@BTSARMY-o2k,💜💜💜💜💜💜💜💜💜💜🇧🇩🇧🇩,1,2025-04-14T14:23:12Z,2025-04-14T14:23:12Z
UgwrnXbYKstf2rS3u6p4AaABAg,,False,@jemmabadalyan5737,Jin is so cutie 🥰,1,2025-04-01T17:53:04Z,2025-04-01T17:53:04Z
UgxrG89GTkOzxirzmNx4AaABAg,,False,@렝렝-t2t,으갸갸갸ㅑ갸갸갸ㅑㄱ,0,2025-03-08T22:34:30Z,2025-03-08T22:34:30Z
UgxY4G0IjUD9OtRmHyN4AaABAg,,False,@jinijinislamp,왕귀염둥이 사랑해❤,1,2025-03-08T05:50:11Z,2025-03-08T05:50:11Z
UgxC137Xx2e-Hd5_jDl4AaABAg,,False,@Nini_Cherries,Our wwh jin 💜💜💜💜💜,1,2025-01-29T15:05:32Z,2025-01-29T15:05:32Z
Ugzn3wO3aOeWgwhaOGF4AaABAg,,False,@shreyashukla6172,Aww look at this cutie ❤,1,2025-01-25T16:58:41Z,2025-01-25T16:58:41Z
Ugz7fm3oTXBrgwEZz214AaABAg,,False,@Funwithme-h3c,💜💜,1,2025-01-20T06:04:13Z,2025-01-20T06:04:13Z
UgyGjJLoEY8c5FI7Bml4AaABAg,,False,@렝렝-t2t,진💜💜💜💜💜💜💜내 최애아이돌💜💜💜💜💜💜💜,1,2025-01-17T01:16:48Z,2025-01-17T01:16:48Z
UgxKT-OOWJMbIG7Dm1t4AaABAg,,False,@Skzvideos45,❤❤❤진이 너무 귀여워,2,2025-01-16T03:11:26Z,2025-01-16T03:11:26Z
UgxH26w4ja51-O5ldKJ4AaABAg,,False,@Marianapatino-up9lop,Jin eres el mejor amigo,1,2025-01-12T21:31:09Z,2025-01-12T21:31:09Z
UgygqhSvOWAval2zmUp4AaABAg,,False,@YanetCastilloyañez,Jin ✌🏻✌🏻✌🏻💜💜💜💜,1,2024-11-19T07:55:18Z,2024-11-19T07:55:18Z
UgzKSpQzIlnRl2KWAdx4AaABAg,,False,@sharadbhaiya1953,Omggggg so cute jinnnnnn 💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜😍🤩😍🤩😍🤩😍🤩😍🤩😍🤩😍👏🏾👏🏾👍👏🏾👏🏾👍👏🏾👍👏🏾👍👏🏾🥰🥰🥰🥰🥰🥰,2,2024-10-25T17:35:35Z,2024-10-25T17:35:35Z
Ugz7AttDcuFRgCyQ8fh4AaABAg,,False,@Yukimuraaaa,Kim Seokjinnie!!!!,1,2024-10-07T06:56:20Z,2024-10-07T06:56:20Z
UgyMNDZbk_3-Dqt03ud4AaABAg,,False,@Sarajin92,The prettiest 🤍,1,2024-09-29T20:37:17Z,2024-09-29T20:37:17Z
UgzUUj1dj6DbF9ibHYl4AaABAg,,False,@Yuka.e,Too cute!!! Kyaaaaaa~ >∆<,1,2024-09-16T12:20:08Z,2024-09-16T12:20:08Z
Ugy9ct3qmG3Jkj9Pax14AaABAg,,False,@Normal0897,World Wide cutieeee,2,2024-09-06T18:03:15Z,2024-09-06T18:03:15Z
Ugyq1liDB_exnnS5aGd4AaABAg,,False,@trufainachristian1603,Jin is worldwide hansome,1,2024-09-06T08:37:32Z,2024-09-06T08:37:32Z
UgxG3cH4IHg6XlScQaR4AaABAg,,False,@vanessaordinario3512,💜💜💜,1,2024-09-03T00:55:53Z,2024-09-03T00:55:53Z
UgyKMamEn7xxOfIgmzJ4AaABAg,,False,@SisterologyEdits-c5e,Dance kar toh rahay ho😂,1,2024-09-02T17:08:54Z,2024-09-02T17:08:54Z
UgwqOQBX5NIkz_f4mBh4AaABAg,,False,@jemiaaa,Ohhh so Cuteeee,1,2024-08-19T14:43:21Z,2024-08-19T14:43:21Z
UgwjQjBXnvsa1rw8Fyh4AaABAg,,False,@jemiaaa,my Beloved seokjin,1,2024-08-19T14:43:07Z,2024-08-19T14:43:07Z
UgyOLH5TcaXDg46FHR54AaABAg,,False,@manjuchahar3526,WORLD WIDE FUNNY GUY,0,2024-08-18T07:08:47Z,2024-08-18T07:08:47Z
UgywUR3A3vXA1vp_1Dd4AaABAg,,False,@agnesmartinez4565,My hito jin is not only WWU. He's also WWsweet. I just adore him 😊,0,2024-08-10T23:19:42Z,2024-08-10T23:19:42Z
UgxWGdYLBhcFBWeX1u94AaABAg,,False,@LaSquadraPensante2023,"Jin, i love you ❤ my heart is stop of you❤",1,2024-08-07T20:53:15Z,2024-08-07T20:53:15Z
