author,text,likes,published_at
@Stitch-rw4fi,So cute ❤❤❤❤❤,0,2025-04-23T07:22:02Z
@marcianecaatro9551,Félix yuo dance  Very good❤😊👏🏻🐥,0,2025-04-23T04:57:11Z
@avaa1-h1t,he filmed this on my birthday last year and i wasn’t a stay then but im literally screaming.🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🤫🤫,0,2025-04-22T15:54:10Z
@Felixfan-r3c,Him being handsome and adorable never disappoints,1,2025-04-21T17:08:29Z
@Mariadelurdes-k7x9m,Hey my baby y love you felix my baby boy❤❤❤,0,2025-04-21T16:13:17Z
@SabihaAyshaAkther,𝒪ℴ𝒽 ℐ 𝓁𝒾𝓀ℯ 𝒾𝓉,1,2025-04-21T12:36:55Z
@elvismemphis83,Me and my bro literally fighting that he's a girl or a boy 💀,1,2025-04-20T04:51:26Z
@lorennstayhere,Cute💛💛💛my utt🐣🐤🐥,0,2025-04-20T02:25:20Z
@shahidasalam7762,Ooh i like it i like it tooo❤,1,2025-04-19T13:45:10Z
@ruthaguilar6883,"You lover felix
🐥🐤",0,2025-04-19T08:05:35Z
@Loona_gaming-yt,❤,0,2025-04-19T07:13:22Z
@StrayKidsStay_M8,"Our sunshine is shining 
❤❤❤❤❤❤❤❤",1,2025-04-19T01:57:16Z
@josycabral2901,LOVE YOU FELIX❤😊!!!!!,0,2025-04-18T23:41:33Z
@LoysleneSilvaTeles,❤❤❤❤❤😮,0,2025-04-18T01:15:35Z
@marcospfaffen3430,❤❤❤❤❤❤,0,2025-04-18T00:02:37Z
@stay_armyyy,É umas das minhas músicas preferidas ❤❤,0,2025-04-17T03:32:17Z
@Mica.boiadeiraa,Y love felix,0,2025-04-17T02:52:11Z
@Geovana2444,"Hi Felix my love, marry me❤❤❤❤",1,2025-04-16T22:16:33Z
@mahidraoha8180,Marry me Felix ❤❤❤❤❤❤😊😊😊😊😍😍😍🥰🥰😘😘😘😘😘😁😆😆,0,2025-04-16T09:59:17Z
@MillyDelgadillo-w1u,I love Felix 🥵🥵,0,2025-04-16T03:27:03Z
@AffiyaBalkissoon,Not me obsessing over felixes whole look❤,0,2025-04-16T01:15:37Z
@jeetprince1583,Me eating plant-based chicken as this came on my FYP🤚,0,2025-04-15T12:09:13Z
@Harshanidilhar,"Felix really ate, I love him. He is so cute",0,2025-04-15T09:31:16Z
@QueenCookie-wl1ot,I LOVE THAT SONG SO MUCH!!!!,0,2025-04-14T10:37:58Z
@Fresinqu-3,And I like you 💗💗💗🫣,0,2025-04-13T17:28:49Z
@stem_notfound,"urghhhh- man everyone is just gushing and how cute and pretty he is so i wrote a whole ESSAY- no, I'm kidding- BUT- for corning dancing that was a great job 👍",1,2025-04-13T11:37:26Z
@Talyailerubilix,MY LİFEEE MY WORLDDD FELİXXX❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-04-13T10:41:23Z
@YasminValente-g5c,Tá igual eu toda hora fazendo essa dança ✨,0,2025-04-13T10:20:23Z
@AranzaJaramillo-f9h,Te amoooooooooo,0,2025-04-13T05:18:28Z
@Ilove_LeeFelix-123,"MMY ONLY LOVE,❤🎉",1,2025-04-13T05:16:59Z
@lauraoshea8792,Slayyyy Felix,0,2025-04-13T01:52:18Z
@giseleferreira594,"I love Felix its so cute, hiii Felix I am brasilian stay ❤️❤️ and I live you and chanbing ❤️❤️🐣🐣🇧🇷🇧🇷",0,2025-04-12T22:05:17Z
@Keyllasophiacavalcante,Lindo❤,0,2025-04-12T13:06:59Z
@world-of-Mira,❤❤❤❤❤❤,0,2025-04-12T04:59:37Z
@LovehanNOW,His hairs so damaged😢😢,0,2025-04-12T03:19:45Z
@asia-h5z4r,So so so cute❤❤❤❤❤❤️❤️🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🤌🤌🤌🤌🤌👍🤌🤌🤌🤌🤌🤌👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0,2025-04-11T18:58:41Z
@caca-28s,"I love you felix,Today you are really handsome. And cool.",0,2025-04-11T13:44:11Z
@Titia_Shinobu_Stay,I love you Straykids!!! You like Brazil?,0,2025-04-11T13:19:31Z
@its_kotoko,Uhh hey felix which shampoo you use? Btw i like it ❤❤❤,0,2025-04-11T12:47:12Z
@ЖибекЖаныбекова-с2э,엠 스트레이키츠 푸,0,2025-04-11T11:17:59Z
@Hayoon-5n5,يجنن,0,2025-04-11T05:50:33Z
@KelseyPierce-j8i,Good job.felix,0,2025-04-11T03:47:11Z
@Stay-143RiZz,So cute😍😳💓,0,2025-04-10T23:55:20Z
@ЯрославПотапенко-п9б,I love you felix you sou cute,0,2025-04-10T19:08:30Z
@beatriztavares150,"Felix you so cute ❤ i love you
Fix me plese i love stray kids ❤",1,2025-04-10T16:23:27Z
@joefern4155,I LIKE THIS❤❤❤,0,2025-04-10T02:55:25Z
@ChanniesKids143,Ate and left no crumbs,0,2025-04-10T01:34:30Z
@mariaalice_Pharita,I like  felix,0,2025-04-09T21:17:31Z
@JazminAguero-z7x,Amo a felix es la persona mas amable que existe y el mas lindo del multiverse simplemente lo amo siempre me alegra pensar en el lo amo❤❤💖(felix casate conmigo)🙏😭🔊🔊🔊🔊🔊🔊🔊,0,2025-04-09T19:49:35Z
@Felix4everyongbok,"""i cant dow my hair i wont have any left ots DEAD😢""",0,2025-04-09T12:37:17Z
@shibaabl,Felixx,0,2025-04-09T09:36:43Z
@nicknortje1881,Let’s go Felix,0,2025-04-09T07:39:20Z
@Felix4everyongbok,"아 내 편견이여, 나는 진심으로 사랑에 빠졌어 ❤❤❤❤❤❤❤❤❤",1,2025-04-09T01:18:10Z
@RafaelLucio-ir8se,Lindoooo,0,2025-04-08T17:47:40Z
@nurlialia8457,‘Ooh i like it’ stray kids,0,2025-04-08T16:16:01Z
@RainbowDash-ng9pp,Can stop SMILEING❤❤❤🤤😪🥰,0,2025-04-08T11:42:49Z
@Serenaluzdeluna-pr5td,Ohhhhh que bonito es Félix 💖😍💕💝,0,2025-04-08T01:34:53Z
@Serenaluzdeluna-pr5td,I like You Félix I love Félix so Beautyful cute and adorable 😍💖🫶🏻 💝💘💞💗💖,0,2025-04-08T01:34:06Z
@Hyunlix-f9q,OMG MY SUNSHINE☀️ U ARE SOOO CUTE AHHHHH!!!!!❤,0,2025-04-07T10:50:41Z
@Serenaluzdeluna-pr5td,Félix I love You Félix sarangheeee Félix 💖 I love You forever Félix 💖😍💕💝💖💗,0,2025-04-07T04:03:01Z
@RhondaPerry-cp5hl,Oo I like him oo oo I like him like him🎶🎶🎶🤣🤣🤣,0,2025-04-05T20:47:40Z
@GiovannaCristaldo-q5q,"just our felix being the most gorgeous person ever..him dancing is the cutest thing ever!!sadly,he couldn' t appear on the louis vuitton show ...but he still ate ❤",0,2025-04-05T04:04:14Z
@Skz_num1fan,Slayyyy,0,2025-04-04T11:47:35Z
@Rogue-edits17,Love you felix!❤😊,0,2025-04-03T16:33:10Z
@Stay4ever-t7c,Hot,0,2025-04-02T16:57:40Z
@Fewixs.f,Felix insanlar kalp krizine sokmaaaa Türkiye gelin lütfen 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,0,2025-04-02T16:54:25Z
@straykids14-i2r,"Oh I like it❌
Oh I like Felix ✔️⭕✨🌹",1,2025-04-02T15:14:51Z
@grisperez2700,En verdad es hermoso ❤❤,0,2025-04-02T04:34:35Z
@TerezinhaAndrade-rt5yj,👏🏼👏🏼👏🏼👏🏼👏🏼🥰🥰🥰🤩😍☺️😊🤗✌🏼🥰😍🤩😻,0,2025-04-01T01:34:08Z
@Amina-5553,🐥🐥🐥🫶🏼,0,2025-04-01T00:55:24Z
@Stay_Army_액,"LOVE YOUUUUUUU , FELIIIIX YOU'RE MI BIAS ❤❤❤❤❤❤❤",1,2025-03-31T23:43:12Z
