author,text,likes,published_at
@SarafinaDennis,❤❤❤❤,0,2025-04-22T22:00:38Z
@LunaOliveira-k,You are perfect❤❤❤❤❤❤,0,2025-04-21T17:27:48Z
@keniavitoria-v02489xk,I love straykids 😍😍😍,0,2025-04-21T13:21:13Z
@Mélinémeli_coco,Hannnnnnnnnnn❤,0,2025-04-18T18:26:17Z
@MINA-k2k5i,💚🩷💚🩷💚🩷,0,2025-04-17T21:51:15Z
@AnimeKpop-tl1zz,I love her friendship.😭❤️❤️,1,2025-04-15T16:53:54Z
@LilMatt-q4u,Aweee ❤. This is so cute MinSung ❤,1,2025-04-15T08:46:27Z
@TheCoolAndComical-m1l,Minsung detected ❤,0,2025-04-14T23:06:34Z
@xtremeamy13,Love the dance,0,2025-04-13T08:40:18Z
@straykidsk-pop-u4c,Обожаю минсонов❤❤❤,1,2025-04-13T07:23:03Z
@Laraskzfelix,"Hannie sabia lo que le iba a hacer Lino, jajaja ya se preparo, y el cabello negro de Lino, uff hermoso",0,2025-04-13T00:45:00Z
@parastoo2006,❤❤❤❤❤❤❤❤❤,0,2025-04-11T08:52:35Z
@AlissNicole-r4g,Lalala,0,2025-04-10T13:19:38Z
@Natiwhilycat,❤,1,2025-04-07T23:28:37Z
@Mac-k3t,This is still one of my favourite duos🐰🐿️🐰🐿️🐰🐿️❤️💙❤️💙❤️,0,2025-04-04T03:24:35Z
@zariasaraujo8808,Minsung,0,2025-04-03T13:18:08Z
@BEBEUMCafezinhoqueissopassa,"Bang Chan is my husband.Amem❤❤
Bang Chan is my husband.Amem❤❤",0,2025-04-02T12:24:10Z
@BEBEUMCafezinhoqueissopassa,Wow so cuteeeee,0,2025-04-02T12:23:52Z
@ЕлизаветаЛебедева-п8у,"Ооо, минсоны, когда свадьба?!",0,2025-03-31T16:34:37Z
@minhoulticimydk,lino and han best,0,2025-03-28T19:10:21Z
@Jonnanflow,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂❤😂❤❤❤❤❤❤❤,1,2025-03-27T06:04:40Z
@SavinaVega-x5z,Mi chi favorito minsug,0,2025-03-26T23:47:56Z
@ira-n7i5s,Minsung ❤,0,2025-03-25T08:59:38Z
@فوقالمطلق,❤❤❤❤❤❤,0,2025-03-24T03:38:13Z
@kdramamama22,anyone else think they look exhausted??,0,2025-03-24T01:49:47Z
@AymaraAYALA-b1k,💚🩷,0,2025-03-24T01:46:54Z
@minsung-skzoo,🩷💚,0,2025-03-23T20:15:40Z
@graciee_hyun,Minsunggg❤,1,2025-03-23T18:08:36Z
@Engene-skzie,Aaaa minsung duo ate 🔥,1,2025-03-22T23:33:11Z
@hudaobaid8337,احلى اثنينن😭,0,2025-03-22T22:03:05Z
@straykidsdiyeolmusum_143,"They could be one of the best duos, their banter at the end is so cuteeeee💓💓💓🎀🎀🎀🎀",0,2025-03-22T10:09:00Z
@brissacarbajal,❤❤❤❤,0,2025-03-22T05:41:35Z
@janelima6353,Perfeitos ❤❤,0,2025-03-21T00:47:03Z
@RanjanaSahu-d3w,Good ❤❤❤❤❤❤❤,0,2025-03-20T12:00:38Z
@ZerenUlaş,I love you minho❤❤❤❤,0,2025-03-20T02:44:01Z
@Gnabchang,"Stylists, please change it because Lee Minho's pants are too tight and it might bother him.",0,2025-03-19T19:42:37Z
@May-n2f7w,"미 ㅔ갸ㅜ챠ㅔㅑㅔ  
:)
미 랴ㅜ비 🙄🐿️🐰👺",1,2025-03-19T17:43:47Z
@Bp7stafe,Mino 💜💜💜💜,0,2025-03-19T02:10:28Z
@Nova123YT,Han knew what was coming at the end 😂😂😂,0,2025-03-18T06:50:03Z
@karinaarzamendia2518,Amoooo,0,2025-03-18T01:28:39Z
@SanjanaJovanovic,Han 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️🥰🥰🥰😘,0,2025-03-17T15:45:54Z
@Hey_valentina4c,I'm a big fan of them and I even make videos about them someday you might notice me 😢❤,1,2025-03-16T15:20:41Z
@TudoseRobert-j4s,😂😂😂😂😂😂🎉😂😮😮😮😮😅😅,0,2025-03-16T09:21:05Z
@Su_Boyoung,Minsung 💚💖,0,2025-03-16T07:15:47Z
@Navisha_narisya,Linoo dances with her maknae but they are so happy,1,2025-03-15T21:50:31Z
@MINSUNGSHIPPER4EVER,💚🩷,0,2025-03-15T20:27:24Z
@Rabbit_악어,They are the most beautiful of the group🐿️🐇,0,2025-03-13T12:51:30Z
@Blossom_mary1,❤❤❤,1,2025-03-13T12:00:53Z
@ЛюбовьКотова-ч6р,Хаски 🐀,0,2025-03-11T20:34:29Z
@ManonManon-ib1bd,😂❤🎉🎉🎉🎉😂🎉😂🎉😂 a. Legende. Thanos,0,2025-03-11T17:49:11Z
