author,text,likes,published_at
@britzyjoyosorio8451,3:07 Kazuha trying her rizz to Yunjin. We see you two 😏,0,2025-02-26T18:32:12Z
@jasonkno0525,"Kinda F’d up rhat Sakura is back at her hometown in Fukuoka and they didn’t do anything to fan fare her or welcome her back to where she grew up. But, chaewon gets a birthday surprised and a sash to wear to gloat. No respect to Japanese idols in Kpop and mess’d up HYBE!",0,2025-01-25T18:02:31Z
@alelara6414,Shinez ❤,2,2025-01-11T18:04:54Z
@뮤츠-p7r,11:57ㅋㅋ,1,2024-12-31T09:45:15Z
@maishaTabbassum-s7g,WE LOVE U LE SSERAFIM . BEST K POP GIRL GROUP IS LE SSERAFIM.😃😍🤩😘🤭💗💗💙,4,2024-12-19T08:00:53Z
@kyle_tpe1029,서울 팬미팅 운 좋게 1층에서 봤던 기억이,0,2024-11-25T15:17:38Z
@Djavqudak,💋💋,0,2024-11-24T10:13:54Z
@le_sserafimmies,HBD CHAEWON🥳💝,1,2024-11-22T03:03:53Z
@le_sserafimmies,proud of my fimmies❤️,2,2024-11-22T02:23:50Z
@le_sserafimmies,you did well fimmies💙,0,2024-11-22T02:22:25Z
@le_sserafimmies,Blue hair jen💙,0,2024-11-22T02:09:43Z
@le_sserafimmies,I'm here🤚🏻,0,2024-11-22T01:52:44Z
@fangirlingallovertheplace9585,I still needthe Japan fanmeet DVD!!!,0,2024-11-19T10:02:18Z
@Blossom-o5c,17:15 영원히 고통받는 아기치타 ㅋㅋ,1,2024-11-15T16:31:35Z
@Real_Cam,"탄신의 뜻은 알고 표기한 건지...
자막 작성 시 한 번 생각하고 하기를 바랍니다.",0,2024-11-12T03:29:40Z
@GadgetfanLife,일본은 후쿠오카에서도 팬미팅을 하는데 국내도 부산에서도 하면 좋겠다.,0,2024-11-12T03:09:26Z
@denielia4726,7:30 Zuha touch Zoro hairs.... XD,1,2024-11-08T12:44:14Z
@ももか-q4s,ルセラ大好きだよぉ！わたしの永遠の推しだよ！,4,2024-11-05T11:41:05Z
@gillianp1,"Blue hair Yunjin, fave colour!! 
So pretty 🫐🩵💙🩵",3,2024-11-04T20:52:08Z
@_hsin9679,What is the 17:22 Dance name 🥹,0,2024-11-04T18:09:00Z
@PhuongNguyen-ts2vv,❤,2,2024-11-04T08:44:57Z
@lvrclouds,they are the loveliest <3,2,2024-11-02T23:01:53Z
@ああ-v2p1d,"福岡1日目参戦したんだけど最高すぎた👀✨
戻りたい…😢💭",2,2024-11-01T15:07:24Z
@TreyDannsNgumoha,11:55 ㅋㅋㅋㅋㅋㅋ,0,2024-11-01T14:29:44Z
@DizzieMsLizzie,"I am patiently waiting for a US tour. As soon as that happens I will be there, even if I have to travel hours and hours to get there!!",2,2024-11-01T13:43:44Z
@user-oi8ey6uz4f,21:22,1,2024-10-31T11:11:46Z
@kaiyenna3014,Please post full performance of Choices 😢🙏🏻,4,2024-10-31T09:29:37Z
@tubeyou3657,콘서트가고싶다,3,2024-10-31T08:32:56Z
@qudxoddl,벌써 몇 달이 지났는데도 피어나다 정말 소중한 기억이야. 우리는 우리라서 행복하다는 걸 알게 되어서 멤버들이 누구보다 행복하게 즐겨주어서 피어나 정말 한 마음이 되어서. 모두 감사했습니다.,14,2024-10-30T19:44:59Z
@gabrielsumo8,<3,1,2024-10-30T19:43:12Z
@majinxchugaming,So much happiness from this video my fimmies always know how to make FEARNOTS happy,3,2024-10-30T10:12:00Z
@BENDA-HaRoyyy,#JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram,0,2024-10-30T09:04:55Z
@BENDA-HaRoyyy,#JusticeForGaram #JusticeForGaram #JusticeForGaram #JusticeForGaram,0,2024-10-30T09:03:23Z
@Thundershiro,르세라핌 사랑해💛💛,6,2024-10-29T21:12:41Z
@shg7586,어여투어하자고오오오오,4,2024-10-29T18:04:19Z
@y2eye333,11:56 아니 개웃기네 김채원 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,2024-10-29T17:47:45Z
@htp7328,일본분들 진짜 반응 좋다,6,2024-10-29T15:30:01Z
@송건기,빨리 콘가고프다,5,2024-10-29T08:14:12Z
@user-ve1on3tj9e,르세라핌 ❤❤,5,2024-10-29T07:07:40Z
@ぺこプ,FEARNADA2024本当に最高でした！！💕,7,2024-10-29T04:25:18Z
@faradilamaris783,Le Sserafim always fighting🦹🏻‍♀️💖 spirit,4,2024-10-29T00:18:37Z
@Boom-i2b,ㅋㅋㅋㅋ 애들이 그 블핑트와 장점만 합친 그룹임 ㅈㄴ 웃기네 그래서 실력이 그동안 안 좋았던겨 ㅋㅋㅋ 하이브는 뭔  자기 객관화가 전혀 안되넼ㅋㅋㅋ,8,2024-10-28T13:19:34Z
@seungyonglee6709,샤인즈는 먹방 유튜브해도 되겠다 ㅋㅋ,6,2024-10-28T09:54:59Z
@ainhoasalinassanchez3259,"LE SSERAFIM Y FEARNOT FOREVER!
 🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜",3,2024-10-28T09:31:09Z
@suchelas,アロエの犠牲者ウンチェが可愛い,4,2024-10-28T08:35:59Z
@유스티노,핌둥이들 무대보고싶다 콘서트 언제해ㅠㅠ,9,2024-10-28T08:08:47Z
@user-yc5vs8nv3n,ㅎㅎ 팬미팅 최고였어🩵 팀 르세라핌 최고,10,2024-10-28T03:25:11Z
@elmasperronaqui6551,"JAJA QUE DIVERTIDO TODO MIS AMORES BELLAS, FELI POR USTEDES Y CON USTEDES :3 :D",3,2024-10-28T02:15:49Z
@suryaardhi7781,I miss you fims💙💙💙,3,2024-10-28T00:12:58Z
@ayana.0821,両日参戦出来て幸せだった💖,5,2024-10-27T21:52:48Z
@Jevi-sh,핌둥이들 사랑해,8,2024-10-27T20:17:19Z
@AK-ug8gd,SHINEZモッパンまじで嬉しい幸せありがとう✨🫶🏼🥹,8,2024-10-27T19:41:29Z
@야구경기2030,❤❤❤❤❤,3,2024-10-27T19:39:25Z
@yjxoo,Turkiyeye gelin amk,3,2024-10-27T17:29:33Z
@エレンの家ぇぇがあああぁ,この瞬間を共有できて最高でした！！本当に仲の良い大好きなグループ,7,2024-10-27T16:26:57Z
@hanihae1995,le sserafim and their sfaff is so adorable i love to see how the staff love our fimmies ❤️,4,2024-10-27T15:30:41Z
@WixkJan,that aloe vera gel 🤣,1,2024-10-27T14:53:01Z
@jackieffan,Eunchae is so pretty and cute 💖💖,3,2024-10-27T14:43:05Z
@愛の心-w7c,最高👍,3,2024-10-27T14:28:46Z
@baotran-g8q,we love you lesserafim ❤,3,2024-10-27T13:10:39Z
@Qjiang_2007,Why am I not Japanese? I’m so envious.🥹,3,2024-10-27T13:09:17Z
@wennyn.y,not summerz spoiling crazy choreo 9:19 😂,1,2024-10-27T12:02:52Z
@megu1925,行きたかったなぁ😭次こそは仕事休んででも行ってみせるぅ🥹💗,4,2024-10-27T11:29:46Z
@chaechaetodaysunny,"재밌게 잘봤어요 올해 남은 몇달도 다치지말고 아프지말고 마무리 잘했으면 좋겠다
르세라핌 화이팅!!",3,2024-10-27T11:10:43Z
@lamrongpeng533,LE SSERAFIM SLAYYY,2,2024-10-27T10:44:29Z
@Meichaex_x,やっぱルセラがほんまに1番やわずっと応援します😭,6,2024-10-27T08:54:54Z
@its_nikhilx,❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2024-10-27T08:50:14Z
@재킴이유,채원이 은채 보는맛에 산다 ㅎㅎ,1,2024-10-27T08:27:16Z
@jamesaaronmanarang,Fearless!,1,2024-10-27T08:14:51Z
@am14566,福岡の公演最高やった❤,2,2024-10-27T08:14:39Z
@Jxhatsu_chan,Thank you FIMMIES FOR ALWAYS SLAYING PERFORMANCES!!! WE FEARNOT ALWAYS APPRECIATE YOUR HARDWORL!,3,2024-10-27T07:41:10Z
@sev72,the ending <3 kisses overload,2,2024-10-27T07:10:44Z
@senkizesshou,We need a World tour in europe😢😢❤❤❤❤,3,2024-10-27T06:10:17Z
@ae.sserafim,LE SSERAFIM💖,4,2024-10-27T05:57:25Z
@utatane-suyasuya,最高の公演だったよ🫶💓思い出をありがとうLE SSERAFIM🎉愛してるわ,53,2024-10-27T05:50:29Z
@Nasia756,THEYRE SO PRETTY!❤,3,2024-10-27T05:23:45Z
@manomyth11,😘😘😘😘😘,2,2024-10-27T05:08:03Z
@세상은이모양이꼴,언포기븐 윤진이 바지 시강 머야 ㅋㅋㅋㅋ 청바지는 몇개 따라입어도 저건 난 소화 못할듯..ㅠ,2,2024-10-27T05:00:44Z
@ing618,르쎄라핌 화이또오오옹!,3,2024-10-27T04:28:34Z
@ricardodiaz3233,"Me encanta , cuando vienen a Latinoamérica 🎉🎉🎉🎉❤❤",4,2024-10-27T04:28:30Z
@dmb-ie,Ending Fearnada at Kura's hometown and celebrating Chaewon's birthday with fearnot wow I wish I was there too,4,2024-10-27T03:50:36Z
@dbartist4122,참.............언제나 느끼지만 정말 힐링됨  :),4,2024-10-27T03:19:03Z
@奶啵啵-m2v,21:21 我被親的滿臉口水了,1,2024-10-27T02:57:39Z
@kskutty100,First,3,2024-10-27T02:45:56Z
@Michuhol,더 크고 완성도 있는 무대를 위해 매번 최선을 다하는 핌둥이들 대견하다. 팬미팅이 콘서트 규모라니.. 아직 더 높은 무대가 남았 으니 도장깨기 가자!,6,2024-10-27T02:02:55Z
@피어나자-m6y,❤❤,1,2024-10-27T01:58:37Z
@カカロット-q5i,楽しかったな❤❤❤,6,2024-10-27T01:54:13Z
@알잘딸꾹질,피어나다가 피어났다가 됐다는 말 참 이쁘다,3,2024-10-27T01:49:19Z
@ponpota-ju,"ファンミーティング本当に楽しかったし、5人の楽しそうで可愛い姿と、ピオナのあったかい雰囲気がとっても素敵でした❤
当日、ペンラの電池が切れて付かなくなったんですが、お隣のピオナが無償でくださったんです😢
掛け声も大きくて、とてもとても愛に溢れる空間でした❤
ずっとずっとルセラフィムを応援します。ルセラもピオナも、お互いだけを見て楽しい優しい気持ちで推していきましょうね💞",12,2024-10-27T01:36:40Z
@lovelyjojo02,Such a cute way to end the video!! >.< omg my pretty fimmies please come tour the us !! Other than LA & NY I want to experience their concert 😭,2,2024-10-27T01:35:10Z
@결여투성이,5:30 12:17 14:57 15:19,1,2024-10-27T00:48:59Z
@chaechaechae08,昨日のテレビ見逃したー😂,0,2024-10-27T00:32:50Z
@monochromedout,out of words but they are just so cool. Love how real and relatable the fearless ones are and how well they interact with fearnots.,4,2024-10-27T00:26:01Z
@EmmanuellaDadier-qc7nr,I love you le sserafim💗💗💗💗,7,2024-10-26T23:55:57Z
@kitika444,How could I not love these beauties?❤❤🥺,3,2024-10-26T23:25:24Z
@liliy.10-l,ℓЄ SSЄЯΑFIМ,3,2024-10-26T22:42:36Z
@itsme6038,Fimmies..🥳,3,2024-10-26T22:28:28Z
@stanLSF,I will love them till my heart stops beating ❤❤❤,2,2024-10-26T22:21:41Z
@uhp219,17:13 채원이 멤버들한테 막혀서 세 번이나 회전ㅋㅋㅋㅋㅋㅋ 진짜 넘 귀엽다😆,2,2024-10-26T22:12:40Z
@goyori-z5c,"WE LOVE YOU CHAEWON 
WE LOVE YOU YUNJIN
WE LOVE YOU SAKURA 
WE LOVE YOU KAZUHA
WE LOVE YOU EUNCHAE 
WE LOVE YOU LE SSERAFIM 
FEARNOT ALWAYS WITH LE SSERAFIM
#FEARNOTwillalwaysloveLESSERAFIM",5,2024-10-26T21:58:15Z
@اونو-ر7ك,"I am from Iraq and I extend a big greeting, but on behalf of my country, we love you very much 🥹🥹🥹🥹🥹💔",2,2024-10-26T21:57:23Z
@ejj3122,핌둥이들 넘 귀여워💙,2,2024-10-26T21:53:13Z
@sekislookingfor,"Love you always, Fimmies💙💙💙💙💙",13,2024-10-26T21:43:06Z
@izonejetaime1313,르세라핌  올해 마지막까지 화이팅!!!💙,3,2024-10-26T21:42:21Z
@taezuha,Kazuha I love you🫶🏻,4,2024-10-26T21:35:40Z
@雪姫雲姫,お疲れ様でした可愛すぎる💞,5,2024-10-26T21:34:50Z
@Tqn1shaaa.x,They’re honestly the cutest ever. I love how close they are with one another & it too makes me feel like I’m part of their big fimily. They honestly are one of my biggest sources of comfort & I’m forever grateful to have them.,93,2024-10-26T20:51:26Z
@山本太郎-i9b,ピオナのピはFHなのね。知らなかった❗,0,2024-10-26T20:48:15Z
@NeerajKumar-ju2vg,"Thank you for your hard work 
Well done 😊
Always supporting loving u guyss",2,2024-10-26T20:43:22Z
@illyrianaa,I want to go to their concert so bad 😭 a world tour announcement please please please! 🙏,2,2024-10-26T20:25:46Z
@Droopy-00,Jennifer is so loud 📢📣🚨,1,2024-10-26T20:21:17Z
@skaa3936,즈하 왜 이렇게 이쁘냐??? 미친 미모다 진짜 갈수록 더 이뻐지네,15,2024-10-26T19:43:11Z
@VinayakAyyakkannu,Nice content well done LESSERAFIM :),1,2024-10-26T19:35:47Z
@coldandwarmmemory,🥰🥰,2,2024-10-26T19:29:58Z
@Jaeclore,이제보니까 스포 많이 했구나 ㅎㅎ,1,2024-10-26T19:29:29Z
@mente_anima3,1:49  my beautiful Sakura! I'm Sakurating myself,2,2024-10-26T19:24:44Z
@김남훈-f9b,7년간 목표를 향해 죽어라  뛰어야 한다.  블핑 언니들을 목표로 열심히 달리자. 쏘스도 애들 관절 꺽을 생각만 하지 말고 좋은 곡으로 승부 해라.,3,2024-10-26T18:58:14Z
@Honghohoho,Chaotic kisses ❤❤❤,1,2024-10-26T18:52:34Z
@desislavabozhinova906,"i donʼt know why but i love the fanchant for easy, itʼs so satisfying",0,2024-10-26T18:48:55Z
@afifahlove,The aggressive kiss at the end 😂😂😂,1,2024-10-26T18:42:31Z
@jayk4985,Hi LS晚安😘🌙,0,2024-10-26T18:09:49Z
@tallesm5543,It's great to see how LE SSERAFIM gets along with the whole team.,2,2024-10-26T17:57:07Z
@Courgette23,J'aime beaucoup ce groupe même si je ne suis amoureux d'aucune dans ce groupe. 🫠💛,1,2024-10-26T17:49:24Z
@عاشقةهدوءالليل-م5ل,❤❤❤,1,2024-10-26T17:32:37Z
@ohhhiii,"저 따라라라라만 모아서 보여줬으면,,,, 넘 귀여워",6,2024-10-26T17:22:42Z
@asdfghjkl12345-u,팬미팅 너무 행복했어 그때 추억을 잊을 수가 없어 콘서트도 기대할게❤,12,2024-10-26T17:16:29Z
@久木田華,ルセラフィム大好き♥️これからも応援してます😊❤,3,2024-10-26T17:13:04Z
@땅기라,중간중간 진짜 스포 엄청많았잖아 ㅋㅋㅋㅋㅋ 전혀 눈치 못챘었다💙💛,3,2024-10-26T17:10:54Z
@어르신-z5e,💙💙💙💙💙,2,2024-10-26T17:10:26Z
@AntitheticMe,No clue what it would be like to be surrounded by so much love as they are.  Truly charmed!,2,2024-10-26T17:07:43Z
@eyabmsyr,うわありがたい,2,2024-10-26T16:41:54Z
@긍정의손바닥,르세라핌 사랑해💙,4,2024-10-26T16:35:39Z
@seranlee5809,월드투어 빨리했으면 좋겠다 내년에 할려나~~,1,2024-10-26T16:30:09Z
@fimmbts,"WE LOVE YOU LE SSERAFIM 🩵

FEARNOT ALWAYS WITH LE SSERAFIM 🫂 #FEARNOTwillalwaysloveLESSERAFIM",1,2024-10-26T16:29:21Z
@ccmok2,The best thing in 2024 is to join FEARNADA,3,2024-10-26T16:17:51Z
@ggeettoouuttooffhheerree,9:20 아~스포 대놓고했는데 못알아차린거 졸킹받네ㅋㅋ,3,2024-10-26T16:16:22Z
@xyanguy,얘들 너무 재미나고 신나는 애들이라 더좋아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,2024-10-26T16:15:30Z
@gnvtwhp1218,LE SSERAFIM ❤❤❤❤❤,1,2024-10-26T16:12:20Z
@TheJacksonG,"今日2023Japanと2024FEARNADA見たけどどんどんカッコ可愛く、歌もステージも大物感出てきた感じ
ダンスもかっこいいのは前からだけど特にFearnot（betweenYouandI）とかEasyとかのハモリとか歌もすごいなと思ったよ",2,2024-10-26T16:10:35Z
@adnankadiri4604,Le sserafim tall me you love me I really love you all grils exactly Sakura Miyazaki for every because Sakura Miyazaki is my love so tall me okay,1,2024-10-26T16:10:23Z
@바비-n5b,코첼라 또 나갔으면 좋겠네ㅋ,2,2024-10-26T16:08:56Z
@xesyyy,it's so fun to become a le sserafim fan. i love them so much :(((,1,2024-10-26T16:07:56Z
@Daggiri,21:21 Muah 😚😆,1,2024-10-26T16:07:35Z
@JiminBTS-z5q,Le sserafim I love you all gril exactly Sakura Miyazaki because Sakura Miyazaki is really loved me so I love Sakura Miyazaki for every le sserafim tall me you love me my name is adnankadir I love Le sserafim so tall me I be whiting for your words okay ❤,0,2024-10-26T16:06:29Z
@FEARNOT-s8e,2日目いきました！誕生日祝えてそこ空間にいれて最高でした！またいきます！！❤,10,2024-10-26T16:05:08Z
@makguksu07,"에쁘다 🥺🤍 its so nice to see you enjoy eating, being with each other and performing! 피어나s love you always!",1,2024-10-26T15:59:36Z
@lalalalaflower,🤍💜❤️💛💙,1,2024-10-26T15:59:12Z
@BillyWhaler,Not sure why but I get thrown when Saki and Zuha speak Korean in Japan. 😂,0,2024-10-26T15:57:17Z
@SOOKIE_offical,Le Sserafim i will always love you,2,2024-10-26T15:56:21Z
@SOOKIE_offical,"Le Sserafim is everything to me they will always be my number ones, 
to me they always shine even when they don’t think they do i still see them shining everyday thank you for making me happy and continuing to make me smile ill return the favor always ❤",3,2024-10-26T15:55:50Z
@galaLuffy28,LE SSERAFIM THEY’LL NEVER MAKE ME HATE YOU,8,2024-10-26T15:50:54Z
@Outis___,"너무 멋져
르세라핌 최고야~~~!!!!!!!!",63,2024-10-26T15:47:47Z
@allysonhernandez5750,6:16 チェウォニがさくちゃんのこと見てるのが泣ける🥹❤❤❤❤❤,1,2024-10-26T15:45:44Z
@림빵크-g2i,저때 한창 무더운 여름이었는데 시간 빠르다 ㅋㅋㅋ,0,2024-10-26T15:41:52Z
@辻口龍鳳,"日本のことをもっと知ってほしいです❤❤❤❤
これからも応援してます",5,2024-10-26T15:39:45Z
@joel09899,I was there at Fearnada Fukuoka Day 1. Travelled there especially for that. This video reminded me of how awesome it was!,1,2024-10-26T15:38:45Z
@やどかに-k6k,"ファンミーティングほんとに楽しかった！
１日しか行けなかったけどすごく良い思い出になったよ。
ありがとう！",2,2024-10-26T15:32:30Z
@le_sserafimmies,i love you fimmies❤,1,2024-10-26T15:28:21Z
@ONYX-h3h,Early!,0,2024-10-26T15:27:35Z
@Henny-i19m,Fimmies ❤,1,2024-10-26T15:25:57Z
@Thundershiro,💙💙💙,1,2024-10-26T15:19:21Z
@truebluediamond,그저 혜자,1,2024-10-26T15:12:11Z
@sakucat39,후쿠오카 팬미 갔었는데 그때의 즐거움이 또 떠오르네요ㅠㅠ 얼른투어해줘못참겟어..,43,2024-10-26T15:08:55Z
@ivan-v6v,LE SSERAFIM is the best🙌🙌,5,2024-10-26T15:07:43Z
@sat6000,最後までずっとみんなかわいー,5,2024-10-26T15:06:44Z
