author,text,likes,published_at
@뽀용인뎁,"원영이가 초콜렛인줄,,(그만큼 달콤
ㅁ하다는 뜻)🍩🍩",0,2025-04-22T14:04:05Z
@포오p,너무 예쁘다 💗🍀,1,2025-04-22T14:02:10Z
@mycoquettedays,MY QUEEN,0,2025-04-22T14:00:33Z
@kskutty100,What Ice Cream Korea Brand Wonyoung's Deep & Glow,1,2025-04-22T13:55:48Z
@희쵸천사,서윗녕❤❤❤,1,2025-04-22T13:31:34Z
@nunu-oh2qn,"This song finnaly being used again is just wow😭🎉
Wonyoung her beauty levels are not normal🎉
The highnote of liz is litarly my fav in kpop🎉🎉😂😂😊😊
I LOVE YOU❤",1,2025-04-22T13:28:08Z
@ШаршенбекТермечиков-э8л,🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,0,2025-04-22T13:25:05Z
@정하니해1004,"어머..원영씨 진짜 너무 예쁘시다,,❤",0,2025-04-22T13:20:14Z
@byrotti,원영이 광고 엄청 많이 찍어서 힘들지 않을까?ㅠ,0,2025-04-22T13:19:52Z
@리하로나메리,원영이 아이스크림 드는 모습 진짜 이뿌!!❤,0,2025-04-22T13:19:20Z
@유진소-i1u,진짜 장원영 안 예쁘다고 하는 사람들은 시력 ㅡ18 아니냐,0,2025-04-22T13:17:04Z
@jaemojoo,나 저 알스크림 사야게따❤ 나 월래 알스크림 안 먹는디,0,2025-04-22T13:10:26Z
@최지혜-w4z,원영너무이버요 귀여워요 사랑합니다 공주님 ❤❤❤,0,2025-04-22T13:07:26Z
@운명-s6k,아이돌 최애는 아니지만 미모는 최고네,0,2025-04-22T13:01:50Z
@바닐라라떼-s1o,했을까?,0,2025-04-22T12:59:19Z
@머령DlVE,아이스크림 완전 좋아하는데 아이스크림 먹을 때 마다 계속 원영이 생각해야겠다..,3,2025-04-22T12:59:13Z
@wisestonelee,"아이스바가 검나 커보이네
주변의 모두를 대두로 만드시니
그와중에 검나 예쁘다",0,2025-04-22T12:53:22Z
@최수빈첫번째머리카락,아 아이스크림이 단게 아니라 원영이가 단거였구낭 ~,0,2025-04-22T12:52:50Z
