author,text,likes,published_at
@margoj2740,335k✨,1,2025-03-18T18:32:09Z
@ohsehun-12,No one can beat Kai's aura,1,2025-03-09T13:35:00Z
@margoj2740,334k✨,1,2024-12-31T20:18:55Z
@margoj2740,333k✨,1,2024-10-02T23:41:37Z
@margoj2740,332k✨,1,2024-07-11T00:31:13Z
@margoj2740,331k✨,1,2024-05-14T20:48:47Z
@lynfernandez4011,Mr. Rover Kai,1,2024-04-03T03:22:29Z
@lynfernandez4011,Best mood sampler,1,2024-04-03T03:22:11Z
@margoj2740,330k ✨,1,2024-03-15T11:37:39Z
@kaisgom,Master of concept,1,2024-03-11T08:13:15Z
@margoj2740,329k ✨,1,2024-01-31T22:53:21Z
@margoj2740,328k ✨,1,2024-01-23T20:50:22Z
@luisvargas.3113,Slidin es la joya del álbum ❤️😭,1,2023-12-29T08:22:04Z
@GelenaGo,Kai,0,2023-12-26T09:22:24Z
@Safirazulfaria,Kim Kai's extraordinary charm,1,2023-11-11T17:21:55Z
@samin1622,slidin slide,0,2023-10-30T19:21:02Z
@reemahruru3890,Slidin',0,2023-10-28T08:57:40Z
@reemahruru3890,Miss you Jongin,0,2023-10-28T08:57:28Z
@brin_yepie,I think we'll see this in his VR con,1,2023-10-21T05:54:37Z
@Stephanie-zj8yx,Miss you Mr. Rover,1,2023-10-07T20:21:35Z
@Stephanie-zj8yx,My daughter's favorite 😊 slidin',1,2023-10-07T20:21:22Z
@kjitubeforkai,324,0,2023-09-02T02:57:26Z
@nirjes1749,KAI😭❤️‍🔥,0,2023-08-30T00:04:24Z
@snowing88,323,0,2023-08-04T22:53:51Z
@arymori1939,ganteng banget,0,2023-07-22T01:17:46Z
@amaechijuliet1943,Sliding slide,0,2023-07-15T18:24:35Z
@zkdlin9657,we miss u kaiiii,0,2023-07-15T17:47:42Z
@YanwarFirmansyah-jo9xi,"exo plagiat boygroup GOT7. sm entertaiment menjadi sampah busuk. Video ini plagiat BOYGROUP GOT7. BOYGROUP GOT7 TERLEBIH DAHULU MEMBUAT VIDEO INI. exo sampah Busuk KARENA PLAGIAT BOYGROUP GOT7


THIS IS FACT


SO DISGUSTING sm entertaiment & exo.",1,2023-07-14T17:14:40Z
@roverineverycellofmybrai-nz3qt,I miss you,0,2023-07-09T16:55:46Z
@kjitubeforkai,322,0,2023-07-09T15:17:55Z
@kjitubeforkai,320,0,2023-07-01T03:50:40Z
@nurafnii5784,Kamu benar2 mempesona,0,2023-06-15T17:36:37Z
@nurafnipcy,Kai jagoanku,0,2023-06-13T18:46:34Z
@JninikAmblu,Best bside,0,2023-06-02T18:00:34Z
@r_emon69,WEAREONE,0,2023-05-28T15:09:03Z
@babyern2907,Best of 2023,0,2023-05-04T13:29:23Z
@babyern2907,❤❤❤,0,2023-05-04T13:29:06Z
@clarp.3305,Mr. Rover came! ❤❤,0,2023-04-12T06:10:44Z
@lalhumhimihimi5999,They will be my favorite,0,2023-04-11T13:37:49Z
@lalhumhimihimi5999,❤❤,0,2023-04-11T13:37:36Z
@kjitubeforkai,314,0,2023-04-11T06:24:48Z
@mverinzs-pz3bi,Sliding,0,2023-04-08T22:50:51Z
@onthecloudsss,STREAM ROVERR,0,2023-04-01T17:25:20Z
@SooshExo-L-hs2zr,....,0,2023-03-30T20:04:44Z
@SooshExo-L-hs2zr,....,0,2023-03-30T20:04:40Z
@anakobiashvili4786,❤❤,0,2023-03-27T11:54:05Z
@xq6gv8um5b,슬라이딘 미끄러져 내려,0,2023-03-18T07:16:23Z
@iridescencenankurunaisa9473,So fine,0,2023-03-16T18:54:08Z
@iridescencenankurunaisa9473,Tan Bueno,0,2023-03-16T18:54:03Z
@kimjongin3021,"slidin ,slidee",1,2023-03-16T17:37:56Z
@kimjongin3021,so close to 300k,0,2023-03-16T03:22:33Z
@marieanne8156,노래가 너무 좋아 보컬이 어떻게 그렇게까지 좋아져.... 카이 오래 가수해라,0,2023-03-16T01:53:46Z
@nomatter-yj4qk,"Slidin' is THAT song, that makes you feel the things",0,2023-03-15T18:48:50Z
@lovesmeright,Slidin' ♡,0,2023-03-15T17:48:07Z
@cmnst62_24pp,หล่อมาก,0,2023-03-15T14:03:34Z
@xq6gv8um5b,슬라이딘 노래 조아,0,2023-03-15T12:42:00Z
@isrpsm2695,294K,1,2023-03-15T11:57:20Z
@kakekikokruuu,LOVE IT!!! <3,0,2023-03-15T03:00:20Z
@pungkido,Kai oppa is so cool 😍,0,2023-03-14T15:48:16Z
@nazali7421,Love you,0,2023-03-14T11:41:42Z
@김래온-o8x,카이 보컬이 진짜였다 이건 밑밥,0,2023-03-14T11:20:50Z
@isitme3902,OMG,0,2023-03-14T09:13:23Z
@elsa_99,KAI is one of a kind in kpop industry and deserves world-wide attention well.,1,2023-03-14T06:45:12Z
@saloniexo-l1485,Seriously KAI hasn't used this look of him in the MV !!,2,2023-03-14T01:59:47Z
@d_ah_lia,KAI's third mini album ROVER is out now!!,0,2023-03-14T01:12:01Z
@mad3048,كيم كاي الاروع الافضل,0,2023-03-13T19:16:35Z
@lilymaymac1546,Let's go,0,2023-03-13T18:14:38Z
@lilymac3678,KAI is back,0,2023-03-13T17:57:57Z
@doriesexo4305,Rover out,0,2023-03-13T17:47:30Z
@lilymac245,King is back,0,2023-03-13T16:03:59Z
@veiynhuriko-zn8ri,Kaii rover,0,2023-03-13T15:02:29Z
@isrpsm2695,266K,1,2023-03-13T12:56:58Z
@exol_0020,King,0,2023-03-13T11:57:23Z
@isrpsm2695,264K,1,2023-03-13T11:41:57Z
@rasha7916,My love kai,0,2023-03-13T10:42:48Z
@khaingmoewathan1804,BGM-Sliding,0,2023-03-13T10:40:20Z
@isrpsm2695,263K,1,2023-03-13T10:32:12Z
@d_ah_lia,KAI's third mini album ROVER is out now,2,2023-03-13T10:24:45Z
@ssho505,Kaiiii,0,2023-03-13T09:52:06Z
@isrpsm2695,262K,1,2023-03-13T09:18:55Z
@melinaaqaee,i can't you kai,0,2023-03-13T09:09:04Z
@navjyotmaan,What a banger!!,0,2023-03-13T09:03:57Z
@isrpsm2695,261K,0,2023-03-13T07:57:27Z
@wolf_143k,👍🏻👍🏻👍🏻👍🏻❤️‍🔥,0,2023-03-13T06:52:11Z
@ann_1461,Can't wait,0,2023-03-13T05:30:59Z
@kjitubeforkai,260,0,2023-03-13T04:53:13Z
@laheekim2823,카이 얼굴감상타임,0,2023-03-13T03:07:18Z
@put1301,TODAY ROVER,0,2023-03-13T02:32:23Z
@김라희-y1l,카이의 슬라이딩 이 노래가 궁금,0,2023-03-13T02:25:05Z
@lu_bear753,Me encanta !!!,0,2023-03-13T02:23:18Z
@xiuminbaozi3989,"Goals for Rover:

YouTube: 9M views and 1M likes in the first 24h
Spotify: 800k streams (tittle track) and 2M streams (album) in the first day

WE CAN DO IT!!!!",1,2023-03-12T23:32:26Z
@saharn7830,你偷走了我的心,1,2023-03-12T23:05:22Z
@loeylover1367,You are sweet like honey,0,2023-03-12T23:01:35Z
@ateezxtny,IM BLESSED,0,2023-03-12T19:55:41Z
@mina3669,King,0,2023-03-12T19:09:43Z
@yeolmeh3711,Kimkai,0,2023-03-12T19:07:30Z
@yellowstarz-jo6ig,KAI IS ART! AMAZING ART!,1,2023-03-12T19:05:01Z
@razansjazzclub,your best song!,1,2023-03-12T18:55:36Z
@ex9lightsaber-qw2kl,King💕💕💕,0,2023-03-12T18:28:48Z
@ArianaGrandesGalaxy,Çık artık,0,2023-03-12T18:28:23Z
@ex9lightsaber-qw2kl,King is back❤️‍🔥❤️‍🔥❤️‍🔥,0,2023-03-12T18:13:00Z
@zahrash8594,Cool,0,2023-03-12T18:02:13Z
@zkl5687,best soloist,1,2023-03-12T17:43:53Z
@god-hn5ge,<3,0,2023-03-12T15:35:47Z
@ohsehun9718,كاي مبهر كالعادة,0,2023-03-12T15:34:41Z
@lu_bear753,I can't wait!,0,2023-03-12T15:19:14Z
@akiesuzzy-hb4wo,Always here for Kai,1,2023-03-12T15:14:24Z
@weareone8762,"엑소를 많이 사랑하는데 아쉬운 점이 하나 있다. 터키의 엑솔들은 무슨 일이 있어도 엑손의 편에 섰지만, 한 달 전 우리가 겪었던 대지진 때 그들이 우리와 함께한다는 모습을 보여주지 못한 것이 참 안타깝습니다. 구글 번역기로 썼는데 맞길 바래요.
exo'yu cok sevıyorum ama hayal kırıklıgı yasadıgım bır nokta var. türk exoller ne olursa olsun her zaman exo'nun yanındaydı ama exo'nun  bir ay önce yaşadığımız büyük depremde yanımızda olduklarını göstermemeleri beni çok üzdü. bu yazıyı google çeviriyle yaptım umarım dogru olmustur.
i really like exo, but there's a point where I'm disappointed. turkish exols have always been by exo's side no matter what, but it made me very sad that exo did not show that they were by our side during the big earthquake we experienced a month ago. i made this post with google translate, I hope it was correct.",0,2023-03-12T15:11:52Z
@Lin_exol94,Always and forever KAI is the best ﾉ⁠♡,1,2023-03-12T15:02:53Z
@Yawhimids,KAI comes with everything... 🔥🔥♥️,0,2023-03-12T14:56:07Z
@d.o.kyungsoo-l4076,فن و ابداع.,0,2023-03-12T14:50:53Z
@azurachamk3148,254.232 mm 48N,1,2023-03-12T14:46:20Z
@zaphaniehuesaf-hv7ci,King Kai always SERVE,0,2023-03-12T14:41:59Z
@minghaxs,OUR KING KAI COMING TO SAVE US,0,2023-03-12T14:19:47Z
@김라희-y1l,카이는 파인애플 바지를 입어도 초간지구나,0,2023-03-12T13:38:03Z
@gladysalvarado3329,"Kai es muy hermoso, baila maravilloso, todo su vestuario es muy lindo, me encanta todo lo que hace 💖💕💖🥰😍💕💖",1,2023-03-12T13:23:58Z
@daryaexolover3851,This KAI is about to stir up the whole world..Just wait and see it guys..,0,2023-03-12T13:14:11Z
@parkchanyeol-l8901,كولو 3 ليسسقوو,0,2023-03-12T11:42:43Z
@nabiannafiu6316,Love you,0,2023-03-12T11:23:47Z
@kathrynlopez7737,King is back,2,2023-03-12T11:21:25Z
