author,text,likes,published_at
@Elfangor-Sirinial-Shamtul,Jeongyeon with the blue hair. 💙,0,2024-12-02T18:23:08Z
@enhypensunghoonsbiasliiii,Jeongyeon is so beautiful,1,2024-01-18T22:45:45Z
@samanta76112,EU TE AMO JEONGYEON ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2023-08-24T16:53:09Z
@samanta76112,"JEONGYEON VC E LINDA PERFEITA MARAVILHOSA UMA DEUSA QURIDA 
LINDA DEMAIS BONITA GATA 
PERFEITA INTELIGENTE UMA COISA TAO Bonita COMO. VC NÃO EXISTE VC E A MENINA MAIS BONITA DO UNIVERSO
VC E TAO LINDA Q OFUSCA MEUS OLHOS 
SUA PELE E MACIA Q NEM UM ALGUDAO 
SEU CABELO E LINDO DE QUALQUER JEITO  SEU OLHOS SAO TAO BRILHANTES Q EU CHEGO FICAR SEGA VC E MUITO LINDA 
MARAVILHOSA PERFEITA A DEUSA MAIS LINDA Q EU JA VI NO KPOP INTEIRO
NUNCA NINGUÉM VAI TE SUBSTITUIR
VC E UNICA PERFEITA MARAVILHOSA
NÃO EXISTE ALGUÉM IGUAL VC VC E UM PRESENTE DA GALÁXIA. SUAS ROUPAS SÃO MARAVILHOSA SEU Estilo SEU CHEIRO E DE UM BEBE  VC E UMA DAS DEUSAS MAIS SAGRADAS MAIS LINDAS MAIS PERFEITA",1,2023-08-24T16:50:56Z
@papas4duquesas,JEONGYEON 💗🗣️‼️,1,2023-08-19T02:27:23Z
@lasiréne-m3y,تجنن ❤,2,2023-07-25T23:07:58Z
@Алексей-с5ф5е,2023года.,0,2023-07-25T10:38:49Z
@Алексей-с5ф5е,"Privet DovaQ c toboQ dryJitb, menя, zovyt ALekceem,,MHE,LET,29,.Ты, хотелабы,подружится,сомной,? если,да, то,довай, дружить с тобой, ты очень красивая",0,2023-07-25T10:38:13Z
@Алексей-с5ф5е,@TwICe... with.JeoHGyEOH.,0,2023-07-25T10:33:56Z
@odyspoetra,Fatty,2,2023-07-03T02:35:50Z
@alyarachmanif,PRETTY,0,2023-05-31T17:02:12Z
@floryrodriguez2656,TE AMO JEONGYEON❤❤❤❤❤❤❤❤gracias por volver para alegrar la vida de muchiiiiissssiiiimos❤❤❤❤❤❤❤❤❤❤❤❤❤en especial la mia❤❤❤❤❤❤❤,0,2023-05-04T00:51:27Z
@neji.4n699,Love twice ahhhhhhh,0,2023-04-22T13:49:51Z
@mkmariakristina,kagwapa jud ❤❤❤❤,0,2023-04-04T06:59:56Z
@Mmlujan,jeongyeon omgggggg,1,2023-03-30T17:28:07Z
@JEONGYEON268,JEONGYEON💚kami,0,2023-03-11T03:27:55Z
@Iolnhkjujni,Love u,0,2023-03-05T13:36:13Z
@OOO000lll,ああかわいい💠,1,2023-03-04T00:25:16Z
@filmsquirksbts1132,Love!,0,2023-03-03T02:31:13Z
@Keithinnie,IM SO HAPPY I GOT A JEONGYEON POSTER IN MY BETWEEN 1&2 ALBUM,0,2023-03-02T13:18:06Z
@sk-dd7mk,顔ちっさ！,0,2023-02-28T09:25:24Z
@kw1l521,못난이,1,2023-02-28T03:26:07Z
@hungry_quokka,Jeongyeon so beautiful!!!,1,2023-02-25T09:24:04Z
@jasmine_8-s6h,Saranghae jeongyeon,2,2023-02-24T11:45:06Z
@jasmine_8-s6h,Arumdawo,0,2023-02-24T11:44:54Z
@Lilichae,Jeongyeon slaying that messybun✨,1,2023-02-21T14:50:31Z
@kanashy_girl,"Чонëн выглядит так классно. Я люблю еë за это, сколько бы людей еë не осуждало за ""лишний вес"", я вижу перед собою счастливую и здоровую Чонëн.. Я надеюсь, что это так и есть.",1,2023-02-17T11:59:11Z
@Ari_1812,I love jeongyeon ♡♥︎♥︎❥♥︎,2,2023-02-10T23:05:15Z
@rubineidecristinadossantos1233,Ela é linda.,1,2023-02-07T01:11:04Z
@tminsungsaurustr,Sooo beatiful,1,2023-02-06T17:16:20Z
@boppop8703,I loveeee the purple hair color,1,2023-02-06T06:48:36Z
@liiiyaa_,Cute Jeongyeon🥺💖,0,2023-02-05T14:44:56Z
@ibrahimabagayoko7069,J'adore twice mais je kiffe Jeongyeon,1,2023-02-05T10:12:06Z
@valisemyazza262,JEONGYEON I ❤ SANA,0,2023-02-05T06:01:53Z
@___00j26,❤️❤️😘😘💋💋,0,2023-02-04T19:48:26Z
