author,text,likes,published_at
@NCTsmtown,"✨ '샤랄라 (SHALALA)' MV https://youtu.be/aO5DPf0vebc
🎧 'SHALALA' Album https://TAEYONG.lnk.to/SHALALA",242,2023-06-12T05:32:28Z
@hyucktrbl,hyuck 🥺🥺🫶🏻,0,2025-02-09T22:54:25Z
@윳냥이집사,이해찬이 날뛰고 있습니다ㅋㅋ,1,2024-12-18T22:43:27Z
@tew_ju,마크ㅜ기여움ㅋㅋㅋㅋ,0,2024-04-27T06:15:34Z
@user-kdk2qsuh8sk1s,이 숏츠를 보고 해찬이한테 다시 입덕했지..,0,2024-03-10T04:00:10Z
@Ultra_violet226,💚💚💚💚,0,2024-01-17T15:09:01Z
@Kininui,Мне жалко волосы теяна сколько раз их красили господи..,0,2024-01-07T01:53:17Z
@tink93,Can we bring back this hair color please,0,2024-01-06T17:33:43Z
@_S-og5kr,마크 넘무 잘해❤❤,0,2023-12-29T10:56:20Z
@mulyautari5239,haechan😍,0,2023-12-27T10:50:50Z
@rlawoahvlwk,태용은 아기 호랑이 같음... 개잘생겼네,0,2023-12-22T17:12:44Z
@falling_in_reverseee,taeyong can i have your hair please 🙂🙂✨✨💚,1,2023-12-22T14:27:14Z
@uniq-c4i,태용아 난 너 뿐이다,1,2023-12-18T17:00:26Z
@먼지-h5f,이해찬 자다 일어나온 줄 알았엉ㅋㅋㅋㅋ,0,2023-12-08T14:06:24Z
@체리꼭지,태용이는 시즈니 머리색깔이네ㅋㅋㅋ 잘어울린다.....! Dazsscd.,0,2023-12-04T22:42:48Z
@rezeyda,Тэён❤,0,2023-12-04T09:03:03Z
@ninapark8199,태용.. 정말 내 남자,0,2023-11-30T10:07:42Z
@Sunflower_0600,Haechan looks so good,1,2023-11-23T16:53:48Z
@shellygonsalves1944,😊,0,2023-11-18T18:57:38Z
@SabrinadefariaAraújoFaria,❤❤❤❤❤❤❤❤❤❤,0,2023-10-30T00:09:41Z
@roxanefrancisnorman,Haechan sexy n handsome❤❤❤❤,2,2023-10-22T09:29:57Z
@김한솔-d4u,이동혁 ㅈㄴ사랑해,0,2023-10-16T02:37:12Z
@meeeee780,OMG Haechan nya ber damage sekaliii😫❤❤😊,0,2023-10-15T07:31:39Z
@laurenalycia5050,BEST ONEE,0,2023-10-07T15:16:59Z
@carolechaney2830,"At 00:12, I couldn't breathe! So freakin' 😎!!! They moved like they were 1 person at that beat!!! I love music and I love dance and I adore Taeyong, Haechan and Mark 🤗",0,2023-09-02T22:38:49Z
@MocaUniverse,I wanna go to a club with Haechan lmao,0,2023-09-01T00:51:01Z
@GiselTarigan-d7q,Sa kalung nya,0,2023-08-31T06:21:06Z
@SMjanitor,Bubu dance sama anak dan mantuuu awwwww❤❤❤😂,1,2023-08-30T07:01:13Z
@مكتبالاثير-ش5م,"I will keep repeating, but a video, and I hope 😢😢❤❤",0,2023-08-27T13:14:54Z
@yeonjin53,하다하다 이젠 팔뚝 핏줄도 잘생겼네,0,2023-08-26T10:26:52Z
@I_luv_hihicat,셋 다 왜 이렇게 귀여운건데..심장 아프게…🥹💚,1,2023-08-26T06:44:40Z
@Sofia-lt5rs,Did you see the veins?????,1,2023-08-20T03:30:34Z
@effortlessluck,BABY KEEP IT LOWKEY 💗,0,2023-08-15T21:36:05Z
@tal-een1,هيوك🥹🥹🥹,0,2023-08-13T00:22:06Z
@anndsza,anjirr gw kira agorivall ternyata ecan 😂,0,2023-08-01T10:30:31Z
@킴앤-m2x,아이 귀여엉,0,2023-07-31T16:15:09Z
@Ultra_violet226,Upsessed with this song it’s so good,1,2023-07-28T17:02:25Z
@lovxqy,ngl taeyong is really handsome,0,2023-07-27T22:39:45Z
@아잉떼잇쯧,너희는 막내즈가 NCT 전체니? 나보다 젊어 보여,0,2023-07-22T16:38:46Z
@IstriJihoon,검은옷은 멀리 해찬해주세요 진짜 잘생겼어요 장담합니다,0,2023-07-22T13:30:19Z
@dianaramirez-bv2rb,"Yong-Gatito 💞💖 tan adorable.
Dios mio, el Haechan uff 😏🔥",0,2023-07-22T00:51:27Z
@janganomah4206,Sedih ngeliat kalung nya taeyong. Terhalang dinding yg sangat besar😭😭,0,2023-07-21T11:18:31Z
@hannahholland4507,"Ugh, he is just too pretty",0,2023-07-21T06:19:08Z
@wizzta_9,"фига, детей притащил 😮",0,2023-07-20T18:17:29Z
@hannahmochi2465,Itu yg all black bisa dibawa pulang gak ya 😆🫶,0,2023-07-20T16:33:30Z
@listarq,His hands😍😍😍,0,2023-07-20T09:42:20Z
@Stargirl.Offical.Entertainment,Nct dream💚,0,2023-07-19T09:14:06Z
@coturninho,"eu juro q ouvi ele falando ""jogadinha"" no começo",0,2023-07-19T06:20:23Z
@neevanorohna3558,bro why didn't anyone like the video?,0,2023-07-18T20:13:31Z
@코노맨,스트레이키즈 승,0,2023-07-18T10:44:18Z
@susanti92,Cute,0,2023-07-18T10:40:42Z
@cynthiasnyder3770,Big fan,0,2023-07-16T18:44:25Z
@チチン,이해찬개귀엽네왜이래?,0,2023-07-16T15:52:39Z
@maryyypural1018,That tan man  sikeeeee,0,2023-07-16T09:19:56Z
@babeee_,Tolong yg pke baju serba item jangan sampe lolos 😭😭💚💚,0,2023-07-15T13:57:55Z
@sichengderella,💚💚💚💚💚,0,2023-07-12T23:45:06Z
@lucyslightmoon8794,Green hair Looks so good at Him💚💚💚,0,2023-07-12T14:44:35Z
@lucyslightmoon8794,Love your hairstyle,0,2023-07-12T14:43:46Z
@telur_dadar,i love seeing TY and MARK kinda having the same dancing style ❤ it warms my heart😊,0,2023-07-11T16:12:59Z
@veryneo7915,INSUPERABLE ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2023-07-04T12:05:52Z
@liliah5179,i love u mark and taeyong but LEE HAECHAN👺👺👺👺,0,2023-07-03T13:11:41Z
@MAHIKA-ch8iv,brooo thossee veinsssss,0,2023-07-02T13:12:55Z
@carmenhampton2946,😊❤❤❤,0,2023-07-02T00:30:25Z
@JHJSD_,이동혁 만큼 검정 신발 잘 어울리는 사람 처음 봄,1,2023-07-01T11:41:58Z
@mayro06,❤❤💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥💖💖💞,0,2023-07-01T09:15:09Z
@faithhowerton2249,TAEYONG is stunning as in ethereal being stunning.  Like i would cry if I met him,0,2023-06-28T23:28:35Z
@00HAE46,존나 좋은데 계속 보다가 범죄 저지르는 기분 들음 뭔가 보면 안 될 거 같음 ㅜ,1,2023-06-28T17:22:26Z
@Diazayudya,mark bahaya mark,0,2023-06-27T15:02:45Z
@chenlegirlfie,HAECHAN 😭😭,0,2023-06-27T10:26:44Z
@Svt1304,Haechan look coo...l i mean crazy.yeah crazy 😭🤣🤣,1,2023-06-27T04:48:20Z
@hwangyongwq,🐉,0,2023-06-23T14:42:50Z
@JiSu7,😢,0,2023-06-23T00:10:34Z
@taekook4426,Wtf is that?,0,2023-06-22T20:09:05Z
@ofvck_xzy,"Wow, you guys are cool 😎",0,2023-06-22T11:46:19Z
@2hanbin,127 Lee line❤,0,2023-06-22T09:55:44Z
@Staywithhyunjinguys,BUBU❤❤,0,2023-06-22T02:09:23Z
@bahngchanz,HAECHANS TAN SKIN!!!???🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️,0,2023-06-19T22:48:29Z
@ОрисяГадцька,"""THE LEOPARD"" - style?",0,2023-06-19T18:53:24Z
@justmeLMOAs,"At the last part, it just only haechan with his own unique world😂😂😂",0,2023-06-19T09:31:37Z
@haeechans,haechan lookin a lil tew good and i can’t even see his face,0,2023-06-18T20:29:25Z
@khanzaafarzanaa,"👤:what's on your mind until you are always silent?
In my mind: *we got the bounce, wow, wow, wow, wow",0,2023-06-18T16:20:49Z
@moo0ggg,아 다 귀여워서 미치겟네 ㅋㅋㅋㅋㅋ 이태용 진짜 개잘생겻다,0,2023-06-18T00:30:31Z
@juliaro2249,Mark❤,0,2023-06-18T00:24:26Z
@Marinak.007,If Taeyong wanted me as a fan then he got me 😍😍😍,0,2023-06-17T17:45:34Z
@iniamaaa2197,해찬이 너무 귀여워 😭😭😭,0,2023-06-17T09:19:31Z
@Fine_4_u,Ada bang Ago😭😭 #agorivalll,0,2023-06-17T08:15:26Z
@jo_v,Love this trio vibe,0,2023-06-16T17:02:39Z
@fransastone,I'm here for a month now ʕ •ᴥ•ʔ watching those cute meow,0,2023-06-16T13:09:59Z
@handacircle3009,"With jaehyun,  when...?",0,2023-06-16T09:56:25Z
@chocolatebutterfly6557,I SEE DAT CROSS,0,2023-06-16T01:21:49Z
@lilymks,MARK CAT!,0,2023-06-16T00:45:20Z
@rubybu8215,Uri Taeyong with maknaes 😁💚,0,2023-06-15T17:16:02Z
@khairunnisa2927,Itu yg baju item jgn dilepasss😭,0,2023-06-15T15:11:18Z
@toaster19_32,Haechan not even on schedule and serving A LOOK,0,2023-06-15T15:01:13Z
@jonjal_bo.meon_crying,이 귀염둥이들.....,0,2023-06-15T14:43:47Z
@kyoheiablaza6070,*I love mark and my bias haechan dance duo ever. So adorable and handsome my baby TAEYONG.* 😳🥺😭😍😘❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,2023-06-15T13:20:43Z
@melltanr127,Keluarga bahagia lewat ni,0,2023-06-15T11:57:59Z
@JsuhJohnny-yg9qi,TY 🔥🔥🔥,0,2023-06-15T04:29:12Z
@ichsntrn5920,haechan kenapa si,0,2023-06-15T01:52:06Z
