author,text,likes,published_at
@Cristiano2026-cr7,ILOVE you Rose ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥😇😇😇😇😇😇😍😍😍😍😍😍😘😍😍😍👍🏻👍🏻👍🏻🥰😇❤️‍🔥❤️‍🔥❤️‍🔥🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻😎😎😎😎💯💯💯💯💯🥇🥇🥇🥇💯💯💯,1,2025-04-13T16:48:50Z
@ريان-بيري,ILOVE youuuuuuuuuuuuuuuu Rosé ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊,1,2025-04-08T13:00:52Z
@RoseBlink_official38,Slay blackpink ❤,1,2025-04-04T08:09:11Z
@SaidaSohibova-m4t,I love you too Lica and Roce and Jenni and jiccoo,0,2025-03-06T16:06:33Z
@w_lilisaafann,Lisa bestt,1,2025-02-20T16:42:02Z
@SWIFTEBLINK,Their voices 😭🖤💖,0,2025-02-20T02:37:22Z
@ShobhaGarasangi,🎉🎉❤️❤️,0,2025-02-11T09:53:47Z
@erikasalazar7360,Hellou❤,0,2025-01-03T03:52:19Z
@Rayo_McQueen23,"REINAS, TE AMO ROSÉ, TE AMO JISOO, TE AMO LISA, TE AMO JENNIE, LAS AMO A TODAS, SON LAS MEJORES",0,2024-12-30T06:37:51Z
@karunasoyane7184,JSO❤,0,2024-12-28T07:52:23Z
@SophiaH-u7b,why does everyone like lisa I like rose more but lisa she is cool kind cute but I still like the others the same but rose got some more,0,2024-12-17T23:21:22Z
@Nuhakueen-w9e,Wow so cute Black Pink ❤❤❤❤❤,0,2024-12-10T05:51:21Z
@gessildayarleiyara2558,😍😍😍😍😍😍😍😍🥰🥰🥰🥰🥰🥰kpop,0,2024-11-28T23:19:28Z
@Zahidefangirl-k9d,I LOVE YOU BLACKPINK ALL,0,2024-10-16T17:13:14Z
@lekc_stars6719,❤,0,2024-10-06T08:50:37Z
@AthesticBlink,"ใช่ คุณคือความรักของฉัน 💗💗네, 당신은 할 수 있어요, 내 사랑하는 사람들아 yes ypu can do it my lovelys i wrote in each member language and county 😁💗💗 I'm not korean I'm Pakistani but i still love you 🖤BLIИK💗",0,2024-09-12T20:01:36Z
@Blacpink_jenlisafan,Asklarım nasılsınız❤❤❤,0,2024-09-06T10:42:32Z
@sumitjaiswal679,Lisa so cute ❤❤❤,0,2024-09-01T04:54:30Z
@jhkim6733,블랙핑크왜 해체햇어여? 저는 2015년에 태어낫는데 2017년에 왜 해체를….,1,2024-08-29T05:43:53Z
@Aep1nk_bluu,JISOOS VOICEEEE,0,2024-08-24T14:01:01Z
@Aep1nk_bluu,OMGGGG LOVE EM SM,0,2024-08-24T14:00:53Z
@Aep1nk_bluu,THE VOICEEEEEES,0,2024-08-24T14:00:47Z
@Starwq11,QUEEN JİSOO❤,0,2024-08-18T06:23:17Z
@JutikaBorsaikia,Hi blocking my name is raggi we are lndia l love you blocking ❤❤❤❤,0,2024-08-07T01:14:17Z
@Hiranuret,Queen Blackpink,1,2024-07-29T15:28:44Z
@gulayakbulut6280,BLACK  PİNK  K-POP'UN  EN  GÜZEL  GRUBU❤,0,2024-07-20T09:12:49Z
@Iiy-lo6eu,Ребята как вы знаете англиский ❤❤❤,0,2024-07-13T20:33:55Z
@ms_lina1,No ex no next for me jennie is the best 💗,1,2024-07-12T17:20:57Z
@BrendaSantos-cs3yl,Queen JISSO ❤,1,2024-07-10T06:45:58Z
@ErikaPytlounova,💋💋💋💋💋💋💋💋💋💋💋 love,1,2024-06-21T13:56:48Z
@neerajsharma6898,🎉🎉🎉🎉🎉,0,2024-06-21T03:21:15Z
@rutemariano3309,Rainhas ❤,0,2024-06-18T01:38:04Z
@yinersiperez123,Están todas muy bonitas,0,2024-05-23T23:47:01Z
@Ntinoulakii,The edit 😍,0,2024-05-23T02:35:23Z
@Rosies_roses_bp,Please create a new song blinks ask you 😊,0,2024-05-15T07:51:19Z
@Jisoo-l2u,Jisoo❤,0,2024-05-11T08:21:15Z
@AMOROSOMARISTELLA-wq8uk,❤❤❤❤❤❤❤❤❤ Dov'è Lisa,0,2024-05-10T05:14:24Z
@MimiKoudri-pc5gz,"Lets proof our love too blackpink❤

Pov: your a blink since they were trainees❤",0,2024-05-07T12:42:58Z
@Player.196-t9f,❤❤,0,2024-04-30T18:41:54Z
@sabirahmed949,Qween lisa❤❤,0,2024-04-17T07:54:33Z
@khushijeswani8794,I love you queen lisa❤❤❤❤❤,0,2024-04-15T09:39:18Z
@Ll_svw,LISOO I LOVE YOU🇦🇿💗,0,2024-04-08T11:55:51Z
@CasMes,Lisanın sesi çok güzel💛💛💛💛💛💛,1,2024-04-07T15:16:04Z
@kurtrusselpepito-qt3yz,I love you black pink i love you all i love you lisa i love you rose i love you jennie i love you jisoo,0,2024-04-06T14:23:24Z
@Azrayuksel4568,Rosemmmmmmmmm❤❤❤,0,2024-04-04T16:37:49Z
@K-popsquad,Lisa so cute❤❤,0,2024-03-29T02:00:32Z
@rosaguerrero2603,No se vio la parte de jisoo  y  rose😒🤬,0,2024-03-25T18:40:26Z
@WishalRafaqat,Jennie transition is so cute and slay in one time❤,1,2024-03-25T08:56:06Z
@elenigreka8690,Lisa is so pretty and rose and jennie and jisoo❤,1,2024-03-24T17:16:48Z
@melekatc1800,Rose the oueen,0,2024-03-22T20:23:12Z
@melekatc1800,Roseeeee,0,2024-03-22T20:21:01Z
@janhavidasgupta5740,Lisa ❤,1,2024-03-22T09:27:35Z
@chitrahari7306,❤❤,0,2024-03-20T16:16:57Z
@ويس-م4غ,Queen lalisa manopa,2,2024-03-15T04:57:12Z
@User-baurw148,QUEEN JENNİE🔥❤️,0,2024-03-07T13:12:59Z
@silviavictoriano2535,I love Rose ❤,1,2024-03-04T00:52:57Z
@ShantoSarkar-c9k,black pink earn year,0,2024-03-01T04:23:50Z
@yelissaquezada2443,Soy fan de todas ❤❤❤❤,0,2024-02-25T15:21:13Z
@LUNA_COOL-l9g,사랑해요 블랙핑크 사랑해요 로제 지수 제니 리사 사랑해요❤😘,1,2024-02-21T16:24:34Z
@Asmanisa-n9y,SLAYY ROSÈ,0,2024-02-05T18:13:47Z
@michellesuarez2195,Salsa que la quiero la epic son mis favoritas del mundo siempre juegan Mis cantantes la amo❤😊,0,2024-02-03T01:29:07Z
@Kontrolbende475,Lisa?,0,2024-02-02T13:39:59Z
@Sudehas_12,Quenn rose❤❤❤❤❤❤❤❤❤,0,2024-02-01T11:14:06Z
@Layan_sela_230,Queen Jennie,1,2024-01-27T13:28:25Z
@Miyeoncuss,💗BLACKPINK🖤,0,2024-01-26T14:35:15Z
@favdumbblonde14,LISA IS QUEEN,0,2024-01-23T07:07:27Z
@NellaGames7,Jisoo ❤❤❤,0,2024-01-08T02:29:06Z
@BXRNbluee,Why we are only taking about Lisa 😢,0,2024-01-05T09:18:24Z
@BXRNbluee,Lisoo ❤,0,2024-01-05T09:17:50Z
@bornpinxfan,💘💕🎵💙🖤💕🎶🎶💗❤️💗💖❣️😊🖤💙💓💞💞❤️💞💙💘❣️😊😊,0,2024-01-04T19:39:16Z
@anaclaracalandrino3963,Vocês são tão legais,0,2024-01-04T13:24:26Z
@La_Mb952,Lisa❤❤❤,0,2024-01-03T13:45:41Z
@kpoppie_luvz,Lisoo ❤,2,2023-12-31T07:55:10Z
@Lindafan536,2016 blackpink: yg don't leave us. 2023 yg: blackpink don't leave me,0,2023-12-27T14:21:06Z
@Miss_yadav434,Lisa where is she,0,2023-12-23T08:53:06Z
@meganers5968,❤❤,0,2023-12-17T15:01:17Z
@thienphucommercial469,EM THICH CHI,0,2023-12-13T14:10:34Z
@JharnaAkter-o4j,Queen  ROSE ❤🥰,0,2023-12-08T09:13:43Z
@Adrianamfv,Jennie❤❤❤❤❤,0,2023-12-03T14:02:52Z
@GötüBokluSpike,🖤I love you BLACKPİNK 🩷,1,2023-11-23T16:55:14Z
@RitaHughes-ho7gt,Ros'e,0,2023-11-20T19:35:30Z
@priyanair9857,Same❤,0,2023-11-19T14:27:52Z
@KoKO-f6j1i,rose🎉🎉,0,2023-11-18T12:04:07Z
@virendrakumarmoses7416,ROSE 🌹 JENNIE LISA.              JISOO.    푹 빠진 것 같다 내가        허락 받고 있다 보니              표창 만들기 위해 많은 참여 바랍니다 감사합니다 감사합니다 여러분 모두 함께 하세요 진짜 너무 많은 관심 부탁드립니다 감사합니다 여러분 감사합니다 여러분 안녕하세요 여러분 안녕하세요 지휘관,2,2023-11-14T17:16:26Z
@miermet,So cute 😢😢😢,1,2023-11-12T15:34:17Z
@MichellNahomyEntiquezMairena,Where is lisa😢 porque la odian tanto,0,2023-10-25T22:45:38Z
@puspadevi3072,I am indian but I am blackpink big fan❤❤,0,2023-10-23T08:35:39Z
@puspadevi3072,Lisa is best❤❤,0,2023-10-23T08:31:56Z
@MitsuriBenim_tmm,Ben türküm ama yapmak pişey yok😢,0,2023-10-20T14:39:48Z
@Paqueta_SKYLIE_7,I love shut down❤,1,2023-10-16T11:44:57Z
@bpblink123,Lalisa manoban🍭🍭🍭🍭,0,2023-10-15T12:19:58Z
@danikagunasekara7932,Choachella was made fore them... Why did Yg cut Lisa out? It's unfair to her. It's been 7 years and I am so proud of them...,0,2023-10-15T11:48:50Z
@mariajosecadizsalinas6952,when we pull up you know its a shut down,0,2023-10-15T03:45:45Z
@KimAsh-g8z,All blinks love you always 💗 love you jiso 😊 Rose 😍 Jennie🤗   Lisa 🖤💓😚,0,2023-10-13T01:43:33Z
@Elin533,BLINK 🖤🩷✨,0,2023-10-11T14:04:12Z
@Marcela-lv6co,❤❤❤❤❤❤❤,0,2023-10-10T00:05:00Z
@Blink_jinie,"I don't know what you said, but I support you all 🥲",0,2023-10-09T12:04:08Z
@SunithaMudunuru-g1b,"Please Talk in  English, Because we can't understand your language ❤",0,2023-10-08T06:38:19Z
@hemantkapoor6026,lovely,0,2023-10-04T08:41:19Z
@Pops19,If anyone gives you amazing 4 girls hate focus on the amount of blinks you have !!,0,2023-10-03T14:45:24Z
@ThienkimNguyenx-xd5kg,Hello,0,2023-09-30T14:21:16Z
@ThamTran-tw6ei,"Blackpink blackpink ❤❤❤❤❤❤❤❤❤ l'm ngân hi blackpink❤❤❤ fan jennie & rose & jisoo & lisa ❤❤❤ blackpink ( chuc blackpink 90,00000000000009999990080",0,2023-09-30T12:38:44Z
@Ilma_lili,😊😊😊😊😊😊😊😊,0,2023-09-18T19:30:37Z
@Sribanani-us3mv,"❤❤❤❤❤❤❤🎉🎉😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤



❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",1,2023-09-17T10:56:39Z
@mrandmrschakraborty7619,Lisaaaaaaaaaaa❤❤❤❤❤❤,0,2023-09-17T03:44:22Z
@norahuerta91,BLACKPINK Ot4 for ever,0,2023-09-17T02:46:00Z
@sahanullah7347,Black pink ❤❤rose so cute ❤❤,2,2023-09-15T08:42:54Z
@AlokGamin782,❤❤❤,1,2023-09-06T04:52:23Z
@Brianna613nice,Lisa😂😂😂,0,2023-09-04T15:30:16Z
@İbrahimAkılı-e6o,Jennie❤❤❤❤❤,0,2023-09-04T10:49:20Z
@TROUTsuny76,월드 탑. 걸그룹,0,2023-09-04T00:13:08Z
@Kiwi_zoie,Lalisa? 👸🏻,0,2023-09-02T12:00:40Z
@Liwsy171,Hello,0,2023-08-25T20:49:40Z
@abdelmalekrefas9969,💗black pink 🖤,0,2023-08-25T11:48:59Z
