author,text,likes,published_at
@kieyyt2rjjr,재현 귀 엄청 빨갛네,0,2025-04-19T14:21:46Z
@SamaMahmoud-ms8bc,ودنه حمرة 😅,0,2025-04-03T12:30:23Z
@tlsgptn4512,솔직히 존나 잘어울림 팬들은 기함하겠지만..ㅋㅋ,2,2025-04-01T04:14:37Z
@JELLYFISH_loO,이여자진짜고단수마누라다,0,2025-03-17T14:38:27Z
@Playlistsongg,kenapa pas aku liat winter sama jaehyun kek rada kesal yaa🗿🗿🙏🏻🙏🏻,0,2025-03-14T06:54:09Z
@xjkuone,최애조합뮤ㅠㅜㅜ,1,2025-02-26T15:34:33Z
@왈왈짖는원도어_11,윈터 너무 이뻐요뮤ㅠㅠㅠ,3,2025-01-30T07:45:08Z
@min-uz1pz,ジェヒョン恥ずかしくなって耳赤いじゃん😂😂😂,0,2025-01-28T06:23:47Z
@1_itggi,복숭아즈 진행시켜!,0,2025-01-19T06:51:28Z
@Bananamilk-b1d,So cute,1,2025-01-01T17:10:44Z
@Jjhm164,ㅈㄴ 킹받음,1,2024-12-26T10:48:03Z
@김청순-y2n,윈터 넘 귀엽다 ㅠㅠ❤❤❤❤❤❤,1,2024-11-29T11:23:16Z
@Anastasia_Grechka,"Ой щас меня закидают тапками😂

Я в к-попе уже почти 15 лет и считаю что Блекпинк как группа переоценены (и как сольные артистки тоже…не бейте😅 )
Я их никогда особо не слушала, есть пару песен, но в целом мимо меня. Музыки и клипов не много, они все очень похожи (что для стиля в целом не плохо, если бы YG умели в разные стили) Музыкально опять же ничего выдающегося, что-то неплохо, но в целом соу соу. Я помню как ждала их дебют и когда вышла Бумбая, она уже на тот момент показалась мне немного устаревшей и аляповатой. Про яяя, дудуду, ратата я уже молчу…
Это конечно вкусовщина, но стиль YG могли вывозить только BigBang когда в этом была ирония, юмор и сильная харизма, в остальных случаях песни про тусичи, мани и то «какие мы пиздатые» смотрятся нелепо и очень подбешивают…( привет Бебимонстр, спасибо что последний камбек не плох)
Сольно вообще ничего не понятно. Никто кроме Розе как будто вообще не хочет больше музыкой заниматься, но фанаты требуют 😂 У Лисы кроме бабок в клипах смотреть пока не на что, У Дженни одна Мантра, клип прикольный, но песня опять же слабая на мой взгляд. Джису пусть реально лучше играет, у нее хорошо получается, ну и только Розе может выдаст классный именно музыкальный материал, посмотрим этого я жду❤

Ой простыню какую накатала, спасибо за видео, очень нравится канал)",0,2024-11-27T14:42:54Z
@crystalshopia,Missss youuu J,0,2024-11-26T22:32:26Z
@taengoo8939,다시봐도 존좋 ㅜㅜ,2,2024-11-25T18:37:00Z
@user-rr5pr9m,재현이한테 윈터는 완전 애기지,3,2024-11-09T09:40:00Z
@몽실-w1w,여기에 갇혔어요 나가는 방법을 모르겠어요,3,2024-10-26T19:35:13Z
@헤헤헤-x2k,이거 모야 말티즈랑 백구 조합인건가,4,2024-10-24T12:04:04Z
@user-pwphmr,ㅋㅋㅋㅋㅋㅋ이렇게 소극적인 배기진 처음봨ㅋㅋ,2,2024-10-07T08:15:42Z
@doyoulikedyudyu,김민정눈웃음미쳣나사랑해,6,2024-10-01T01:28:03Z
@oji-rp8ik,다니엘 진짜.... 진짜... 진짜다,0,2024-09-30T21:29:57Z
@anakdidiksm,aaaaaa gak bangettt😭,0,2024-09-30T10:13:15Z
@haechooblessyou,GBK MENJADI SAKSI,0,2024-09-29T05:42:59Z
@믕23,둘다 개귀엽냐ㅠㅠㅠㅠ❤,0,2024-09-28T10:57:55Z
@guvyii,😭oh?,2,2024-09-22T19:47:55Z
@서미도-j8q,와..재현 어깨 무슨일이야...????태평양이야????,4,2024-09-17T19:19:44Z
@lxxshine8616,"Wait isnt the audio from the kdrama 25,21? (not the song)",0,2024-09-13T12:37:27Z
@rel9934,CWK CWK CENTIL GUAAAAA BEDUA LUCU ANNEEEETTTTT,0,2024-09-08T10:36:47Z
@XwwwwwwX,개웃긴딬ㅋㅋ,0,2024-09-05T16:58:16Z
@泡芙-x3z,so cute,0,2024-08-31T07:29:01Z
@Ranimuraa,LMFAOO THATS CRAZYY,0,2024-08-28T05:42:41Z
@Ranimuraa,2521 MENTIONED 🔥🔥,0,2024-08-28T05:42:26Z
@NikitaAja-m8e,Kenapa itu membuatku tertawa juga haha,1,2024-08-24T12:59:08Z
@KaizenCH08,winter ngakak 😭,0,2024-08-23T08:26:38Z
@SmrutisChannel-f3k,Jaehyun smilling,0,2024-08-19T17:28:54Z
