author,text,likes,published_at
@佐藤誠-o4u,楽しそうで、良かった😊,0,2025-03-13T12:43:26Z
@佐藤誠-o4u,楽しそうで、何より😂,0,2025-03-13T12:42:52Z
@eunpersimon,기엽당,0,2025-02-02T17:24:41Z
@kaisputnik,now london concert in the uk 😈,0,2025-01-08T22:13:24Z
@SupportPalastine-q2k,나는 거기에 살고 있기 때문에 그들이 영국에 있다는 것이 너무 행복합니다!!,1,2024-12-24T12:07:15Z
@Manyyiim,かわいい,0,2024-12-24T07:21:39Z
@archive4707,さくちゃんのこの時の服すき❤,0,2024-12-19T06:52:06Z
@최효준-q5h,귀요미 은채 신났네 신났어 귀여워,0,2024-12-18T14:06:06Z
@cough123,은채 귀엽다,0,2024-12-17T03:54:54Z
@Raye_Shingeki,仲良しで楽しそうでかわいい💕,0,2024-12-15T22:41:55Z
@ArielStar,Lovelies ❤,0,2024-12-14T21:04:58Z
@crabshiii,"A very off topic thing, but I oftentimes think abt how much fun it must be to be an idol, ik abt all those hate they get over ntg n pressure from fans n company they face, health issues, all hardwork vch takes during trainee period n after debut n etc., but there r many positive sides too like working n spending all ur days w ppl (team members)who r ur best friends, going to theme park, malls, diff countries,karaokes, late night outs w them, having financial stability, popularity, beauty n fitness, confidence, not suffering from unemployment n doing things what they love like singing n performing on stage, able to make their own decision n being independent, being everyone's favourite almost like living a fictional live, they must be happy bc of these things n r lucky to have these things",0,2024-12-13T17:27:16Z
@DEADBONE.19,Sakura here looks really like their mother 😂,0,2024-12-12T03:20:12Z
@S톨,즐겨 ~,0,2024-12-08T06:36:08Z
@Eunlixlie,"That kidsss was so lucky

In his mind in the video :
""Hey mommy there 3 crazy girl dancing, i scary""

10  YEARS PASSED

""MOM I JUST REALISED I HAVE SEE IN REAL LIFE  LE SSERAFIM SAKURA .,YUNJIN.,AND EUNCHAE I WASSS SO STUPIDDD"" WEN I WAS 4",1,2024-12-07T19:36:01Z
@IZRAFIM,❤❤,1,2024-12-03T07:39:11Z
@3ho9503,こっちの路線の方が好き,2,2024-11-30T06:38:15Z
@NikoletaDiomatari,all of them have stunning fits❤❤❤❤and they r great performers ❤❤❤❤❤❤❤❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤❤😊❤❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊😊❤😊❤😊❤❤😊😊❤😊😊❤😊❤😊❤😊❤😊,1,2024-11-28T15:50:47Z
@NikoletaDiomatari,SAKURA LOOKS SO COOL❤❤❤ WITH HER FITT,4,2024-11-28T15:48:57Z
@NikoletaDiomatari,I love yunjins smile❤❤,0,2024-11-28T15:48:39Z
@NikoletaDiomatari,SLAYYYYYYYY❤❤❤,1,2024-11-28T15:48:00Z
@seoulstudio,❤❤,0,2024-11-27T20:34:58Z
@shine_orange,발랄한 이 에너지 넘 좋아 🩵💙,2,2024-11-27T07:10:53Z
@yyk4936,修学旅行みたいでかわいいな笑,1,2024-11-26T10:04:49Z
@carolcarolina2379,O sorriso da minha princesinha Sakura🥹😖💕✨️,0,2024-11-25T18:45:22Z
@LaylaLrm,YEA LE SSERAFIM,1,2024-11-24T11:00:37Z
@iluvleserrafimm,me bc I live in uk BUT I CAN'T GO CUS I'M TOO YOUNG.... 😭😭😭,1,2024-11-24T10:55:08Z
@ck2vlogs662,What part of uk❤,1,2024-11-24T02:12:39Z
@yen-8680,Lesserafim songs are so dear to the soul… i love you girls ❤,2,2024-11-23T11:10:31Z
@Reta_kk,Guys go winter wonderland this Sunday then😂😂,1,2024-11-23T01:29:08Z
@IAteUWU,Dancing at the sound of Star Signs is the best🖤,3,2024-11-22T21:11:26Z
@panichp6942,Liverpool❤,2,2024-11-22T02:12:29Z
@PyeongHwa,Imagine you are walking down the street normally and you see LESSERAFIM,3,2024-11-22T00:11:58Z
@rajanpandey9554,"Literally went from London to Cardiff 😭😭😭



It’s soo cold here in the UK 🇬🇧 some how I saw snow in Cardiff😊",3,2024-11-21T20:10:12Z
@Cha3r0si3,Kissy,0,2024-11-21T18:49:55Z
@moca2927,温まる❤❤心から,3,2024-11-21T13:15:22Z
@FeartnotFimie,"LE SSERAFIM'S CHOREOS NEVER DISSAPOINT
STREAM STAR SIGNS?!!!!!!!! 🌟",0,2024-11-21T08:31:42Z
@あやたん-o1k,可愛いすぎます💕,5,2024-11-21T04:47:06Z
