author,text,likes,published_at
@germanmisomiso238,成功したオタク🎉宮脇咲良🎉,0,2025-04-21T13:55:06Z
@germanmisomiso238,成功したオタク、宮脇咲良さん🎉,0,2025-04-21T13:54:44Z
@Syd-kt3lo,My Seulgi,0,2025-04-20T22:36:04Z
@Syd-kt3lo,Seulgi unnie 💛,0,2025-04-20T22:36:00Z
@MelodicMoogle,Seulgi ❤,0,2025-04-19T03:42:13Z
@onelkeypumbam,So adorable,0,2025-04-16T18:56:03Z
@onelkeypumbam,I love you Seulgi,0,2025-04-16T18:56:00Z
@Peaches_031,슬기🔥,0,2025-04-09T11:25:42Z
@lizethmoran6449,"I Hope Sakura smile more n more, she looks amazing in her birthday like always.",4,2025-04-07T19:27:24Z
@fx0905,러비였던 사쿠라 ㅋㅋㅋㅋㅋㅋ,0,2025-04-06T16:54:45Z
@tadsnst,Seulgi detail and time so precious 😮,6,2025-04-04T02:36:40Z
@ribbon-u7u,スルギのダンスの安定感やばい,4,2025-04-03T19:02:39Z
@Yeyemi-b1s,Seulgi’s timing is impeccable,5,2025-04-02T17:31:08Z
@GleeChan,Here's me wondering why Chaewon was hashtagged.,0,2025-04-01T23:00:52Z
@hafizhfnatama,When sakura meet irenee aaaa 🥹🙌🏻,1,2025-04-01T16:27:15Z
@jimboykulit3934,Kkura is one step closer to her Irene unnie ❤❤❤,1,2025-03-31T02:31:44Z
@MsAmiAki,Wow one idol who sings really well next to one member who can’t sing at all. Amazing!,2,2025-03-30T15:34:20Z
@ammskskskk9516,Seulgi,1,2025-03-30T13:24:17Z
@hanipoc,Sakura lucky fangirl,3,2025-03-29T19:23:55Z
@JuniorTeixeira-c9y,💗 Seulgi ❤️ Sakura 💘,2,2025-03-29T02:36:58Z
@deecutie143,SEULGI X KKURA,0,2025-03-28T14:58:19Z
@aniciawong7784,Sakura SAIKOU! My NO.1 bias! 👍👏🫶🫰❤️🥰😍😘🤩💯🥇,0,2025-03-28T08:23:07Z
@babymoch1,So cuteeee girls💓😻👌,1,2025-03-28T00:25:19Z
@Uni유니짜장,역시 믿고보는 슬기,3,2025-03-27T14:04:38Z
@StargateParaiba,"사꾸라는 원래 최고지만, 이번 으로  슬기가 굉장히 고급스럽다는 걸 알게 되었다. 키도 안큰대.",2,2025-03-27T13:59:32Z
@forget-me-not8522,Seulgi looks like irene here,0,2025-03-27T08:08:46Z
@로마네꽁띠-u9h,슬기 넘 좋다,3,2025-03-27T08:07:52Z
@Kp0p_Clips-m2e,My bias 😭  i love it,0,2025-03-26T14:00:52Z
@midtuesday,🧡,0,2025-03-26T09:35:31Z
@thischinksays,"I love Seulgi! Sakura and Seulgi look so beautiful here, pulling off the dance effortlessly.",0,2025-03-26T00:00:12Z
@kendallmasterssank369,Omo omo Imagine a collab in a song. My two bias together!!,0,2025-03-25T17:28:55Z
@개똥이-f6p,확실히 기본기 sm이누,2,2025-03-24T23:31:45Z
@ManchaeSheAte,Seulgi's hair is perfect for this 🔥👌,1,2025-03-24T22:37:15Z
@duniarindira7708,Damn Seulgi 😍😍😍🎉🎉🎉,0,2025-03-24T00:57:44Z
@Universe_99999,"This combination is so satisfying .
Sakura and Seulgi are happy ❤❤",0,2025-03-23T21:57:09Z
@choiend,Sakura mang,0,2025-03-23T15:53:28Z
@xet7536,쫀득하다 강슬기,0,2025-03-23T14:47:33Z
@luvyn2298,뜰기 꾸라 조아,0,2025-03-23T11:41:19Z
@rosemarykarenezpinosabusti4735,Sakura siempre linda❤❤❤,0,2025-03-23T06:56:13Z
@zarc0n,"""Could they be...."" -Prince 🥰",0,2025-03-22T17:35:05Z
@dripGoat23,My wife seulgi ❤😍😍😍,0,2025-03-22T17:28:16Z
@juliuscaesar4492,슬기 + 꾸라 = 은혜 엄청나군요 감사할 따름입니다.,0,2025-03-22T15:51:55Z
@vanco107,Dễ thương❤❤,0,2025-03-22T11:36:16Z
@AlyceEvette,My favs 😊❤,0,2025-03-22T10:21:54Z
@메아리-b5b,슬기 춤선 너무 좋음 뭔가 성적으로 어필하는 느낌없이 간지나,0,2025-03-22T08:35:30Z
@Sinlock-1313,it's dangerous to have that much beauty in one place.,1,2025-03-22T08:25:14Z
@khmjack,꾸꾸 누나 화이팅,0,2025-03-22T08:00:17Z
@PortMourant,🩷💖❤️💖🩷💖❤️💖👑,0,2025-03-21T18:46:05Z
@Hx375nsq9aVy6,This is the hottest Sakura has ever been. More of this.,0,2025-03-21T18:45:13Z
@shg7586,ㅎㅎ성덕 꾸라 ㅎㅎ,0,2025-03-21T16:27:53Z
@Fearnotik_official,Seulgi's eyes are so pretty,1,2025-03-21T14:15:03Z
