author,text,likes,published_at
@KaroOrion,나는 블랙핑크를 사랑해요,0,2025-04-26T07:28:11Z
@K._.Xthetics947,Anyone 2025??,0,2025-04-25T11:05:35Z
@MdRifat-t5j6z,Please reply my comment,0,2025-04-25T09:52:53Z
@MdRifat-t5j6z,"Rose, Lisa, jisoo, jini you are so cute",0,2025-04-25T09:52:20Z
@MercyDivinaCorderoCedeño,🩷🩷🩷🩷🖤🖤🩷🖤🫶🏻🩷🥰🖤😍😍,1,2025-04-22T02:07:13Z
@MercyDivinaCorderoCedeño,Te amo BLACKPINK te amo BLACKPINK nunca te cambiaría por Baby Monster por Baby Monster son bien feas ustedes son las mejores😍🥰🥰😍🥰😍😍🥰🥰😍😍🥰🥰🖤🖤🖤🖤🖤🖤🩷🩷🩷🩷🩷🩷🖤🩷🖤🩷🖤🩷🩷🩷🩷🩷🩷🖤🖤🖤🩷🖤🖤🖤🖤🩷🖤🩷🖤🖤🖤🩷🖤🩷🖤🩷🖤🖤🩷🖤🩷🖤🩷🖤🩷🖤🩷🖤🖤🖤🩷🩷🩷🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🥰🥰🫶🏻🥰🥰🥰🥰😍,0,2025-04-22T02:06:59Z
@MercyDivinaCorderoCedeño,Te amo BLACKPINK te amo BLACKPINK nunca te cambiaría por Baby Monster por Baby Monster son bien feas ustedes son las mejores😍🥰🥰😍🥰😍😍🥰🥰😍😍🥰🥰🖤🖤🖤🖤🖤🖤🩷🩷🩷🩷🩷🩷🖤🩷🖤🩷🖤🩷🩷🩷🩷🩷🩷🖤🖤🖤🩷🖤🖤🖤🖤🩷🖤🩷🖤🖤🖤🩷🖤🩷🖤🩷🖤🖤🩷🖤🩷🖤🩷🖤🩷🖤🩷🖤🖤🖤🩷🩷🩷🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🥰🥰🫶🏻🥰🥰🥰🥰😍,1,2025-04-22T02:06:48Z
@MercyDivinaCorderoCedeño,Te amo BLACKPINK te amo BLACKPINK nunca te cambiaría por Baby Monster por Baby Monster son bien feas ustedes son las mejores,1,2025-04-22T02:06:20Z
@Shalizefa,These girls are so freaking gorgeous and cute,0,2025-04-19T22:36:42Z
@the_best_Rubies123,Rosé Lisá Jennié Jisoó 😻😻🙌🙌💍🤍,0,2025-04-16T17:49:05Z
@Beyazalacam,Jisoo omg😊,1,2025-04-15T18:29:47Z
@reenanirmal8320,Plzzzzz come to delhi plzzzzzzzzzzzzzzzzzz blackpink,0,2025-04-15T17:25:58Z
@Cristiano2026-cr7,ILOVE you Rose ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥😎❤️‍🔥❤️‍🔥😎😎❤️‍🔥🫶🏻💯💯🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻😍😍😍😍🥰🥰🥰🥰😘😘🥇🥇🥇🥇🥇🥇🥇🥇😎❤️‍🔥😎❤️‍🔥😎😎❤️‍🔥❤️‍🔥😎😍😍😍😍,1,2025-04-13T16:51:46Z
@anweshahota5670,Can yall come to India at hyderabad pls❤❤❤❤,0,2025-04-13T13:19:00Z
@NgocDiep31514,BLINK❤❤❤,0,2025-04-13T06:26:36Z
@ريان-بيري,ILOVE youuuuuuuuuuuuuuuu Roséeeeeeeeeeeeeeeeeee ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊,1,2025-04-08T13:05:58Z
@BTS_ARMY_AC,"l love you Blackpink ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
LisaLisaLisaLisaLisaLisaLisa
RoséRoséRoséRoséRosé
JisooJisooJisooJisooJisoo
JennieJennieJennieJennie
🖤💗🖤💗🖤💗🖤💗🖤💗",1,2025-04-07T17:03:29Z
@Blinksie_hiyy,OMGG BEST GG,0,2025-04-02T19:59:19Z
@PauletteT-z6s,Rosé  😁🖤🩷,0,2025-03-28T23:10:04Z
@chennaiipl205,Blackpink member are Angel like princess,0,2025-03-26T08:46:12Z
@alicakmak8044,I love you blakpink Lisa Rose Jisoo and jennie,0,2025-03-24T18:03:58Z
@MeryemDerin-i8z,"Türkiye, Erzurum lillll에게 무슨 일이?...",1,2025-03-20T13:00:35Z
@mahirmalik26,I love all member,1,2025-03-20T04:44:56Z
@Yonaaaaaaaa,"Jisoo🌷
Jennie💫
Rose💓
Lisa💋",0,2025-03-13T13:09:41Z
@SonaliRanasinghe-s5w,Jennie Kim Cutes ❤,0,2025-03-02T19:19:36Z
@eluwylisswqz,❤,0,2025-03-02T11:26:10Z
@IndianfanofRosé,I can't take of my eye from beauty ❤❤❤❤❤,0,2025-02-25T11:06:20Z
@Mariamcutiepiegirl,Lisa you are so cute 🎉🎉❤❤😊😊,0,2025-02-22T03:04:27Z
@SonaliRanasinghe-s5w,Blackpink and ❤ super fans all members 😅,0,2025-02-20T21:47:03Z
@marcelaantunes3445,Lisa my bia,0,2025-02-12T17:04:15Z
@SriAnnapurneshwarimaneruchiMan,Please 🙏 can you come to India banglore,0,2025-02-10T14:07:41Z
@gauravpurohit5290,I cant come 😢😢😢😢😢😢i live in India 😢😢😢😢😢😢❤😊❤😊,0,2025-02-06T11:59:50Z
@СоломіяСахнюк-я1я,ВИ ПРЕКРАСНІІІІІІІІІІ,0,2025-02-04T11:28:27Z
@BeydullahOmarov,ROSE LİSA JENİE JİSOO LOVE❤❤❤❤❤❤BLACKPİNK,2,2025-02-02T15:26:07Z
@Moon_shines-e2h,I love you all ❣️,0,2025-01-30T06:06:50Z
@anafatima848,I am ready to see live concert in mobile phone 💖💖,0,2025-01-19T08:12:31Z
@Solomiya-p6x,❤❤❤❤❤❤❤😊😊😊dfh,0,2025-01-14T12:39:50Z
@Solomiya-p6x,❤❤❤❤❤❤🎉 jzewt,0,2025-01-14T12:36:04Z
@shahilsiddiqui707,😊,0,2025-01-13T15:46:07Z
@AmalaPun-s1e,Lisa so cute😍🥰,0,2025-01-08T03:13:34Z
@alikanoglan1086,❤💛❤💛❤BLACKPINK💛❤💛❤💛❤,0,2025-01-05T14:27:03Z
@YahyaSalma-w2z,❤❤❤❤,0,2024-12-31T21:10:13Z
@GoluCh-ng4lr,"Jennie, jisoo, Rose and Lisa you are beautiful ❤️❤️😮😮😊😊😊",0,2024-12-27T18:15:15Z
@SWIFTEBLINK,I attended the MetLife one and I had such a great time ❤ Thank u for Born Pink 🖤💖,1,2024-12-24T01:28:09Z
@KabilovaFeruza,❤ Blakpink I love ❤,0,2024-12-22T09:30:33Z
@Jennie._.Rubyyyyy,Please speak in English for me 😊😊😊😂😂😂😂❤❤❤❤❤❤❤,0,2024-12-18T15:25:52Z
@Lindasaiyoung2,turkey please turkey 🇹🇷,1,2024-12-13T12:58:08Z
@patime_dokunma,Alavyuv lisa me turkey,1,2024-12-13T10:57:43Z
@khaingzinthin3060,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-12-11T11:00:49Z
@HanJisungStan-j1e,Jisoo is the best🫠🎀,1,2024-11-27T11:20:44Z
@EshaChudhry-q1y,Blackpink Jenny cute 💋💞💞💌💗💗💕😍😍💓💓😘,0,2024-11-26T16:01:05Z
@gokarnasharma-c8r,Please speak english,0,2024-11-15T10:58:24Z
@AdiBej,Rose ❤,0,2024-11-13T08:17:55Z
@meenudhawan7151,That was the starting of the world tour and now it already ended  time flys so fast 😢,0,2024-11-13T07:07:16Z
@TantanGeig,I love ❤you ❤❤❤❤blackpink is à nama yuna ❤ blink,0,2024-11-03T13:50:08Z
@BlinkArmy-gx7bu,Rose so pretty 😍😍😍,1,2024-11-03T12:50:52Z
@881-eo6os,2024 rose❤,0,2024-11-03T11:19:26Z
@AsyaVishesh,Very cute,0,2024-10-26T10:59:11Z
@KalpanaHazra-wk6hd,Hi Lisa I am indian🇮🇳.your big fan 🖤💓,0,2024-10-22T03:04:12Z
@rosetom-r7l,ROSÉ is very beautiful.,0,2024-10-11T15:48:40Z
@Lily-world17,"I love blackpink but I am only 12 years old😢😢..
I will never meet you.. But I am a big fan of you. I think I can see you but my mom and dad will not allowed. I am soon sad for That. But I love you blackpink.❤❤❤
I wish I will see you. It's my dream😢😢😢.. Love you blackpink 😢❤❤❤",0,2024-10-08T15:28:05Z
@lekc_stars6719,THERE LITTERY QUEENS 👑,0,2024-10-06T08:29:24Z
@ОксанаОксана-о1т,🥰🥰🥰😍😍❤️❤️❤️,0,2024-10-01T16:07:07Z
@AnaMon-bi6tb,"Roblox español por favor yo no saber inglés 
😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🖤💓🖤💓🖤💓🖤💓🖤💓🖤💓🖤💓🖤💓🥰🥰🥰🥰🥰🥰🥰🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🥀🥀🥀🥀🥀🌹🌹🌹💐💐💐💐💐💐🐈‍⬛🐈‍⬛🐈‍⬛🐈‍⬛🐈‍⬛🐈‍⬛",0,2024-10-01T06:31:16Z
@ÖmürKurnaz-e5e,I wish you came to Turkey. I love you shut down by the way I wrote it in 2024 on September 29 I love you so much,0,2024-09-29T14:29:39Z
@Yo-yoriw,Rose❤❤,0,2024-09-23T16:57:23Z
@M.ÖzgürŞahin,rose you are so beautiful,1,2024-09-21T13:03:39Z
@debbie_ggovender4217,i love you blackpink❤❤❤,0,2024-09-20T13:04:02Z
@RathiJay,I will keep watching this again and again cause I love seeing their beautiful faces,0,2024-09-16T12:49:53Z
@ImamSyafii-mk6js,Rose you are like a royal princess,0,2024-09-14T14:47:21Z
