author,text,likes,published_at
@z.j-08,Just 4 months till this day again 🥺❤,1,2025-04-08T07:26:15Z
@LeeLee-ye1rs,YT channel “Asian entertainment and culture” is spreading HATE & calling NJ fans Trolls!! She is an OLD lady w/ toxic cult groupies,1,2025-03-21T07:53:38Z
@rayannezanin2539,14/12/2024 às 11:46,0,2024-12-14T14:47:19Z
@rayannezanin2539,14/12/2024 às 11:46,0,2024-12-14T14:47:08Z
@rayannezanin2539,14/12/2024 às 11:46,0,2024-12-14T14:46:58Z
@rayannezanin2539,14/12/2024 às 11:46,0,2024-12-14T14:46:46Z
@lovely_pudding3,CUTIEEEEEEES,0,2024-11-19T14:10:42Z
@NJZ_OT5_4ever,WE LOVE U SO MUCH NEWJEANS,0,2024-11-16T19:23:49Z
@兔女郎-z7v,🎉,0,2024-11-15T15:19:52Z
@sasarere4434,We love u newjeans 🐰😊,0,2024-10-31T10:42:56Z
@Kkik-z3s,BUNNIES HERE!🫶🏻,1,2024-10-23T17:03:55Z
@tv-de6hr,❤,0,2024-10-23T07:23:09Z
@Mochaa_a4pm3,🥹💗💗,0,2024-10-07T11:15:51Z
@Moon-won-yieon.5,Hannie its so cute 😍,1,2024-09-27T21:01:57Z
@123diveroyal9,"Yes, we do.













































































































































































































































<3",0,2024-09-04T13:55:39Z
@Nathalylov,1 año con New jeans,0,2024-08-30T12:05:18Z
@my_home_name_iswanttogohome,졸귀탱ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,2024-08-06T23:29:23Z
@hanjeee,🩷🩷,0,2024-08-05T16:05:41Z
@twceluvr,BERNICE,1,2024-08-05T02:44:07Z
@ina0809,So cute,1,2024-08-02T17:14:30Z
@iamwin5224,I lov you Newjeans ❤,1,2024-08-02T11:52:19Z
@温._.诗语,"New jeans Bunny😊
I can’t🤩",0,2024-08-01T12:41:55Z
@ChunPham0610,🐰,0,2024-07-31T14:19:35Z
@안녕하세요-c7y7t,이 토끼들 넘 귀여워서 또 보러 오게 되네,2,2024-07-31T09:27:04Z
@速趴悲劇塔superboy,🤣🤣🤣🤣🤣❤❤,0,2024-07-30T14:04:44Z
@maymey05,MY GIRLS,1,2024-07-30T04:48:56Z
@Sunyyy-,It’s already been 2 years aaaaaah,0,2024-07-30T03:06:55Z
@dollette_wonnie,"Thank you so much newjeans, we love you so so much!!!!! ♥♥♥♥",0,2024-07-29T22:18:46Z
