author,text,likes,published_at
@포오p,이 조합 사랑해 ❤,1,2025-04-22T14:08:54Z
@미나-137,나혼산에서 봤어오 완젼 농협은행❤❤❤,1,2025-04-21T13:47:41Z
@미리채널구독플리즈,너머너머예뻐ㅠㅠㅠㅠㅠ,0,2025-04-21T13:17:58Z
@리쥬_LIZ,앗 나혼산 봤는뎅 ㄱㅇㅇ,0,2025-04-21T12:58:02Z
@jungbro-1005,오~ 조이 레이 예쁘조이~,0,2025-04-21T11:48:30Z
@IVEFANFOREVER-L0VER,So cute❤❤,1,2025-04-21T11:37:17Z
@matteoaidala3409,Rei is happy,0,2025-04-21T10:56:45Z
@임윤지-w8d,누구야?,0,2025-04-21T09:49:04Z
@뽀롱이-t67,귀여워 🐶🐥,0,2025-04-21T09:02:15Z
@뀨유0,레이랑조이 넘기여❤❤,0,2025-04-21T08:33:57Z
@g1rld1nner,they are so alike,0,2025-04-21T02:09:18Z
@Syd-kt3lo,Joy 💚💚,0,2025-04-20T22:27:52Z
@Syd-kt3lo,So cute,0,2025-04-20T22:27:45Z
@최오순이,나혼산 에서 레이언니넘귀여웠어,0,2025-04-20T15:12:13Z
@초코비_123,콩순이 옆에있는 사람은 누구?..,1,2025-04-20T14:10:23Z
@suningpark255,이쁘다이쁘다~♡,0,2025-04-20T13:12:13Z
@ryarfeb1486,Pulang pulang bawa oleh oleh😂,0,2025-04-20T12:19:40Z
@서원덕-x4g,"조이 랑 레이(내 최애 )랑  잘 어울린다
(티비로 봄)❤❤❤❤♡♡",0,2025-04-20T08:04:05Z
@벨이7055,티비로봄 레이 옷 짱귀❤❤,0,2025-04-20T03:45:40Z
@김설현김강현가족tv시,저 봤어요❤,0,2025-04-20T03:27:29Z
@DIVE_JANG,처음에 가을이줄 알았어요! ㅋㅋㅋ,0,2025-04-20T00:26:38Z
@hyobotv,너무 귀엽다❤,0,2025-04-19T23:35:00Z
@성이름-m4w3n,귀여웡,0,2025-04-19T19:21:33Z
@jskim2050,"조이
잠옷 귀여워😍",0,2025-04-19T15:11:39Z
@user-yc2rk2jp9u,조이❤레이는 사랑이예용❤,0,2025-04-19T12:50:20Z
@쌈뽕한,저도 tv 보는데 언니들이 이쁘게 춤 추고 잇는 거 봣는데 대게 귀엽더라구요 ❤:),0,2025-04-19T12:29:22Z
@user-wm4uc9pc3j,조이가 마귀할멈같누 크러쉬랑 시집가라 언능,0,2025-04-19T12:08:41Z
@Fernanda-blink,"형님, 왕의 얼굴",0,2025-04-19T09:40:33Z
@레닝-m2b,레이기니와 조이기니가 폭주기니로 됬네,0,2025-04-19T06:58:57Z
@Ilikeracers,귀염둥이,0,2025-04-19T06:00:44Z
@규라-gor,기여워♡❤❤❤❤❤❤,1,2025-04-19T04:17:13Z
@TV-iq2pg,저 나혼자산다에서 봤어요❤,0,2025-04-19T03:51:08Z
@Grrruu,둘 다 귀여워 ㅠㅠㅠ,0,2025-04-19T02:42:30Z
@Fluid_Genius,I never noticed how similar they look when they smile. So pretty.,0,2025-04-18T22:28:49Z
@hanipoc,Joy has such a beautiful smile,0,2025-04-18T21:30:35Z
@hanipoc,💚💚,0,2025-04-18T21:30:27Z
@alternate_fantasy,Reeeeeei,0,2025-04-18T19:39:22Z
@iiiiiiiii8639,나혼자산다보니까 자주 놀러가서 자고오고 친해보이던데 콩순이 성공했네❤,0,2025-04-18T17:32:41Z
@seriSNS,조이 좋아~~,0,2025-04-18T17:16:12Z
@지니님,"둘이 그림체가 비슷해 햇살웃음 너무 귀엽닼ㅋㅋㅋㅋㅋ
그와중에 조이님 잠옷이 너무 집순이같아서 친근감들어",0,2025-04-18T16:49:28Z
@뽀용바라기잇콩,이건... 나혼자 산다자느!!!,5,2025-04-18T15:13:29Z
@いそまるらぶ,れいちゃん大好きなジョイオンニに会えてよかったね！💓2人とも可愛すぎる🎀,0,2025-04-18T12:19:02Z
@popmko6216,😂😂😂😂😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-04-18T10:50:42Z
@sunjeongbae7118,전지적 참견시점에서 봤어요😊,0,2025-04-18T10:49:29Z
@sslkoala,"조이ㅜ진짜 착하고 화면이나 실생활에 연예인 느낌없는 봤던 사람들 중 몇없는 분!!!
친여동생한테도 아낌없이 사주는 모습 봤던 옛날 올영메이트 썰 풉니다 ㅎㅎㅎㅎㅎ",2,2025-04-18T03:26:46Z
@inuxaky,JOY & REI ❤❤❤,1,2025-04-18T02:54:10Z
@thbnsjrhbwn,둘이 어떻게 친해지게 된건가요?,0,2025-04-17T23:31:45Z
@heamink4598,귕여,0,2025-04-17T23:15:05Z
@関根節夫-d2p,楽しくなるダンス朝からハッピイ最高パァフエクト愛してる綺麗だね可愛い美しいファイティングアイヴ,0,2025-04-17T23:09:43Z
@Chill한_아린,헉❤,0,2025-04-17T22:58:02Z
@이여름SummerLee,레이는.스스로 귀여운걸 확실히 알고있는게 분명해,2,2025-04-17T19:18:44Z
@infinity751019,조레이 ~,0,2025-04-17T16:56:10Z
@이현석-t2z,아이고 수영이 어느새 커서 언니가 되써...,0,2025-04-17T15:59:56Z
@kellyஐ,둘다귀엽다,0,2025-04-17T14:31:55Z
@쏘나_sona,二人が笑う時に似ていると思う,1,2025-04-17T13:03:32Z
@사랑해-b3p,조이❤보면~ 상큼 발랄 귀여워요 ~기분 좋아지는 조이❤❤❤❤❤❤❤❤❤,3,2025-04-17T12:49:44Z
@정연7570,둘이 웃는 모습이 똑같기니 😊,1,2025-04-17T12:47:48Z
@범규-r8z,레이 레드벨벳 선배님들을 좋아하던뎅❤❤❤,0,2025-04-17T12:40:57Z
@너-x5d,나혼자산다때 찍은거다,0,2025-04-17T11:34:37Z
@Lee.xiaofang,泣ける😭だいすきだーー,1,2025-04-17T09:52:54Z
@kitchsoda7777,김레이 기여웡어🫶🏻😻,0,2025-04-17T07:54:31Z
@짱예,"헐룽 대박💗💗 레이언니인강 ,,?? 너무 예뻘ㅛ예뻐용🩷 레이도 짱 ㄱㅇㅇ🙊💕🎀🍥🩷💗🎀",2,2025-04-17T07:37:09Z
@KoKong_13,엇!이거 나혼산에서밧는뎅!!❤❤,1,2025-04-17T07:35:00Z
@투바투로다이브,나혼상에서 찍은거구낭!,0,2025-04-17T07:33:44Z
@sosohyun1310,폭주기니 안무는 레이한테 진짜 찰떡...❤,1,2025-04-17T04:16:43Z
@lukacarlosbatistadiaz,😄😀😃Smiling is showing the courage you carry in your heart. 💛🌴🧡🌴❤️🌴❤️,0,2025-04-17T04:13:24Z
@hsoal3029,둘이 어떻게 친해진건지 궁금,0,2025-04-17T01:47:40Z
@채연여친_채링,"처음에 닮아서
어? 레이언니인가? 했는뎈ㅎㅋㅎ 아니얔ㅎ
😂🥲",6,2025-04-16T23:17:39Z
@강지율-g8r,폭주기니,0,2025-04-16T22:37:40Z
@rukakawaiicherryberry27,She finally gets to be with her Red Velvet bias!!,62,2025-04-16T21:31:23Z
@Mi.Kpoperblox,REI ATTITUDe IS SO PRETTY 😢😢❤,0,2025-04-16T20:16:26Z
@gnvtwhp1218,"Rei❤
Joy❤",0,2025-04-16T19:52:14Z
@HyunK-dh1yo,둘다 귀엽다 ㅋㅋ,0,2025-04-16T19:29:01Z
@NazhatNASTOH,Who love ive and red velvet 👇,3,2025-04-16T15:49:44Z
@Zara-p3v,기엽네,1,2025-04-16T15:47:46Z
@gugu9u,둘다너무귀엽다구~~~,0,2025-04-16T14:23:53Z
@hmk5918,너무 귀여워❤❤❤,1,2025-04-16T14:02:52Z
@제꿍맨,이거  나혼산에서 밧는데 ㅋ,0,2025-04-16T13:16:14Z
@LeeToraZ,나혼잔때 찍어서 레이 브랜드 가린거 봐ㅋㅋ,0,2025-04-16T11:44:57Z
@양은정-k2f,지난주 나혼산에 나온 모습이네요😜,0,2025-04-16T11:14:28Z
@houkhouholly,なんかじょいがお母さんみたいになってるwwwどっちも綺麗で可愛いーーー,0,2025-04-16T11:02:08Z
@Milkyway99-anolda,나혼산에서 잘 봤어여!!❤❤,0,2025-04-16T10:49:36Z
@수선화-g2p,"늬무좋아요
동물농장서도 잘보고있어요
인간미 최고!!!",0,2025-04-16T10:40:14Z
@니모-r2f,첫 화면.. 엄마랑 딸인줄..,0,2025-04-16T09:51:40Z
@지아국,찐언니에요?,0,2025-04-16T08:04:39Z
@나연나연나연나연,❤,0,2025-04-16T05:51:11Z
@jayk4985,Hi JOY REi 🫶🫶,0,2025-04-16T03:25:02Z
@양말말이,"이거 조이 언니 나혼자 산다 에서 레이 나왔는데
아... 이거 구나!!!",1,2025-04-15T22:32:20Z
@나부유와아둥이,레이 진짜 졸라 기여움.. 인간이 저렇게 기여울수가,2,2025-04-15T21:36:32Z
@혀언또오,나혼산 이거였구나,0,2025-04-15T21:33:02Z
@sayan7912,Why do they look like mother and daughter 😅,0,2025-04-15T18:25:50Z
@shachede6828,You know joy is the queen of killer smiles,0,2025-04-15T18:10:21Z
@헤온-f6c,자매라고 해도 믿겠는걸..,0,2025-04-15T17:48:01Z
@딩굴딩굴-y1o,레이는 이제 얼굴만봐도 웃김 ㅎ,0,2025-04-15T16:05:52Z
@HasinaBegum-s6f,Fanny,0,2025-04-15T14:49:02Z
@샤샤티비-d1m,오!!!!!저이거친구집에서나혼자산다에서봤어여!!!!,0,2025-04-15T12:44:23Z
@nbanzzy,かわいい❤,0,2025-04-15T12:37:22Z
@최민필,"레드벨벳에서 내 최애 조이언니
글구 레이언니 사랑해❤",1,2025-04-15T12:35:17Z
@레빗-o7r,레이 넘 행복해보인다❤,2,2025-04-15T12:11:45Z
@구름이와행복이,레이만 슬수있는 법 너 일본인...............🎉,1,2025-04-15T12:02:01Z
@구름이와행복이,레아 기니피그 ❤,2,2025-04-15T12:01:26Z
@구름이와행복이,레이 포카 100장 넘어요😂,2,2025-04-15T12:01:06Z
@구름이와행복이,레이 다시 봐도 너무 귀엽다😊,1,2025-04-15T12:00:28Z
@tahhonglim-rv1wc,Joy and Rei!!!,1,2025-04-15T11:45:02Z
@leeyunyeong.buddy.shineeworld,나혼산 방송 나간 그날이구만?!,0,2025-04-15T11:34:31Z
@ccmcncn,ㅠㅠㅠ너무 귀야우어어엉 둘이❤❤❤❤,0,2025-04-15T11:29:25Z
@구름이-l4l,나혼산에서 너무 귀엽게 봤능데...여기서도 기여워❤,0,2025-04-15T11:28:02Z
@하시온-k4m,자매가따😊😊😊😊😊,0,2025-04-15T11:19:01Z
@sheep5568,どういう繋がり！？❤,1,2025-04-15T11:17:11Z
@R_xa.4,"아이브가 폭주기니 출 때 =  7HටI쁨

""내""가 폭주기니 출때 = 미친사람..",3,2025-04-15T11:05:22Z
@포장계입니닷,이둘 조합 느좋❤,0,2025-04-15T11:01:19Z
@맂프_먀쟈,레이얌 넝 넘 기엽당...... 폭주기니 사랑해❤....,2,2025-04-15T10:12:11Z
@Lucky_Wonyoung,파자마입고 폭주기니❤,0,2025-04-15T08:57:58Z
@cucukirawati5477,Kayak seumuran,0,2025-04-15T08:00:51Z
@이하영-z2j,나혼자ㅠ산다당,0,2025-04-15T07:38:57Z
@Ye_r1n예린,어ㅓ어엇 나혼산에서 본 거다ㅏ앙!!!!,0,2025-04-15T06:00:47Z
@lheeyeon0,레이 조이 넘넘 귀욥❤❤❤❤ 우정 영원하길,0,2025-04-15T05:56:09Z
@레슈-o1s,나혼산 봤어요!,0,2025-04-15T05:32:55Z
@초밥이얌,이가 나혼산에 나와서 봤는데 유튜브에 잇을줄이야ㅠ레이랑 조이넘 귀엽고 이쁘다ㅏㅏ❤,12,2025-04-15T04:51:21Z
@정영미-v8s,"레이같은 동생있음 나같아도 이뻐할듯 
조이님이 애정 담아서 예뻐하는거 보여요 ㅋ",15,2025-04-15T03:50:29Z
