author,text,likes,published_at
@weareoneEXO,"🎧 https://EXO.lnk.to/EXIST
🧊 'Cream Soda' MV https://youtu.be/i5nUufn_FmE",350,2023-07-12T11:06:14Z
@Drbyun-x7q,❤❤❤,0,2025-04-22T14:07:01Z
@johannarozkrut2212,I miss the full group. 🥺,0,2025-04-21T01:59:16Z
@missbethhhhh,"Kyungsoo, that was smooth entrance and move! 😍",0,2025-04-15T23:50:09Z
@mymy20luli35,❤❤❤❤❤❤❤❤❤,0,2025-04-14T01:44:25Z
@SunSunSun98,Miss u baby,0,2025-04-13T10:05:17Z
@アトス-e5f,"D.O.
最高です。。。♥️♥️♥️",0,2025-04-09T01:41:37Z
@Youngestaroha-p9s,awwwwwwwww so cutie,0,2025-04-07T18:12:34Z
@AndiFaizah-d3i,Miss u,1,2025-04-06T09:32:20Z
@ZaneeraAhmed,🖤,0,2025-04-04T08:18:11Z
@abdelmajidghouch4012,Ilove chanyeol❤❤❤❤❤❤❤,0,2025-04-01T19:02:53Z
@danedelavega04,Let's have a comeback please 🙏🙏,0,2025-03-23T18:58:41Z
@Riyadyam-g3n,🇮🇹,0,2025-03-22T08:40:52Z
@MarisaLarrosa-x9o5t,"Mi corazones son ellos que nunca olvidaré Chanyeol.sehun, Kyung-soo son los mejores cuando bailan cream soda gracias a ellos me aprendí este paso y otros más también por eso bailan más tierno los amó ❤❤❤❤❤❤❤",0,2025-03-11T00:18:57Z
@joo_nim,오세훈 보고싶어😢,0,2025-03-09T23:43:29Z
@Mirren0722,도경수님 진짜.. 춤 동작이 부드러워서 계속 보게됨.. 거기다가 레전드 코디 ಥ_ಥ,0,2025-03-02T20:48:00Z
@psw-w4b,❤❤❤,0,2025-02-21T04:50:52Z
@k.l912,❤❤,0,2025-02-20T13:02:32Z
@lilianaponceavalos9856,❤❤❤❤❤,0,2025-02-17T12:36:08Z
@oohhana,My lovvvvvvverssssss,0,2025-02-15T15:47:21Z
@HazaShin-fd5ve,"I think D.О should have been in the middle, his outfit stands out from Chanyeol and Sehun)",1,2025-02-11T18:08:09Z
@VictorhugoVillamayorsamudio,VAMOS EXOO SIEMPRE  ESTAREMOS PARA USTEDES SIN IMPORTAR QUE,1,2025-01-26T18:16:21Z
@hasna.rafika99,"my little sister is silly and dancer like sehun, and my big sister is romantic lover like chanyeol",0,2025-01-18T13:48:58Z
@muntatingah8785,i forgot to text inggil's help back then bcs too busy of working of partime of two shifts so tired + being phone calls from ginting maybe from 12 midnight until 5 am,0,2025-01-17T21:07:06Z
@小鴨-h9s,燦烈好可愛，他的微笑融化了我💯,1,2025-01-12T00:22:06Z
@amarawinchester963,"I’m a girl and I want Chanyeol’s outfit 😂 seriously love wide leg pants! 
But damn Sehun looks so fine 😍",0,2024-12-23T04:39:55Z
