author,text,likes,published_at
@baton1527,❤❤,0,2025-04-07T09:51:03Z
@baton1527,❤❤❤,0,2025-04-07T09:40:33Z
@KatharinaFischer-d2x,I am also really scared of snakes T----T,0,2025-04-01T15:04:15Z
@TYT-b5p,aespa의 일원인 윈터는 세계 각 지의 MY와의 만남의 장이기도 한 공연 일정을 소화하던 중 시드니에 위치한 동물원에 들려 사랑에 빠졌다는 표현을 사용할 만큼 마음에 들었던 코알라와 만나는 등 행복한 시간을 보냈다🙂‍↕️👍.,0,2025-03-05T21:58:30Z
@ghostcastle,Winter is the definition of pure and lovely ❤🥰,0,2025-01-19T10:18:43Z
@csabaacs6479,This is an another world i don't know. I can't what to say. Bye,0,2025-01-18T12:00:42Z
@K-s8g,와 윈터 귀엽다,1,2025-01-10T08:34:29Z
@blurredmirrors,진짜 사람이 왤케 이쁘고 귀엽고 다 하냐…,0,2025-01-09T04:51:25Z
@godhandinfamous,film one in melbourne next time cheba,0,2025-01-03T08:38:43Z
@Becaboyce,"WINTER DAYYYY, AMOTE AMOR DA MINHA VIDA ! 💕💗💖",0,2025-01-02T00:01:57Z
@Hercules0381,❤❤❤❤❤,0,2024-12-28T13:41:13Z
@KevM-fy4mh,"Sydney, Australia ❤",0,2024-12-26T06:31:14Z
@민트초코양갱,3:38 희번덕 개귀엽네..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-12-23T10:20:10Z
@Bananamilk-b1d,Cute,0,2024-12-22T07:54:20Z
@vl3yj,なんていう動物園ですか？？😢,0,2024-12-15T07:51:48Z
@DepriDadie,Winter❤❤❤,0,2024-11-29T22:33:13Z
@Musimdingin01,Halo minjeongie🌹💕,0,2024-11-13T09:53:59Z
@hihelloletsgo,☀,0,2024-11-12T23:41:42Z
@anagy20,tqm winter,0,2024-11-09T18:11:11Z
@MikkyLanCinema,"It's so nice to see Winter having fun, and the beautiful scenery with nature is really salubrious. She's sweetly delightful! ❤️💙✨",1,2024-11-08T13:24:12Z
@Kpopjoayo,"6:24 “휴대폰으로 찍어도 돼요?” 아 진심 개웃기다
케이팝적 사고가 휀걸들에게만 있는게 아니라니,,,
아무래도 포토이벤트투샷회에서는 휴대폰 촬영이 안되죠…..",1,2024-11-04T13:37:05Z
@pecare9595,Why did they misspell snake throughout the video?,1,2024-11-01T16:03:46Z
@ndiiy,"저도 피쉬앤칩스 좋아해요 맛있고 아시아에선 도리 생선을 쓴다는 거 다들 알고 계시죠? 💙 어쨌든 잘 지내세요, 민정이",0,2024-10-31T08:05:30Z
@messyvesy,민정이 너무 귀여워요! 그녀의 동영상 블로그는 매우 부드럽습니다. 이번 영상 속 그녀의 메이크업도 매우 아름답습니다.,0,2024-10-30T15:10:45Z
@frianalin2016,"Minjeong aaa 
Di dunia kwangya bertarung sama black mamba
Di dunia nyata takut ular🤣",0,2024-10-30T14:54:19Z
@sheeeeeeeeeeeeeeeeeh,Animals: Who let the lil dog out,0,2024-10-29T16:32:00Z
@nadariyani1922,Winter is cute^^,0,2024-10-29T15:05:15Z
@nanachi1009,小冬和树袋熊是世界上最可爱的东西❤❤超级无敌可爱的啊！！！！！！,0,2024-10-29T05:08:11Z
@lovesickbelle4239,Winters vlogs are my comfort series,0,2024-10-26T18:54:09Z
@aespicysone,"Winter is the most laid-back member when she's not dolled up working, such a cutieee",0,2024-10-26T17:27:10Z
@Wiz-n8z,윈터랑 공통점 찾았다 시작할때 모형 캥거루앞에서 사진 찍은거 가지고 있다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-10-24T09:24:13Z
@andreesteves2,So cute!,0,2024-10-23T23:12:38Z
@nonotube991,"WINTER IS SO CUTE AND ADORABLE, I LOVE YOU MINJEONG!!!",15,2024-10-23T21:19:38Z
@먼징슈,민정이 팬이여서 너무 행복함,2,2024-10-22T06:04:58Z
@needyverse,"Winter: Terrified of snakes
Debut song: Black Mamba",1,2024-10-22T00:23:07Z
@elina-rw6fq,Stunning,0,2024-10-21T18:53:57Z
@TheBlbeemer,"Well ""snakes"" are kinda ""sneaks"" I guess lol. She's so adorable. 귀여!",0,2024-10-21T17:25:43Z
@hohoppa,부산 사투리. 왜 이리 귀엽지,2,2024-10-21T15:09:26Z
@vi12118,Winter is so cute❤,2,2024-10-21T13:37:41Z
@lilac101,사랑해 윈터❤🎉,2,2024-10-21T13:31:03Z
@josammosa98,난 또  제시 폭행 그 코알라인줄 알고  헐레벌떡 달려왔네,2,2024-10-21T12:51:41Z
@김선우와이프-y6l,윈터 진짜 너무 싫어나락나락나락,0,2024-10-21T11:28:59Z
@cudoxiao,lindinha demais,1,2024-10-21T11:10:35Z
@Lumos-jm1yz,윈터님 브이로그 많이 올려주세요♥,18,2024-10-21T09:10:12Z
@Winter0703,Winter spark ❤,2,2024-10-21T08:53:58Z
@Winter0703,I love you Winter,2,2024-10-21T08:53:50Z
@Jennierubyjane7894,Love you Winter😻,3,2024-10-21T08:43:06Z
@tcon9393,SO CUTE WINTER !!!,2,2024-10-21T07:56:09Z
@Johnny_ro,"Dear Minjeong, so beautiful and adorable 🥰",4,2024-10-21T07:10:04Z
@ar_temíss,Why it's too short? I need more videos about her❤,1,2024-10-21T06:52:07Z
@imsorrya,ㅠ❤,0,2024-10-21T05:00:40Z
@민바-g3p,안녕하세요 저는 현재 불당중학교에 재학중인 5반 학생입니다. 윈터님 너무 아름다우세요 언제나 건강하시길 바랍니다. 에스파 활동 오래오래 해주세요,1,2024-10-21T01:55:02Z
@ex5bu,うんこ💩が好きな冬子ちゃん,1,2024-10-21T00:50:09Z
@MrAresxy07,I'm surprised that winter likes oasis a group that was around even before she was born so i should also support her so she can go and see them,1,2024-10-20T20:44:27Z
@elina-rw6fq,Cuteeeeeeeeeeee,1,2024-10-20T18:47:35Z
@Aodanuki-t1b,冬子ちゃんの可愛さにコアラもびっくりしてるやん笑,1,2024-10-20T16:07:35Z
@llulabies_w,so cutee !,8,2024-10-20T15:03:34Z
@웅애-n6s,헉!!! 제시 저격?!! 헉!,1,2024-10-20T14:11:19Z
@삐레-l3u,항상 본업도 잘하고 팬서비스도 잘해주고 윈터야 고마워,6,2024-10-20T12:02:26Z
@howstrangee,why i cant change the video quality?,0,2024-10-20T11:56:23Z
@Kaidai1207,Soooooo cute winter!love you ❤❤❤,2,2024-10-20T11:22:45Z
@UbiAsmr,항상 응원합니다.,1,2024-10-20T10:08:58Z
