author,text,likes,published_at
@socoolnvest,ㅋㅋㅋ 킹받게 귀엽❤️,0,2025-04-23T07:50:31Z
@SSSMMM-t7k,❤❤,0,2025-04-22T12:52:21Z
@성원김-q6r,둘다 몬솅긴게 귀엽네😊,0,2025-04-21T18:03:07Z
@Smallpan2424,冬柚~,0,2025-04-21T17:05:22Z
@chaeyoung57896,Omg I can't stop laughing this is so adorable,0,2025-04-20T17:01:50Z
@Seohyeondongkid,너무귀엽잔아 ㅋㅋㄱㅋㅋㅋㅋㅋㅋ,0,2025-04-19T22:15:35Z
@영식공-s2j,윈터랑카리나아예공주야❤,1,2025-04-19T11:33:10Z
@marinabalabanova2806,여러분 정말 진지하고 좋아요!!! 그리고 여러분 너무 예뻐요,0,2025-04-19T06:46:35Z
@安田有紀-b8b,がわいぃぃぃぃ！！❤❤❤❤❤❤,0,2025-04-19T02:44:30Z
@AllisonSamano-t9m,I love Karina and Winter ❤❤❤ using my moms phone for this comment,0,2025-04-19T01:00:47Z
@Kpopiarastojastara,I love you Aespa pls concert in poland🙏🏻❤❤,0,2025-04-18T17:08:03Z
@sallylee8576,우리 공주들 왤케 귀여웡!!❤️❤️❤️,1,2025-04-18T16:10:57Z
@matteohenryyi6189,"변하지 않는 이혼율 
남자가 사랑해서 부부 이혼율 낮고
여자가 사랑해서 부부 이혼율 높다 
묵숨바쳐 사랑해주는 사람 찾아라",0,2025-04-16T22:58:12Z
@hinatasongs,"THE HEIGHT DIFFERENCE, OMAGA
HAHAHAHHAA",0,2025-04-16T22:12:27Z
@parksoohyun2638,이거 배경음악 알 수 있나요?,0,2025-04-16T21:45:42Z
@samwang436,Love Love❤❤❤❤,0,2025-04-16T01:13:51Z
@YalloopBalloon,Super Cute❤,0,2025-04-15T16:25:12Z
@TV-cv3ow,아 사랑해요 언니,0,2025-04-14T10:05:23Z
@kengshengheng8582,呃 柯建銘可能要好好檢查 我媽是肺癌腦轉移出現跟他一樣的症狀 所以請他好好檢查身體 也留點口德吧,0,2025-04-14T00:40:46Z
@MPVKHSX,😂😂😂😂,0,2025-04-13T10:10:50Z
@Seoye_Aespa,윈터 리나 조합 너무 젛아여 ㅠㅠ 너무 기엽자너..,21,2025-04-13T08:34:04Z
@Ace-sa_15,The best cute duo❤,0,2025-04-12T19:27:10Z
@余小慧-s8q,너무 귀엽다!,0,2025-04-12T11:53:41Z
@얼불춤초보-i8u,"민정이 누나 진짜 어똫게!!!!!!
너무 예쁘고 귀여워❤❤❤❤❤❤",0,2025-04-10T12:05:49Z
@AntonetteSabes,This short was posted on my birthday❤❤🎉🎉,0,2025-04-09T12:42:34Z
@Fantarion,ㅋㅋㅋㅋㅋㅋㅋ대츙하는것 같으면서도 느낌있네,0,2025-04-09T09:55:18Z
@초코가되_13,지민정 왜이렇게 귀여운 데 킹받지?ㅋㅎㅋㅎㅋㅎㅋ,0,2025-04-08T06:10:34Z
@kekabhakat-r6w7b,The walk😮😮😊😊,0,2025-04-08T03:58:18Z
@jdcv17,WinRina! 🫶🫶,0,2025-04-06T10:35:15Z
@Qqq13121,잔망ㅋㅋㅋㅋㄱㅋㅋ,0,2025-04-06T10:33:25Z
@보라랜드-t4b,윈터 졸귀탱,0,2025-04-06T08:05:02Z
@SadeceZeynepkrc,Çok tatlılar ❤❤,0,2025-04-05T18:15:57Z
@Sharvildalal,So cute ❤❤❤ watched it like 10 times😂😂,0,2025-04-05T10:39:00Z
@just-no-ok,Love the dance ❤😂,1,2025-04-01T18:43:04Z
@Alphablock.C,𝗪𝗶𝗻𝗥𝗶𝗻𝗮 𝘂𝘄𝘂 (◕‿◕✿) ❤❤,1,2025-04-01T15:19:22Z
@RayeeshaAgarwal,So cute ❤,0,2025-04-01T14:15:06Z
@콩떡11,"지민정도 귀엽고 지민정도 귀엽다
( 두명이어서 귀여움 2배라는 뜻)",1,2025-03-31T13:46:05Z
@MINIKPOPIDOLSMINI_KPOP_IDO-e3d,😂😂😂,0,2025-03-31T13:10:12Z
@nanak-o9v,ウィンターの力の抜けたような表情が可愛いw,3,2025-03-31T11:13:29Z
@칸쵸에염-v5z,기엽다❤,0,2025-03-30T08:19:52Z
@ginger_n_berryy239,how did they do this with a straight face helpp,1,2025-03-30T08:18:42Z
@mayshaarzuricha7419,😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣,1,2025-03-29T17:18:31Z
@GreenpieGreenpie,😂😂😂😂😂 laugh deadly,2,2025-03-29T15:30:58Z
@김미영-f3f8c,너무 귀엽닼ㅋㅋ,0,2025-03-29T04:50:46Z
@BLqueen_JennieLisaRoseJisoo,Am i only here thinking they look alike?😂❤,0,2025-03-28T21:19:43Z
@박준혁-s7g1g,❤,0,2025-03-28T03:48:12Z
