author,text,likes,published_at
@emmanuelleassemien3998,Bro she can’t dance. Bring Newjeans members next time,0,2025-04-04T21:39:13Z
@gilraen137,면이 왤케귀여움ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2025-01-15T14:08:25Z
@the_opposite,"I love you, baby Miyeon.❤",3,2024-11-09T11:38:58Z
@mewsao,MIYEON THE GIRLIEST OF GIRLY GIRL HAHAHA I HOPE MORE COLLAB IN THE FUTURE,0,2024-10-12T20:55:55Z
@ty00088,テヨン❤大好き😘画面左上のモジャモジャは何？😂,0,2024-08-04T12:25:34Z
@notthing..,조쿼카기욤이,0,2024-06-10T14:44:22Z
@RiyaGarbyal-t1d,My girl was forced to do this dance challenge 😂,1,2024-04-23T19:44:33Z
@multicolored_dango,Miyeon on her way to babygirlyfy every bg dance ever,20,2024-03-30T21:24:11Z
@naiidk,los amo,0,2024-03-05T04:52:22Z
@luiseduardogillinares3592,I love you ❤,1,2024-03-03T01:57:35Z
@prachirawat-s3i,The way he looks at her not shipping,2,2024-02-29T05:13:31Z
@b07n3xt_d00r,"Love how Miyeon always makes the dances more ""gIrLy""",0,2024-01-29T16:56:02Z
@Momoring-g9w,it's always miyeon girlfying the dances 😭,0,2024-01-23T14:40:31Z
@구르나민,"아니 카메라에 붙어있는 먼지 내 화면에 있는줄알고 게속 터치 했네..ㅋㅋ


번역했으면 내얼굴",1,2024-01-21T00:24:22Z
@지현서-w9c,즈겨?미연아?춤 춘거야??어!?어!??화가 나네-짜증이 빡11111111나네어이가 없네_-그럴꺼 왜 찍었니?암만 보컬멤버라해도 글치...최소한의 예의도 없이 뭔 짓거리야 대체-_-저 와중에 툥은 툥해쮸>_<?,3,2024-01-19T20:14:35Z
@poppycallystawidiyanti1112,Di video nya ada apaan dah?,0,2024-01-15T09:04:20Z
@teume_carat25,Wat tha hell is on that camera,3,2024-01-12T12:51:50Z
@tharutomatocrazy,What in the GAYisM this is 😭,0,2024-01-11T15:57:31Z
@priyankasinhasengupta3735,I want to see newjeans doing th baggy jeans trend now 🙈 😂😅,4,2024-01-08T05:07:39Z
@이름을입력하세요-w4i,"좌측 상단에 먼지 붙엇서요,,",0,2024-01-07T11:50:30Z
@지글보글즈,"왼쪽위에 먼지가 계속 거슬림 ,,ㅋㅋㅋ내폳에 붙은건줄",0,2024-01-06T22:56:37Z
@lwexx.c,they look kinda good together,1,2024-01-06T15:18:32Z
@AnaJúliaGomes-e3j,FF kkkkkkkkkkkkkkk,0,2024-01-05T19:46:55Z
@Diaaazzz,Why is miyeon so cutee😂😂,0,2024-01-02T10:15:09Z
@-vampirecup-4479,What is that on my screen-,0,2023-12-29T09:40:02Z
@senoritatn2078,Que wonitos 💗,0,2023-12-28T17:14:36Z
@kpopLOVER-v5j,IN MY BAGGY JEEEEEEEEEEEEEAAAAAAAAAAAAAAAAAANNSSSSSSSSSS,0,2023-12-27T07:13:02Z
@002red,¿Qué es eso?,0,2023-12-25T10:36:23Z
@Nctzen-k1p,i dort like this girl,1,2023-12-06T19:02:19Z
@tytrackxx1912,Doyoung really is foxy-nim,0,2023-12-02T00:29:06Z
@tytrackxx1912,"I love how all member agree that haechan makes sense when he says nct dream the love but as soon as Mark says he’s wrong they turn on him, that my friends is true friendship",0,2023-12-02T00:25:41Z
@fairy_is_aeri,miyeon can turn any boy group choreo girly ❤,1,2023-11-24T01:05:01Z
@Havisssderlerrr,When I first heard this song I thought Felix was singing it😭,1,2023-11-22T08:24:41Z
@shellygonsalves1944,❤😊,0,2023-11-18T16:44:30Z
@ulansiregar2766,Masih cantikan blakpink kali ya,0,2023-11-14T06:47:16Z
@Kit___Cat,I’m obsessed with his hair 😭😭😭 like that’s so pretty hand it over plssss 😭✋✊✋✊,1,2023-11-08T23:44:25Z
@ohoh2453,IS IT ME OR IS THERE ACCTUALY A STAIN ON  THE CAMERA,4,2023-11-06T15:22:23Z
