author,text,likes,published_at
@silverwonder6481,I want to see more like this show 😗,0,2025-04-20T05:59:39Z
@KeithLund,I love aespa 😍,0,2025-04-16T06:19:41Z
@Minji_Keekim,지젤 ㅋㅋㅋㅋ 닝닝헌테 머누 차갑다 ㅋㅋㅋ 안 물어봤는데 11:23,1,2025-04-13T04:54:10Z
@Love_11223,아 진짜 제 최애편 될거같아요큐큨ㅋ큐ㅠㅠㅠ,0,2025-03-23T12:03:22Z
@perfectplay-purple,재밌게 잘 봤습니다,1,2025-03-22T07:32:46Z
@TommySol,재밌어요😊,0,2025-03-14T01:24:17Z
@blue1213-f5v,12:17 그림 어깨가 너무 직각이잖아~~~~~했다가...닝닝 어깨를 생각하고 납득됐다,0,2025-03-10T11:58:16Z
@codeleagueftr,12:51 this part got me so hard 🤣🤣 almost laughed at the top of my lungs at 4am,0,2025-03-06T18:52:31Z
@codeleagueftr,No kpop group does sitcoms like aespa 😂❤❤ 🥹🥇 SM’s concepts are beyond creative,2,2025-03-06T18:21:13Z
@sunnyhee9465,I love Giselle here so much. The rolling eyes give me life ❤,0,2025-03-05T14:30:22Z
@i6haechanyiwo,Ngl I lowkey got scared by  the way they were arguing lmao,0,2025-03-03T10:55:27Z
@user-cu3rc3fx8i,카리나 ㅈㄴ 짱구같네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-03-02T06:21:46Z
@afiframadhan9650,Gua Indonesia sendiri,0,2025-03-01T13:11:30Z
@TheMin1004,지젤 과몰입 칭찬해 ㅋㅋㅋ👍👍👍,0,2025-03-01T08:46:20Z
@MikkyLanCinema,Creative Aespa with their sassiness; so fun to watch! 😄💖,1,2025-02-26T11:35:45Z
@MikkyLanCinema,"It's quite impressive, the details Winter produced in her drawing within a short period of time. I like her style! 😄💖",3,2025-02-26T11:33:12Z
@copyrightstrikes4985,MNET EVIL EDITING 😂😂😂,0,2025-02-22T09:33:34Z
@あいうえお-t2j1u,닝닝 옷이 어디꺼인지 아시는 분 있으세요?ㅜㅜ넘 예뻐서….,3,2025-02-21T06:54:31Z
@쉬는중8월컴백,상황극에 너무 진심인 이그룹 대체 정체가 무엇인가...ㅋㅋㅋ,3,2025-02-18T07:17:23Z
@Hoqi_WeeEee,닝닝이가 너무 물입을 잘함 ㅋㅋㅋ 절때로 지지않는 자심감 보기 좋아요 ㅎㅎㅎ,5,2025-02-18T04:08:25Z
@สุริยาแสงลับ,Love you Aespa​ Supernova​ ​Karina​ Giselle​ winter​ ning​ning​ ♥️🥰,0,2025-02-17T03:19:40Z
@HRS-e3w,아 닝닝 너무 귀엽다,4,2025-02-09T08:03:53Z
@amola98786,와우 지젤 지져스..미모 뭐냐..다들 너무 아름답다..,1,2025-02-05T05:51:47Z
@loveyuss11,perdamaian dunia⭕🫶,0,2025-02-02T14:51:09Z
@H_H-rx2oh,진짜 카리나 윈터 개이쁘네...♥,0,2025-01-30T22:45:43Z
@arshana12345,20:11 i can't with themmm 🤣🤣🤣🤣🤣🤣,0,2025-01-29T08:07:41Z
@anajuliagurgel4647,"ok, but, Ningning's sketch?!?!?!?!?!?!? she draws very well 😮",2,2025-01-28T03:56:00Z
@anajuliagurgel4647,Giselle and Winter’s acting are taking me,0,2025-01-28T03:55:17Z
@KBBOK-k5v,여기서 닝닝이 왜케 귀엽고 예쁘냐ㅋㅋㅋㅋㅋ,1,2025-01-25T15:36:28Z
@지원석-o2v,카리나 안경 브랜드 뭔가용,0,2025-01-22T05:45:57Z
@KillingJoy,9:42 soo damn cute omg 🥲🥲🥲,0,2025-01-21T08:02:22Z
@judehuppert9422,이번 컨텐츠 넘 재밌다 ㅋㅋㅋ 역시 대기업이라 그런지 자가콘텐츠 진짜 재밌게 잘 뽑는것 같음,0,2025-01-19T10:15:38Z
@ux_min,유지민 김민정 시간을 중요시한다면서 둘이서 똑같이 지각한게 너무 웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,2025-01-18T15:12:14Z
@날섕,다들 립색깔 궁금하다...,0,2025-01-18T07:14:43Z
@Paint_my_art,I like thisss😮,0,2025-01-17T06:22:20Z
@Paint_my_art,nicee,0,2025-01-17T06:21:53Z
@psww00,this is genuinely so effin funny 😭😭,0,2025-01-16T08:30:38Z
@TobyPhilomena,유튜버들도 요즘 다들 ㄱ글에서 토카인 하단다고 하던데,0,2025-01-15T06:46:41Z
@TheBlkgst,닝닝타격감 좋네 ㅋㅋㅋㅋ,1,2025-01-15T04:18:51Z
@بتولجميل-د6ع,❤❤❤,0,2025-01-09T17:07:00Z
@doldole6432,아니 대본없이 정말 재밌는?,0,2025-01-07T15:38:22Z
@Cocoluuu,아 너무 좋아...ㅠㅠㅠㅠ언니들,0,2025-01-07T09:22:51Z
@Maria17Esther,Karina❤❤❤,0,2025-01-06T17:28:42Z
@SaEkambaram,"이런 컨텐츠 좀 자주 만들어줘
아 진짜 당장 소문내ㅋㅋㅋ시월모바일 알뜰폰요금제 실화? 진짜 싸다 싸~",2114,2025-01-06T11:08:46Z
@Johnny_ro,I love them  💙 Winter really made me laugh and she looks gorgeous 🫶,7,2025-01-05T18:35:29Z
@나목민,7:12 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋ개웃김,0,2025-01-02T10:31:25Z
@이태권-b7g,윈터이쁘다❤❤❤😊😮윈터님 새해복마니받으세요^^그리고 이뻐요ㅎㅎ,0,2025-01-01T02:19:32Z
@kelssyyyy,"ningning’s really born to be fashion icon 
istg her clothings always catches my eye",4,2024-12-31T09:48:28Z
@Kukumi-y8u,超おもろい笑笑,0,2024-12-30T11:25:51Z
@Fuking_Legend,개 웃기네 ㅋㅋㅋㅋ 편집이 솔로지옥 그자체네 ㅋㅋ,0,2024-12-29T16:30:10Z
@Milk_ming,"에스파도 나한테 사과해여!!!!!!





내 마음을 울렸으니까!!!!!!!!!!",0,2024-12-28T11:18:56Z
@avsambart,This could just be a dating show with Winrina and Ningselle.,0,2024-12-28T06:56:16Z
@avsambart,I've never seen Giselle without hair extensions before! This shorter length really suits her too.,0,2024-12-28T06:54:08Z
@eldydiana,This is sooo funny! It is the first aespa show I have ever watched. 🫶🏻,0,2024-12-28T03:06:48Z
@뽷,아 진짜 지젤 아니꼬운 연기 개잘하네 ㅋㅋㅋㅋㅋ,0,2024-12-26T12:04:28Z
@Iamurrarestar,1:58 the side eye giselle gave to ningning was so funny and so cool🔥🔥,6,2024-12-25T13:15:14Z
@김부각-k5z,지젤언니 진짜 이쁘다 어떡해 ㅠㅡㅠㅡㅠ,0,2024-12-25T12:48:09Z
@huonggiangnguyen5896,hay quá,0,2024-12-24T04:39:27Z
@ChahatNaidu-e3v,"16:18The ""Milano Girl 💅💅""",0,2024-12-23T23:49:48Z
@KeylaMaharani-d3y,"Aespa please come often to live on youtube, pleaseee😢",0,2024-12-23T15:29:15Z
@Baem-t2n,"기싸움하는 에스파 쇼츠 보고 웃겨서 찾아왔습니다
상황극 천재그룹ㅋㅋㅋㅋㅋㅋ",0,2024-12-22T17:08:17Z
@서지혜-z8j,닝닝이 이제 발음이 한국사람이네 다른걸그룹 외국맴버들보다 잘하는듯,0,2024-12-21T12:25:06Z
@jocikaaudry2660,Ahahahah🤣,0,2024-12-21T10:05:36Z
@taniaulhaq733,This is so funny and addicted 😂,0,2024-12-20T05:32:55Z
@라텔-v3k,15:42 닝닝이 매력 터진다,1,2024-12-19T18:34:47Z
@snowmeowmirawrcle,"0:47 ""호랑이는 짖지 않아요 """,13,2024-12-18T12:06:58Z
@arshana12345,20:18 I'm literally in tears plsss WTF 🤣🤣🤣🤣🤣🤣,0,2024-12-17T15:48:40Z
@아몰라-h8y,윈터야 사과해라,0,2024-12-17T00:17:51Z
@naitian13,15:46 lol ningning 😂,0,2024-12-16T17:45:18Z
@월급벌레,10:43 쎄루돌아가는 소리나네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2024-12-16T13:04:51Z
@밥삐-g4i,에스파가 직접 말아주는 패션 대회 어떤데,0,2024-12-14T06:58:09Z
@Bluelagoon5555,Giselle's expression 🤣🤣🤣 i can't 🤣🤣🤣,2,2024-12-14T06:04:02Z
@01ytp85,지민정 너무 뻔뻔하당😂,0,2024-12-14T05:38:39Z
@01ytp85,지민정 킹받네😂,0,2024-12-14T05:32:05Z
@동그리-v9s,닝닝 진짜 웃기고 귀여움,0,2024-12-13T16:19:40Z
@beya-y2t,毒唯眼中正主的相处方式😂,0,2024-12-13T05:44:18Z
@beya-y2t,不行了😂太装了😂,0,2024-12-13T05:43:42Z
@666.s-s4,10:47,0,2024-12-13T04:41:37Z
@vanabbejavan8433,Aespa sayang ku❤🇮🇩,0,2024-12-09T09:41:40Z
@aduhaneh1057,winter is too cute :>,0,2024-12-09T07:18:00Z
@Oiskko,닝닝 스케치 ㄷㄷ 미감 좋노,0,2024-12-08T05:41:29Z
@10_10tenny,18:15 AHAHAAHAHA Ningning teasing Winter's artwork by saying it looks like an emoticon ahahahaahhahah,0,2024-12-07T11:52:33Z
@딸기우유-e7n,이재명 담 넘어오듯이 왔습니더·,0,2024-12-07T08:43:10Z
@제이-p7v,아이브 에스파 뉴진스 지디 너무좋아😊,0,2024-12-06T04:21:10Z
@_ru78no73,19:49　ちらっと見るジゼルにウィンターが笑ってる状況あまりにも可愛い,5,2024-12-06T02:11:13Z
@차니짱-r6z,어제 꿈에 카리나랑 하루종일 춤추고 쉬고 춤추고 쉬는 꿈꿨다. 꿈이라 춤이 디지게 잘춰지더라,0,2024-12-05T01:34:55Z
@SilverAdemi,they've watched too many reality shows lol,0,2024-12-04T12:08:36Z
@Prodyujinie,"""you're worst of worst""😭😭",3,2024-12-03T15:27:00Z
@boyganjahi4613,💋💋💋👰‍♀👰‍♀👰‍♀👰‍♀,0,2024-12-03T08:22:33Z
@gotmilk9764,The energy is so silly and fun lol,0,2024-12-02T18:06:21Z
@T_Y_Track,쇼츠 보고 ㅈㄴ웃겨서 풀버전 보러옴ㅋㅋㅋㅋㅋ 기싸움이 컨텐츠라니 개웃기네,1,2024-12-02T07:22:04Z
@gcj9096,꼬마들 힘내 ❤,0,2024-12-01T06:15:53Z
@gcj9096,꼬마야 차단은 외부와 고립되는 것을 의미하거나 외부로부터 자신을 스스로 보호하는 이중적인 의미를 가진다.,0,2024-12-01T06:14:51Z
@xxoxxoe,ㅋㅋㅋㅋㅋㅋㅋ하나의 그룹이 어느새 패션쇼로 인해 경쟁사이가 된게 왜케 웃기냐,0,2024-12-01T06:09:10Z
@dobyyyy23,에스파는 어떻게 4명 다 이렇게 예쁘죠? ㄷㄷ,0,2024-11-30T07:26:37Z
@do.1hxlz,""" 호랑이는 짖지 않아요 ""
너무 좋은 말이다..
에스파 항상 응원할게요 ❤︎
윈터언니・리나언니・
닝닝언니・애리언니 다 무탈하게 연예계 활동 하셨으면 좋겠어요 !!
언제나 응원하고 좋아할게요..에스파 힘내요 .ᐟ",46,2024-11-30T06:42:36Z
@りんりん-c2l,ノムいらっしゃいませ😂😂,0,2024-11-30T03:59:10Z
@와와-s6f,아니 윈터 그림 돌쇠 아니냐고 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-11-29T04:10:23Z
@nurtinii,"we flash, weflash, wephlash, wiphlash, whiplash 🙂‍↕️",0,2024-11-29T00:37:15Z
@djvillan,NingNing is struggling to hold back her laughter during the whole episode.,0,2024-11-28T12:51:29Z
@이강현-w7x,"먼가 이제 그만하고 싶엇는대?? 먼가 고마워서 
뭔가 재미없을수도 있는대, 잘 써보도록 할게요
편지 ~ 좋은 마음 표현하기

5:03 저거 올블랙 아닌감 ?? 5:13 닝닝의 시스템 뚫기 술법 !  지적하기 ! 갈색이네 딴데서 보니깐.여기선 왜 갈색 티가 나지? 눈도 그렇고 
으악 이게 아니야 재미없어 !!! 책상 뒤엎기.

조명에 따라, change ㄷㄷ ! 🕯️🌍🏳️‍🌈

5:03  블랙 허벅지 좋아 .. 히잉🔲 블랙 속 좋은, 카리나 🕸️🌶️ !!   5:13  갈색 카리나 좋아! 제대로 보고 싶어 .. 지금은 여기 세상애서만 ..  
I will find you and i will  위 할거야 닌텐도
나중?? 언젠가 .. 같이 뭔갈 하면 좋겠네요 !!",0,2024-11-28T12:00:44Z
@이강현-w7x,"윈터 왜캐 짜증ㄴ 실제로 보니깐 .. 머지
시스템 상상에선 좋은데 엄청

아하! 시스템의 척력 인가.. 🧲 야레야래😑
방문 쾅 닫지 마시오 .. 약간 기묘한 이야기 아 귀찮아.. 뭔지 알죠?? 느낌 ~ 아니깐 ~ 👍

윈터님 코 좀 푸세요 .. (먼가 띠껍게 하거 싶다 .. 척력 좋아 !! )🙃🕸️스파이더맨

아 먼가 이제 하기 시로네????? 무한의 마법사 ..
주인공 약간 윈터 삘이 안에 있는 느낌 ..

응? 결혼하면 안되냐고요???  
아직 이 대답은 보류 !!!!!!  는 아니고..
먼가 잘 모르는대??  윈터는 나 말고 딴 사람이랑 결혼하서 엄청 행복했으면 좋겠군요 ~!


카리나 는 왠지 엄청 섹시 하다 . 뭐지 
갑자기 지쳐요 .. 롤하고 싶다 .. 이 척력 뭐지
배고프다 ..",0,2024-11-28T11:23:42Z
@shawnjordanne4809,They’re all so adorable and funny 😆🤣❤️‍🔥,0,2024-11-28T10:20:43Z
@seoulvillain4987,정우성스캔들을 예견한 썸내일인가요ㄷㄷ,1,2024-11-28T10:16:41Z
@ikmalazmi1,"solid boss
#ikmalppd",0,2024-11-28T04:40:41Z
@sunnyy0037,카리나 안경정보 아시는분!!!,0,2024-11-28T03:36:08Z
@리란드,9:26 23:25,0,2024-11-28T02:51:55Z
@anglemed4605,Ganap na ganap HAHAHA,0,2024-11-27T15:04:29Z
@700sibaloma,에스파도 아는 뉴진스 밈ㅋㅋㅋ,0,2024-11-27T10:46:04Z
@geeeeeeeeeeeeeee100,ちょいちょい出るやらせ感が好き❤️,1,2024-11-27T02:51:26Z
@LiliethDennis,Aespa❤,1,2024-11-27T00:21:29Z
@Cest.La.Vie..,우와... 닝닝 그림 엄청 잘 그리는데...  진짜 디자이너 스캐치인줄 헐...,0,2024-11-26T23:50:30Z
@jsaw7077,7:12,1,2024-11-26T16:54:44Z
@jsaw7077,20:18,2,2024-11-26T16:52:47Z
@솟솟스포츠,sm은 에스파 이런 컨텐츠 좀 자주 만들어줘라 넷이 캐미가 너무 좋고 일단 재밌다,82,2024-11-26T14:42:57Z
@Nctjeans-n2m,Bir birilerini tanımıyormuş gibi yapmaları gerçekten çok komik ve kızlar çok güzel Karina'nın saç rengine bayıldım Winter peri gibi görünüyor Giselle oyuncak bebek gibi görünüyor Ningning her zaman ki gibi ateşli 🔥,0,2024-11-26T11:38:28Z
@sachae8512,"""It's cute tho"" -Giselle referring to Winter's drawing
""I'm cute too"" -ningning
""No one asked"" -Giselle
😂😂😂",11,2024-11-26T09:39:46Z
@sachae8512,"As ningning showed up, i am already laughing😂. I can't with these four 😂",0,2024-11-26T09:35:44Z
@najaejimin,KARINA WE LOVE YOU,0,2024-11-26T07:58:41Z
@wintergod0101,난 윈터가 워스트여도 윈터랑 같이할렝,0,2024-11-26T00:16:31Z
@briannabirckett,the evil editing and sassiness is crazy 🤣,0,2024-11-25T14:50:04Z
@venytacelia8737,the fresh content 😭😭,0,2024-11-25T10:56:09Z
@yasminsulemanjibril,I think Giselle should be an actress omg the mean girl vibe😳 and though she give the mean girl vibe in reality when you see her for the first time but when you watch her videos then you’ll know she’s really sweet and friendly,0,2024-11-24T19:01:42Z
@junminnie,This is so new I'm here for it,0,2024-11-24T15:58:31Z
@에스파페,윈터 스티커보다 얼굴 작은거 실화?,1,2024-11-24T14:33:51Z
@Nabillela48,그냥 다 웃김ㅋㅋ상황 자체에 몰입하는것도 웃기고 억지도 있어서 ㅋㅋㅋㅋㅋ 그와중에 닝닝은 skrr,0,2024-11-24T14:10:07Z
@jocikaaudry2660,❤❤❤,1,2024-11-24T13:29:34Z
@gcj9096,쉬엄쉬엄해 😂,0,2024-11-24T07:41:41Z
@gcj9096,미안해 ❤,0,2024-11-24T07:39:43Z
@늘픔-h2z,"하도 에스파 코디가 그지같으니까.
본인들이 직접 해보겠다는 어필인건가?
이 난장판인 패션계에서 시간이 지날수록 중국인 닝닝이 가장 정상적으로 보이는 신기한 현실~",0,2024-11-24T07:19:25Z
@alwayskei0114,처음 나오자마자 로에베 인턴? 밀라노 도나텔라 하길래 아.. 이런 컨셉이구나 함 ㅋㅋㅋㅋㅋㅋㅋ,0,2024-11-24T07:14:23Z
@rorycookie,not winter throwing back the lack of color to ningning lol,0,2024-11-24T05:40:00Z
@alzzzh,pretty,0,2024-11-24T03:19:47Z
@G1010qkxilien4j,다들 닝이 괴롭히기 진심이네 ㅋㅋㅋ ㅜㅜㅋㅋㅋ,0,2024-11-24T02:23:28Z
