author,text,likes,published_at
@alchemist8769,11:22,0,2025-04-15T14:31:55Z
@MiaBMHyukanin,Las amo bellas un grupo muy hermoso 💕💕,0,2025-03-22T12:31:11Z
@어-d2p,13:31,0,2025-02-11T06:27:19Z
@_nana_nana,Gaeul looks like Kim Jiwon from Queen of tears both my favorites,0,2025-02-06T22:55:25Z
@권유리-y4y,"29살 권유리입니다
좋아하는 아이돌:아이브
이름도 알고 
안유진 장원영 가을 레이 이서 리즈
보고싶다 구리좀와주면안돼요",0,2025-02-01T13:26:02Z
@아이브업고튀어-n4p,언니들 넘 이뽀❤,0,2025-01-29T06:21:10Z
@lunas-tell-a,"저 아이브 시크릿 샀어용❤❤❤❤
사랑하고 3주년 진심으로 축하해용.  원영,레이,리즈,유진,이서,가을 찐팬인지 몇년 됐어 나이가 들수록 아이브 사랑할게 나도 콘서트 가고싶어❤❤❤ 아이브 언니들 사랑해요❤❤❤❤❤❤❤",0,2025-01-15T12:47:06Z
@오늘도내일도iloveyou,안녕즈 유닛무대 존버...,1,2025-01-01T17:42:14Z
@IuSuShy,IVE❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-12-25T13:22:58Z
@NuurKal,There’s something strange going on in this group…..yujin is weird,0,2024-12-24T17:56:20Z
@IDOLCLOSS,HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA HERMOSA,0,2024-12-24T05:19:30Z
@IDOLCLOSS,😘😘😘😍😍😘😘😘😘😘😘😘😘,0,2024-12-24T05:16:29Z
@IDOLCLOSS,HOLA BELLEZAS,1,2024-12-24T05:15:25Z
@IDOLCLOSS,HOLA HERMOSA,1,2024-12-24T05:14:15Z
@잊프핑,아이브사랑해❤❤❤,0,2024-12-18T11:30:44Z
@김현민김현민,사랑해요💕,0,2024-12-17T07:59:45Z
@화키24,멤버들 신발 뭐예요??,0,2024-12-16T11:48:32Z
@annyeongzforever,45:00 아이브 오래보자🙏,0,2024-12-15T01:52:25Z
@annyeongzforever,26:31 한사람씩 전달하는거 졸귀😭,0,2024-12-15T00:14:50Z
@annyeongzforever,13:32 역시 안녕즈,1,2024-12-14T03:39:42Z
@IDOLCLOSS,DINO SAN,1,2024-12-13T14:15:07Z
@IDOLCLOSS,QUIERO CASAR ME CON USTEDES HERMOSAS,1,2024-12-13T14:12:09Z
@지윤-0126,아이브 많이 늦었지만 3주년 축하해❤,1,2024-12-09T13:19:26Z
@kaydotle,Wild to think that Annyeongz have been w/ IVE longer than IZ*ONE now 😮,1,2024-12-09T04:19:34Z
@권유리-y4y,어디서 들어가야돼요,0,2024-12-08T13:47:05Z
@부리부리8070,원영이 다시 밝아지고 잘웃는모습보니 우리가 다 행복하당><,1,2024-12-08T11:45:18Z
@熊野古道中辺路,IVE3周年おめでとう㊗️これからもずっと応援します❤,0,2024-12-08T05:27:28Z
@IDOLCLOSS,DE KITADO EL ME GUSTA,1,2024-12-08T04:22:19Z
@IDOLCLOSS,SON MUY GORDITAS RIPITO NO ME REFIERO A USTEDES,1,2024-12-08T04:21:25Z
@IDOLCLOSS,DIGAN ME QUE PUEDO HACER,1,2024-12-08T04:17:21Z
@IDOLCLOSS,EVISTO UNAS CHICAS MUY GORDITAS NO ME REFIERO A USTEDES NO LAS CONOS CO DE KITADO EL ME GUSTA,1,2024-12-08T04:13:50Z
@IDOLCLOSS,HOLA,1,2024-12-08T04:12:14Z
@たかちゃん-h5r,リーズはスマートフォンをたくさん見ます😂,0,2024-12-07T23:48:13Z
@bori3467,ㅠ..원영 언니랑 대화..아니 내가 친 댓글 보시고 답해주시는게 내 꿈이에여..ㅠ(아이브 3주년 축하축하해여),0,2024-12-07T10:17:27Z
@해씨즈_쁘넥핑,"나 이때 줄넘기 대회 나가서 못봣어...
아이브 3주년 축하해 .ᐟ ෆ",0,2024-12-07T04:43:54Z
@Kaiser-sm,아이브 3주년 추카해 🎉,0,2024-12-07T03:56:50Z
@kim-0805,3주년 축하해!!항상 응원해!❤,0,2024-12-06T14:11:57Z
@miiwlikmu5418,Subtittle plisssss,0,2024-12-06T05:55:24Z
@kumaco432,I feel that Li Rui is more suitable for the devil,1,2024-12-05T14:56:42Z
@superkimkim,예쁘고 상큼해요👍👍,0,2024-12-05T10:02:10Z
@Gulpuff,Lmao Rei 💀💀,0,2024-12-05T01:51:48Z
@동그리인데뇨,데뷔할때부터 지금까지 좋아했던 다이브로써..진짜 ~주년 라이브할때마다 너무너무 행복하다 데뷔할때부터 리즈보고 반해서 지금까지최애인데 아이스퀸은 리즈뿐만아닌 역시나 멤버들 모두 잘해서 너무 좋았어❤앞으로도 멋진모습많이보여줘 !,0,2024-12-05T01:16:24Z
@firelexx,"man theres nobody in the whole fandom that subs these livestreams? starship doesn't care so fans have to do it and is weird that such a big group doesn't have a subbing team like many other groups, even small groups have them. Bru i need to watch their lives subbed",1,2024-12-05T00:24:38Z
@lovewheeinjoy1911,"Happy 3rd Anniversary to all the 👸 👑 ❤❤❤❤❤🎂🎂🎂🎂🎂

Wish u all the best 👏👏👏👏👏

Thank you for your hardwork 🥰🥰🥰🥰🥰


Always stay with Ive ❤❤❤❤❤

Love u always 💖💖💖💖💖

Miss ur concert 😄😄😄😄😄

I hope I can see u again 😊😊😊😊😊😊

Forever Ive🫶🫶🫶🫶🫶💪💪💪💪💪",0,2024-12-04T17:54:36Z
@김세은-s2e,"아이브 이뻐
❤❤❤❤❤",0,2024-12-04T14:39:48Z
@김세은-s2e,사랑해,0,2024-12-04T14:36:36Z
@김세은-s2e,안녕,0,2024-12-04T14:34:53Z
@뽀야_뽀이_뽀예,운니ㅣ😊,1,2024-12-04T09:39:05Z
@KimickBoykewich-r5p,❤❤❤❤❤❤❤❤IVE  love yallll❤,0,2024-12-04T07:05:14Z
@abcd743,Can someone translate,0,2024-12-04T01:30:39Z
@Callmeqaver,WHERE ARE THE ENGLISH CAPTIONS,0,2024-12-04T01:23:46Z
@빈이0214_1,아이브 3주년 추카해🎉🎉🎉🎉🎉❤❤❤,0,2024-12-03T21:38:32Z
@Onegaishim,후...아이돌은 보통 7년이라 하던데...제발...10년 이상 가자!!,0,2024-12-03T18:38:02Z
@reismyheart,❤❤❤❤,1,2024-12-03T12:31:40Z
@chopin-fe2sz,Happy 3rd anniversary ❤,0,2024-12-03T12:31:27Z
@조현-m1p,아이브 축하해~~~올해도 행복했고  내년에도 모두 행복한 마음으로 날아 오르장,1,2024-12-03T11:19:39Z
@halfpast237,english sub??? 😢,0,2024-12-03T10:39:45Z
@wonsund_13,아이브 3주년 축하해🎀🤍😘,0,2024-12-03T08:51:10Z
@wonsund_13,아이브 3주년 축하해 🎀🤍🩷,0,2024-12-03T08:50:48Z
@boyganjahi4613,💯💯💯🤍🤍🤍🤍🤍🤍,0,2024-12-03T08:42:46Z
@귀요미-k9f,리즈넘귀여워,0,2024-12-03T07:46:33Z
@inic3809,"아이브 라방 못봐서 미안해 ㅠㅠ
3주년 축하해 내년에도 파이팅 
사랑해❤",0,2024-12-03T05:27:05Z
@rx.i.tg2.3,아이브 3주년 축하해❤🥰🐶🐱🐯🐿🐹🐰,0,2024-12-03T04:24:09Z
@khoirunnisabriliani5628,Engsub pleaseee,0,2024-12-02T19:06:32Z
@spicerow,When comeback,0,2024-12-02T17:43:11Z
@kamonegikamo,3周年おめでとう🎉,0,2024-12-02T13:44:15Z
@jwpark9195,우리 아이브님들 3주년 넘넘 경축드려요♡♡♡♡♡♡,0,2024-12-02T13:21:01Z
@TresnaWicaksana-d4v,"gaeul, rei, yujin, leeseo, wonyoung, 


        liz 🫂👍",0,2024-12-02T13:02:07Z
@10_foreveryoung,"아이브 3주년 진심으로 축하해🎉

멤버들 다이브랑 몇주년이 되든, 평생 함께가자 사랑해❤",0,2024-12-02T12:43:20Z
@김금실-t7z,아 리즈야 어떡해 아하하하하핳,0,2024-12-02T12:36:47Z
@smootsy7114,English captions plss i wanna watch tooo from ph🇵🇭,0,2024-12-02T12:33:38Z
@멍멍2_짝사랑,이서 언니 너무 예뻐요❤,0,2024-12-02T12:17:50Z
@Shinok-f4r,그렇쿠나,0,2024-12-02T11:53:21Z
@i_lo_ve_S2,아이브 벌써 3주년 너무 축하해 ㅠㅠ 앞으로도 꽃길만 걷자 화이팅! 어제 라이브 못 본게 너무 아쉽네..ㅠㅜ,0,2024-12-02T11:30:03Z
@Callmeqaver,UPLOAD ENGLISH CAPTIONS PLS THANKYOU,1,2024-12-02T11:27:19Z
@냥슈_인뎁,아기만두가 쓸쓸해보여. . . .,0,2024-12-02T11:16:51Z
@soya0119,22:08 윤석열나이 언급하는 이서ㅋㅋㅋㅋ,0,2024-12-02T10:08:01Z
@nurulikhfaramadhani3909,Subtitle please,0,2024-12-02T09:49:58Z
@최민숙-i4i,아이브화이팅🎉,0,2024-12-02T09:41:50Z
@paro55,おめでとう❣️,0,2024-12-02T09:40:34Z
@bdt_jjunfilm,아이브3주년 축하해🎉🎉,0,2024-12-02T08:02:33Z
@최성욱-w8w,이서 보라머리 이쁘당❤,0,2024-12-02T07:19:46Z
@김뀨냥-r9x,아입쁘 3주뇬 추카해❤,0,2024-12-02T07:10:12Z
@멍딸기,"아이브 3주년 마니마니 축하하고, 고생마났엉❤",1,2024-12-02T07:05:52Z
@멍딸기,나 이 라이브 봄🙈❤,1,2024-12-02T07:05:18Z
@문창완-w6b,사랑해녕❤,0,2024-12-02T06:25:56Z
@yeoujin7900,아이브 3주년 진심 으로 축하  하고 언제 나 행복 하고 건강해야됭❤,2,2024-12-02T04:43:43Z
@gdjfrw,벌써 3주년이라니.. 넘 축하하고 앞으로도 행복하자❤,0,2024-12-02T04:39:36Z
@HyunjaKwon-v2z,하이팅❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2024-12-02T04:10:41Z
@감-l3f,"아이브의 3주년 진심으로 너무나 축하🎉 예전부터 지금까지 아이브가 멤버들도 노래도 안무도 예능도 전부 다 최고인만큼 가장 완벽한 걸그룹답게 3주년을 넘어 5, 10, 20주년에 그이상까지도 항상 건강하고 행복하세요.❤",3,2024-12-02T04:03:28Z
@dei28822,3주년 축하해😂😂,0,2024-12-02T03:57:16Z
@律-z3i,❤기념일 축하해요🎉🎂🥂👏❤️,0,2024-12-02T03:31:21Z
@allii666,"3 YEARS OF PURE HAPPINESS, I LOVE IVE SMM, HAPPY 3RD ANNIVERSARY!!!",0,2024-12-02T03:28:39Z
