author,text,likes,published_at
@n0t.anciii,🩷🩷🩷,0,2025-04-05T20:15:21Z
@Crazy_Ritzkp,"Giselle's charm truly makes my heart melt.


SM, GISELLE deserves MOREEEE",8,2025-04-01T03:27:34Z
@사각샤각,"ㄹㅇ 엔젤은 핑머라더니,, 완젼 지젤이자나?!🩷✨",0,2025-03-31T09:07:51Z
@쵸메롱하고튀어,천사 젤이..💗,1,2025-03-27T04:10:26Z
@mimi_the_stay,THE QUEEN YOU ARE GISELLE🩷,1,2025-03-21T09:10:16Z
@Ilovecatsandsua,I LOVE YOU GISELLE💕💕💕,1,2025-03-16T20:46:27Z
@aewiinz,real queen 🙈,1,2025-03-15T09:59:38Z
@유윤닝,ㅎr..진짜 너무 예쁘ㄷr❤,2,2025-03-13T08:03:59Z
@뚱인데냐,애리야 날가져 엉엉 ㅠㅠ,1,2025-03-03T11:27:18Z
@Dailyby_bia,Giselle look like Miwako! 🎀,0,2025-03-02T13:07:04Z
@lll7yu,えり穣かわよっ！！,10,2025-03-02T11:27:35Z
@gisellexbesttt,Yerimmmm🎀😻👽✨💫🌈💋🤧🌷,0,2025-03-01T00:01:12Z
@lumingbro,Pink hair is the new halo for sure,2,2025-02-26T18:12:43Z
@lumingbro,"Pink hair and angel vibes, what more do we need",22,2025-02-26T18:00:12Z
@LEONARDO_MY,Giselle is so adorable!!!❤,3,2025-02-23T21:29:23Z
@햄_숱,미쳤다 그냥 너무 수수하고 첫사랑 재질이잖아…❤,2,2025-02-21T00:35:35Z
@alexandergorski1013,Why does she look 	exactly like Kotoko ❤❤❤❤❤❤ from UNIS,1,2025-02-20T08:20:19Z
@Julieta_julip_germanKPOP,Es muy tierna bastaaaaaa,1,2025-02-19T11:56:27Z
@휴지입니다만,"지젤이,,,, 넘 카와이 하잖앙,,!!",0,2025-02-14T11:12:42Z
@wony_ponny,GISELLE IS A REAL LIFE ANGELLL 💖🪽,1,2025-02-13T18:01:04Z
@aespa_cute2020,얼빡 굴욕 없네...,0,2025-02-13T00:35:16Z
