author,text,likes,published_at
@Elfangor-Sirinial-Shamtul,TWICE-themed Graphic Design is my passion. 💻,2,2025-01-11T23:54:19Z
@MariaDasha-qi7kk,TWICE ❤❤❤❤❤❤❤❤❤,1,2024-12-05T23:03:15Z
@MariaDasha-qi7kk,TWICE IS PERFECT AND BEAUTIFUL ❤❤❤❤❤❤❤❤❤,3,2024-12-05T23:03:00Z
@J_jaquelineli,QUE LINDO !!!,0,2024-12-04T02:35:22Z
@chimmygutierrez3835,IGY y TF tienen lyrica oficial pero no Moonlight Sunrise 😢,0,2024-10-20T23:33:59Z
@ぴーなっつ-r5l,"かわいい感じのコンセプト💕
英語の曲も素敵～！",0,2024-10-04T06:25:10Z
@junfong4998,❤️💜🩵💙💚💛🧡🩷🤍,0,2024-08-16T12:25:09Z
@airynemayaut603,Mina,1,2024-07-26T00:25:40Z
@jeongxel,Quiwro regresar a esos tiempos 😢❤,0,2024-07-22T05:05:00Z
@blakemorales_22,REINAAS!!!!!!!,2,2024-04-18T03:44:07Z
@reixhanna,I LOVE THIS SO MUCH OMG THE EDITOR IS FIRE 🔥🔥🔥🔥🔥🔥😍😍😍😍😍😍😍😍😍,2,2024-03-29T15:50:23Z
@mariatiburcio5915,"Las amo Twice, ustedes son maravillosas.",2,2024-03-17T19:36:07Z
@zikyainurrizki1296,How could I did not know this exist 😭,2,2024-03-03T06:54:21Z
@njizimsoo,"""i wonder whats on ur mind"" hit diff ❤",0,2024-02-22T07:53:22Z
@AngieZzz_,💗,1,2023-10-14T04:04:39Z
@twlseeyy,me encanta este lyrics video,0,2023-10-10T03:29:25Z
@N4t4lie_016,0:51,0,2023-09-13T14:14:02Z
@sharifanajafi9426,"My friend spelt chaeyoung,cheywoyng💀",1,2023-09-07T22:14:11Z
@ImMrMeeseeksLookAtMe,this deserves way more views the edit is PERFECTION!,0,2023-09-03T03:43:49Z
@hayoungg,Cutee,1,2023-09-02T14:14:33Z
@Peduza,Alguien más se entero de la existencia de esto mil años después xd,1,2023-07-11T17:03:01Z
@leonelcondori1222,"En el minuto 2:16 Sale el SAHYO ""la imagen de la izquierda""",1,2023-05-21T02:00:15Z
@rae2140,"MV見たら絶対歌詞動画も見てます！
可愛すぎてノリノリになる💌💗",1,2023-03-08T14:42:25Z
@amir4ftihny,Anddd we got the same things like MOONLIGHT SUNRISE <333,2,2023-01-22T06:05:45Z
@andrevallejos1164,STREAM MASIVO A WHAT IS LOVE PARA LLEGAR AL BILLON!!!!!!!!,0,2023-01-13T05:35:54Z
@camikiut,que le aumenten el sueldo al editor del vídeo,0,2022-12-01T22:15:35Z
@eejeej6363,"Is this English version on the physical cd of ""Formula Of Love"" or just the Korean version?",1,2022-11-15T12:45:39Z
@starstonight01,Amazing very amazing 🎉,0,2022-11-11T02:52:19Z
