author,text,likes,published_at
@ekwekqgotj,양양 마지막에 ㅁㅊ……..❤,0,2025-04-17T15:03:06Z
@centavito.022,I feel like Yangyang dances feeling and enjoying what makes it so cool and attractive to watch💖,0,2025-04-07T00:20:24Z
@centavito.022,"Yangyang🐑 couldn't just do it and put his touch on it, his dancing with a lot of flavor makes him very attractive. Haechan🐻 doing and I feel the dance so good... both are so great with DY🐰 and MK🐯 💚✨",0,2025-04-07T00:18:16Z
@centavito.022,Yangyang 💚💓✨,0,2025-04-07T00:06:28Z
@centavito.022,por un momento se me olvido quienes son de la unidad Baggy Jeans Ajajajja,0,2025-04-07T00:05:45Z
@hilyatutthohiroh87,My eyes still on Haechan,0,2025-03-19T20:56:11Z
@ArielStar,🔥🔥🔥🔥🔥,1,2025-03-19T02:46:28Z
@salmut1651,"Haechan udah gila ya🤬
Gantengnya kebangetan kamu nakkkk😭",0,2025-03-17T20:36:20Z
@ri8yq9pe1f,ヤンヤンが前にスッて出る時胸から入ってﾔｯｶﾝウェーブみたいになってるの好き,0,2025-03-17T10:43:51Z
@sunflowermoon2003,"OMG YANGYANG LOOKS SO COOL IN HERE!!!
He should've join the baggy jeans unit. Also why did he looks so tall in here 😅 it's like a different yangyang who i used to see in wayv 😂 and that charming face!!! Indeed he was in a group called we are your 'visual'",4,2025-03-06T16:40:16Z
@norahnin19,Haechan really pulled it off well. Dances so smoothly.,1,2025-03-01T10:07:35Z
@마리-r2i,아 마크 배기진스는 이미 ㅈㄴ 쩌는 걸 알고 있었는데 이해찬 뭐냐 진짜 둘이 왜 투잡뛰고 어쩔 땐 쓰리잡까지 뛰는 이유를 떠먹여주네;,5,2025-02-23T11:08:24Z
@GoodMorning-cq1wn,Yang2x ❤❤❤,0,2025-02-22T07:41:15Z
@mykarina7254,YANGYANG BAGGY JEANS,3,2025-02-20T13:10:52Z
@PattyVanLangen,Yang Yang is so cute ❤,1,2025-02-08T13:41:25Z
@Aileenkarol,Ok pero Mark y Haechan❤❤🔥🔥💯,1,2025-02-04T22:33:40Z
@kingeisa-i7u,haechan is so tall,1,2025-01-27T21:57:48Z
@Thameena_nct02,yangX2 is so handsome 😮❤🤫🥰🔥🥰🩷,1,2025-01-24T14:50:15Z
@oreiioo66,해찬 존나 절추네,3,2025-01-24T11:12:07Z
