author,text,likes,published_at
@NCTsmtown,"✨ '샤랄라 (SHALALA)' MV https://youtu.be/aO5DPf0vebc
🎧 'SHALALA' Album https://TAEYONG.lnk.to/SHALALA",309,2023-06-06T12:00:57Z
@eda--1145,✨💋,0,2024-04-19T18:05:51Z
@시후박-j5i,"리정
이제 솔직해 지자

고무고무 댄스열매
몇개를 먹은거임?",1,2024-04-06T22:11:27Z
@HAZERO_하제로,❤❤❤,0,2024-03-07T23:53:18Z
@Rigelnemesis,NCT USANDO FONTS AJAJSKAJA ME DA MIL AÑOS DE VIDA,1,2023-10-11T23:37:43Z
@jc_queline,leejung ♡♡♡,0,2023-09-08T09:58:02Z
@교회집사님수건,역시 댄서는 다르네ㄷ,0,2023-09-07T01:01:47Z
@armor1224,역시는 역시다,0,2023-09-01T02:26:44Z
@hybridcloud4994,"나이정도 춰 잘하지?
가 아니라 춤은 feel + skill 이다",0,2023-08-30T22:49:40Z
@_3382,"저기 남자 여자아이돌닮앗당ㅇㅅㅇ.. 이름이 생각안나네ㅠ...
단발에 얼굴뾰족한...",0,2023-08-25T01:03:25Z
@해피-ing,리정❤,0,2023-08-23T21:04:26Z
@sweetj.e4633,챌린지 중 첨으로 태용에게 눈길이 덜간 챌린지~역시 리정~👍,2,2023-08-23T14:43:06Z
@03o-s5j,샤랄랄라랄라 아 맞나?,0,2023-08-16T04:00:04Z
@juliennees,BOUNCE,0,2023-08-09T10:43:45Z
@sarimiyako5315,Ya Ampun makk..,0,2023-08-02T05:52:18Z
@JAGUARXJ_220,это идеально‼️‼️❤️❤️,0,2023-07-31T19:19:37Z
@fwashere.8,I’m addicted to this song now,0,2023-07-30T00:07:31Z
@Hoshiii_iii-k4x,W̴̪̼̩̘͔͒̏̓͐͂̆͑̐͝o̶̯͎̱͐̇͋̅̃̈́͋̽̊̀̓͊̃́͋̓o̶̯͎̱͐̇͋̅̃̈́͋̽̊̀̓͊̃́͋̓o̶̯͎̱͐̇͋̅̃̈́͋̽̊̀̓͊̃́͋̓o̶̯͎̱͐̇͋̅̃̈́͋̽̊̀̓͊̃́͋̓o̶̯͎̱͐̇͋̅̃̈́͋̽̊̀̓͊̃́͋̓ŵ̵̨̢̳̞̤̝̖̠̘̩̞̘̭͍̘̐́̈͑̈́̐̂̔̽̓͋̂̔ͅ 💅,0,2023-07-28T12:44:29Z
@renrenrenzumi,I THOUGHT THAT WAS YEJI FOR A HOT SECOND 💀💀💀,0,2023-07-21T16:13:39Z
@mirhaanmohammed578,"Omo I just thought niki from enhypen did this challenge hahaha jk

Her moves are addictive u know

I personally liked this challenge 

No hate only love u know",0,2023-07-21T06:47:05Z
@prettyNabi61,Omg leejung,0,2023-07-17T12:44:59Z
@emre_and_dnz,Şarkı bağımlılık yaptı yardım plss,0,2023-07-15T15:47:00Z
@Igloo0-z5g,와 리정... 역시 레전드네.. 허우적거리는 느낌 1도 없고 무슨 잔잔한 바다 가르면서 헤엄치는 수달처럼 너무 자연스러운 몸짓이라 깜짝놀람;;; 본인춤인줄 알았네여,1,2023-07-14T03:29:28Z
@mOKI_OFF,이정 보자마자 베이비몬스터 생각나는데..완벽한 듀엣!!ㅋㅋㅋ❤,0,2023-07-12T17:55:49Z
@Chrisbeanie,If you guys don’t know who she is she’s a choreographer in yg,0,2023-07-12T16:55:54Z
@피아노-z7h,이안무는 리정이 만들었다 함,1,2023-07-09T06:27:56Z
@dwy0105,Taeyong voice ......wwooooowwww.....❤,0,2023-07-07T05:24:33Z
@qkqhemf6513,처음으로 태용말고 다른사람이보이네,2,2023-07-06T22:35:06Z
@한진우-r3k,나 태용님이 하는거 정말 많이 봤는데 이번편이 젤 열심히 한것같아서 너무 웃김ㅋㅋㅋ,1,2023-07-06T14:21:09Z
@ElectraTechna55,Best cover I've seen thus far🎉,0,2023-07-05T22:10:36Z
@jchowd.15,Leejungs movement is addictive,1,2023-07-05T21:05:48Z
@nctii,역시 리정은 먼가 달라..,1,2023-07-05T14:45:29Z
@انيوشا_عمك_حياتي,رائع,0,2023-07-05T14:10:12Z
@Sadeewabopo,Taeyong ❤,0,2023-07-05T00:06:18Z
@Ddd-k6l,리정곡인데..?,0,2023-07-04T17:36:54Z
@Official_BWJ,I have epilepsy,0,2023-07-04T06:29:19Z
@jsw9602,이 춤 태용보다 잘추는 사람 처음 봄,0,2023-07-02T15:44:11Z
@carmenhampton2946,Slay! (:,0,2023-07-02T15:25:41Z
@Mi-gz6nm,"와 역시.. 다르긴 다르구나 ㅋㅋㅋㅋ
샤랄라 챌린지 다 보는중인데 역시.. 👍",5,2023-07-02T13:27:42Z
@ken-mr1ne,진짜 다르긴하네 리정,3,2023-07-02T11:24:12Z
@김진영-w9n,Sm에 Yg뭍히기 오우야,0,2023-07-02T04:18:02Z
@annaaaaaaays,둘 다 너무 잘해서 눈이 계속 왔다갔다거림 두개 다 보고싶어서,1,2023-07-01T18:13:17Z
@user-po8gw1pz9t,중고나라 사기쳐도 빨아주네,0,2023-07-01T08:29:49Z
@genster-d5t,I told you about the dance. And dance with me haha,0,2023-06-30T12:41:35Z
@markeuulopp,It must be Lee Jung who made the choreography,0,2023-06-30T01:23:23Z
@박소영-g8m2x,와 리정 미쳤다 둘 다 춤 선이랑 분위기 리듬타는게 예술임,5,2023-06-28T13:48:25Z
@rainda1986,와 리정 존나잘추네 ㅋㅋㅋㅋ,1,2023-06-28T11:51:02Z
@user-tn3uu6my6l,시험기간에 이런 노래는 너무해😢,0,2023-06-28T11:23:39Z
@힝딩동,리정웅니사랑해…개존나멋져,2,2023-06-27T05:53:54Z
@blueness_ns,머야 이거!!!!! 그냥 스웩!!!,1,2023-06-25T15:34:16Z
@yuna_kk,리정 손가락도 잘 추네...,0,2023-06-25T03:10:16Z
@이세한-4c1,내가 뭘본거지??? 샤랄랄라???? 빅뱅이 휴직한뒤 무슨일이 있었던거냐...,0,2023-06-24T13:10:40Z
@비오면신나서춤추는미,와 조합이 이래되니까 확실히 안무가 달라보인다ㅋㅋㅋ,13,2023-06-23T07:07:50Z
@loneindaplane,아편안해…..,0,2023-06-22T15:26:09Z
@cindydesmaa,LEEJUNGGGG 😭😭😭,4,2023-06-22T15:15:46Z
@김희재-g9m,확실히 느리고 느낌을 보여주는 춤이니 다른 챌린지들 보다 눈에 띄네 리정이,6,2023-06-22T10:31:50Z
@김혜인-p3q,"역시 댄서라 그런지 확실히 춤선 개미침...
여태봤던 챌린지 중에 이게 젤 간지 미침,,,❤️",173,2023-06-20T14:23:16Z
@keenfar4338,Whats in the back lo0ks so cool,0,2023-06-19T18:28:07Z
@응애-c6e,십팔십팔,0,2023-06-19T12:15:19Z
@숨-c1b,진짜 대박이다 이 사람 옆에서 춤추면 다 조금씩 차이나던데 유일하게 리정 안꿀리네 눈이 편안-,58,2023-06-19T10:19:52Z
@Cute-hanbi,❤️❤️❤️🔥🔥🔥🔥🔥,0,2023-06-19T06:47:15Z
@GKFF9872,Ok but she ate that.,1,2023-06-19T01:26:51Z
@nthtd_,리정 강약조절에 한번 웨이브에 두번 윙크에 세번 치임 ㅠㅠ❤,12,2023-06-18T16:32:56Z
@sibalroma_,오 ㅋㅋㅋ 안무가랑 아이돌같지 않고 둘다 안무가같다,1,2023-06-18T11:21:13Z
@shnb7777,진짜 잘춘다,1,2023-06-18T05:02:26Z
@peachyniki,the ricky font 💀,0,2023-06-18T04:46:54Z
@Saaakshi,Ahhhhh ! Another legendary choreo from Lee Jung ❤,3,2023-06-18T04:19:36Z
@user-wp6vu6tv5q,발차기가 예술이네,1,2023-06-17T19:54:06Z
@user-pee738,❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2023-06-17T15:16:58Z
@Kim.Chaeyoung.Lee143,WE GOT THE BOUNCE 😎💚,2,2023-06-17T10:08:05Z
@oliviascholtz9418,My brain every 2 seconds be like,0,2023-06-17T08:04:34Z
@alyssavisda6601,The beat is stuck in my head,0,2023-06-17T01:33:23Z
@seren930,리정이 대박이다...,5,2023-06-16T18:02:21Z
@jo_v,Both just slayyy on their own way!!,0,2023-06-16T17:12:18Z
@SunooAndHisHourGlass,I love this song! It’s so catchy,0,2023-06-16T16:40:03Z
@Toma.Thered,음양 조화 끝내준다.. 리정이 양임,0,2023-06-16T05:25:07Z
@남강식-c6t,리정에태용.... 데이터키고보는중,2,2023-06-16T02:15:41Z
@ammarahmad6422,NCT LETS GO TAEYONG❤❤,0,2023-06-16T01:23:47Z
@jp3666,리정은 진짜 춤도 춤이지만 표정이나 시선처리가 왠만한 아이돌 이상인 듯....,10,2023-06-15T16:24:13Z
@danagul3907,❤❤❤❤,0,2023-06-15T16:18:06Z
@bjorneyquevedo9790,"For those who didn't know, leejung is the one who created the choreography 🤍",4,2023-06-15T15:09:58Z
@lizaindo2000,This dance choreo by junglee?,0,2023-06-15T02:44:46Z
@stllrfmndaaa,"kameramen nya baru keknya, angelnya bagus banget. mirip mirip sama dance kang 😅, jangan² kakaknya di rekrut SM buat jadi kameramen mereka lagi 😂",0,2023-06-14T18:08:13Z
@SaimaShamim5908,Leejung and taeyong got the bounce!!!!💚💚💚💚,6,2023-06-14T15:30:08Z
@Kappachill,His eyes in the begging 😭,0,2023-06-14T07:50:51Z
@asmiivarshney3380,"Who's the most impressive dancer/choreographer? 
And why everytime is it LEEJUNG!!",15,2023-06-13T09:36:59Z
@Janneth_V,Un paso me recordó a la macarena jeje. Esta canción es muy adictiva y energética para bailar,5,2023-06-13T03:31:33Z
@VanessaSantos087,Lindãos,2,2023-06-12T21:18:43Z
@DanaeWrites,When your weirdo energy comes out and you're there for it. I approve. 😂,5,2023-06-12T20:40:57Z
@aerizona_,I don't really understand about dance.. but I really like Lee Jung,15,2023-06-12T04:22:33Z
@KARINAAA2010,"Ela tbm faz a coreografia da metade dos grupos de kpop né, N É POSSÍVEL",0,2023-06-11T23:58:29Z
@heyfickle4595,리정 진짜........... 너무 멋잇음 ❤,11,2023-06-11T14:14:21Z
@edingo1727,"노래에 잘 어울리는 안무에 간지나는 
둘의 춤 조합이 좋다.❤",14,2023-06-11T11:37:50Z
@eligyo8546,For the first time leejung choreograph a sm artist❤,3,2023-06-11T10:25:36Z
@bts2025areyouready,근데 자꾸 태용씨 얼굴이 잘림.. 다른 것도 봤는데 대부분 그러고..도대체 찍는 사람 누구임,3,2023-06-11T04:31:29Z
@yeaykeeen,SLAY❤,1,2023-06-11T04:23:21Z
@wintergiirll,Wow,0,2023-06-11T00:34:30Z
@anastasiatasya2987,Slayed it!!!,2,2023-06-10T23:25:50Z
@PureHoneyBoo,Omg he outdid Taeyong but just remembered she is one of the best Korean dancers,4,2023-06-10T22:14:19Z
@baddieesss,Good job but imagine this with no music🤣,0,2023-06-10T21:26:53Z
@iloveyou-ce6ds,Love it,0,2023-06-10T13:20:37Z
@lynavila3949,❤❤❤❤,0,2023-06-10T11:48:28Z
@YudinHere,What even is this song,0,2023-06-10T08:45:30Z
