author,text,likes,published_at
@blancanicolas5632,캐레이❤❤❤❤❤❤❤❤,1,2025-04-23T02:52:35Z
@mir4196,Changbin is so cool !! I wanna be like him 😊,0,2025-04-23T02:48:39Z
@AlexandraVoisin-c2x,🐷,0,2025-04-20T20:18:43Z
@changbin-1ch,🫰,0,2025-04-16T21:41:15Z
@changbin-1c,changbin 🫦🫦,0,2025-04-16T21:35:41Z
@nedenede-q1c,BIXBY,0,2025-04-15T07:33:16Z
@MillyAmorim-fc2vu,Lindo demais meu amor ❤❤❤❤❤❤❤,0,2025-04-12T22:14:17Z
@amirjanbakloo9797,Bravo ❤❤,0,2025-04-11T11:13:31Z
@ILOVESKZ-q5g,창빈 생일이 나랑 같은 날이네 xd ; ),0,2025-04-10T20:42:49Z
@Poojita_J_Gaikwad,"His timing is so perfect. Fantastic rapper, lyricist, composer, singer, producer, dancer, an all-rounder. He is the centre of all girl group dances 😊. His personality, attitude and character is unmatched. His wardrobe has got a major uplifting done. Stylists are doing a fine job. No wonder he's one of the core pillars of 3 racha and skz. I am happy he is being appreciated well by true stays.❤",0,2025-04-08T16:49:34Z
@phyliciabanks7081,BRO BANGCHAN IS SUS PLAY IT AND HE DOES SMH SUS *unless it’s part of the dance*,0,2025-04-07T04:10:56Z
@PshtewanPsgtewan,Iloveyousocutelnergz❤❤❤❤❤❤,0,2025-04-04T19:24:02Z
@seoJu-da,ı lovee youuuuuuuuu ı♡u,0,2025-04-03T20:31:01Z
@kuumu_s,ビジュがやばい🤦🏻‍♀️💗,0,2025-04-02T08:31:56Z
@THAT_SKZ_ADDICT,BINNIEEEEEE (i spend two nights in a row just drawing him over and over again instead of sleeping ɪᴍ ᴏʙsᴇssᴇᴅ.😋),0,2025-04-01T19:26:57Z
@edinalvamaria3407,MEU BEBEZINHO😕💗💗💗,0,2025-03-30T21:16:48Z
@JoseAlbertoFLORESCASTRO-l6z,Te amo mucho Chambin❤❤❤❤😍😍😍🥰🥰😍😘🥰🥰😘❤️❤️,0,2025-03-17T17:52:07Z
@Trouble-88,The only thing i can confidently say is AUGHHHHHHHHH😍😍😍😍,0,2025-03-15T19:21:02Z
@strayskzz.08,Changbin ATE.,0,2025-03-08T04:48:24Z
@tamiresassumpcao282,Changbin linda ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-03-08T02:05:39Z
@indlaashok6329,😅😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,0,2025-03-06T13:52:22Z
@raydes.ttk.,My baby❤️💨,0,2025-03-06T00:45:33Z
@StayELF82,"Changbin is such an incredible dancer and so damn sexy. Also, a shout out to the stylist. You can go wrong with putting Binnie in tight leather.",0,2025-03-05T20:45:07Z
@oneheartifilia6718,He’s so cute🥺🥺🥰❤️,0,2025-03-04T15:01:15Z
@mavyronna,❤❤❤,0,2025-03-02T12:11:18Z
@Sanghoonxx107,Damn bro!! Changbin is soo hot!🤭,0,2025-02-28T06:16:02Z
@luciabruksch859,❤❤❤❤,0,2025-02-28T00:14:51Z
@ilkamuniz8838,Ele éo meu tt,0,2025-02-25T19:15:25Z
@PopaPopaCornelia,I love you. Changbin❤❤❤❤❤,0,2025-02-24T09:33:14Z
@br-ian,멋있당,0,2025-02-22T14:02:29Z
@Мяточка,창빈이 잘생겼다❤,1,2025-02-14T08:07:00Z
@shu_porang.porang-8,everything about him is perfect ✨🫶💕,0,2025-02-11T15:53:13Z
@skzoo0401,Changbin 😼🫶!!!!,0,2025-02-11T15:06:11Z
@fabyLoor,🤍🤍🤍😮‍💨,0,2025-02-08T20:29:53Z
@KianHarris-y7v,Me and him are going to see aech other in july at london,0,2025-02-05T20:02:38Z
@TahieraBarclay,🐷,0,2025-02-02T16:37:11Z
@KeshuyBoba,CHANGBIN😭😭,0,2025-01-29T03:04:30Z
@Natalia-i8u6i,I ❤ changbin you did amazing,0,2025-01-26T22:20:54Z
@dyanarosemarieamesticacava7399,Qué belleza ha creado el mundo❤❤❤❤❤😊😊,0,2025-01-26T18:22:18Z
@SanjiVinsmock-b4n,❤❤❤❤,0,2025-01-24T14:55:28Z
@michelleoliver68,"I watched this video so long, my phone battery died... But, I'm charging my phone now & I'm back watching my man, Changbin.",3,2025-01-22T13:02:15Z
@Foreverxandever.,This is so satisfying,0,2025-01-22T06:22:08Z
@daianafernandez4271,My biasss,0,2025-01-22T03:32:07Z
@Askolarstarbirvelet,Changbin I LOVE YOU❤❤,1,2025-01-20T19:24:28Z
@Hanbenim,Kurban olurum tatlışa bakın bir,0,2025-01-19T08:37:41Z
@AizaAkram-z3m,I swear every time they do this choreo I  actually get scared for their necks😭,0,2025-01-19T06:06:17Z
@SKZ_HAN_FAN,Changbin your so handsome💓🤗,1,2025-01-19T03:44:21Z
@Mira-Mi12,Changbin😩😘😍,0,2025-01-18T01:52:54Z
@PalomaGorda,❤❤❤,0,2025-01-17T00:28:04Z
@yandravitoriadeoliveira,Ngm bote os olhinhos nele ele é  todinho meu😤,0,2025-01-16T01:41:44Z
@Minhonunkalitelipeçetesi143,Kocammm❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-01-13T21:31:54Z
@stay_in_paris5351,Woooow❤❤❤❤❤❤❤❤,0,2025-01-13T20:27:12Z
@Maria-rm4ro,❤❤❤❤,0,2025-01-13T05:01:10Z
@RupaBiswa-s5m,𝔹ℝ𝕆 𝔸𝕋𝔼𝔼𝔼❤❤,0,2025-01-12T20:59:33Z
@MIRAAA-25M,"사랑해, 내 편견 파괴자 창빈! 그 어느 때보다! 스키즈 파이팅! 사랑해, 내 편견 파괴자 창빈! 그 어느 때보다! 스키즈 파이팅!",0,2025-01-12T12:12:07Z
@Charlycopy-b7h,Changbin is so handsome,0,2025-01-12T08:35:32Z
@Lumi_ParkYT,😭💘,0,2025-01-06T12:44:42Z
@abamdeco9552,😢😢😢😢😢 some point and I just need to me I just don't have,0,2025-01-05T01:38:52Z
@mariecohen3052,Love his hair❤❤❤❤❤,0,2025-01-01T20:32:48Z
@mariecohen3052,Thee best is Changbin ❤❤❤,0,2025-01-01T20:32:21Z
@marcelamorales2109,❤❤❤me encantas,0,2024-12-30T02:15:12Z
@AdrianaPashkova,LOVE U CHANGBINN❤❤❤,1,2024-12-29T21:53:26Z
@ruiseo3,❤❤❤超级喜欢(〃ω〃),0,2024-12-29T20:08:39Z
@Ani_hannie,❤❤❤❤,0,2024-12-28T12:53:20Z
@leeknowiwie,매우 달콤하고 진지한,0,2024-12-28T11:30:00Z
@Giselle_3.0,I love changbing,0,2024-12-25T22:47:01Z
@kamalabddulah2566,Husham,0,2024-12-25T17:39:34Z
@ayerimgonzalez1772,Ay que bonita vista 🤭,0,2024-12-25T05:00:28Z
@AndreSilva-pastor,Tudo hfsk e eu estou no quarto da uma olhada pq eu vou sair daqui a paz do meu pai nosso irmão é não tem o que fazer o é só pra lembra de me colocar na mesa Emilly 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 tenho interesse em participar da é André tenho que,0,2024-12-25T01:17:15Z
@deisylopez6872,𝕀𝕤 𝕤𝕠 𝕔𝕦𝕥𝕖 😊,0,2024-12-22T05:26:16Z
@PinkyNonere,"Changbin forever ♾️♾️♾️ 
👇",0,2024-12-20T14:45:38Z
@irvinrobatue8781,ATEEEE!!!!!!!!!!!!!!!!!,0,2024-12-19T23:08:40Z
@MyahParadis-x3k,The stylist diserves a raise bro his out fit is amazing bro ❤❤❤,0,2024-12-19T08:15:28Z
@Ali_pris084k,CHAGNBIN MARRY MEE!¡😂😂❤❤,0,2024-12-19T00:42:42Z
@LimaKha-x3b,chk chk bommmmm🎉🎉🎉🎉🎉👿,0,2024-12-18T18:48:04Z
@JST_A_STAY,Ayyy DOMINO!! Binniee,0,2024-12-15T12:35:58Z
@michelleoliver68,"Thank you to Changbin's parents.
Thank you, Changbin, for becoming an idol. I love your voice, flow, and style. I wish continued success, great health, happiness, and prosperity. 💜 🖤 💜",1,2024-12-15T06:49:33Z
@BrendaToland,anyyyy wommen that wants to contrl myyy radio showwww,1,2024-12-13T13:25:47Z
@BrendaToland,throwing offf c krisss is in controll,1,2024-12-13T13:24:20Z
@haslyhernandez9918,Chk chk Bom❤❤❤,0,2024-12-13T05:02:54Z
@nubiasouzabrito4675,❤💪💪❤,0,2024-12-11T17:29:40Z
@x1Llamastoducks1x,ITS ILLEGAL TO DANCE BETTER THAN I CAN AND LOOK BETTER THAN I CAN😭,0,2024-12-11T02:03:35Z
@Imakinggiant,🔥🔥🔥🔥,0,2024-12-10T20:04:17Z
@stary_kids-s8,I love him ❤ keep going,1,2024-12-10T08:31:37Z
@bonhyuk_koo,Xấu vậy mà cũng làm idol được thua anh bé nhà tao gấp ngàn lần 😂😂😂😂😂😂😂😂😂😂,0,2024-12-09T17:37:08Z
@MarijaGrbec,Changbin look you so cute ❤❤😊,0,2024-12-08T08:41:09Z
@MansekoSamantaMavuso,𝐋𝐨𝐯𝐞 𝐲𝐨𝐮,0,2024-12-07T21:33:49Z
@هشومتي,نلهل هيعف 😂هبعفه مبارك بالف كله هلت ننويخت قنتن كصن ❤قخهات يخان صنتر❤,1,2024-12-06T18:53:48Z
@AudraYaurGirl,The purple hair is slayingggggggggggggggggggggggggggggg❤😂,1,2024-12-06T05:24:49Z
@elizangelasoaresdacruz9572,"yhetr felixx amsoiu ghtffinc
fyk c",0,2024-12-05T15:10:09Z
