author,text,likes,published_at
@FLyyyT_,"Nope, can’t do that hand grab from the back",0,2025-04-19T18:08:24Z
@SDS-ev5oy,ウンチェの黒髪ボブすき❤,0,2025-04-19T15:31:53Z
@블리밍-b5j,"고개꺾는거나 섹시포인트 은채가 가장잘살리네 이번에 넘 예뻐짐
얼굴자체는 은채가 젤예뻐보임
그리고 카즈하
다른멤도 좋지만 전형적인미인보다 개성파~!",0,2025-04-17T21:38:22Z
@chimsarchive,manchae plssssss like she's growing up so fast im going to cryyyyy,0,2025-04-15T12:32:09Z
@화원-j4g,셋다 이쁘구 완벽❤❤,1,2025-04-15T08:30:22Z
@お寿司大好き-p7h,SAKURA is so cute❤,0,2025-04-14T14:54:26Z
@Han-Sa4591,Sakura so pretty 🥰 AQ senang tubuhmu terlihat lebih sehat seperti semula,0,2025-04-14T11:20:31Z
@김희영-z7e,귀여워 ㅜㅜ,0,2025-04-14T10:08:31Z
@Kimseong7,A boatos que até hoje o cabelo da kazuha está no rosto dela,0,2025-04-13T14:15:51Z
@다이브-d8w,저 오늘 댄스부에서  공연 했어요❤❤😂,0,2025-04-13T02:25:58Z
@ladhiekaaquari203,Sakura's Aura ❤,0,2025-04-12T04:45:53Z
@idamariafarida8956,Beautiful Leeserafirm❤,0,2025-04-12T01:12:37Z
@CuongLe-n4d,Eauchae is beautiful,0,2025-04-11T13:45:52Z
@유미-i6h123,르세라핌🎉즈하❤❤❤,0,2025-04-10T12:35:30Z
@jaquelinemuniz2640,Sakura is burning me ❤️‍🔥❤️‍🔥,0,2025-04-09T02:35:17Z
@nargizcafarli9,Really HOT girls ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-04-07T17:35:38Z
@녕맂_dive,어멋 요즘에 내 알고리즘에 르세라핌이 많이 뜨네!!!❤❤❤,0,2025-04-06T06:27:32Z
@MarilynPrieng,Sakuras hair??? So pretty 😭,0,2025-04-04T23:54:44Z
@あんどーなつ-b2e,サクラしなやかで美しい🌸,0,2025-04-02T13:02:33Z
@goormiii,타팬이지만 은채 중단발..? 넘 잘어울리고 예뻐요 🥹💗,0,2025-04-02T08:52:18Z
@Angelzsparkles,❤❤,0,2025-03-31T11:36:12Z
@凛亜-f2w,長めのデニムで、ダンスが美しく見えます！！皆さんキレキレですね！！かっこいい❤❤❤,0,2025-03-31T00:39:22Z
@foiv.staa.michellin,GET IT KAZUHA! ❤❤❤,0,2025-03-30T17:14:46Z
@GON-lu4me,아니 은채 언제 이렇게 어른이 된거야...,0,2025-03-30T13:33:53Z
@Rosieskz143,"Why is NOBODY talking about EUNCHAE?
MY GIRL SLAYED!!!",0,2025-03-29T03:35:17Z
@masterfulcat,🥵 🪭,0,2025-03-28T18:12:23Z
@anllxu,all of these 3 atee so hard.,0,2025-03-28T04:14:15Z
@baemons7er23,Sakura is so pretty and she is looks the youngest 😅,1,2025-03-28T01:52:05Z
@seowonissocute,혹시 나만 은채 춤 넘 쫀닥하고 몇 번 돌려보게 만드나..?,0,2025-03-27T11:54:53Z
@김태현-i9u,예전 사쿠라가 아니다. 이제  댄스가 전혀  어색함이 없다 ㄷㄷ 얼마나 노력했을지 짐작할수.,0,2025-03-26T16:21:37Z
@kazuhashi-e7t,The gorgeous trio of Le Sserafim.,0,2025-03-26T14:58:18Z
@StephenHoward-l2w,❤❤❤❤❤❤❤🌹🌹👑👑,0,2025-03-26T14:21:46Z
