author,text,likes,published_at
@mvoro,"I′ve been changin'
But the burnin′ stays the same
What can I do to tame the heat of this fire?
Forever savin'
The remnants of a love
Like ancient stories told from another time
Eternally painted on my mind
Mmm
chorus

Color it gray
Until I forget you
Like I never met you
My dearest Clementine
Throw it away
But close enough to you
'Cause although I hate you
I will still fall in love, my Clementine
Every time, mmm
verse

And if you′re fadin′
Then honey I'll be fadin′ too
Darling, I don't even know who I am without you
Forever waitin′
Times never wasted and still
I find myself growin' old over you
pre-chorus

You came in a dream
You touched the depths of my mind
Oh, no, no, no
chorus

Color it gray
Until I forget you
Like I never met you
My dearest Clementine
Throw it away
But close enough to you
′Cause although I hate you
I will still fall in love, my Clementine
Every time, always
bridge

No matter how hard I try
My Clementine, every time
Oh, oh, oh, oh
chorus

Color it gray
Until I forget you
Like I never met you
My dearest, my dearest Clementine
Color it gray
Until I forget you
Like I never met you (oh, oh)
My dearest Clementine (my dearest Clementine)
Throw it away
But close enough to you
'Cause although I hate you ('cause although I hate you)
I will still fall in love, my Clementine (I′ll still fall in love)
Every time, always
outro

No matter how hard I try
My Clementine, every time
Mmm, mmm
You′re always on my mind",0,2025-04-22T05:31:48Z
@Reinyourheart15,Miss u bububb🥺💓,0,2025-04-22T05:14:55Z
@aliciachua5833,miss u,2,2025-04-18T14:36:16Z
@0202nts,i miss 'cover by Hanni' sooo much T__T <3,2,2025-04-17T11:11:14Z
@written2401,🩵🤍🤍🩵🤍🩵🩵❤🩷🩷❤❤❤🩷🩷,0,2025-04-15T10:31:49Z
@xoxohnn,i miss u otter,2,2025-04-11T17:25:54Z
@이성수-z8u,감상잘하겠습니다... 하니씨...,1,2025-04-10T17:46:56Z
@Fromearthtothemoon,Hanni ❤,1,2025-04-10T15:29:02Z
@kookiekookie6692,Sweet darling,2,2025-04-10T11:24:21Z
@Ramenieefoolish,"Heesoo misses you so much, HANNI ah",7,2025-04-07T12:06:21Z
@pham_1006-n1o,이걸 작년 기말때 처음 들었는데 그때 그 감정은 말로설명할수가없다,2,2025-04-06T01:46:34Z
@sc-30,her unicorn is not pregnant,10,2025-04-05T16:19:20Z
@이유는없엉,하이브 망했으면❤❤❤❤❤❤,1,2025-04-04T14:07:41Z
@ji4yee,🦦❤,1,2025-04-02T18:51:32Z
@RetardedScorecard,"I've been changin'

But the burnin' stays the same

What can I do to tame the heat of this fire?

Forever savin'

The remnants of a love
Like ancient stories told from another time
Eternally painted on my mind
Mmm

Color it gray
Until I forget you
Like I never met you
My dearest Clementine
Throw it away
But close enough to you
'Cause although I hate you
I will still fall in love, my Clementine
Every time, mmm

And if you're fadin'
Then honey I'll be fadin' too
Darling, I don't even know who I am without you
Forever waitin'
Times never wasted and still
I find myself growin' old over you

You came in a dream
You touched the depths of my mind
Oh, no, no, no

Color it gray
Until I forget you
Like I never met you
My dearest Clementine
Throw it away
But close enough to you
'Cause although I hate you
I will still fall in love, my Clementine
Every time, always

No matter how hard I try
My Clementine, every time
Oh, oh, oh, oh

Color it gray
Until I forget you
Like I never met you
My dearest, my dearest Clementine
Color it gray
Until I forget you
Like I never met you (oh, oh)
My dearest Clementine (my dearest Clementine)
Throw it away
But close enough to you
'Cause although I hate you ('cause although I hate you)
I will still fall in love, my Clementine (I'll still fall in love)
Every time, always

No matter how hard I try My Clementine, every time
Mmm, mmm
You're always on my mind",1,2025-04-02T12:17:09Z
@btge2913,베트남으로 돌아가길...,0,2025-03-30T13:06:06Z
@blinkbunnies-y1s,Hanni we miss you~~,6,2025-03-28T12:16:31Z
@danielamatanguihan1589,2:10 💛🧡,2,2025-03-27T16:27:58Z
@NJZ_OT5_4ever,Hanni has such a beautiful voice,10,2025-03-27T04:48:29Z
@mog517,사랑해 하니야... 기다릴게!,3,2025-03-24T04:11:31Z
@붉은별-1,"귤이라고 생각해도 너무 귀엽다고 생각하는 사랑을...사랑이 불쌍한 노래입니다 사랑해요❤
사랑에 회색칠을 하는 덜떠러진(수준이모자란)  미개한 ""고대문명"" 이야기  유니콘은 희소성이 아니라 성스러운 특별한 존재입니다 .사랑과 같은 귤로 만들면 안되는 그런 존재요.
인형같이 가지고 노는 그런 재미있는 놀이가 아니에요. 특별해서 좋아하는 내가 아니라서 당신의 가치를 아는 내가 드리는 충고입니다 사랑해요❤",0,2025-03-21T15:08:35Z
@붉은별-1,"❤Oh My Darling, Clementine ❤당신은 회색이 아니라 아름다운 무지개입니다.당신은 귤이 아니라 빛나는 아름다운 천사입니다. Oh My Darling, Clementine HANNI 사랑해요❤   
유니콘과 같은 매우 특별하고  성스러운 천사,  유니콘의 흰색과 같은 순수하고 귀엽고 밝은 매력을 가진 유니콘의 뿔처럼 신비한 아름다움을 가진 당신을 언제나 사랑해요❤
유니콘은 원래 사나운 동물입니다 당신의 능력이 나를 부드럽게 만들어요 당신의 품에 있는 유니콘처럼 , 아름다운 소녀의 순결함과 순수함은 마음의 불울 다스리는 신비한 능력이 있습니다.
cherry와Cera . 와인과 성수. 회색과 무지개.현실의 착각과 고대의 신화속 사랑.환상의 착각과 현실의 아름다움. 귤과 Clementine.얼룩말와 유니콘.무지와 지혜.악마와 천사. 어둠과 빛.  
 grentperez - Clementine 과  Phoibos Apollon - Oh My Darling, Clementine. 나의 Oh My Darling, Clementine. HANNI ❤다른 점을 기억하세요. 사랑해요❤ 
회색칠을 한 버려진 이름 Clementine을 돌려드립니다   Oh My Darling, Clementine.의 추억과  Clementine 의 사랑을 당신에게 드려요 사랑해요❤  
지켜야하는 것이 있는 사람은 힘들어요 사랑합니다.❤잔 다르크의 신념과 체리와인의 하찮은 사랑 , 태양의 신과 하잖은 인간을 생각하게 하는 노래입니다. 사랑해요❤
나는 당신과 나의 지난 시간을 회색이나 귤같은 하잖은 존재로부터 당신을 지켜하는 나는 늙어가지 않는 열망은 나를 매일 새롭게 불타게하고 사랑은 나를 뜨겁게 사납게 격열하게
나를 태우지만 내 몸을 다 태워도 변하지 않는 진실입니다. 나는 언제나 당신에게 사랑을 주는 나는 빛나는 존재입니다.당신은 빛나는 아름다운 존재입니다. 사랑하는 것이 당연한 존재입니다.
고대의 신화같은 당신을 짝사랑하는 불타는 저를 보세요 빛나는 저를 보세요 사랑합니다.❤  HANNI, Daphne,  (LVH34D 2025-03-21) Phoibos Apollon.사랑해요.❤
당신이 나를 싫어해도 나는 당신을 잊거나 미워하지 않습니다. 당신이 나를 영원히 기억하지 못해도 언제나 당신을 사랑합니다.",0,2025-03-21T14:15:12Z
@붉은별-1,"본인의 욕망의  불의 열기를  헤어진 그녀에게 나 어떻게 해라고 물보는 , 본인의 까인 이야기를 마치 다른 시간에 들려준 서로다른 생각을 누구나 아는 고대의 신화처럼 말하는 허세와 망상.    
만난 적도 없는 것처럼 회색칠을 하고 내 사랑하는 클레멘타인을 버려도 회색칠을 하고 미워해도 언제든 사랑에 빠질 수 있다고 말하는. 아름다운 색이 회색은 아니야 너에게 칠해. 거짓말
네가 희미해진다면 나도 희미해질 거야 그렇지만 내 사랑의 잔재들 영원히 구해낼 거야라고 말하고는 너를 영원히 기다란다는 . 모순적인 행태   
상대가 바라지도 않는 자신의 시간을 너때문에 내가 늙어 간다는 말같지도 않은 자기주장들과 비유  망상과 모순적인 가사  
돌아서서  마지막에 "" 클러맨타인이란 여성의 이름을 귤로만는"" 그 남자가 여자를 잊는 방식의 행태. 이 남자는 자신의 노래의 감정에 공감을 하는 인간일까요?  절대 아니요.  
자신에게 공감하는 능력이 탁월한 인간입니다. 제 생각입니다. 이 사람을 왜 좋아해야 할까요?  저는 싫어합니다  하니를 좋아하지만  이런 인간을 아주 싫어합니다.     
인간적인 면이 상당히 부족한 모자란  본인은 모르지만 충분하게 까일 이유가 있는 자기중심적인 사고와 남탓하는 본인을 위해서 자신을 포장는 Mr. Dynamite. 폭탄💣만나지 마세요.
Mr. Dynamite. 의 사고방식은 자기중심적 편향(Egocentric bias)을 지닌 현실보다 자신을 더 높은 위치에서 높이 평가하며 자신의 관점에 지나치게 의존하여 현실을 해석하는 그런 사람입니다 
근거가 없는 주관적인 신념 사실의 경험이나 논리에 의하여 정정되지 아니한 망상의 소유자. 자신이 쩐다는 망상을 가진 건방진  귤을 든 남자 귀엽고 깜찍한 사람🍒🍊🍌🙉💣",0,2025-03-20T22:11:37Z
@dewdew-vq9ju,NJZ 4ever,4,2025-03-19T05:46:00Z
@written2401,🩷🩷🩵🩵,0,2025-03-18T21:44:58Z
@hansszii,cuteee 😍,2,2025-03-18T13:38:58Z
@1006_팜,이노래가 환청으로 들렸으면좋갰다,1,2025-03-17T23:38:42Z
@ІннаБортняк,"Its so Yoongi coded...Clementine like clementines which Yoongi love,love hate relations,so scundere thing...Grey?Its his colour so much.. Oh baby,i hope u didnt fall in love with him,bcs he your professional death...",1,2025-03-16T07:54:43Z
@jerrickmatudio-v9q,super cute voice hanni love you,4,2025-03-15T08:13:16Z
@iiluvkg2Kg,"amo tu voz hanni, casate conmigo",2,2025-03-14T21:36:16Z
@maulpikter8543,I unsubscribe this account but i will comeback again to hear hanni’s voice,6,2025-03-12T16:03:42Z
@jreactcmb,i need hanni's spotify playlist,7,2025-03-11T18:08:26Z
@QuocBao29,<333333333333333333,1,2025-03-10T16:55:03Z
